frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,3.87,-7.24,3.80,-7.30,7.30,6.83,2.48,11.17,11.10,11.11
20.20,3.92,-7.18,3.88,-7.21,7.21,6.80,2.55,11.13,11.10,11.10
20.40,3.96,-7.14,3.96,-7.13,7.13,6.77,2.63,11.09,11.09,11.10
20.61,4.01,-7.09,4.04,-7.05,7.05,6.74,2.70,11.06,11.09,11.10
20.81,4.06,-7.01,4.11,-6.97,6.97,6.71,2.78,11.03,11.09,11.08
21.02,4.11,-6.96,4.19,-6.89,6.89,6.68,2.86,11.00,11.08,11.07
21.23,4.21,-6.86,4.26,-6.82,6.82,6.64,2.94,11.03,11.08,11.07
21.44,4.31,-6.77,4.33,-6.75,6.75,6.61,3.02,11.06,11.08,11.08
21.66,4.40,-6.67,4.40,-6.68,6.68,6.57,3.11,11.07,11.08,11.07
21.87,4.50,-6.58,4.47,-6.61,6.61,6.53,3.20,11.11,11.07,11.08
22.09,4.58,-6.49,4.53,-6.54,6.54,6.50,3.29,11.12,11.07,11.07
22.31,4.63,-6.45,4.60,-6.48,6.48,6.46,3.38,11.11,11.07,11.08
22.54,4.68,-6.39,4.66,-6.41,6.41,6.42,3.48,11.09,11.07,11.07
22.76,4.74,-6.34,4.73,-6.34,6.34,6.38,3.58,11.08,11.07,11.08
22.99,4.79,-6.29,4.79,-6.28,6.28,6.34,3.68,11.07,11.08,11.08
23.22,4.84,-6.23,4.85,-6.23,6.23,6.30,3.78,11.07,11.08,11.07
23.45,4.89,-6.19,4.91,-6.17,6.17,6.26,3.88,11.06,11.08,11.08
23.69,4.94,-6.14,4.96,-6.13,6.13,6.21,3.99,11.07,11.08,11.08
23.92,4.99,-6.09,5.00,-6.08,6.08,6.17,4.10,11.07,11.09,11.08
24.16,5.04,-6.05,5.05,-6.04,6.04,6.13,4.21,11.08,11.09,11.09
24.40,5.09,-6.01,5.09,-6.00,6.00,6.08,4.32,11.09,11.09,11.10
24.65,5.14,-5.96,5.13,-5.97,5.97,6.04,4.44,11.10,11.09,11.10
24.89,5.19,-5.90,5.17,-5.93,5.93,5.99,4.55,11.12,11.09,11.09
25.14,5.23,-5.86,5.21,-5.89,5.89,5.95,4.67,11.12,11.09,11.09
25.39,5.26,-5.84,5.24,-5.85,5.85,5.90,4.78,11.11,11.09,11.10
25.65,5.29,-5.81,5.28,-5.81,5.81,5.85,4.90,11.10,11.09,11.10
25.91,5.32,-5.77,5.32,-5.77,5.77,5.80,5.02,11.09,11.09,11.09
26.16,5.35,-5.74,5.36,-5.73,5.73,5.75,5.13,11.08,11.09,11.09
26.43,5.39,-5.70,5.40,-5.69,5.69,5.70,5.25,11.08,11.09,11.09
26.69,5.43,-5.66,5.45,-5.64,5.64,5.65,5.36,11.07,11.09,11.09
26.96,5.46,-5.62,5.50,-5.59,5.59,5.60,5.47,11.05,11.08,11.08
27.23,5.52,-5.56,5.55,-5.53,5.53,5.55,5.58,11.05,11.08,11.08
27.50,5.59,-5.48,5.60,-5.47,5.47,5.50,5.68,11.06,11.08,11.07
27.77,5.65,-5.43,5.66,-5.41,5.41,5.45,5.78,11.06,11.07,11.08
28.05,5.71,-5.36,5.72,-5.35,5.35,5.40,5.88,11.06,11.07,11.07
28.33,5.78,-5.28,5.78,-5.29,5.29,5.34,5.97,11.07,11.06,11.07
28.62,5.84,-5.21,5.83,-5.23,5.23,5.29,6.05,11.07,11.06,11.05
28.90,5.91,-5.15,5.89,-5.16,5.16,5.24,6.13,11.07,11.05,11.06
29.19,5.97,-5.08,5.94,-5.10,5.10,5.18,6.19,11.07,11.04,11.05
