frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-38.38,-45.86,-38.45,-45.93,45.93,50.52,,7.55,7.48,7.48
20.20,-38.25,-45.72,-38.22,-45.70,45.70,48.82,,7.45,7.48,7.47
20.40,-38.11,-45.59,-38.00,-45.47,45.47,47.50,,7.35,7.47,7.47
20.61,-37.99,-45.46,-37.78,-45.25,45.25,46.45,,7.26,7.47,7.47
20.81,-37.86,-45.32,-37.58,-45.04,45.04,45.60,,7.18,7.46,7.45
21.02,-37.71,-45.16,-37.38,-44.84,44.84,44.90,,7.14,7.46,7.45
21.23,-37.30,-44.75,-37.19,-44.65,44.65,44.31,,7.36,7.46,7.45
21.44,-36.87,-44.33,-37.01,-44.47,44.47,43.83,,7.60,7.46,7.46
21.66,-36.47,-43.92,-36.84,-44.29,44.29,43.43,,7.82,7.45,7.45
21.87,-36.05,-43.52,-36.68,-44.13,44.13,43.10,,8.08,7.45,7.46
22.09,-35.85,-43.30,-36.52,-43.97,43.97,42.84,,8.13,7.45,7.45
22.31,-35.93,-43.39,-36.37,-43.83,43.83,42.62,,7.90,7.45,7.46
22.54,-36.01,-43.47,-36.28,-43.73,43.73,42.45,,7.72,7.46,7.45
22.76,-36.10,-43.55,-36.18,-43.63,43.63,42.33,,7.53,7.46,7.45
22.99,-36.18,-43.63,-36.07,-43.52,43.52,42.23,,7.35,7.46,7.45
23.22,-36.20,-43.65,-35.95,-43.42,43.42,42.17,,7.22,7.46,7.45
23.45,-36.22,-43.68,-35.85,-43.31,43.31,42.14,,7.10,7.46,7.46
23.69,-36.24,-43.70,-35.76,-43.22,43.22,42.12,,6.99,7.47,7.46
23.92,-36.24,-43.71,-35.65,-43.12,43.12,42.13,,6.88,7.47,7.46
24.16,-35.92,-43.39,-35.53,-43.00,43.00,42.14,,7.08,7.47,7.47
24.40,-35.44,-42.92,-35.34,-42.81,42.81,42.17,,7.37,7.47,7.48
24.65,-34.97,-42.45,-35.09,-42.56,42.56,42.20,,7.59,7.48,7.48
24.89,-34.48,-41.96,-34.79,-42.27,42.27,42.23,,7.79,7.48,7.48
25.14,-34.25,-41.72,-34.51,-41.99,41.99,42.25,,7.75,7.48,7.47
25.39,-34.18,-41.67,-34.29,-41.77,41.77,42.26,,7.58,7.48,7.48
25.65,-34.12,-41.60,-34.12,-41.60,41.60,42.26,,7.48,7.48,7.48
25.91,-34.05,-41.52,-34.01,-41.49,41.49,42.25,,7.44,7.48,7.47
26.16,-33.87,-41.36,-33.94,-41.42,41.42,42.22,,7.54,7.48,7.48
26.43,-33.66,-41.14,-33.91,-41.39,41.39,42.17,,7.73,7.48,7.48
26.69,-33.43,-40.91,-33.94,-41.41,41.41,42.10,,7.99,7.48,7.48
26.96,-33.20,-40.66,-34.00,-41.48,41.48,42.02,,8.28,7.47,7.46
27.23,-33.64,-41.10,-34.08,-41.55,41.55,41.92,,7.91,7.47,7.46
27.50,-34.22,-41.69,-34.16,-41.62,41.62,41.80,,7.40,7.47,7.46
27.77,-34.81,-42.28,-34.22,-41.69,41.69,41.68,,6.88,7.46,7.47
28.05,-35.23,-42.70,-34.30,-41.76,41.76,41.54,,6.52,7.46,7.46
28.33,-34.99,-42.45,-34.38,-41.84,41.84,41.40,,6.84,7.46,7.45
28.62,-34.76,-42.20,-34.47,-41.92,41.92,41.25,,7.16,7.45,7.44
28.90,-34.51,-41.96,-34.54,-41.98,41.98,41.11,,7.48,7.44,7.45
29.19,-34.35,-41.79,-34.58,-42.02,42.02,40.96,,7.67,7.44,7.44
29.48,-34.22,-41.64,-34.58,-42.01,42.01,40.82,,7.80,7.43,7.42
29.78,-34.09,-41.51,-34.52,-41.94,41.94,40.69,,7.86,7.42,7.42
30.08,-34.02,-41.44,-34.39,-41.80,41.80,40.56,,7.79,7.41,7.42
30.38,-34.14,-41.55,-34.19,-41.59,41.59,40.44,,7.44,7.40,7.40
30.68,-34.28,-41.67,-33.95,-41.34,41.34,40.32,,7.07,7.39,7.39
30.99,-34.39,-41.78,-33.72,-41.10,41.10,40.21,,6.71,7.38,7.38
31.30,-33.97,-41.34,-33.51,-40.88,40.88,40.11,,6.91,7.37,7.37
31.61,-33.51,-40.87,-33.33,-40.69,40.69,40.02,,7.18,7.37,7.36
31.93,-33.05,-40.40,-33.14,-40.50,40.50,39.93,,7.45,7.36,7.34
32.24,-32.71,-40.07,-32.96,-40.31,40.31,39.85,,7.59,7.35,7.35
32.57,-32.44,-39.77,-32.73,-40.07,40.07,39.77,,7.63,7.34,7.33
32.89,-32.15,-39.48,-32.48,-39.82,39.82,39.70,,7.67,7.34,7.33
33.22,-32.00,-39.33,-32.22,-39.56,39.56,39.62,,7.56,7.33,7.33
33.55,-31.92,-39.24,-32.00,-39.33,39.33,39.55,,7.41,7.33,7.32
33.89,-31.83,-39.16,-31.79,-39.12,39.12,39.48,,7.29,7.33,7.33
34.23,-31.71,-39.02,-31.61,-38.93,38.93,39.40,,7.22,7.32,7.31
34.57,-31.57,-38.89,-31.43,-38.75,38.75,39.32,,7.18,7.32,7.32
34.92,-31.43,-38.74,-31.28,-38.59,38.59,39.23,,7.16,7.31,7.31
35.27,-31.17,-38.49,-31.14,-38.45,38.45,39.13,,7.28,7.31,7.32
35.62,-30.88,-38.17,-31.02,-38.32,38.32,39.03,,7.44,7.30,7.29
35.97,-30.58,-37.87,-30.90,-38.19,38.19,38.91,,7.61,7.29,7.29
36.33,-30.73,-38.01,-30.79,-38.06,38.06,38.79,,7.33,7.28,7.28
36.70,-30.90,-38.17,-30.67,-37.93,37.93,38.65,,7.03,7.26,7.26
37.06,-30.95,-38.19,-30.53,-37.77,37.77,38.49,,6.82,7.24,7.24
37.43,-30.41,-37.64,-30.36,-37.58,37.58,38.33,,7.17,7.22,7.23
