frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-3.42,-8.70,-3.41,-8.68,8.68,7.56,3.44,5.27,5.28,5.28
20.20,-3.37,-8.64,-3.36,-8.63,8.63,7.66,3.53,5.26,5.27,5.27
20.40,-3.33,-8.60,-3.31,-8.58,8.58,7.76,3.63,5.25,5.27,5.27
20.61,-3.28,-8.55,-3.27,-8.53,8.53,7.86,3.73,5.25,5.26,5.27
20.81,-3.23,-8.48,-3.23,-8.49,8.49,7.96,3.83,5.26,5.26,5.25
21.02,-3.19,-8.44,-3.19,-8.44,8.44,8.05,3.94,5.25,5.26,5.25
21.23,-3.14,-8.39,-3.15,-8.40,8.40,8.13,4.05,5.26,5.25,5.25
21.44,-3.09,-8.35,-3.11,-8.36,8.36,8.21,4.17,5.27,5.25,5.26
21.66,-3.04,-8.29,-3.07,-8.32,8.32,8.28,4.28,5.28,5.25,5.25
21.87,-2.99,-8.25,-3.04,-8.28,8.28,8.35,4.40,5.30,5.25,5.26
22.09,-2.96,-8.21,-3.00,-8.25,8.25,8.41,4.53,5.29,5.25,5.25
22.31,-2.96,-8.22,-2.97,-8.22,8.22,8.46,4.65,5.26,5.25,5.26
22.54,-2.96,-8.21,-2.94,-8.19,8.19,8.51,4.78,5.23,5.25,5.25
22.76,-2.96,-8.21,-2.91,-8.17,8.17,8.54,4.91,5.21,5.25,5.25
22.99,-2.96,-8.21,-2.89,-8.14,8.14,8.57,5.05,5.19,5.25,5.25
23.22,-2.91,-8.16,-2.87,-8.13,8.13,8.59,5.19,5.22,5.26,5.25
23.45,-2.85,-8.11,-2.85,-8.11,8.11,8.61,5.33,5.26,5.26,5.26
23.69,-2.80,-8.06,-2.82,-8.08,8.08,8.62,5.48,5.29,5.26,5.26
23.92,-2.75,-8.01,-2.80,-8.06,8.06,8.61,5.63,5.31,5.26,5.26
24.16,-2.73,-8.00,-2.77,-8.03,8.03,8.60,5.78,5.31,5.27,5.27
24.40,-2.73,-8.01,-2.74,-8.01,8.01,8.59,5.94,5.28,5.27,5.28
24.65,-2.73,-8.01,-2.71,-7.98,7.98,8.57,6.09,5.25,5.27,5.28
24.89,-2.73,-8.01,-2.67,-7.95,7.95,8.54,6.25,5.22,5.27,5.28
25.14,-2.70,-7.97,-2.64,-7.92,7.92,8.50,6.42,5.22,5.27,5.27
25.39,-2.64,-7.92,-2.62,-7.89,7.89,8.46,6.58,5.26,5.28,5.28
25.65,-2.59,-7.87,-2.60,-7.88,7.88,8.41,6.75,5.29,5.28,5.28
25.91,-2.53,-7.80,-2.59,-7.86,7.86,8.36,6.91,5.33,5.28,5.27
26.16,-2.51,-7.79,-2.57,-7.85,7.85,8.30,7.08,5.34,5.27,5.28
26.43,-2.51,-7.79,-2.55,-7.83,7.83,8.24,7.25,5.32,5.27,5.28
26.69,-2.51,-7.79,-2.53,-7.80,7.80,8.18,7.41,5.30,5.27,5.28
26.96,-2.51,-7.77,-2.51,-7.78,7.78,8.11,7.58,5.27,5.27,5.26
27.23,-2.51,-7.77,-2.48,-7.75,7.75,8.04,7.74,5.24,5.27,5.26
27.50,-2.51,-7.77,-2.46,-7.72,7.72,7.97,7.90,5.21,5.26,5.26
27.77,-2.51,-7.78,-2.43,-7.69,7.69,7.89,8.06,5.19,5.26,5.27
28.05,-2.50,-7.76,-2.42,-7.67,7.67,7.82,8.21,5.18,5.26,5.26
28.33,-2.43,-7.68,-2.41,-7.66,7.66,7.74,8.35,5.23,5.25,5.25
28.62,-2.37,-7.61,-2.39,-7.64,7.64,7.67,8.49,5.27,5.25,5.24
28.90,-2.30,-7.55,-2.38,-7.62,7.62,7.59,8.61,5.32,5.24,5.25
29.19,-2.28,-7.52,-2.35,-7.59,7.59,7.51,8.73,5.31,5.23,5.24
29.48,-2.28,-7.50,-2.33,-7.55,7.55,7.44,8.84,5.27,5.22,5.22
29.78,-2.28,-7.50,-2.30,-7.51,7.51,7.37,8.93,5.24,5.22,5.22
30.08,-2.28,-7.50,-2.27,-7.47,7.47,7.29,9.01,5.20,5.21,5.22
30.38,-2.28,-7.48,-2.24,-7.44,7.44,7.22,9.08,5.16,5.20,5.20
30.68,-2.28,-7.47,-2.21,-7.40,7.40,7.15,9.13,5.12,5.19,5.19
30.99,-2.28,-7.46,-2.19,-7.37,7.37,7.08,9.17,5.09,5.18,5.18
31.30,-2.21,-7.38,-2.17,-7.34,7.34,7.02,9.19,5.13,5.17,5.17
31.61,-2.14,-7.30,-2.16,-7.32,7.32,6.96,9.19,5.18,5.16,5.16
31.93,-2.07,-7.21,-2.14,-7.29,7.29,6.90,9.18,5.23,5.15,5.14
32.24,-2.05,-7.20,-2.12,-7.27,7.27,6.84,9.16,5.22,5.15,5.15
32.57,-2.05,-7.18,-2.09,-7.23,7.23,6.79,9.12,5.19,5.14,5.13
32.89,-2.05,-7.18,-2.07,-7.20,7.20,6.73,9.06,5.15,5.13,5.13
33.22,-2.05,-7.18,-2.04,-7.17,7.17,6.69,9.00,5.12,5.13,5.13
33.55,-2.05,-7.17,-2.01,-7.13,7.13,6.64,8.92,5.08,5.13,5.12
33.89,-2.05,-7.18,-1.98,-7.10,7.10,6.60,8.83,5.05,5.12,5.13
34.23,-2.01,-7.12,-1.95,-7.07,7.07,6.56,8.73,5.06,5.12,5.11
34.57,-1.96,-7.08,-1.93,-7.04,7.04,6.53,8.62,5.09,5.11,5.12
34.92,-1.90,-7.01,-1.91,-7.02,7.02,6.50,8.51,5.12,5.11,5.11
35.27,-1.87,-6.99,-1.90,-7.00,7.00,6.47,8.39,5.13,5.10,5.12
35.62,-1.85,-6.94,-1.88,-6.98,6.98,6.44,8.26,5.13,5.10,5.09
35.97,-1.82,-6.91,-1.87,-6.95,6.95,6.42,8.14,5.13,5.08,5.09
36.33,-1.82,-6.90,-1.85,-6.93,6.93,6.40,8.00,5.11,5.07,5.08
36.70,-1.82,-6.88,-1.84,-6.90,6.90,6.39,7.87,5.08,5.06,5.06
37.06,-1.82,-6.86,-1.83,-6.87,6.87,6.38,7.74,5.05,5.04,5.04
37.43,-1.82,-6.85,-1.82,-6.84,6.84,6.37,7.60,5.02,5.02,5.03
37.81,-1.82,-6.82,-1.81,-6.80,6.80,6.37,7.47,4.99,5.00,5.00
38.19,-1.82,-6.80,-1.80,-6.77,6.77,6.36,7.33,4.95,4.97,4.98
38.57,-1.82,-6.78,-1.79,-6.73,6.73,6.36,7.20,4.91,4.94,4.96
38.95,-1.82,-6.75,-1.77,-6.69,6.69,6.36,7.07,4.87,4.92,4.93
39.34,-1.81,-6.69,-1.75,-6.64,6.64,6.37,6.95,4.84,4.89,4.88
39.74,-1.80,-6.65,-1.74,-6.60,6.60,6.37,6.82,4.80,4.86,4.85
40.14,-1.76,-6.58,-1.72,-6.55,6.55,6.38,6.70,4.79,4.83,4.82
40.54,-1.68,-6.48,-1.69,-6.49,6.49,6.39,6.59,4.81,4.80,4.80
40.94,-1.60,-6.36,-1.67,-6.44,6.44,6.39,6.47,4.84,4.77,4.76
41.35,-1.59,-6.33,-1.65,-6.39,6.39,6.40,6.36,4.80,4.74,4.74
41.76,-1.59,-6.30,-1.63,-6.34,6.34,6.41,6.26,4.76,4.71,4.71
