frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,10.48,1.02,10.47,1.01,-1.03,-0.55,-0.59,9.45,9.44,9.46
20.20,10.53,1.08,10.53,1.08,-1.09,-0.56,-0.60,9.44,9.45,9.45
20.40,10.57,1.12,10.58,1.13,-1.13,-0.57,-0.62,9.44,9.45,9.45
20.61,10.62,1.17,10.62,1.18,-1.17,-0.58,-0.64,9.45,9.45,9.45
20.81,10.67,1.24,10.67,1.23,-1.21,-0.59,-0.65,9.46,9.46,9.43
21.02,10.71,1.28,10.70,1.26,-1.23,-0.60,-0.67,9.48,9.46,9.43
21.23,10.71,1.28,10.71,1.28,-1.26,-0.61,-0.69,9.45,9.45,9.43
21.44,10.71,1.27,10.71,1.28,-1.28,-0.63,-0.71,9.43,9.44,9.44
21.66,10.71,1.28,10.71,1.27,-1.28,-0.64,-0.73,9.43,9.43,9.43
21.87,10.71,1.27,10.71,1.27,-1.28,-0.65,-0.75,9.43,9.43,9.44
22.09,10.71,1.28,10.71,1.27,-1.28,-0.66,-0.77,9.43,9.43,9.43
22.31,10.71,1.27,10.71,1.27,-1.28,-0.67,-0.79,9.43,9.43,9.44
22.54,10.71,1.28,10.71,1.28,-1.28,-0.69,-0.81,9.43,9.43,9.43
22.76,10.71,1.28,10.71,1.28,-1.28,-0.70,-0.83,9.43,9.43,9.43
22.99,10.71,1.28,10.71,1.28,-1.27,-0.71,-0.86,9.44,9.44,9.43
23.22,10.71,1.28,10.71,1.27,-1.27,-0.72,-0.88,9.44,9.44,9.43
23.45,10.71,1.27,10.71,1.27,-1.27,-0.74,-0.90,9.44,9.44,9.44
23.69,10.71,1.27,10.71,1.27,-1.27,-0.75,-0.93,9.44,9.44,9.44
23.92,10.71,1.27,10.71,1.26,-1.26,-0.76,-0.95,9.45,9.45,9.44
24.16,10.71,1.26,10.71,1.26,-1.26,-0.78,-0.98,9.45,9.45,9.45
24.40,10.71,1.25,10.71,1.25,-1.26,-0.79,-1.00,9.45,9.45,9.46
24.65,10.71,1.25,10.71,1.25,-1.25,-0.81,-1.03,9.46,9.46,9.46
24.89,10.71,1.25,10.71,1.25,-1.25,-0.82,-1.05,9.46,9.46,9.46
25.14,10.71,1.26,10.71,1.25,-1.25,-0.84,-1.08,9.46,9.46,9.45
25.39,10.71,1.25,10.71,1.25,-1.25,-0.85,-1.11,9.46,9.46,9.46
25.65,10.71,1.25,10.71,1.25,-1.25,-0.87,-1.13,9.46,9.46,9.46
25.91,10.71,1.26,10.71,1.25,-1.25,-0.88,-1.16,9.46,9.46,9.45
26.16,10.71,1.25,10.71,1.25,-1.25,-0.90,-1.19,9.46,9.46,9.46
26.43,10.71,1.25,10.71,1.25,-1.25,-0.91,-1.21,9.46,9.46,9.46
26.69,10.71,1.25,10.71,1.25,-1.26,-0.93,-1.24,9.45,9.45,9.46
26.96,10.71,1.27,10.71,1.26,-1.26,-0.95,-1.27,9.45,9.45,9.44
27.23,10.71,1.27,10.71,1.27,-1.26,-0.96,-1.30,9.45,9.45,9.44
27.50,10.71,1.27,10.71,1.27,-1.26,-0.98,-1.32,9.45,9.45,9.44
27.77,10.71,1.26,10.71,1.26,-1.27,-1.00,-1.35,9.44,9.44,9.45
28.05,10.71,1.27,10.71,1.27,-1.27,-1.02,-1.38,9.44,9.44,9.44
28.33,10.71,1.28,10.71,1.28,-1.28,-1.03,-1.40,9.43,9.43,9.43
28.62,10.71,1.29,10.71,1.28,-1.28,-1.05,-1.43,9.43,9.43,9.42
28.90,10.71,1.28,10.71,1.29,-1.29,-1.07,-1.45,9.42,9.42,9.43
29.19,10.71,1.29,10.71,1.29,-1.29,-1.09,-1.47,9.42,9.42,9.42
29.48,10.71,1.31,10.71,1.30,-1.30,-1.11,-1.50,9.41,9.41,9.40
29.78,10.71,1.31,10.71,1.31,-1.31,-1.13,-1.52,9.40,9.40,9.40
30.08,10.71,1.31,10.71,1.32,-1.32,-1.15,-1.54,9.39,9.39,9.40
30.38,10.71,1.33,10.71,1.32,-1.33,-1.17,-1.56,9.38,9.38,9.38
30.68,10.71,1.34,10.71,1.34,-1.34,-1.19,-1.58,9.37,9.37,9.37
30.99,10.71,1.35,10.71,1.35,-1.35,-1.21,-1.59,9.36,9.36,9.36
31.30,10.71,1.36,10.71,1.36,-1.36,-1.23,-1.61,9.35,9.35,9.35
31.61,10.71,1.37,10.71,1.37,-1.37,-1.25,-1.63,9.34,9.34,9.34
31.93,10.71,1.39,10.71,1.38,-1.38,-1.27,-1.64,9.33,9.33,9.32
32.24,10.71,1.38,10.71,1.39,-1.39,-1.29,-1.65,9.32,9.32,9.33
32.57,10.71,1.40,10.71,1.39,-1.39,-1.31,-1.67,9.32,9.32,9.31
32.89,10.71,1.40,10.71,1.40,-1.40,-1.34,-1.68,9.31,9.31,9.31
33.22,10.71,1.40,10.71,1.40,-1.40,-1.36,-1.69,9.31,9.31,9.31
33.55,10.71,1.41,10.71,1.40,-1.40,-1.38,-1.70,9.31,9.31,9.30
33.89,10.71,1.40,10.71,1.41,-1.41,-1.40,-1.71,9.30,9.30,9.31
34.23,10.71,1.42,10.71,1.41,-1.41,-1.43,-1.72,9.30,9.30,9.29
34.57,10.71,1.41,10.71,1.41,-1.41,-1.45,-1.73,9.30,9.30,9.30
34.92,10.71,1.42,10.71,1.42,-1.42,-1.47,-1.74,9.29,9.29,9.29
35.27,10.71,1.41,10.71,1.42,-1.42,-1.50,-1.75,9.29,9.29,9.30
35.62,10.71,1.44,10.71,1.43,-1.43,-1.52,-1.76,9.28,9.28,9.27
35.97,10.71,1.44,10.71,1.44,-1.44,-1.55,-1.77,9.27,9.27,9.27
36.33,10.71,1.45,10.71,1.45,-1.45,-1.57,-1.78,9.26,9.26,9.26
36.70,10.71,1.47,10.71,1.47,-1.47,-1.60,-1.79,9.24,9.24,9.24
37.06,10.71,1.49,10.71,1.48,-1.48,-1.63,-1.80,9.23,9.23,9.22
37.43,10.71,1.50,10.71,1.50,-1.50,-1.65,-1.81,9.21,9.21,9.21
37.81,10.71,1.53,10.71,1.52,-1.53,-1.68,-1.82,9.18,9.18,9.18
38.19,10.71,1.55,10.71,1.54,-1.55,-1.71,-1.83,9.16,9.16,9.16
38.57,10.71,1.57,10.71,1.57,-1.58,-1.73,-1.84,9.13,9.13,9.14
38.95,10.71,1.60,10.71,1.60,-1.61,-1.76,-1.86,9.10,9.10,9.11
39.34,10.71,1.65,10.71,1.64,-1.64,-1.79,-1.87,9.07,9.07,9.06
39.74,10.71,1.68,10.71,1.68,-1.67,-1.82,-1.89,9.04,9.04,9.03
40.14,10.71,1.71,10.71,1.71,-1.70,-1.85,-1.91,9.01,9.01,9.00
40.54,10.71,1.73,10.71,1.73,-1.73,-1.88,-1.92,8.98,8.98,8.98
40.94,10.71,1.77,10.71,1.76,-1.76,-1.90,-1.94,8.95,8.95,8.94
41.35,10.71,1.79,10.71,1.79,-1.79,-1.93,-1.97,8.92,8.92,8.92
41.76,10.71,1.82,10.71,1.82,-1.82,-1.96,-1.99,8.89,8.89,8.89
42.18,10.71,1.84,10.71,1.84,-1.84,-1.99,-2.01,8.87,8.87,8.87
42.60,10.71,1.87,10.71,1.87,-1.87,-2.03,-2.04,8.84,8.84,8.84
43.03,10.71,1.90,10.71,1.90,-1.90,-2.06,-2.06,8.81,8.81,8.81
43.46,10.71,1.93,10.71,1.93,-1.92,-2.09,-2.09,8.79,8.79,8.78
43.90,10.71,1.95,10.71,1.96,-1.95,-2.12,-2.12,8.76,8.76,8.76
44.33,10.71,1.99,10.71,1.98,-1.98,-2.15,-2.15,8.73,8.73,8.72
44.78,10.71,2.02,10.71,2.01,-2.01,-2.18,-2.19,8.70,8.70,8.69
45.23,10.71,2.03,10.71,2.04,-2.04,-2.22,-2.22,8.67,8.67,8.68
45.68,10.71,2.08,10.71,2.08,-2.08,-2.25,-2.26,8.63,8.63,8.63
46.13,10.71,2.12,10.71,2.11,-2.11,-2.28,-2.30,8.60,8.60,8.59
46.60,10.71,2.15,10.71,2.15,-2.14,-2.32,-2.34,8.57,8.57,8.56
47.06,10.71,2.18,10.71,2.18,-2.18,-2.35,-2.38,8.53,8.53,8.53
47.53,10.71,2.21,10.71,2.22,-2.22,-2.39,-2.42,8.49,8.49,8.50
48.01,10.71,2.27,10.71,2.26,-2.26,-2.42,-2.46,8.45,8.45,8.44
48.49,10.71,2.31,10.71,2.30,-2.31,-2.46,-2.51,8.40,8.40,8.40
48.97,10.71,2.35,10.71,2.35,-2.35,-2.49,-2.55,8.36,8.36,8.36
49.46,10.71,2.39,10.71,2.40,-2.39,-2.53,-2.60,8.32,8.32,8.32
49.96,10.71,2.45,10.71,2.44,-2.44,-2.56,-2.65,8.27,8.27,8.26
50.46,10.71,2.49,10.71,2.48,-2.48,-2.60,-2.70,8.23,8.23,8.22
50.96,10.71,2.52,10.71,2.52,-2.52,-2.64,-2.75,8.19,8.19,8.19
51.47,10.71,2.56,10.71,2.56,-2.56,-2.67,-2.80,8.15,8.15,8.15
51.99,10.71,2.61,10.71,2.60,-2.61,-2.71,-2.85,8.10,8.10,8.10
52.51,10.71,2.65,10.71,2.64,-2.65,-2.75,-2.91,8.06,8.06,8.06
53.03,10.71,2.68,10.71,2.69,-2.70,-2.79,-2.96,8.01,8.01,8.03
53.56,10.71,2.75,10.71,2.74,-2.74,-2.82,-3.01,7.97,7.97,7.96
54.10,10.71,2.80,10.71,2.79,-2.79,-2.86,-3.07,7.92,7.92,7.91
54.64,10.71,2.84,10.71,2.85,-2.84,-2.90,-3.12,7.87,7.87,7.87
55.18,10.71,2.90,10.71,2.90,-2.89,-2.94,-3.17,7.82,7.82,7.81
55.74,10.71,2.95,10.71,2.94,-2.94,-2.98,-3.22,7.77,7.77,7.76
56.29,10.71,2.99,10.71,2.99,-2.98,-3.02,-3.27,7.73,7.73,7.72
56.86,10.71,3.02,10.71,3.03,-3.02,-3.06,-3.32,7.69,7.69,7.69
57.42,10.71,3.08,10.71,3.07,-3.07,-3.10,-3.37,7.64,7.64,7.63
58.00,10.71,3.12,10.71,3.11,-3.11,-3.14,-3.41,7.60,7.60,7.59
58.58,10.71,3.15,10.71,3.15,-3.15,-3.18,-3.46,7.56,7.56,7.56
59.16,10.71,3.18,10.71,3.19,-3.20,-3.22,-3.50,7.51,7.51,7.53
59.76,10.71,3.23,10.71,3.23,-3.26,-3.26,-3.54,7.45,7.45,7.48
60.35,10.71,3.30,10.71,3.29,-3.31,-3.31,-3.58,7.40,7.40,7.41
60.96,10.71,3.35,10.71,3.35,-3.36,-3.35,-3.61,7.35,7.35,7.36
61.57,10.71,3.42,10.71,3.42,-3.41,-3.39,-3.64,7.30,7.30,7.29
62.18,10.71,3.49,10.71,3.48,-3.45,-3.43,-3.67,7.26,7.26,7.22
62.80,10.71,3.54,10.70,3.53,-3.48,-3.48,-3.70,7.23,7.22,7.17
63.43,10.67,3.56,10.66,3.55,-3.51,-3.52,-3.73,7.16,7.15,7.11
64.07,10.61,3.55,10.60,3.54,-3.54,-3.56,-3.75,7.07,7.06,7.06
64.71,10.52,3.51,10.54,3.53,-3.56,-3.60,-3.77,6.96,6.97,7.01
65.35,10.48,3.54,10.49,3.54,-3.59,-3.65,-3.79,6.89,6.90,6.94
66.01,10.48,3.60,10.47,3.59,-3.62,-3.69,-3.81,6.86,6.86,6.88
66.67,10.48,3.65,10.48,3.65,-3.66,-3.74,-3.82,6.82,6.82,6.83
67.33,10.48,3.72,10.48,3.71,-3.70,-3.78,-3.83,6.78,6.78,6.76
68.01,10.48,3.77,10.48,3.77,-3.76,-3.82,-3.85,6.72,6.72,6.71
68.69,10.48,3.84,10.48,3.83,-3.82,-3.87,-3.86,6.66,6.66,6.64
69.37,10.48,3.89,10.48,3.89,-3.89,-3.91,-3.87,6.59,6.59,6.59
70.07,10.48,3.96,10.48,3.96,-3.96,-3.96,-3.87,6.52,6.52,6.52
70.77,10.48,4.02,10.48,4.02,-4.03,-4.00,-3.88,6.45,6.45,6.46
