frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-20.31,-14.23,-20.31,-14.23,14.20,13.45,5.02,-6.11,-6.11,-6.08
20.20,-20.22,-14.13,-20.22,-14.13,14.12,13.46,5.14,-6.10,-6.10,-6.09
20.40,-20.12,-14.03,-20.13,-14.03,14.04,13.45,5.27,-6.09,-6.09,-6.09
20.61,-20.03,-13.94,-20.03,-13.93,13.95,13.44,5.40,-6.09,-6.09,-6.09
20.81,-19.93,-13.82,-19.94,-13.83,13.85,13.43,5.54,-6.08,-6.09,-6.11
21.02,-19.84,-13.73,-19.84,-13.73,13.75,13.40,5.68,-6.09,-6.09,-6.11
21.23,-19.74,-13.63,-19.74,-13.63,13.64,13.37,5.82,-6.10,-6.10,-6.11
21.44,-19.64,-13.54,-19.65,-13.54,13.53,13.33,5.97,-6.11,-6.11,-6.10
21.66,-19.54,-13.43,-19.55,-13.44,13.42,13.28,6.12,-6.12,-6.12,-6.11
21.87,-19.44,-13.34,-19.44,-13.33,13.30,13.23,6.27,-6.14,-6.13,-6.10
22.09,-19.32,-13.21,-19.31,-13.20,13.18,13.16,6.43,-6.14,-6.13,-6.11
22.31,-19.17,-13.07,-19.17,-13.07,13.05,13.10,6.60,-6.12,-6.12,-6.10
22.54,-19.02,-12.91,-19.02,-12.91,12.92,13.02,6.77,-6.11,-6.10,-6.11
22.76,-18.87,-12.77,-18.87,-12.76,12.78,12.94,6.94,-6.09,-6.09,-6.10
22.99,-18.72,-12.62,-18.73,-12.63,12.65,12.86,7.12,-6.07,-6.08,-6.10
23.22,-18.61,-12.51,-18.61,-12.51,12.53,12.77,7.30,-6.09,-6.08,-6.10
23.45,-18.50,-12.41,-18.50,-12.40,12.41,12.67,7.48,-6.09,-6.09,-6.09
23.69,-18.39,-12.30,-18.39,-12.30,12.30,12.57,7.68,-6.10,-6.10,-6.09
23.92,-18.28,-12.19,-18.28,-12.20,12.19,12.47,7.87,-6.09,-6.09,-6.09
24.16,-18.18,-12.10,-18.18,-12.10,12.09,12.36,8.07,-6.09,-6.09,-6.08
24.40,-18.08,-12.01,-18.08,-12.00,12.00,12.25,8.28,-6.08,-6.08,-6.07
24.65,-17.98,-11.91,-17.98,-11.90,11.91,12.13,8.49,-6.07,-6.07,-6.07
24.89,-17.87,-11.80,-17.88,-11.80,11.82,12.02,8.70,-6.05,-6.06,-6.07
25.14,-17.78,-11.71,-17.78,-11.71,11.73,11.89,8.92,-6.05,-6.05,-6.07
25.39,-17.69,-11.63,-17.70,-11.63,11.63,11.77,9.14,-6.06,-6.07,-6.06
25.65,-17.61,-11.55,-17.61,-11.55,11.52,11.64,9.37,-6.09,-6.09,-6.06
25.91,-17.52,-11.45,-17.51,-11.45,11.41,11.51,9.60,-6.11,-6.10,-6.07
26.16,-17.40,-11.34,-17.40,-11.34,11.30,11.38,9.83,-6.10,-6.10,-6.06
26.43,-17.26,-11.20,-17.26,-11.20,11.19,11.25,10.07,-6.07,-6.07,-6.06
26.69,-17.12,-11.06,-17.12,-11.05,11.08,11.12,10.30,-6.04,-6.04,-6.06
26.96,-16.97,-10.90,-16.99,-10.92,10.97,10.98,10.54,-6.00,-6.02,-6.07
27.23,-16.89,-10.82,-16.89,-10.82,10.86,10.84,10.77,-6.03,-6.03,-6.07
27.50,-16.81,-10.74,-16.81,-10.74,10.75,10.71,11.00,-6.06,-6.06,-6.07
27.77,-16.73,-10.67,-16.73,-10.66,10.64,10.57,11.23,-6.09,-6.10,-6.06
28.05,-16.65,-10.58,-16.63,-10.56,10.53,10.43,11.45,-6.13,-6.11,-6.07
28.33,-16.51,-10.44,-16.52,-10.44,10.41,10.29,11.67,-6.10,-6.11,-6.07
28.62,-16.38,-10.30,-16.39,-10.31,10.29,10.15,11.87,-6.09,-6.10,-6.08
28.90,-16.25,-10.18,-16.25,-10.17,10.17,10.01,12.06,-6.08,-6.08,-6.07
29.19,-16.12,-10.04,-16.12,-10.03,10.05,9.87,12.23,-6.07,-6.07,-6.08
29.48,-15.99,-9.90,-15.99,-9.90,9.93,9.73,12.39,-6.06,-6.05,-6.09
29.78,-15.86,-9.77,-15.87,-9.77,9.82,9.59,12.53,-6.04,-6.05,-6.09
30.08,-15.76,-9.67,-15.77,-9.67,9.71,9.45,12.64,-6.05,-6.06,-6.09
30.38,-15.70,-9.59,-15.71,-9.61,9.60,9.32,12.72,-6.11,-6.11,-6.11
30.68,-15.65,-9.54,-15.65,-9.53,9.48,9.18,12.78,-6.17,-6.17,-6.11
30.99,-15.59,-9.47,-15.57,-9.44,9.38,9.04,12.81,-6.22,-6.19,-6.12
31.30,-15.43,-9.30,-15.43,-9.30,9.27,8.90,12.80,-6.17,-6.16,-6.13
31.61,-15.27,-9.14,-15.27,-9.13,9.16,8.76,12.77,-6.11,-6.12,-6.13
31.93,-15.11,-8.95,-15.13,-8.98,9.04,8.62,12.70,-6.06,-6.09,-6.15
32.24,-15.01,-8.87,-15.02,-8.88,8.91,8.49,12.61,-6.10,-6.11,-6.14
32.57,-14.95,-8.80,-14.95,-8.79,8.79,8.35,12.49,-6.17,-6.16,-6.15
32.89,-14.88,-8.73,-14.86,-8.71,8.67,8.22,12.34,-6.21,-6.20,-6.15
33.22,-14.75,-8.60,-14.74,-8.59,8.56,8.08,12.17,-6.19,-6.18,-6.15
33.55,-14.59,-8.44,-14.59,-8.44,8.46,7.95,11.98,-6.13,-6.14,-6.15
33.89,-14.43,-8.29,-14.45,-8.30,8.35,7.81,11.77,-6.08,-6.10,-6.14
34.23,-14.34,-8.19,-14.36,-8.21,8.23,7.68,11.55,-6.11,-6.12,-6.15
34.57,-14.29,-8.15,-14.29,-8.15,8.12,7.55,11.31,-6.18,-6.17,-6.14
34.92,-14.23,-8.09,-14.21,-8.06,8.00,7.42,11.07,-6.23,-6.20,-6.14
35.27,-14.08,-7.95,-14.06,-7.92,7.90,7.29,10.82,-6.19,-6.17,-6.13
