frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,13.04,5.48,13.05,5.48,-5.44,-5.49,-2.58,7.60,7.60,7.56
20.20,13.04,5.49,13.04,5.48,-5.47,-5.50,-2.65,7.57,7.57,7.55
20.40,13.04,5.49,13.03,5.48,-5.49,-5.51,-2.72,7.55,7.54,7.55
20.61,13.04,5.49,13.04,5.49,-5.51,-5.52,-2.80,7.53,7.52,7.55
20.81,13.04,5.51,13.04,5.50,-5.54,-5.53,-2.88,7.50,7.50,7.53
21.02,13.04,5.51,13.06,5.52,-5.56,-5.54,-2.96,7.48,7.50,7.53
21.23,13.09,5.56,13.09,5.55,-5.58,-5.55,-3.04,7.51,7.50,7.53
21.44,13.14,5.60,13.14,5.60,-5.61,-5.56,-3.12,7.53,7.53,7.54
21.66,13.19,5.66,13.19,5.66,-5.64,-5.57,-3.21,7.55,7.55,7.53
21.87,13.24,5.70,13.24,5.70,-5.67,-5.58,-3.30,7.57,7.56,7.54
22.09,13.27,5.74,13.26,5.72,-5.70,-5.60,-3.39,7.57,7.56,7.53
22.31,13.27,5.73,13.27,5.74,-5.72,-5.61,-3.49,7.55,7.55,7.54
22.54,13.27,5.74,13.27,5.74,-5.74,-5.62,-3.58,7.53,7.54,7.53
22.76,13.27,5.74,13.27,5.74,-5.74,-5.63,-3.68,7.53,7.53,7.53
22.99,13.27,5.74,13.27,5.74,-5.74,-5.63,-3.78,7.53,7.53,7.53
23.22,13.27,5.74,13.27,5.73,-5.74,-5.64,-3.89,7.53,7.53,7.53
23.45,13.27,5.73,13.27,5.73,-5.73,-5.65,-3.99,7.54,7.54,7.54
23.69,13.27,5.73,13.27,5.73,-5.73,-5.66,-4.10,7.54,7.54,7.54
23.92,13.27,5.73,13.27,5.72,-5.72,-5.67,-4.21,7.55,7.55,7.54
24.16,13.27,5.72,13.27,5.72,-5.72,-5.68,-4.32,7.55,7.55,7.55
24.40,13.27,5.71,13.27,5.71,-5.72,-5.69,-4.44,7.56,7.56,7.56
24.65,13.27,5.71,13.27,5.71,-5.71,-5.70,-4.55,7.56,7.56,7.56
24.89,13.27,5.71,13.27,5.71,-5.71,-5.71,-4.67,7.56,7.56,7.56
25.14,13.27,5.72,13.27,5.71,-5.71,-5.72,-4.79,7.56,7.56,7.55
25.39,13.27,5.71,13.27,5.71,-5.71,-5.73,-4.91,7.56,7.56,7.56
25.65,13.27,5.71,13.27,5.71,-5.71,-5.74,-5.03,7.56,7.56,7.56
25.91,13.27,5.72,13.27,5.71,-5.71,-5.75,-5.15,7.56,7.56,7.55
26.16,13.27,5.71,13.27,5.71,-5.71,-5.76,-5.27,7.56,7.56,7.56
26.43,13.27,5.71,13.27,5.71,-5.71,-5.77,-5.39,7.56,7.56,7.56
26.69,13.27,5.71,13.27,5.71,-5.72,-5.77,-5.51,7.56,7.56,7.56
26.96,13.27,5.73,13.27,5.72,-5.72,-5.78,-5.62,7.55,7.55,7.54
27.23,13.27,5.73,13.27,5.72,-5.72,-5.79,-5.74,7.55,7.55,7.54
27.50,13.27,5.73,13.27,5.73,-5.71,-5.80,-5.85,7.56,7.56,7.54
27.77,13.27,5.72,13.27,5.72,-5.72,-5.81,-5.96,7.56,7.56,7.55
28.05,13.27,5.73,13.27,5.73,-5.72,-5.82,-6.07,7.55,7.55,7.54
28.33,13.27,5.74,13.27,5.73,-5.74,-5.83,-6.17,7.53,7.53,7.53
28.62,13.27,5.75,13.27,5.73,-5.76,-5.84,-6.27,7.51,7.50,7.52
28.90,13.27,5.74,13.28,5.76,-5.79,-5.85,-6.37,7.48,7.49,7.53
29.19,13.31,5.79,13.32,5.80,-5.83,-5.86,-6.45,7.48,7.49,7.52
29.48,13.38,5.88,13.38,5.87,-5.87,-5.87,-6.53,7.51,7.51,7.50
29.78,13.45,5.95,13.44,5.94,-5.91,-5.88,-6.61,7.54,7.53,7.50
30.08,13.50,6.00,13.49,5.99,-5.95,-5.89,-6.67,7.55,7.53,7.50
