frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,6.85,-3.47,6.84,-3.47,3.47,3.27,0.82,10.32,10.31,10.32
20.20,6.90,-3.41,6.89,-3.42,3.42,3.25,0.85,10.31,10.31,10.31
20.40,6.94,-3.37,6.94,-3.36,3.36,3.22,0.88,10.30,10.30,10.31
20.61,6.99,-3.32,6.99,-3.31,3.31,3.19,0.91,10.30,10.30,10.31
20.81,7.04,-3.25,7.04,-3.26,3.26,3.16,0.94,10.30,10.30,10.29
21.02,7.08,-3.21,7.08,-3.21,3.21,3.13,0.97,10.29,10.29,10.29
21.23,7.13,-3.16,7.13,-3.16,3.16,3.10,1.01,10.29,10.29,10.29
21.44,7.18,-3.12,7.18,-3.11,3.11,3.07,1.04,10.29,10.29,10.30
21.66,7.23,-3.06,7.23,-3.06,3.06,3.04,1.08,10.28,10.29,10.29
21.87,7.28,-3.02,7.28,-3.01,3.01,3.00,1.11,10.29,10.29,10.30
22.09,7.33,-2.96,7.33,-2.96,2.96,2.97,1.15,10.29,10.29,10.29
22.31,7.38,-2.92,7.38,-2.91,2.91,2.93,1.19,10.29,10.29,10.30
22.54,7.43,-2.86,7.43,-2.86,2.86,2.90,1.22,10.28,10.29,10.29
22.76,7.48,-2.81,7.48,-2.80,2.80,2.86,1.26,10.28,10.29,10.29
22.99,7.53,-2.76,7.54,-2.75,2.75,2.82,1.31,10.28,10.29,10.29
23.22,7.58,-2.71,7.59,-2.70,2.70,2.79,1.35,10.28,10.30,10.29
23.45,7.64,-2.66,7.64,-2.65,2.65,2.75,1.39,10.29,10.30,10.30
23.69,7.69,-2.61,7.69,-2.61,2.61,2.71,1.43,10.30,10.30,10.30
23.92,7.74,-2.56,7.73,-2.57,2.57,2.67,1.48,10.31,10.30,10.30
24.16,7.79,-2.52,7.77,-2.53,2.53,2.63,1.52,10.32,10.30,10.31
24.40,7.84,-2.48,7.82,-2.49,2.49,2.59,1.57,10.33,10.31,10.32
24.65,7.88,-2.44,7.86,-2.45,2.45,2.55,1.61,10.33,10.31,10.32
24.89,7.93,-2.39,7.90,-2.41,2.41,2.51,1.66,10.34,10.31,10.32
25.14,7.96,-2.35,7.94,-2.37,2.37,2.46,1.71,10.33,10.31,10.31
25.39,7.97,-2.35,7.97,-2.34,2.34,2.42,1.75,10.31,10.31,10.32
25.65,7.98,-2.34,8.01,-2.31,2.31,2.38,1.80,10.29,10.31,10.32
25.91,7.99,-2.32,8.03,-2.28,2.28,2.34,1.84,10.27,10.31,10.31
26.16,8.03,-2.29,8.06,-2.25,2.25,2.30,1.89,10.28,10.31,10.32
