frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-0.46,-6.79,-0.46,-6.79,6.76,6.61,2.93,6.30,6.30,6.33
20.20,-0.46,-6.78,-0.46,-6.78,6.77,6.62,3.02,6.31,6.31,6.32
20.40,-0.46,-6.78,-0.46,-6.77,6.78,6.62,3.10,6.32,6.32,6.32
20.61,-0.46,-6.78,-0.46,-6.77,6.79,6.62,3.19,6.33,6.33,6.32
20.81,-0.46,-6.76,-0.46,-6.76,6.79,6.62,3.29,6.33,6.33,6.30
21.02,-0.46,-6.76,-0.46,-6.76,6.78,6.62,3.38,6.32,6.32,6.30
21.23,-0.46,-6.76,-0.46,-6.76,6.78,6.62,3.48,6.32,6.32,6.30
21.44,-0.46,-6.77,-0.46,-6.76,6.76,6.62,3.58,6.30,6.30,6.31
21.66,-0.46,-6.76,-0.46,-6.76,6.75,6.62,3.68,6.29,6.29,6.30
21.87,-0.46,-6.77,-0.46,-6.76,6.73,6.62,3.78,6.27,6.27,6.31
22.09,-0.44,-6.74,-0.43,-6.73,6.70,6.62,3.89,6.26,6.27,6.30
22.31,-0.39,-6.69,-0.39,-6.69,6.67,6.61,4.00,6.28,6.28,6.31
22.54,-0.34,-6.64,-0.33,-6.63,6.64,6.61,4.12,6.30,6.30,6.30
22.76,-0.28,-6.58,-0.28,-6.58,6.60,6.60,4.23,6.32,6.32,6.30
22.99,-0.23,-6.53,-0.24,-6.54,6.57,6.60,4.35,6.34,6.33,6.30
23.22,-0.23,-6.53,-0.23,-6.53,6.55,6.59,4.48,6.32,6.32,6.30
23.45,-0.23,-6.54,-0.23,-6.53,6.54,6.58,4.60,6.31,6.31,6.31
23.69,-0.23,-6.54,-0.23,-6.53,6.53,6.58,4.73,6.30,6.30,6.31
23.92,-0.23,-6.54,-0.23,-6.54,6.53,6.57,4.86,6.30,6.30,6.31
24.16,-0.23,-6.55,-0.23,-6.55,6.54,6.56,4.99,6.31,6.31,6.32
24.40,-0.23,-6.56,-0.23,-6.55,6.54,6.55,5.13,6.31,6.31,6.33
24.65,-0.23,-6.56,-0.23,-6.55,6.55,6.54,5.27,6.32,6.32,6.33
24.89,-0.23,-6.56,-0.23,-6.55,6.55,6.53,5.41,6.32,6.32,6.33
25.14,-0.23,-6.55,-0.23,-6.55,6.56,6.52,5.55,6.33,6.33,6.32
25.39,-0.23,-6.56,-0.23,-6.55,6.56,6.51,5.69,6.33,6.33,6.33
25.65,-0.23,-6.56,-0.23,-6.55,6.55,6.50,5.83,6.32,6.32,6.33
25.91,-0.23,-6.55,-0.23,-6.55,6.55,6.49,5.97,6.32,6.32,6.32
26.16,-0.23,-6.56,-0.23,-6.55,6.55,6.47,6.12,6.32,6.32,6.33
26.43,-0.23,-6.56,-0.23,-6.55,6.55,6.46,6.26,6.32,6.32,6.33
26.69,-0.23,-6.56,-0.23,-6.55,6.55,6.45,6.40,6.32,6.32,6.33
26.96,-0.23,-6.54,-0.23,-6.54,6.55,6.43,6.54,6.32,6.32,6.31
27.23,-0.23,-6.54,-0.23,-6.54,6.55,6.42,6.68,6.32,6.32,6.31
27.50,-0.23,-6.54,-0.23,-6.54,6.55,6.41,6.81,6.32,6.32,6.31
27.77,-0.23,-6.55,-0.23,-6.54,6.55,6.39,6.95,6.32,6.32,6.32
28.05,-0.23,-6.54,-0.23,-6.53,6.54,6.38,7.07,6.31,6.31,6.31
28.33,-0.23,-6.53,-0.23,-6.53,6.53,6.36,7.19,6.30,6.29,6.30
28.62,-0.23,-6.52,-0.23,-6.53,6.50,6.35,7.30,6.27,6.27,6.29
28.90,-0.23,-6.53,-0.22,-6.51,6.48,6.33,7.41,6.25,6.26,6.30
29.19,-0.19,-6.48,-0.18,-6.47,6.44,6.32,7.50,6.25,6.26,6.29
