frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,13.04,4.56,13.08,4.60,-4.60,-4.59,-1.81,8.44,8.48,8.48
20.20,13.04,4.57,13.07,4.60,-4.60,-4.58,-1.86,8.45,8.47,8.47
20.40,13.04,4.57,13.06,4.59,-4.59,-4.58,-1.92,8.45,8.47,8.47
20.61,13.04,4.57,13.05,4.58,-4.58,-4.57,-1.97,8.46,8.46,8.47
20.81,13.04,4.59,13.04,4.58,-4.58,-4.56,-2.03,8.46,8.46,8.45
21.02,13.04,4.59,13.02,4.57,-4.57,-4.55,-2.09,8.47,8.46,8.45
21.23,13.04,4.59,13.01,4.56,-4.56,-4.54,-2.15,8.48,8.45,8.45
21.44,13.04,4.58,13.00,4.55,-4.55,-4.53,-2.22,8.49,8.45,8.46
21.66,13.04,4.59,12.99,4.54,-4.54,-4.52,-2.28,8.50,8.45,8.45
21.87,13.04,4.59,12.97,4.53,-4.53,-4.51,-2.35,8.51,8.45,8.45
22.09,13.02,4.58,12.96,4.51,-4.51,-4.50,-2.41,8.51,8.45,8.44
22.31,12.97,4.52,12.95,4.50,-4.50,-4.49,-2.48,8.47,8.45,8.45
22.54,12.92,4.48,12.93,4.48,-4.48,-4.47,-2.56,8.44,8.45,8.44
22.76,12.87,4.42,12.91,4.46,-4.46,-4.46,-2.63,8.41,8.45,8.45
22.99,12.82,4.37,12.89,4.44,-4.44,-4.44,-2.70,8.38,8.45,8.45
23.22,12.82,4.37,12.88,4.43,-4.43,-4.43,-2.78,8.39,8.45,8.45
23.45,12.82,4.36,12.86,4.41,-4.41,-4.41,-2.86,8.41,8.46,8.46
23.69,12.82,4.37,12.84,4.39,-4.39,-4.40,-2.94,8.43,8.46,8.46
23.92,12.82,4.37,12.82,4.36,-4.36,-4.38,-3.02,8.46,8.46,8.45
24.16,12.82,4.36,12.80,4.34,-4.34,-4.36,-3.11,8.48,8.46,8.46
24.40,12.82,4.35,12.78,4.32,-4.32,-4.35,-3.19,8.50,8.46,8.47
24.65,12.82,4.35,12.76,4.30,-4.30,-4.33,-3.28,8.52,8.47,8.47
24.89,12.82,4.35,12.75,4.28,-4.28,-4.31,-3.36,8.54,8.47,8.47
25.14,12.79,4.32,12.73,4.26,-4.26,-4.29,-3.45,8.53,8.47,8.47
25.39,12.73,4.26,12.72,4.25,-4.25,-4.27,-3.54,8.48,8.47,8.47
