frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,1.15,-6.01,1.15,-6.01,6.01,5.69,1.93,7.16,7.16,7.16
20.20,1.20,-5.95,1.19,-5.96,5.96,5.67,1.99,7.15,7.15,7.15
20.40,1.24,-5.91,1.24,-5.91,5.91,5.65,2.05,7.14,7.15,7.15
20.61,1.29,-5.86,1.29,-5.85,5.85,5.63,2.11,7.14,7.14,7.15
20.81,1.34,-5.79,1.34,-5.80,5.80,5.61,2.18,7.14,7.14,7.13
21.02,1.38,-5.75,1.38,-5.75,5.75,5.59,2.24,7.13,7.14,7.13
21.23,1.43,-5.70,1.43,-5.70,5.70,5.56,2.31,7.13,7.13,7.13
21.44,1.48,-5.66,1.48,-5.65,5.65,5.54,2.38,7.13,7.13,7.14
21.66,1.53,-5.60,1.53,-5.60,5.60,5.51,2.45,7.13,7.13,7.13
21.87,1.58,-5.56,1.58,-5.55,5.55,5.48,2.53,7.13,7.13,7.14
22.09,1.63,-5.50,1.63,-5.50,5.50,5.45,2.60,7.13,7.13,7.13
22.31,1.68,-5.46,1.68,-5.45,5.45,5.42,2.68,7.13,7.13,7.14
22.54,1.73,-5.40,1.73,-5.40,5.40,5.39,2.76,7.13,7.13,7.13
22.76,1.79,-5.34,1.78,-5.35,5.35,5.36,2.84,7.14,7.13,7.13
22.99,1.84,-5.29,1.84,-5.30,5.30,5.33,2.92,7.13,7.13,7.13
23.22,1.89,-5.24,1.89,-5.24,5.24,5.29,3.01,7.13,7.14,7.13
23.45,1.94,-5.20,1.95,-5.19,5.19,5.26,3.10,7.13,7.14,7.14
23.69,1.99,-5.15,2.00,-5.14,5.14,5.23,3.19,7.13,7.14,7.14
23.92,2.04,-5.10,2.05,-5.09,5.09,5.19,3.28,7.13,7.14,7.14
24.16,2.10,-5.05,2.10,-5.05,5.05,5.15,3.37,7.15,7.15,7.15
24.40,2.15,-5.01,2.14,-5.01,5.01,5.11,3.46,7.15,7.15,7.16
24.65,2.21,-4.95,2.19,-4.97,4.97,5.08,3.56,7.17,7.15,7.16
24.89,2.27,-4.89,2.23,-4.93,4.93,5.04,3.65,7.20,7.15,7.16
25.14,2.30,-4.85,2.27,-4.89,4.89,5.00,3.75,7.19,7.16,7.15
25.39,2.33,-4.83,2.30,-4.85,4.85,4.96,3.85,7.18,7.16,7.16
25.65,2.35,-4.81,2.34,-4.82,4.82,4.91,3.94,7.16,7.16,7.16
25.91,2.37,-4.78,2.38,-4.78,4.78,4.87,4.04,7.14,7.16,7.15
26.16,2.40,-4.76,2.42,-4.73,4.73,4.83,4.14,7.13,7.15,7.16
26.43,2.44,-4.72,2.47,-4.69,4.69,4.79,4.23,7.13,7.15,7.16
26.69,2.48,-4.68,2.51,-4.64,4.64,4.74,4.32,7.12,7.15,7.16
26.96,2.51,-4.63,2.56,-4.59,4.59,4.70,4.42,7.10,7.15,7.14
27.23,2.57,-4.57,2.60,-4.54,4.54,4.65,4.51,7.11,7.15,7.14
27.50,2.64,-4.50,2.65,-4.50,4.50,4.60,4.59,7.13,7.14,7.14
27.77,2.70,-4.45,2.69,-4.45,4.45,4.56,4.67,7.15,7.14,7.15
28.05,2.76,-4.38,2.74,-4.40,4.40,4.51,4.75,7.16,7.14,7.14
28.33,2.82,-4.31,2.79,-4.34,4.34,4.46,4.83,7.16,7.13,7.13
28.62,2.89,-4.23,2.84,-4.28,4.28,4.41,4.89,7.17,7.13,7.12
28.90,2.95,-4.18,2.89,-4.23,4.23,4.37,4.96,7.18,7.12,7.13
29.19,2.97,-4.15,2.93,-4.18,4.18,4.32,5.01,7.15,7.11,7.12
29.48,2.97,-4.13,2.97,-4.13,4.13,4.27,5.06,7.10,7.10,7.10
29.78,2.97,-4.13,3.01,-4.09,4.09,4.22,5.10,7.06,7.10,7.10
30.08,2.99,-4.11,3.05,-4.04,4.04,4.17,5.13,7.03,7.09,7.10
30.38,3.06,-4.02,3.08,-3.99,3.99,4.11,5.16,7.05,7.08,7.08
30.68,3.13,-3.94,3.12,-3.95,3.95,4.06,5.17,7.08,7.07,7.07
30.99,3.20,-3.86,3.15,-3.91,3.91,4.01,5.18,7.11,7.06,7.06
31.30,3.20,-3.85,3.18,-3.87,3.87,3.96,5.17,7.07,7.05,7.05
31.61,3.20,-3.84,3.21,-3.83,3.83,3.91,5.16,7.03,7.04,7.04
31.93,3.20,-3.82,3.24,-3.79,3.79,3.85,5.14,6.99,7.03,7.02
32.24,3.26,-3.77,3.28,-3.74,3.74,3.80,5.11,7.00,7.03,7.03
32.57,3.33,-3.68,3.32,-3.70,3.70,3.75,5.07,7.02,7.02,7.01
32.89,3.41,-3.60,3.36,-3.65,3.65,3.69,5.02,7.06,7.02,7.01
33.22,3.43,-3.58,3.40,-3.61,3.61,3.64,4.96,7.04,7.01,7.01
33.55,3.43,-3.57,3.43,-3.57,3.57,3.59,4.90,7.00,7.01,7.00
33.89,3.43,-3.58,3.47,-3.53,3.53,3.53,4.83,6.96,7.00,7.01
34.23,3.48,-3.51,3.51,-3.48,3.48,3.48,4.75,6.96,7.00,6.99
34.57,3.56,-3.44,3.56,-3.44,3.44,3.42,4.67,6.99,6.99,7.00
34.92,3.64,-3.35,3.60,-3.38,3.38,3.37,4.58,7.02,6.99,6.99
35.27,3.66,-3.34,3.64,-3.34,3.34,3.31,4.49,7.00,6.98,7.00
35.62,3.66,-3.31,3.68,-3.30,3.30,3.25,4.40,6.95,6.98,6.97
35.97,3.66,-3.31,3.71,-3.26,3.26,3.20,4.30,6.92,6.97,6.97
36.33,3.74,-3.22,3.74,-3.21,3.21,3.14,4.19,6.95,6.95,6.96
36.70,3.82,-3.12,3.78,-3.16,3.16,3.09,4.09,6.98,6.94,6.94
37.06,3.89,-3.03,3.81,-3.10,3.10,3.03,3.98,6.99,6.92,6.92
37.43,3.89,-3.02,3.85,-3.05,3.05,2.97,3.88,6.93,6.90,6.91
37.81,3.89,-2.99,3.89,-2.99,2.99,2.92,3.77,6.88,6.88,6.88
38.19,3.89,-2.97,3.92,-2.93,2.93,2.86,3.66,6.82,6.85,6.86
38.57,3.89,-2.95,3.95,-2.88,2.88,2.80,3.55,6.77,6.83,6.84
38.95,3.89,-2.92,3.97,-2.83,2.83,2.75,3.44,6.72,6.80,6.81
39.34,3.97,-2.79,3.99,-2.78,2.78,2.69,3.33,6.75,6.77,6.76
39.74,4.05,-2.68,4.01,-2.73,2.73,2.63,3.22,6.78,6.74,6.73
40.14,4.11,-2.59,4.03,-2.68,2.68,2.57,3.12,6.79,6.71,6.70
40.54,4.11,-2.57,4.05,-2.63,2.63,2.52,3.01,6.74,6.68,6.68
40.94,4.11,-2.53,4.08,-2.58,2.58,2.46,2.90,6.68,6.65,6.64
41.35,4.11,-2.51,4.10,-2.52,2.52,2.40,2.80,6.63,6.62,6.62
41.76,4.11,-2.48,4.13,-2.46,2.46,2.34,2.70,6.57,6.59,6.59
42.18,4.11,-2.46,4.16,-2.40,2.40,2.29,2.60,6.51,6.56,6.57
42.60,4.11,-2.43,4.18,-2.35,2.35,2.23,2.50,6.46,6.54,6.54
43.03,4.12,-2.39,4.20,-2.31,2.31,2.17,2.40,6.43,6.51,6.51
43.46,4.22,-2.26,4.22,-2.26,2.26,2.11,2.31,6.48,6.48,6.48
43.90,4.32,-2.14,4.24,-2.22,2.22,2.05,2.21,6.53,6.45,6.46
44.33,4.34,-2.08,4.26,-2.16,2.16,2.00,2.12,6.50,6.42,6.42
44.78,4.34,-2.05,4.29,-2.11,2.11,1.94,2.03,6.44,6.39,6.39
45.23,4.34,-2.04,4.32,-2.04,2.04,1.88,1.94,6.38,6.36,6.38
45.68,4.34,-1.99,4.36,-1.97,1.97,1.82,1.85,6.31,6.33,6.33
46.13,4.34,-1.95,4.39,-1.91,1.91,1.76,1.77,6.24,6.29,6.29
46.60,4.34,-1.92,4.42,-1.84,1.84,1.70,1.68,6.18,6.26,6.26
47.06,4.35,-1.88,4.44,-1.78,1.78,1.65,1.60,6.13,6.22,6.23
47.53,4.46,-1.74,4.46,-1.72,1.72,1.59,1.52,6.18,6.18,6.20
48.01,4.57,-1.57,4.47,-1.67,1.67,1.53,1.44,6.24,6.14,6.14
48.49,4.57,-1.53,4.49,-1.61,1.61,1.47,1.36,6.18,6.10,6.10
48.97,4.57,-1.49,4.51,-1.55,1.55,1.41,1.29,6.12,6.06,6.06
49.46,4.57,-1.45,4.54,-1.48,1.48,1.35,1.21,6.05,6.02,6.02
49.96,4.57,-1.39,4.57,-1.41,1.41,1.29,1.14,5.98,5.98,5.96
50.46,4.57,-1.35,4.60,-1.33,1.33,1.24,1.07,5.90,5.93,5.92
50.96,4.57,-1.32,4.63,-1.26,1.26,1.18,1.00,5.83,5.89,5.89
51.47,4.57,-1.28,4.66,-1.19,1.19,1.12,0.93,5.76,5.84,5.85
51.99,4.57,-1.23,4.68,-1.12,1.12,1.06,0.86,5.69,5.80,5.80
52.51,4.69,-1.07,4.70,-1.05,1.05,1.00,0.79,5.74,5.75,5.76
53.03,4.80,-0.93,4.71,-0.99,0.99,0.94,0.72,5.79,5.70,5.73
53.56,4.80,-0.86,4.73,-0.93,0.93,0.88,0.66,5.73,5.66,5.66
54.10,4.80,-0.81,4.74,-0.87,0.87,0.82,0.59,5.67,5.61,5.61
54.64,4.80,-0.77,4.75,-0.81,0.81,0.76,0.53,5.61,5.57,5.57
55.18,4.80,-0.71,4.77,-0.76,0.76,0.71,0.47,5.56,5.52,5.51
55.74,4.80,-0.66,4.78,-0.70,0.70,0.65,0.41,5.50,5.48,5.46
56.29,4.80,-0.62,4.80,-0.64,0.64,0.59,0.35,5.44,5.44,5.42
56.86,4.80,-0.59,4.81,-0.58,0.58,0.53,0.29,5.37,5.39,5.39
57.42,4.80,-0.53,4.83,-0.51,0.51,0.47,0.23,5.31,5.34,5.33
58.00,4.80,-0.49,4.84,-0.45,0.45,0.41,0.17,5.25,5.30,5.29
58.58,4.80,-0.46,4.85,-0.40,0.40,0.35,0.11,5.20,5.25,5.26
59.16,4.80,-0.43,4.87,-0.33,0.33,0.29,0.06,5.13,5.20,5.23
59.76,4.80,-0.38,4.89,-0.26,0.26,0.23,0.00,5.06,5.15,5.18
60.35,4.88,-0.23,4.91,-0.19,0.19,0.17,-0.05,5.07,5.10,5.11
60.96,5.02,-0.04,4.93,-0.11,0.11,0.11,-0.11,5.13,5.05,5.06
61.57,5.03,0.04,4.95,-0.04,0.04,0.05,-0.16,5.07,4.99,4.99
62.18,5.03,0.11,4.97,0.04,-0.04,-0.01,-0.21,4.99,4.94,4.92
62.80,5.03,0.16,4.99,0.11,-0.11,-0.07,-0.27,4.91,4.88,4.87
63.43,5.03,0.22,5.01,0.19,-0.19,-0.13,-0.32,4.84,4.82,4.81
64.07,5.03,0.27,5.03,0.26,-0.26,-0.19,-0.37,4.77,4.76,4.76
64.71,5.03,0.32,5.04,0.33,-0.33,-0.25,-0.42,4.70,4.70,4.71
65.35,5.03,0.39,5.04,0.40,-0.40,-0.31,-0.47,4.63,4.64,4.64
