frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,13.00,2.50,13.00,2.50,-2.50,-2.96,-1.07,10.49,10.49,10.50
20.20,13.00,2.51,13.00,2.51,-2.51,-2.96,-1.10,10.49,10.49,10.49
20.40,13.00,2.51,13.00,2.51,-2.51,-2.95,-1.13,10.48,10.48,10.49
20.61,13.00,2.51,13.00,2.52,-2.52,-2.94,-1.16,10.48,10.48,10.49
20.81,13.00,2.53,13.00,2.52,-2.52,-2.92,-1.20,10.48,10.48,10.47
21.02,13.00,2.53,13.00,2.52,-2.52,-2.90,-1.23,10.47,10.47,10.47
21.23,13.00,2.53,13.00,2.53,-2.53,-2.87,-1.27,10.47,10.47,10.47
21.44,13.00,2.52,13.00,2.53,-2.53,-2.84,-1.30,10.47,10.47,10.48
21.66,13.00,2.53,13.00,2.53,-2.53,-2.80,-1.34,10.47,10.47,10.47
21.87,13.00,2.52,13.00,2.53,-2.53,-2.77,-1.38,10.47,10.47,10.48
22.09,13.00,2.53,13.00,2.53,-2.53,-2.73,-1.42,10.47,10.47,10.47
22.31,13.00,2.52,13.00,2.53,-2.53,-2.69,-1.46,10.47,10.47,10.48
22.54,13.00,2.53,13.00,2.53,-2.53,-2.66,-1.50,10.47,10.47,10.47
22.76,13.00,2.53,13.00,2.53,-2.53,-2.62,-1.54,10.47,10.47,10.47
22.99,13.00,2.53,13.00,2.53,-2.53,-2.58,-1.59,10.47,10.47,10.47
23.22,13.00,2.53,13.00,2.52,-2.52,-2.55,-1.63,10.48,10.48,10.47
23.45,13.00,2.52,13.00,2.52,-2.52,-2.52,-1.68,10.48,10.48,10.48
23.69,13.00,2.52,13.00,2.52,-2.52,-2.48,-1.72,10.48,10.48,10.48
23.92,13.00,2.52,13.00,2.52,-2.52,-2.45,-1.77,10.48,10.48,10.48
24.16,13.00,2.51,13.00,2.51,-2.51,-2.42,-1.82,10.49,10.49,10.49
24.40,13.00,2.50,13.00,2.51,-2.51,-2.40,-1.87,10.49,10.49,10.50
24.65,13.00,2.50,13.00,2.51,-2.51,-2.37,-1.92,10.49,10.49,10.50
24.89,13.00,2.50,13.00,2.51,-2.51,-2.35,-1.97,10.49,10.49,10.50
25.14,13.00,2.51,13.00,2.50,-2.50,-2.33,-2.02,10.49,10.49,10.49
25.39,13.00,2.50,13.00,2.50,-2.50,-2.31,-2.07,10.49,10.49,10.50
25.65,13.00,2.50,13.00,2.50,-2.50,-2.29,-2.12,10.50,10.50,10.50
25.91,13.00,2.51,13.00,2.50,-2.50,-2.28,-2.17,10.49,10.49,10.49
26.16,13.00,2.50,13.00,2.50,-2.50,-2.27,-2.22,10.49,10.49,10.50
26.43,13.00,2.50,13.00,2.51,-2.51,-2.26,-2.27,10.49,10.49,10.50
26.69,13.00,2.50,13.00,2.51,-2.51,-2.25,-2.32,10.49,10.49,10.50
26.96,13.00,2.52,13.00,2.51,-2.51,-2.24,-2.37,10.49,10.49,10.48
27.23,13.00,2.52,13.00,2.52,-2.52,-2.24,-2.42,10.48,10.48,10.48
27.50,13.00,2.52,13.01,2.53,-2.53,-2.23,-2.47,10.47,10.48,10.48
27.77,13.00,2.51,13.01,2.53,-2.53,-2.23,-2.52,10.46,10.48,10.49
28.05,13.00,2.52,13.01,2.54,-2.54,-2.23,-2.56,10.46,10.47,10.48
28.33,13.00,2.53,13.01,2.54,-2.54,-2.23,-2.61,10.46,10.47,10.47
28.62,13.00,2.54,13.00,2.54,-2.54,-2.23,-2.65,10.46,10.46,10.46
28.90,13.00,2.53,12.99,2.53,-2.53,-2.24,-2.69,10.47,10.46,10.47
29.19,13.00,2.54,12.97,2.52,-2.52,-2.24,-2.72,10.47,10.45,10.46
29.48,13.00,2.56,12.96,2.51,-2.51,-2.25,-2.76,10.48,10.44,10.44
29.78,13.00,2.56,12.94,2.50,-2.50,-2.26,-2.79,10.50,10.43,10.44
30.08,12.98,2.54,12.92,2.49,-2.49,-2.27,-2.82,10.49,10.43,10.44
30.38,12.92,2.50,12.90,2.48,-2.48,-2.28,-2.84,10.44,10.42,10.42
30.68,12.85,2.44,12.88,2.47,-2.47,-2.29,-2.87,10.38,10.41,10.41
30.99,12.78,2.38,12.85,2.46,-2.46,-2.30,-2.89,10.32,10.40,10.40
31.30,12.78,2.39,12.83,2.45,-2.45,-2.31,-2.90,10.33,10.39,10.39
31.61,12.78,2.40,12.82,2.44,-2.44,-2.32,-2.92,10.34,10.38,10.38
31.93,12.78,2.42,12.80,2.43,-2.43,-2.34,-2.93,10.35,10.37,10.36
32.24,12.78,2.41,12.78,2.42,-2.42,-2.35,-2.94,10.36,10.36,10.37
32.57,12.78,2.43,12.77,2.41,-2.41,-2.37,-2.94,10.36,10.36,10.35
32.89,12.78,2.43,12.77,2.41,-2.41,-2.39,-2.94,10.37,10.35,10.35
33.22,12.78,2.43,12.76,2.41,-2.41,-2.40,-2.94,10.36,10.35,10.35
33.55,12.78,2.44,12.76,2.42,-2.42,-2.42,-2.94,10.36,10.34,10.34
33.89,12.78,2.43,12.77,2.43,-2.43,-2.44,-2.93,10.35,10.34,10.35
34.23,12.78,2.45,12.78,2.44,-2.44,-2.46,-2.93,10.34,10.34,10.33
34.57,12.78,2.44,12.79,2.45,-2.45,-2.48,-2.92,10.32,10.33,10.34
34.92,12.78,2.45,12.79,2.47,-2.47,-2.50,-2.91,10.31,10.33,10.33
35.27,12.78,2.44,12.80,2.47,-2.47,-2.52,-2.90,10.30,10.32,10.34
35.62,12.78,2.47,12.79,2.48,-2.48,-2.54,-2.89,10.30,10.31,10.31
35.97,12.78,2.47,12.79,2.48,-2.48,-2.57,-2.87,10.30,10.30,10.31
36.33,12.78,2.48,12.77,2.48,-2.48,-2.59,-2.86,10.29,10.29,10.30
36.70,12.78,2.50,12.76,2.48,-2.48,-2.61,-2.84,10.29,10.28,10.28
37.06,12.78,2.52,12.74,2.49,-2.49,-2.64,-2.83,10.29,10.26,10.26
37.43,12.78,2.53,12.72,2.49,-2.49,-2.66,-2.82,10.29,10.24,10.25
37.81,12.78,2.56,12.70,2.49,-2.49,-2.68,-2.80,10.29,10.21,10.22
