frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,0.05,-3.52,0.03,-3.56,3.56,3.39,1.97,3.61,3.59,3.57
20.20,0.05,-3.56,0.04,-3.58,3.58,3.42,2.02,3.63,3.62,3.61
20.40,0.05,-3.59,0.05,-3.60,3.60,3.45,2.08,3.65,3.65,3.64
20.61,0.05,-3.62,0.06,-3.62,3.62,3.49,2.14,3.67,3.68,3.67
20.81,0.05,-3.66,0.06,-3.64,3.64,3.52,2.21,3.69,3.70,3.71
21.02,0.05,-3.70,0.07,-3.66,3.66,3.55,2.27,3.71,3.72,3.75
21.23,0.05,-3.71,0.07,-3.68,3.68,3.58,2.34,3.73,3.75,3.76
21.44,0.05,-3.73,0.07,-3.70,3.70,3.62,2.41,3.75,3.77,3.78
21.66,0.05,-3.75,0.06,-3.72,3.72,3.65,2.48,3.77,3.79,3.80
21.87,0.05,-3.76,0.06,-3.75,3.75,3.68,2.55,3.80,3.80,3.81
22.09,0.05,-3.78,0.05,-3.77,3.77,3.71,2.62,3.82,3.82,3.83
22.31,0.05,-3.78,0.04,-3.79,3.79,3.74,2.70,3.85,3.83,3.83
22.54,0.05,-3.79,0.02,-3.82,3.82,3.77,2.78,3.87,3.84,3.84
22.76,0.05,-3.79,0.00,-3.85,3.85,3.80,2.86,3.90,3.85,3.85
22.99,0.05,-3.79,-0.02,-3.87,3.87,3.83,2.94,3.93,3.86,3.84
23.22,0.00,-3.85,-0.04,-3.90,3.90,3.86,3.03,3.90,3.86,3.85
23.45,-0.06,-3.92,-0.06,-3.93,3.93,3.88,3.11,3.87,3.87,3.86
23.69,-0.11,-3.98,-0.08,-3.96,3.96,3.91,3.20,3.85,3.87,3.87
23.92,-0.16,-4.04,-0.10,-3.98,3.98,3.94,3.29,3.82,3.88,3.88
24.16,-0.18,-4.07,-0.12,-4.01,4.01,3.96,3.38,3.83,3.88,3.89
24.40,-0.18,-4.08,-0.14,-4.03,4.03,3.99,3.47,3.85,3.88,3.90
24.65,-0.18,-4.07,-0.16,-4.05,4.05,4.01,3.57,3.87,3.89,3.89
24.89,-0.18,-4.07,-0.17,-4.06,4.06,4.04,3.66,3.88,3.89,3.89
25.14,-0.18,-4.07,-0.18,-4.07,4.07,4.06,3.76,3.89,3.89,3.89
25.39,-0.18,-4.07,-0.19,-4.08,4.08,4.08,3.85,3.90,3.89,3.89
25.65,-0.18,-4.06,-0.19,-4.07,4.07,4.10,3.95,3.89,3.89,3.88
25.91,-0.18,-4.05,-0.18,-4.06,4.06,4.12,4.05,3.88,3.89,3.87
26.16,-0.18,-4.06,-0.17,-4.06,4.06,4.14,4.14,3.88,3.88,3.88
26.43,-0.18,-4.06,-0.17,-4.05,4.05,4.16,4.24,3.87,3.88,3.88
26.69,-0.18,-4.06,-0.18,-4.05,4.05,4.18,4.33,3.87,3.88,3.88
26.96,-0.18,-4.06,-0.19,-4.06,4.06,4.19,4.42,3.88,3.87,3.88
27.23,-0.18,-4.06,-0.20,-4.07,4.07,4.21,4.51,3.89,3.87,3.88
27.50,-0.18,-4.06,-0.22,-4.09,4.09,4.23,4.60,3.91,3.87,3.88
27.77,-0.18,-4.04,-0.24,-4.10,4.10,4.24,4.69,3.92,3.87,3.86
28.05,-0.19,-4.05,-0.25,-4.12,4.12,4.25,4.77,3.93,3.87,3.86
28.33,-0.25,-4.10,-0.27,-4.13,4.13,4.26,4.84,3.88,3.86,3.85
28.62,-0.32,-4.18,-0.28,-4.14,4.14,4.27,4.91,3.83,3.86,3.86
28.90,-0.38,-4.24,-0.31,-4.16,4.16,4.28,4.98,3.78,3.86,3.86
29.19,-0.40,-4.25,-0.33,-4.19,4.19,4.29,5.04,3.79,3.85,3.85
29.48,-0.40,-4.25,-0.37,-4.22,4.22,4.30,5.09,3.82,3.85,3.85
29.78,-0.40,-4.25,-0.40,-4.25,4.25,4.31,5.14,3.85,3.85,3.85
30.08,-0.40,-4.25,-0.43,-4.27,4.27,4.31,5.18,3.87,3.84,3.85
30.38,-0.40,-4.24,-0.46,-4.30,4.30,4.32,5.21,3.90,3.84,3.84
30.68,-0.40,-4.24,-0.48,-4.31,4.31,4.32,5.23,3.91,3.83,3.84
30.99,-0.40,-4.22,-0.49,-4.32,4.32,4.32,5.25,3.92,3.83,3.82
31.30,-0.47,-4.29,-0.50,-4.32,4.32,4.32,5.26,3.85,3.82,3.82
31.61,-0.54,-4.36,-0.49,-4.30,4.30,4.32,5.26,3.76,3.82,3.82
31.93,-0.61,-4.41,-0.46,-4.27,4.27,4.32,5.25,3.66,3.81,3.81
32.24,-0.57,-4.36,-0.43,-4.23,4.23,4.31,5.23,3.66,3.80,3.79
32.57,-0.50,-4.29,-0.39,-4.19,4.19,4.31,5.21,3.69,3.80,3.79
