frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,7.31,5.63,7.31,5.61,-5.61,-4.71,-2.36,1.70,1.70,1.68
20.20,7.31,5.59,7.31,5.58,-5.58,-4.81,-2.42,1.73,1.73,1.72
20.40,7.31,5.56,7.31,5.55,-5.55,-4.90,-2.49,1.76,1.76,1.75
20.61,7.31,5.53,7.31,5.53,-5.53,-5.00,-2.56,1.78,1.78,1.78
20.81,7.31,5.49,7.31,5.50,-5.50,-5.08,-2.64,1.81,1.81,1.82
21.02,7.31,5.45,7.31,5.48,-5.48,-5.17,-2.71,1.83,1.83,1.86
21.23,7.31,5.44,7.31,5.46,-5.46,-5.24,-2.79,1.85,1.85,1.87
21.44,7.31,5.42,7.31,5.44,-5.44,-5.32,-2.87,1.87,1.87,1.89
21.66,7.31,5.40,7.31,5.42,-5.42,-5.38,-2.95,1.89,1.89,1.91
21.87,7.31,5.39,7.31,5.40,-5.40,-5.44,-3.04,1.91,1.91,1.92
22.09,7.31,5.38,7.31,5.39,-5.39,-5.50,-3.13,1.92,1.92,1.93
22.31,7.31,5.38,7.31,5.37,-5.37,-5.54,-3.21,1.94,1.94,1.93
22.54,7.31,5.37,7.31,5.36,-5.36,-5.58,-3.31,1.95,1.95,1.94
22.76,7.31,5.36,7.31,5.35,-5.35,-5.61,-3.40,1.96,1.96,1.95
22.99,7.31,5.36,7.31,5.35,-5.35,-5.63,-3.49,1.96,1.96,1.95
23.22,7.31,5.35,7.31,5.34,-5.34,-5.65,-3.59,1.97,1.97,1.96
23.45,7.31,5.34,7.31,5.33,-5.33,-5.66,-3.69,1.97,1.97,1.97
23.69,7.31,5.33,7.31,5.33,-5.33,-5.66,-3.79,1.98,1.98,1.98
23.92,7.31,5.32,7.31,5.32,-5.32,-5.65,-3.90,1.98,1.98,1.99
24.16,7.31,5.31,7.31,5.32,-5.32,-5.64,-4.00,1.99,1.99,2.00
24.40,7.31,5.30,7.31,5.32,-5.32,-5.62,-4.11,1.99,1.99,2.01
24.65,7.31,5.31,7.31,5.31,-5.31,-5.59,-4.22,1.99,1.99,2.00
24.89,7.31,5.31,7.31,5.31,-5.31,-5.56,-4.33,2.00,2.00,2.00
25.14,7.31,5.31,7.31,5.31,-5.31,-5.53,-4.44,2.00,2.00,2.00
25.39,7.31,5.31,7.31,5.31,-5.31,-5.49,-4.55,2.00,2.00,2.00
25.65,7.31,5.31,7.31,5.31,-5.31,-5.45,-4.66,2.00,2.00,2.00
25.91,7.31,5.33,7.31,5.31,-5.31,-5.41,-4.77,2.00,2.00,1.98
26.16,7.31,5.32,7.31,5.32,-5.32,-5.36,-4.89,1.99,1.99,1.99
26.43,7.31,5.32,7.32,5.32,-5.32,-5.31,-5.00,1.98,1.99,1.99
26.69,7.31,5.32,7.32,5.33,-5.33,-5.26,-5.11,1.97,1.99,1.99
26.96,7.31,5.32,7.32,5.34,-5.34,-5.22,-5.21,1.97,1.98,1.99
27.23,7.31,5.32,7.32,5.34,-5.34,-5.17,-5.32,1.97,1.98,1.99
27.50,7.31,5.32,7.32,5.34,-5.34,-5.12,-5.42,1.97,1.98,1.99
27.77,7.31,5.33,7.31,5.33,-5.33,-5.07,-5.52,1.98,1.98,1.98
28.05,7.31,5.33,7.29,5.32,-5.32,-5.03,-5.62,1.99,1.98,1.98
28.33,7.31,5.35,7.28,5.30,-5.30,-4.98,-5.71,2.00,1.97,1.96
28.62,7.31,5.34,7.26,5.29,-5.29,-4.94,-5.79,2.02,1.97,1.97
28.90,7.31,5.34,7.24,5.27,-5.27,-4.89,-5.87,2.04,1.97,1.97
29.19,7.27,5.31,7.22,5.25,-5.25,-4.85,-5.95,2.02,1.97,1.96
29.48,7.20,5.23,7.19,5.23,-5.23,-4.81,-6.01,1.97,1.96,1.97
29.78,7.13,5.16,7.17,5.21,-5.21,-4.77,-6.07,1.92,1.96,1.97
30.08,7.08,5.11,7.15,5.20,-5.20,-4.74,-6.12,1.88,1.95,1.97
30.38,7.08,5.13,7.13,5.18,-5.18,-4.71,-6.16,1.90,1.95,1.95
30.68,7.08,5.13,7.11,5.17,-5.17,-4.67,-6.20,1.91,1.95,1.95
30.99,7.08,5.14,7.10,5.16,-5.16,-4.64,-6.22,1.92,1.94,1.94
31.30,7.08,5.14,7.10,5.16,-5.16,-4.62,-6.24,1.92,1.94,1.94
31.61,7.08,5.14,7.09,5.16,-5.16,-4.59,-6.24,1.92,1.93,1.94
31.93,7.08,5.16,7.08,5.15,-5.15,-4.57,-6.24,1.93,1.93,1.92
32.24,7.08,5.17,7.07,5.15,-5.15,-4.55,-6.23,1.93,1.92,1.91
32.57,7.08,5.17,7.06,5.15,-5.15,-4.53,-6.21,1.93,1.92,1.91
32.89,7.08,5.17,7.05,5.14,-5.14,-4.51,-6.19,1.93,1.91,1.91
33.22,7.08,5.17,7.04,5.14,-5.14,-4.49,-6.15,1.94,1.90,1.91
33.55,7.08,5.18,7.03,5.13,-5.13,-4.48,-6.11,1.95,1.90,1.90
33.89,7.08,5.18,7.01,5.11,-5.11,-4.46,-6.06,1.97,1.90,1.90
34.23,7.03,5.13,6.99,5.10,-5.10,-4.45,-6.00,1.93,1.89,1.90
34.57,6.95,5.06,6.97,5.08,-5.08,-4.44,-5.94,1.87,1.89,1.89
34.92,6.87,4.99,6.95,5.07,-5.07,-4.43,-5.88,1.80,1.88,1.88
35.27,6.85,4.97,6.93,5.05,-5.05,-4.43,-5.81,1.79,1.88,1.88
35.62,6.85,4.98,6.90,5.03,-5.03,-4.42,-5.74,1.81,1.87,1.87
35.97,6.85,4.99,6.88,5.01,-5.01,-4.42,-5.66,1.84,1.86,1.86
36.33,6.85,4.99,6.85,4.99,-4.99,-4.41,-5.59,1.86,1.86,1.86
36.70,6.85,4.99,6.82,4.97,-4.97,-4.41,-5.51,1.88,1.85,1.86
37.06,6.85,5.01,6.79,4.95,-4.95,-4.41,-5.43,1.90,1.84,1.84
37.43,6.83,4.99,6.77,4.93,-4.93,-4.41,-5.35,1.90,1.84,1.84
37.81,6.81,4.98,6.75,4.92,-4.92,-4.41,-5.27,1.89,1.83,1.83
38.19,6.77,4.95,6.74,4.91,-4.91,-4.41,-5.19,1.86,1.82,1.82
38.57,6.70,4.88,6.73,4.91,-4.91,-4.41,-5.11,1.79,1.82,1.82
38.95,6.63,4.82,6.72,4.91,-4.91,-4.41,-5.03,1.72,1.81,1.81
39.34,6.62,4.82,6.70,4.90,-4.90,-4.42,-4.95,1.72,1.80,1.80
39.74,6.62,4.84,6.68,4.88,-4.88,-4.42,-4.87,1.74,1.80,1.78
40.14,6.62,4.83,6.65,4.86,-4.86,-4.42,-4.80,1.76,1.79,1.79
40.54,6.62,4.84,6.62,4.84,-4.84,-4.43,-4.73,1.78,1.78,1.78
40.94,6.62,4.84,6.58,4.81,-4.81,-4.43,-4.66,1.81,1.77,1.78
41.35,6.62,4.86,6.54,4.79,-4.79,-4.44,-4.59,1.83,1.75,1.76
41.76,6.62,4.88,6.51,4.77,-4.77,-4.44,-4.53,1.84,1.73,1.74
42.18,6.58,4.85,6.47,4.76,-4.76,-4.45,-4.47,1.81,1.71,1.73
42.60,6.48,4.78,6.44,4.75,-4.75,-4.45,-4.41,1.73,1.69,1.70
43.03,6.38,4.69,6.40,4.73,-4.73,-4.46,-4.35,1.64,1.66,1.69
43.46,6.29,4.63,6.35,4.71,-4.71,-4.46,-4.30,1.57,1.64,1.66
43.90,6.19,4.58,6.30,4.69,-4.69,-4.47,-4.25,1.50,1.61,1.61
44.33,6.17,4.59,6.25,4.66,-4.66,-4.47,-4.20,1.51,1.59,1.58
44.78,6.17,4.62,6.19,4.63,-4.63,-4.47,-4.15,1.53,1.56,1.55
45.23,6.17,4.65,6.14,4.61,-4.61,-4.47,-4.11,1.56,1.53,1.52
45.68,6.17,4.68,6.10,4.59,-4.59,-4.48,-4.07,1.58,1.51,1.49
46.13,6.14,4.67,6.06,4.58,-4.58,-4.48,-4.04,1.56,1.49,1.47
46.60,6.03,4.57,6.04,4.57,-4.57,-4.48,-4.00,1.46,1.47,1.46
47.06,5.94,4.50,6.02,4.57,-4.57,-4.47,-3.97,1.37,1.45,1.44
47.53,5.94,4.50,6.01,4.57,-4.57,-4.47,-3.95,1.37,1.44,1.44
48.01,5.94,4.50,5.99,4.56,-4.56,-4.47,-3.92,1.38,1.43,1.44
48.49,5.94,4.52,5.97,4.54,-4.54,-4.46,-3.90,1.39,1.42,1.42
48.97,5.94,4.53,5.94,4.52,-4.52,-4.45,-3.88,1.42,1.42,1.41
49.46,5.94,4.54,5.91,4.50,-4.50,-4.44,-3.87,1.44,1.42,1.40
49.96,5.94,4.54,5.88,4.47,-4.47,-4.43,-3.85,1.47,1.42,1.40
50.46,5.92,4.51,5.85,4.44,-4.44,-4.42,-3.84,1.48,1.41,1.41
50.96,5.89,4.47,5.82,4.42,-4.42,-4.40,-3.83,1.47,1.40,1.42
