frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-5.47,-4.79,-5.47,-4.81,4.81,4.21,2.27,-0.66,-0.66,-0.68
20.20,-5.47,-4.83,-5.47,-4.84,4.84,4.25,2.34,-0.63,-0.63,-0.64
20.40,-5.47,-4.86,-5.47,-4.87,4.87,4.30,2.40,-0.60,-0.60,-0.61
20.61,-5.47,-4.89,-5.47,-4.90,4.90,4.34,2.48,-0.58,-0.58,-0.58
20.81,-5.47,-4.93,-5.47,-4.92,4.92,4.38,2.55,-0.55,-0.55,-0.54
21.02,-5.47,-4.97,-5.47,-4.95,4.95,4.42,2.62,-0.53,-0.53,-0.50
21.23,-5.47,-4.98,-5.47,-4.97,4.97,4.46,2.70,-0.51,-0.51,-0.49
21.44,-5.47,-5.00,-5.47,-4.99,4.99,4.50,2.78,-0.49,-0.49,-0.47
21.66,-5.47,-5.02,-5.47,-5.01,5.01,4.54,2.86,-0.47,-0.47,-0.45
21.87,-5.47,-5.03,-5.47,-5.02,5.02,4.58,2.95,-0.45,-0.45,-0.44
22.09,-5.47,-5.05,-5.47,-5.04,5.04,4.62,3.04,-0.43,-0.43,-0.42
22.31,-5.47,-5.05,-5.47,-5.05,5.05,4.66,3.13,-0.42,-0.42,-0.42
22.54,-5.47,-5.06,-5.47,-5.06,5.06,4.70,3.22,-0.41,-0.41,-0.42
22.76,-5.47,-5.07,-5.47,-5.07,5.07,4.74,3.31,-0.40,-0.40,-0.41
22.99,-5.47,-5.07,-5.47,-5.08,5.08,4.77,3.41,-0.39,-0.39,-0.41
23.22,-5.47,-5.07,-5.47,-5.09,5.09,4.81,3.51,-0.39,-0.39,-0.40
23.45,-5.47,-5.08,-5.47,-5.09,5.09,4.84,3.61,-0.38,-0.38,-0.39
23.69,-5.47,-5.09,-5.47,-5.10,5.10,4.88,3.71,-0.38,-0.38,-0.38
23.92,-5.47,-5.10,-5.47,-5.10,5.10,4.91,3.82,-0.37,-0.37,-0.37
24.16,-5.47,-5.11,-5.47,-5.10,5.10,4.95,3.92,-0.37,-0.37,-0.36
24.40,-5.47,-5.12,-5.47,-5.10,5.10,4.98,4.03,-0.37,-0.37,-0.35
24.65,-5.47,-5.11,-5.47,-5.11,5.11,5.01,4.14,-0.37,-0.37,-0.36
24.89,-5.47,-5.11,-5.47,-5.11,5.11,5.04,4.26,-0.36,-0.36,-0.36
25.14,-5.47,-5.11,-5.47,-5.11,5.11,5.07,4.37,-0.36,-0.36,-0.36
25.39,-5.47,-5.11,-5.47,-5.11,5.11,5.10,4.49,-0.36,-0.36,-0.37
25.65,-5.47,-5.11,-5.47,-5.11,5.11,5.13,4.60,-0.36,-0.36,-0.37
