frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,2.79,-1.01,2.79,-1.01,0.97,0.80,0.22,3.76,3.76,3.80
20.20,2.84,-1.00,2.84,-1.00,0.98,0.79,0.23,3.82,3.83,3.84
20.40,2.88,-0.99,2.89,-0.98,0.99,0.79,0.24,3.87,3.88,3.87
20.61,2.93,-0.97,2.94,-0.97,1.00,0.78,0.24,3.93,3.93,3.90
20.81,2.98,-0.96,2.98,-0.96,1.00,0.77,0.25,3.98,3.98,3.94
21.02,3.02,-0.96,3.01,-0.96,1.00,0.77,0.26,4.02,4.01,3.98
21.23,3.02,-0.97,3.02,-0.97,1.00,0.76,0.27,4.02,4.02,3.99
21.44,3.02,-0.99,3.02,-0.99,0.99,0.76,0.28,4.01,4.01,4.01
21.66,3.02,-1.01,3.02,-1.01,0.99,0.75,0.29,4.01,4.01,4.03
21.87,3.02,-1.02,3.03,-1.02,0.98,0.75,0.30,4.00,4.01,4.04
22.09,3.04,-1.01,3.05,-1.00,0.97,0.74,0.31,4.01,4.01,4.05
22.31,3.09,-0.96,3.09,-0.97,0.95,0.73,0.32,4.04,4.03,4.05
22.54,3.14,-0.92,3.14,-0.92,0.92,0.73,0.33,4.06,4.07,4.06
22.76,3.19,-0.88,3.19,-0.87,0.90,0.72,0.34,4.09,4.09,4.07
22.99,3.24,-0.83,3.23,-0.85,0.88,0.71,0.35,4.12,4.11,4.07
23.22,3.24,-0.84,3.24,-0.84,0.86,0.71,0.36,4.11,4.11,4.08
23.45,3.24,-0.85,3.25,-0.84,0.86,0.70,0.37,4.10,4.10,4.09
23.69,3.24,-0.86,3.24,-0.86,0.86,0.69,0.38,4.10,4.10,4.10
23.92,3.24,-0.87,3.24,-0.87,0.87,0.69,0.39,4.11,4.11,4.11
24.16,3.24,-0.88,3.24,-0.88,0.88,0.68,0.40,4.12,4.12,4.12
24.40,3.24,-0.89,3.24,-0.89,0.88,0.67,0.42,4.12,4.11,4.13
24.65,3.24,-0.88,3.24,-0.89,0.86,0.66,0.43,4.11,4.10,4.12
24.89,3.24,-0.88,3.25,-0.87,0.84,0.66,0.44,4.08,4.09,4.12
