frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-6.15,-11.29,-6.15,-11.29,11.27,10.87,3.70,5.12,5.12,5.14
20.20,-6.01,-11.19,-6.01,-11.18,11.17,10.88,3.80,5.16,5.17,5.18
20.40,-5.87,-11.07,-5.87,-11.07,11.08,10.89,3.90,5.21,5.21,5.21
20.61,-5.73,-10.97,-5.73,-10.97,10.98,10.89,4.01,5.25,5.25,5.24
20.81,-5.60,-10.87,-5.59,-10.87,10.89,10.88,4.12,5.29,5.29,5.28
21.02,-5.46,-10.78,-5.47,-10.78,10.80,10.86,4.23,5.34,5.33,5.32
21.23,-5.36,-10.69,-5.36,-10.69,10.70,10.84,4.34,5.34,5.34,5.33
21.44,-5.26,-10.60,-5.26,-10.61,10.61,10.80,4.46,5.35,5.35,5.35
21.66,-5.17,-10.54,-5.17,-10.53,10.51,10.77,4.58,5.34,5.35,5.37
21.87,-5.07,-10.44,-5.07,-10.44,10.42,10.72,4.70,5.35,5.35,5.38
22.09,-4.96,-10.34,-4.96,-10.34,10.32,10.67,4.83,5.36,5.36,5.39
22.31,-4.85,-10.23,-4.85,-10.24,10.23,10.60,4.96,5.38,5.38,5.39
22.54,-4.74,-10.14,-4.73,-10.13,10.14,10.54,5.10,5.40,5.41,5.40
22.76,-4.63,-10.03,-4.63,-10.03,10.07,10.47,5.23,5.44,5.44,5.41
22.99,-4.52,-9.93,-4.54,-9.95,10.00,10.39,5.37,5.48,5.46,5.41
23.22,-4.47,-9.89,-4.47,-9.88,9.93,10.30,5.52,5.46,5.46,5.42
23.45,-4.42,-9.85,-4.42,-9.85,9.85,10.22,5.66,5.43,5.43,5.43
23.69,-4.38,-9.82,-4.38,-9.82,9.77,10.12,5.81,5.39,5.39,5.44
23.92,-4.33,-9.77,-4.31,-9.76,9.69,10.03,5.97,5.36,5.38,5.45
24.16,-4.21,-9.66,-4.20,-9.66,9.59,9.93,6.12,5.38,5.39,5.46
24.40,-4.06,-9.52,-4.06,-9.52,9.49,9.82,6.28,5.44,5.43,5.47
24.65,-3.90,-9.36,-3.90,-9.36,9.39,9.71,6.44,5.49,5.49,5.46
24.89,-3.75,-9.20,-3.76,-9.22,9.28,9.60,6.61,5.53,5.52,5.46
25.14,-3.64,-9.09,-3.65,-9.11,9.16,9.49,6.77,5.53,5.51,5.46
25.39,-3.58,-9.03,-3.57,-9.03,9.05,9.38,6.94,5.47,5.48,5.46
25.65,-3.51,-8.97,-3.51,-8.96,8.95,9.26,7.11,5.44,5.44,5.46
25.91,-3.44,-8.88,-3.43,-8.88,8.85,9.14,7.28,5.41,5.41,5.44
