frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-2.50,-8.51,-2.50,-8.51,8.51,7.47,2.54,6.00,6.00,6.01
20.20,-2.41,-8.46,-2.41,-8.45,8.46,7.55,2.61,6.04,6.04,6.05
20.40,-2.31,-8.39,-2.32,-8.40,8.40,7.62,2.68,6.09,6.08,6.08
20.61,-2.23,-8.33,-2.22,-8.33,8.34,7.68,2.76,6.11,6.12,6.11
20.81,-2.12,-8.27,-2.13,-8.27,8.27,7.73,2.84,6.15,6.15,6.15
21.02,-2.03,-8.22,-2.03,-8.21,8.21,7.78,2.92,6.17,6.17,6.19
21.23,-1.93,-8.13,-1.94,-8.14,8.13,7.81,3.01,6.20,6.20,6.20
21.44,-1.84,-8.06,-1.84,-8.06,8.06,7.84,3.10,6.21,6.21,6.22
21.66,-1.75,-7.98,-1.75,-7.98,7.97,7.86,3.18,6.23,6.23,6.24
21.87,-1.65,-7.90,-1.65,-7.90,7.88,7.87,3.28,6.23,6.23,6.25
22.09,-1.55,-7.81,-1.55,-7.80,7.79,7.86,3.37,6.24,6.24,6.26
22.31,-1.44,-7.70,-1.45,-7.71,7.70,7.85,3.47,6.26,6.25,6.26
22.54,-1.35,-7.61,-1.34,-7.61,7.61,7.83,3.57,6.27,6.28,6.27
22.76,-1.24,-7.52,-1.24,-7.51,7.54,7.80,3.67,6.29,6.30,6.28
22.99,-1.13,-7.41,-1.15,-7.43,7.46,7.76,3.77,6.33,6.31,6.28
23.22,-1.08,-7.37,-1.08,-7.37,7.40,7.71,3.88,6.31,6.32,6.29
23.45,-1.02,-7.32,-1.03,-7.32,7.33,7.65,3.99,6.31,6.30,6.30
23.69,-0.97,-7.28,-0.98,-7.28,7.26,7.58,4.10,6.29,6.28,6.31
23.92,-0.92,-7.24,-0.91,-7.23,7.19,7.51,4.22,6.27,6.28,6.32
24.16,-0.83,-7.16,-0.83,-7.16,7.12,7.42,4.33,6.28,6.29,6.33
24.40,-0.72,-7.06,-0.73,-7.06,7.04,7.34,4.45,6.31,6.31,6.34
24.65,-0.61,-6.94,-0.61,-6.94,6.95,7.24,4.57,6.33,6.34,6.33
24.89,-0.50,-6.83,-0.50,-6.83,6.85,7.14,4.69,6.35,6.35,6.33
25.14,-0.40,-6.73,-0.41,-6.74,6.76,7.04,4.82,6.35,6.35,6.33
25.39,-0.32,-6.65,-0.32,-6.65,6.66,6.93,4.94,6.34,6.34,6.33
25.65,-0.24,-6.57,-0.24,-6.56,6.56,6.82,5.06,6.32,6.32,6.33
25.91,-0.17,-6.47,-0.17,-6.48,6.48,6.70,5.19,6.31,6.31,6.31
26.16,-0.08,-6.40,-0.08,-6.40,6.39,6.59,5.31,6.31,6.31,6.32
26.43,-0.01,-6.32,0.00,-6.31,6.31,6.47,5.44,6.31,6.31,6.32
26.69,0.09,-6.23,0.08,-6.24,6.23,6.35,5.56,6.32,6.32,6.32
26.96,0.17,-6.15,0.16,-6.15,6.16,6.22,5.68,6.32,6.32,6.32
27.23,0.24,-6.08,0.24,-6.08,6.08,6.10,5.80,6.31,6.32,6.32
27.50,0.32,-6.00,0.31,-6.00,6.00,5.98,5.91,6.32,6.32,6.32
27.77,0.39,-5.92,0.39,-5.92,5.93,5.85,6.02,6.32,6.32,6.31
28.05,0.46,-5.85,0.46,-5.84,5.85,5.73,6.13,6.31,6.31,6.31
28.33,0.53,-5.76,0.52,-5.77,5.77,5.61,6.23,6.30,6.30,6.29
28.62,0.60,-5.70,0.59,-5.70,5.68,5.48,6.32,6.28,6.28,6.30
28.90,0.67,-5.63,0.67,-5.62,5.59,5.36,6.41,6.26,6.26,6.30
29.19,0.77,-5.52,0.77,-5.52,5.49,5.24,6.48,6.26,6.27,6.29
29.48,0.90,-5.40,0.90,-5.40,5.39,5.12,6.55,6.29,6.29,6.30
29.78,1.03,-5.27,1.02,-5.27,5.29,5.01,6.61,6.31,6.31,6.30
30.08,1.14,-5.15,1.13,-5.16,5.18,4.89,6.66,6.33,6.32,6.30
30.38,1.22,-5.06,1.22,-5.06,5.08,4.77,6.70,6.30,6.31,6.28
30.68,1.30,-4.98,1.30,-4.97,4.99,4.66,6.72,6.28,6.29,6.28
30.99,1.38,-4.89,1.37,-4.90,4.90,4.55,6.74,6.27,6.27,6.27
31.30,1.45,-4.82,1.45,-4.82,4.81,4.44,6.74,6.26,6.26,6.27
31.61,1.52,-4.75,1.52,-4.74,4.73,4.33,6.73,6.25,6.25,6.27
31.93,1.59,-4.66,1.59,-4.66,4.66,4.23,6.71,6.24,6.24,6.25
32.24,1.66,-4.58,1.66,-4.58,4.58,4.12,6.67,6.24,6.24,6.24
32.57,1.74,-4.50,1.73,-4.50,4.51,4.02,6.63,6.24,6.24,6.24
32.89,1.81,-4.43,1.81,-4.43,4.43,3.92,6.58,6.24,6.24,6.24
33.22,1.88,-4.36,1.88,-4.35,4.35,3.82,6.51,6.23,6.23,6.24
33.55,1.96,-4.27,1.95,-4.28,4.27,3.73,6.44,6.23,6.22,6.23
33.89,2.03,-4.20,2.03,-4.20,4.19,3.63,6.35,6.21,6.22,6.23
34.23,2.11,-4.12,2.11,-4.11,4.10,3.54,6.26,6.21,6.21,6.23
34.57,2.19,-4.03,2.18,-4.03,4.02,3.45,6.16,6.21,6.20,6.22
34.92,2.27,-3.94,2.27,-3.94,3.94,3.36,6.06,6.21,6.21,6.21
35.27,2.35,-3.86,2.35,-3.85,3.87,3.28,5.95,6.21,6.22,6.21
35.62,2.43,-3.77,2.43,-3.77,3.80,3.19,5.83,6.23,6.23,6.20
35.97,2.51,-3.68,2.49,-3.70,3.74,3.11,5.72,6.24,6.22,6.19
36.33,2.53,-3.66,2.52,-3.67,3.67,3.03,5.59,6.20,6.19,6.19
36.70,2.54,-3.65,2.55,-3.63,3.61,2.95,5.47,6.15,6.16,6.19
37.06,2.57,-3.60,2.58,-3.59,3.55,2.87,5.35,6.12,6.14,6.17
37.43,2.66,-3.51,2.65,-3.51,3.49,2.80,5.22,6.14,6.14,6.17
37.81,2.74,-3.42,2.73,-3.42,3.41,2.72,5.09,6.15,6.14,6.16
38.19,2.82,-3.33,2.81,-3.34,3.33,2.65,4.97,6.15,6.14,6.15
38.57,2.89,-3.26,2.89,-3.26,3.25,2.58,4.84,6.13,6.13,6.15
38.95,2.96,-3.18,2.97,-3.17,3.16,2.51,4.71,6.12,6.13,6.14
39.34,3.05,-3.08,3.05,-3.07,3.09,2.44,4.59,6.13,6.14,6.13
39.74,3.14,-2.97,3.13,-2.99,3.02,2.38,4.47,6.16,6.15,6.11
40.14,3.20,-2.92,3.18,-2.93,2.97,2.31,4.35,6.16,6.15,6.12
40.54,3.20,-2.91,3.20,-2.91,2.93,2.25,4.23,6.12,6.13,6.11
40.94,3.20,-2.91,3.20,-2.90,2.90,2.19,4.11,6.09,6.10,6.11
41.35,3.20,-2.89,3.20,-2.89,2.88,2.13,3.99,6.07,6.07,6.09
41.76,3.20,-2.87,3.20,-2.87,2.86,2.07,3.88,6.05,6.05,6.07
42.18,3.20,-2.86,3.20,-2.85,2.84,2.01,3.77,6.03,6.03,6.06
42.60,3.20,-2.83,3.20,-2.84,2.82,1.95,3.66,6.01,6.01,6.03
43.03,3.20,-2.82,3.20,-2.81,2.79,1.89,3.56,5.99,5.99,6.02
43.46,3.20,-2.79,3.20,-2.78,2.77,1.84,3.45,5.97,5.97,5.99
43.90,3.20,-2.74,3.20,-2.74,2.75,1.79,3.35,5.95,5.95,5.94
44.33,3.20,-2.71,3.20,-2.70,2.74,1.73,3.26,5.93,5.94,5.91
44.78,3.20,-2.68,3.18,-2.69,2.73,1.68,3.16,5.93,5.91,5.88
45.23,3.15,-2.70,3.12,-2.72,2.74,1.63,3.07,5.88,5.86,5.85
45.68,3.04,-2.78,3.05,-2.77,2.76,1.58,2.98,5.80,5.81,5.82
