frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,2.95,1.18,2.88,1.08,-1.08,-0.71,-0.67,1.87,1.80,1.77
20.20,2.95,1.14,2.91,1.08,-1.08,-0.72,-0.69,1.87,1.82,1.81
20.40,2.95,1.11,2.94,1.09,-1.09,-0.73,-0.71,1.87,1.85,1.84
20.61,2.95,1.08,2.97,1.09,-1.09,-0.74,-0.73,1.86,1.88,1.87
20.81,2.95,1.04,3.01,1.10,-1.10,-0.76,-0.75,1.85,1.90,1.91
21.02,2.95,1.00,3.04,1.11,-1.11,-0.77,-0.78,1.84,1.93,1.95
21.23,3.00,1.04,3.07,1.12,-1.12,-0.79,-0.80,1.88,1.95,1.96
21.44,3.05,1.07,3.10,1.13,-1.13,-0.80,-0.83,1.92,1.97,1.98
21.66,3.10,1.10,3.13,1.15,-1.15,-0.81,-0.85,1.96,1.99,2.00
21.87,3.15,1.14,3.17,1.16,-1.16,-0.83,-0.88,1.99,2.00,2.01
22.09,3.20,1.18,3.20,1.18,-1.18,-0.84,-0.90,2.02,2.02,2.02
22.31,3.25,1.23,3.23,1.20,-1.20,-0.86,-0.93,2.06,2.03,2.02
22.54,3.30,1.27,3.27,1.23,-1.23,-0.87,-0.96,2.08,2.04,2.03
22.76,3.36,1.32,3.31,1.26,-1.26,-0.89,-0.99,2.11,2.05,2.04
22.99,3.41,1.37,3.35,1.29,-1.29,-0.90,-1.02,2.13,2.06,2.04
23.22,3.41,1.36,3.38,1.32,-1.32,-0.92,-1.05,2.10,2.07,2.05
23.45,3.41,1.35,3.42,1.35,-1.35,-0.93,-1.08,2.07,2.07,2.06
23.69,3.41,1.34,3.45,1.37,-1.37,-0.95,-1.11,2.04,2.08,2.07
23.92,3.41,1.33,3.48,1.39,-1.39,-0.97,-1.15,2.02,2.08,2.08
24.16,3.44,1.35,3.50,1.42,-1.42,-0.98,-1.18,2.03,2.08,2.09
24.40,3.49,1.39,3.52,1.43,-1.43,-1.00,-1.21,2.06,2.09,2.10
24.65,3.53,1.44,3.54,1.45,-1.45,-1.02,-1.25,2.09,2.09,2.09
24.89,3.58,1.49,3.55,1.46,-1.46,-1.04,-1.28,2.13,2.09,2.09
25.14,3.61,1.52,3.56,1.47,-1.47,-1.05,-1.32,2.14,2.09,2.09
25.39,3.62,1.53,3.58,1.49,-1.49,-1.07,-1.35,2.14,2.09,2.09
