frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,4.02,-6.06,4.04,-6.04,6.04,5.76,1.91,10.05,10.08,10.07
20.20,4.08,-5.99,4.09,-5.98,5.98,5.73,1.97,10.05,10.07,10.06
20.40,4.14,-5.92,4.14,-5.92,5.92,5.70,2.03,10.05,10.06,10.05
20.61,4.20,-5.86,4.19,-5.86,5.86,5.68,2.09,10.05,10.05,10.05
20.81,4.26,-5.78,4.24,-5.80,5.80,5.65,2.15,10.06,10.04,10.03
21.02,4.32,-5.72,4.29,-5.74,5.74,5.62,2.22,10.06,10.03,10.03
21.23,4.37,-5.66,4.34,-5.68,5.68,5.59,2.29,10.05,10.02,10.02
21.44,4.41,-5.63,4.39,-5.62,5.62,5.56,2.36,10.03,10.02,10.03
21.66,4.45,-5.58,4.44,-5.57,5.57,5.52,2.43,10.01,10.01,10.02
21.87,4.50,-5.52,4.50,-5.51,5.51,5.49,2.50,10.01,10.01,10.01
22.09,4.54,-5.47,4.55,-5.45,5.45,5.46,2.58,9.99,10.00,10.00
22.31,4.60,-5.41,4.60,-5.40,5.40,5.42,2.66,9.99,9.99,10.00
22.54,4.65,-5.35,4.64,-5.35,5.35,5.39,2.74,9.99,9.99,9.99
22.76,4.70,-5.29,4.69,-5.29,5.29,5.35,2.82,9.99,9.99,9.98
22.99,4.76,-5.22,4.74,-5.24,5.24,5.31,2.90,9.99,9.98,9.97
23.22,4.80,-5.17,4.80,-5.18,5.18,5.28,2.99,9.98,9.98,9.96
23.45,4.85,-5.13,4.85,-5.13,5.13,5.24,3.08,9.97,9.98,9.97
23.69,4.89,-5.08,4.90,-5.07,5.07,5.20,3.17,9.95,9.97,9.96
23.92,4.94,-5.03,4.96,-5.01,5.01,5.16,3.26,9.95,9.97,9.96
24.16,5.00,-4.98,5.02,-4.95,4.95,5.12,3.35,9.95,9.97,9.97
24.40,5.06,-4.93,5.07,-4.90,4.90,5.08,3.44,9.96,9.97,9.98
24.65,5.13,-4.86,5.13,-4.85,4.85,5.03,3.54,9.97,9.97,9.98
24.89,5.20,-4.79,5.18,-4.79,4.79,4.99,3.63,9.99,9.98,9.98
25.14,5.26,-4.72,5.23,-4.75,4.75,4.95,3.73,10.00,9.98,9.97
25.39,5.31,-4.67,5.28,-4.70,4.70,4.90,3.83,10.01,9.98,9.97
25.65,5.35,-4.63,5.33,-4.66,4.66,4.86,3.93,10.00,9.98,9.97
25.91,5.40,-4.59,5.37,-4.62,4.62,4.81,4.02,10.01,9.98,9.98
26.16,5.44,-4.56,5.41,-4.57,4.57,4.77,4.12,10.01,9.99,9.99
26.43,5.47,-4.53,5.46,-4.53,4.53,4.72,4.21,9.99,9.99,9.99
26.69,5.50,-4.50,5.50,-4.48,4.48,4.67,4.31,9.98,9.99,9.99
26.96,5.53,-4.46,5.55,-4.44,4.44,4.63,4.40,9.96,9.99,9.98
27.23,5.56,-4.43,5.59,-4.39,4.39,4.58,4.49,9.95,9.99,9.98
27.50,5.61,-4.38,5.63,-4.35,4.35,4.53,4.58,9.96,9.99,9.98
27.77,5.65,-4.35,5.68,-4.31,4.31,4.48,4.66,9.96,9.99,9.99
28.05,5.69,-4.31,5.72,-4.26,4.26,4.43,4.74,9.95,9.99,9.99
28.33,5.76,-4.22,5.77,-4.22,4.22,4.38,4.81,9.97,9.99,9.97
28.62,5.83,-4.15,5.81,-4.17,4.17,4.33,4.88,10.00,9.98,9.97
28.90,5.91,-4.08,5.86,-4.12,4.12,4.28,4.94,10.03,9.98,9.98
29.19,5.95,-4.04,5.90,-4.08,4.08,4.23,5.00,10.02,9.98,9.98
29.48,5.98,-4.00,5.94,-4.03,4.03,4.18,5.04,10.01,9.98,9.97
29.78,6.01,-3.97,5.99,-3.98,3.98,4.12,5.08,9.99,9.97,9.97
30.08,6.04,-3.95,6.03,-3.94,3.94,4.07,5.12,9.97,9.97,9.98
30.38,6.07,-3.91,6.07,-3.89,3.89,4.02,5.14,9.96,9.96,9.97
30.68,6.10,-3.86,6.11,-3.84,3.84,3.97,5.15,9.94,9.96,9.95
30.99,6.13,-3.83,6.15,-3.80,3.80,3.91,5.16,9.92,9.95,9.95
31.30,6.17,-3.78,6.19,-3.75,3.75,3.86,5.16,9.92,9.94,9.94
31.61,6.21,-3.73,6.23,-3.71,3.71,3.80,5.14,9.92,9.94,9.93
31.93,6.25,-3.68,6.26,-3.67,3.67,3.75,5.12,9.91,9.93,9.92
32.24,6.30,-3.63,6.30,-3.62,3.62,3.70,5.09,9.92,9.92,9.92
32.57,6.36,-3.55,6.34,-3.57,3.57,3.64,5.05,9.93,9.92,9.90
32.89,6.41,-3.50,6.39,-3.53,3.53,3.58,5.00,9.93,9.91,9.90
33.22,6.45,-3.46,6.43,-3.48,3.48,3.53,4.94,9.92,9.90,9.90
33.55,6.49,-3.41,6.47,-3.43,3.43,3.47,4.88,9.92,9.90,9.89
33.89,6.52,-3.39,6.51,-3.38,3.38,3.42,4.81,9.90,9.90,9.90
34.23,6.55,-3.34,6.55,-3.34,3.34,3.36,4.73,9.89,9.89,9.88
34.57,6.59,-3.30,6.59,-3.30,3.30,3.30,4.64,9.88,9.89,9.88
34.92,6.62,-3.26,6.62,-3.25,3.25,3.25,4.55,9.87,9.88,9.87
35.27,6.66,-3.23,6.66,-3.21,3.21,3.19,4.46,9.87,9.87,9.88
35.62,6.70,-3.17,6.70,-3.17,3.17,3.13,4.36,9.86,9.86,9.86
35.97,6.74,-3.13,6.73,-3.12,3.12,3.08,4.26,9.86,9.85,9.86
36.33,6.77,-3.08,6.76,-3.08,3.08,3.02,4.16,9.84,9.84,9.84
36.70,6.80,-3.04,6.79,-3.03,3.03,2.96,4.05,9.83,9.83,9.83
37.06,6.84,-2.98,6.83,-2.98,2.98,2.90,3.94,9.82,9.81,9.81
37.43,6.87,-2.93,6.87,-2.92,2.92,2.84,3.83,9.79,9.79,9.79
37.81,6.89,-2.89,6.90,-2.86,2.86,2.79,3.72,9.75,9.77,9.77
38.19,6.93,-2.82,6.94,-2.81,2.81,2.73,3.61,9.73,9.74,9.74
38.57,6.98,-2.75,6.97,-2.75,2.75,2.67,3.50,9.72,9.72,9.72
38.95,7.03,-2.67,7.01,-2.68,2.68,2.61,3.39,9.71,9.69,9.69
39.34,7.05,-2.61,7.04,-2.62,2.62,2.55,3.28,9.67,9.67,9.65
39.74,7.05,-2.59,7.08,-2.56,2.56,2.49,3.17,9.61,9.64,9.63
40.14,7.08,-2.53,7.11,-2.50,2.50,2.43,3.06,9.58,9.61,9.60
40.54,7.16,-2.43,7.15,-2.44,2.44,2.37,2.95,9.59,9.58,9.58
40.94,7.23,-2.33,7.18,-2.38,2.38,2.32,2.84,9.60,9.56,9.55
41.35,7.24,-2.30,7.21,-2.32,2.32,2.26,2.73,9.55,9.53,9.53
