frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,4.05,-5.18,4.56,-4.67,4.67,4.37,1.43,8.72,9.23,9.22
20.20,4.32,-4.90,4.58,-4.63,4.63,4.34,1.47,8.95,9.22,9.21
20.40,4.59,-4.61,4.62,-4.59,4.59,4.32,1.52,9.18,9.21,9.20
20.61,4.84,-4.36,4.65,-4.55,4.55,4.29,1.56,9.39,9.20,9.20
20.81,5.13,-4.05,4.69,-4.50,4.50,4.27,1.61,9.63,9.19,9.18
21.02,5.35,-3.84,4.73,-4.45,4.45,4.24,1.66,9.79,9.18,9.18
21.23,5.20,-3.98,4.78,-4.40,4.40,4.22,1.71,9.59,9.17,9.17
21.44,5.03,-4.15,4.83,-4.34,4.34,4.19,1.76,9.37,9.17,9.18
21.66,4.89,-4.28,4.88,-4.28,4.28,4.16,1.82,9.17,9.16,9.17
21.87,4.73,-4.44,4.94,-4.22,4.22,4.13,1.87,8.94,9.15,9.16
22.09,4.68,-4.48,5.00,-4.15,4.15,4.11,1.93,8.83,9.15,9.15
22.31,4.79,-4.36,5.06,-4.08,4.08,4.08,1.99,8.87,9.14,9.15
22.54,4.88,-4.26,5.09,-4.05,4.05,4.05,2.05,8.93,9.14,9.14
22.76,5.00,-4.14,5.13,-4.00,4.00,4.02,2.11,9.00,9.14,9.13
22.99,5.11,-4.02,5.19,-3.94,3.94,3.99,2.17,9.05,9.13,9.12
23.22,5.26,-3.86,5.26,-3.87,3.87,3.96,2.23,9.13,9.13,9.11
23.45,5.43,-3.70,5.35,-3.77,3.77,3.92,2.30,9.20,9.12,9.12
23.69,5.58,-3.53,5.47,-3.65,3.65,3.89,2.36,9.23,9.12,9.11
23.92,5.75,-3.37,5.59,-3.53,3.53,3.86,2.43,9.28,9.12,9.11
24.16,5.83,-3.30,5.70,-3.42,3.42,3.83,2.50,9.25,9.12,9.12
24.40,5.88,-3.26,5.80,-3.32,3.32,3.79,2.57,9.20,9.12,9.13
24.65,5.93,-3.21,5.89,-3.24,3.24,3.76,2.64,9.16,9.12,9.13
24.89,5.98,-3.16,5.96,-3.17,3.17,3.73,2.71,9.14,9.12,9.13
25.14,6.00,-3.13,6.02,-3.11,3.11,3.69,2.78,9.11,9.13,9.12
25.39,6.01,-3.12,6.06,-3.07,3.07,3.66,2.85,9.08,9.13,9.12
25.65,6.02,-3.11,6.09,-3.05,3.05,3.62,2.92,9.06,9.13,9.12
25.91,6.03,-3.11,6.10,-3.04,3.04,3.58,2.99,9.06,9.13,9.13
