frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,11.66,1.47,11.66,1.47,-1.47,-1.07,-0.63,10.19,10.19,10.18
20.20,11.66,1.48,11.66,1.48,-1.48,-1.10,-0.65,10.18,10.18,10.17
20.40,11.66,1.49,11.66,1.49,-1.49,-1.13,-0.67,10.17,10.17,10.16
20.61,11.66,1.49,11.66,1.50,-1.50,-1.16,-0.69,10.16,10.16,10.16
20.81,11.66,1.51,11.66,1.51,-1.51,-1.18,-0.71,10.15,10.15,10.14
21.02,11.66,1.52,11.66,1.52,-1.52,-1.21,-0.73,10.14,10.14,10.14
21.23,11.66,1.53,11.66,1.52,-1.52,-1.24,-0.75,10.13,10.13,10.13
21.44,11.66,1.52,11.66,1.53,-1.53,-1.27,-0.78,10.12,10.12,10.14
21.66,11.66,1.53,11.66,1.54,-1.54,-1.30,-0.80,10.12,10.12,10.13
21.87,11.66,1.54,11.66,1.55,-1.55,-1.33,-0.82,10.11,10.11,10.12
22.09,11.66,1.55,11.66,1.55,-1.55,-1.36,-0.85,10.11,10.11,10.11
22.31,11.66,1.55,11.66,1.56,-1.56,-1.38,-0.87,10.10,10.10,10.11
22.54,11.66,1.56,11.66,1.56,-1.56,-1.41,-0.90,10.10,10.10,10.09
22.76,11.66,1.56,11.66,1.57,-1.57,-1.44,-0.92,10.09,10.09,10.09
22.99,11.66,1.57,11.66,1.57,-1.57,-1.46,-0.95,10.09,10.09,10.08
23.22,11.66,1.59,11.66,1.57,-1.57,-1.49,-0.97,10.08,10.08,10.07
23.45,11.66,1.58,11.66,1.58,-1.58,-1.51,-1.00,10.08,10.08,10.08
23.69,11.66,1.59,11.66,1.58,-1.58,-1.54,-1.03,10.08,10.08,10.07
23.92,11.66,1.59,11.66,1.58,-1.58,-1.56,-1.06,10.07,10.07,10.07
24.16,11.66,1.58,11.66,1.58,-1.58,-1.58,-1.09,10.07,10.07,10.08
24.40,11.66,1.57,11.66,1.58,-1.58,-1.60,-1.12,10.07,10.07,10.08
24.65,11.66,1.57,11.66,1.58,-1.58,-1.61,-1.15,10.08,10.08,10.08
24.89,11.66,1.58,11.66,1.58,-1.58,-1.63,-1.18,10.08,10.08,10.08
25.14,11.66,1.58,11.66,1.58,-1.58,-1.64,-1.21,10.08,10.08,10.08
25.39,11.66,1.58,11.66,1.58,-1.58,-1.66,-1.24,10.08,10.08,10.08
25.65,11.66,1.58,11.66,1.57,-1.57,-1.67,-1.27,10.08,10.08,10.07
25.91,11.66,1.57,11.66,1.57,-1.57,-1.68,-1.30,10.08,10.08,10.08
26.16,11.66,1.57,11.66,1.57,-1.57,-1.68,-1.33,10.08,10.08,10.09
26.43,11.66,1.57,11.66,1.57,-1.57,-1.69,-1.36,10.08,10.08,10.09
26.69,11.66,1.57,11.66,1.57,-1.57,-1.70,-1.39,10.08,10.08,10.09
26.96,11.66,1.57,11.66,1.58,-1.58,-1.70,-1.42,10.08,10.08,10.08
27.23,11.66,1.57,11.66,1.58,-1.58,-1.70,-1.45,10.08,10.08,10.08
27.50,11.66,1.58,11.66,1.58,-1.58,-1.70,-1.48,10.08,10.08,10.08
27.77,11.66,1.57,11.66,1.58,-1.58,-1.70,-1.51,10.08,10.08,10.09
28.05,11.66,1.57,11.66,1.58,-1.58,-1.70,-1.54,10.08,10.08,10.08
28.33,11.66,1.59,11.66,1.58,-1.58,-1.69,-1.56,10.07,10.08,10.07
28.62,11.66,1.59,11.66,1.58,-1.58,-1.69,-1.59,10.07,10.08,10.07
28.90,11.66,1.58,11.66,1.58,-1.58,-1.69,-1.61,10.08,10.08,10.08
29.19,11.66,1.58,11.65,1.57,-1.57,-1.68,-1.64,10.08,10.07,10.07
29.48,11.65,1.58,11.63,1.56,-1.56,-1.67,-1.66,10.08,10.07,10.07
29.78,11.64,1.57,11.62,1.55,-1.55,-1.67,-1.68,10.08,10.06,10.07
30.08,11.63,1.55,11.60,1.54,-1.54,-1.66,-1.69,10.09,10.06,10.07
30.38,11.61,1.55,11.58,1.52,-1.52,-1.65,-1.71,10.08,10.05,10.06
30.68,11.59,1.54,11.56,1.51,-1.51,-1.65,-1.72,10.07,10.04,10.05
30.99,11.56,1.52,11.55,1.51,-1.51,-1.64,-1.73,10.05,10.04,10.04
31.30,11.52,1.49,11.54,1.50,-1.50,-1.63,-1.74,10.01,10.03,10.03
31.61,11.48,1.45,11.52,1.50,-1.50,-1.62,-1.75,9.98,10.02,10.02
31.93,11.44,1.43,11.51,1.50,-1.50,-1.62,-1.76,9.94,10.01,10.01
32.24,11.44,1.43,11.50,1.49,-1.49,-1.61,-1.76,9.94,10.01,10.00
32.57,11.45,1.46,11.49,1.49,-1.49,-1.60,-1.76,9.96,10.00,9.99
32.89,11.46,1.47,11.48,1.49,-1.49,-1.60,-1.77,9.97,9.99,9.98
33.22,11.48,1.50,11.47,1.49,-1.49,-1.59,-1.77,9.99,9.99,9.98
33.55,11.52,1.54,11.46,1.48,-1.48,-1.58,-1.76,10.04,9.98,9.97
