frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,10.39,0.05,10.39,0.04,-0.04,-0.09,0.02,10.34,10.34,10.34
20.20,10.39,0.06,10.39,0.05,-0.05,-0.10,0.02,10.33,10.33,10.33
20.40,10.39,0.07,10.39,0.06,-0.06,-0.10,0.02,10.32,10.32,10.32
20.61,10.39,0.07,10.39,0.07,-0.07,-0.10,0.02,10.31,10.31,10.32
20.81,10.39,0.09,10.39,0.08,-0.08,-0.10,0.02,10.31,10.31,10.30
21.02,10.39,0.09,10.39,0.09,-0.09,-0.10,0.02,10.30,10.30,10.30
21.23,10.39,0.10,10.39,0.10,-0.10,-0.11,0.02,10.29,10.29,10.29
21.44,10.39,0.09,10.39,0.10,-0.10,-0.11,0.02,10.28,10.28,10.30
21.66,10.39,0.10,10.39,0.11,-0.11,-0.11,0.02,10.28,10.28,10.29
21.87,10.39,0.11,10.39,0.12,-0.12,-0.11,0.02,10.27,10.27,10.28
22.09,10.39,0.12,10.39,0.12,-0.12,-0.12,0.02,10.26,10.26,10.27
22.31,10.39,0.12,10.39,0.13,-0.13,-0.12,0.02,10.26,10.26,10.27
22.54,10.39,0.13,10.39,0.13,-0.13,-0.12,0.02,10.26,10.26,10.26
22.76,10.39,0.14,10.39,0.14,-0.14,-0.12,0.02,10.25,10.25,10.25
22.99,10.39,0.15,10.39,0.14,-0.14,-0.12,0.02,10.25,10.25,10.24
23.22,10.39,0.16,10.39,0.14,-0.14,-0.13,0.02,10.24,10.24,10.23
23.45,10.39,0.15,10.39,0.15,-0.15,-0.13,0.02,10.24,10.24,10.24
23.69,10.39,0.16,10.39,0.15,-0.15,-0.13,0.02,10.24,10.24,10.23
23.92,10.39,0.16,10.39,0.15,-0.15,-0.14,0.02,10.24,10.24,10.23
24.16,10.39,0.15,10.39,0.15,-0.15,-0.14,0.02,10.24,10.24,10.24
24.40,10.39,0.14,10.39,0.15,-0.15,-0.14,0.02,10.24,10.24,10.25
24.65,10.39,0.14,10.39,0.15,-0.15,-0.14,0.02,10.24,10.24,10.25
24.89,10.39,0.14,10.39,0.15,-0.15,-0.15,0.02,10.24,10.24,10.25
25.14,10.39,0.15,10.39,0.15,-0.15,-0.15,0.02,10.24,10.24,10.24
25.39,10.39,0.15,10.39,0.14,-0.14,-0.15,0.02,10.25,10.25,10.24
25.65,10.39,0.15,10.39,0.14,-0.14,-0.16,0.02,10.25,10.25,10.24
25.91,10.39,0.14,10.39,0.14,-0.14,-0.16,0.02,10.25,10.25,10.25
26.16,10.39,0.13,10.39,0.14,-0.14,-0.16,0.02,10.25,10.25,10.26
26.43,10.39,0.13,10.40,0.15,-0.15,-0.16,0.02,10.24,10.25,10.26
26.69,10.39,0.13,10.41,0.16,-0.16,-0.17,0.02,10.23,10.25,10.26
26.96,10.39,0.14,10.41,0.16,-0.16,-0.17,0.02,10.23,10.25,10.25
27.23,10.39,0.14,10.41,0.16,-0.16,-0.17,0.02,10.23,10.25,10.25
27.50,10.39,0.14,10.39,0.14,-0.14,-0.18,0.01,10.25,10.25,10.25
27.77,10.39,0.13,10.37,0.11,-0.11,-0.18,0.01,10.27,10.25,10.26
28.05,10.39,0.13,10.34,0.09,-0.09,-0.19,0.01,10.30,10.25,10.26
28.33,10.39,0.15,10.32,0.07,-0.07,-0.19,0.01,10.32,10.25,10.24
28.62,10.39,0.15,10.30,0.05,-0.05,-0.19,0.01,10.33,10.25,10.24
28.90,10.39,0.14,10.29,0.04,-0.04,-0.20,0.00,10.35,10.25,10.25
29.19,10.32,0.07,10.27,0.02,-0.02,-0.20,0.00,10.29,10.24,10.25
29.48,10.21,-0.03,10.25,0.01,-0.01,-0.20,-0.00,10.19,10.24,10.24
29.78,10.10,-0.14,10.24,0.01,-0.01,-0.21,-0.01,10.09,10.24,10.24
30.08,10.04,-0.21,10.24,0.00,-0.00,-0.21,-0.01,10.04,10.23,10.25
30.38,10.12,-0.12,10.23,0.01,-0.01,-0.22,-0.01,10.11,10.23,10.24
30.68,10.20,-0.02,10.23,0.01,-0.01,-0.22,-0.02,10.19,10.22,10.22
30.99,10.29,0.07,10.23,0.01,-0.01,-0.23,-0.02,10.27,10.21,10.22
31.30,10.29,0.08,10.23,0.02,-0.02,-0.23,-0.03,10.27,10.21,10.21
31.61,10.29,0.09,10.23,0.03,-0.03,-0.23,-0.03,10.26,10.20,10.20
31.93,10.29,0.10,10.23,0.04,-0.04,-0.24,-0.04,10.25,10.20,10.19
32.24,10.29,0.10,10.24,0.05,-0.05,-0.24,-0.05,10.24,10.19,10.19
32.57,10.29,0.12,10.25,0.07,-0.07,-0.25,-0.05,10.22,10.18,10.17
32.89,10.29,0.12,10.26,0.08,-0.08,-0.25,-0.06,10.21,10.18,10.17
33.22,10.27,0.10,10.26,0.09,-0.09,-0.26,-0.07,10.18,10.17,10.17
33.55,10.23,0.07,10.25,0.09,-0.09,-0.26,-0.08,10.14,10.16,10.16
33.89,10.19,0.02,10.24,0.08,-0.08,-0.27,-0.08,10.11,10.16,10.17
34.23,10.18,0.03,10.22,0.07,-0.07,-0.27,-0.09,10.11,10.16,10.15
34.57,10.18,0.03,10.21,0.06,-0.06,-0.28,-0.10,10.12,10.15,10.15
34.92,10.18,0.04,10.20,0.06,-0.06,-0.28,-0.11,10.12,10.14,10.14
35.27,10.18,0.03,10.19,0.05,-0.05,-0.29,-0.12,10.13,10.14,10.15
35.62,10.18,0.05,10.18,0.05,-0.05,-0.30,-0.13,10.13,10.13,10.13
35.97,10.18,0.05,10.16,0.04,-0.04,-0.30,-0.14,10.14,10.12,10.13
36.33,10.18,0.07,10.14,0.04,-0.04,-0.31,-0.15,10.14,10.11,10.11
36.70,10.18,0.08,10.13,0.04,-0.04,-0.31,-0.16,10.14,10.09,10.10
37.06,10.17,0.09,10.11,0.03,-0.03,-0.32,-0.17,10.13,10.07,10.08
37.43,10.13,0.07,10.08,0.03,-0.03,-0.33,-0.18,10.10,10.05,10.06
37.81,10.08,0.04,10.07,0.04,-0.04,-0.33,-0.19,10.04,10.03,10.04
38.19,10.04,0.03,10.06,0.05,-0.05,-0.34,-0.20,9.98,10.01,10.01
38.57,10.01,0.02,10.07,0.08,-0.08,-0.35,-0.21,9.92,9.98,9.99
38.95,9.98,0.02,10.06,0.10,-0.10,-0.35,-0.22,9.87,9.96,9.96
39.34,9.98,0.06,10.05,0.12,-0.12,-0.36,-0.23,9.86,9.93,9.92
39.74,9.98,0.08,10.03,0.13,-0.13,-0.37,-0.25,9.85,9.90,9.90
40.14,9.98,0.11,10.01,0.13,-0.13,-0.37,-0.26,9.84,9.88,9.87
40.54,9.98,0.13,9.99,0.14,-0.14,-0.38,-0.27,9.84,9.85,9.85
40.94,9.98,0.16,9.96,0.14,-0.14,-0.39,-0.28,9.84,9.82,9.82
41.35,10.07,0.27,9.94,0.14,-0.14,-0.39,-0.29,9.92,9.80,9.80
41.76,10.17,0.41,9.93,0.16,-0.16,-0.40,-0.31,10.01,9.77,9.76
42.18,10.13,0.39,9.93,0.19,-0.19,-0.41,-0.32,9.94,9.74,9.74
42.60,9.90,0.18,9.92,0.21,-0.21,-0.42,-0.33,9.69,9.71,9.72
43.03,9.68,-0.01,9.91,0.22,-0.22,-0.43,-0.35,9.46,9.69,9.69
43.46,9.73,0.07,9.90,0.24,-0.24,-0.43,-0.36,9.49,9.66,9.66
43.90,9.77,0.13,9.88,0.25,-0.25,-0.44,-0.37,9.52,9.63,9.64
44.33,9.78,0.18,9.86,0.26,-0.26,-0.45,-0.39,9.52,9.60,9.60
44.78,9.78,0.21,9.82,0.25,-0.25,-0.46,-0.40,9.53,9.57,9.57
45.23,9.83,0.27,9.80,0.25,-0.25,-0.47,-0.42,9.57,9.54,9.56
45.68,9.94,0.43,9.77,0.26,-0.26,-0.48,-0.43,9.68,9.51,9.51
46.13,9.97,0.50,9.74,0.27,-0.27,-0.49,-0.45,9.70,9.47,9.47
