frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,0.68,-4.97,0.70,-4.96,4.96,4.74,1.98,5.64,5.66,5.65
20.20,0.70,-4.94,0.71,-4.94,4.94,4.73,2.04,5.64,5.65,5.64
20.40,0.72,-4.91,0.72,-4.91,4.91,4.73,2.10,5.64,5.64,5.63
20.61,0.74,-4.89,0.74,-4.89,4.89,4.72,2.16,5.63,5.63,5.63
20.81,0.76,-4.85,0.75,-4.87,4.87,4.72,2.22,5.63,5.62,5.61
21.02,0.78,-4.83,0.77,-4.84,4.84,4.71,2.29,5.63,5.61,5.61
21.23,0.80,-4.80,0.78,-4.82,4.82,4.71,2.35,5.62,5.60,5.60
21.44,0.82,-4.79,0.80,-4.80,4.80,4.70,2.42,5.62,5.60,5.61
21.66,0.83,-4.77,0.81,-4.78,4.78,4.69,2.49,5.61,5.59,5.60
21.87,0.85,-4.74,0.82,-4.76,4.76,4.69,2.56,5.61,5.59,5.59
22.09,0.85,-4.73,0.84,-4.74,4.74,4.68,2.64,5.59,5.58,5.58
22.31,0.84,-4.74,0.85,-4.72,4.72,4.67,2.72,5.56,5.58,5.58
22.54,0.82,-4.75,0.87,-4.70,4.70,4.66,2.79,5.52,5.57,5.57
22.76,0.81,-4.75,0.88,-4.69,4.69,4.65,2.87,5.50,5.57,5.56
22.99,0.79,-4.76,0.89,-4.67,4.67,4.64,2.96,5.47,5.56,5.55
23.22,0.85,-4.69,0.90,-4.66,4.66,4.63,3.04,5.52,5.56,5.54
23.45,0.92,-4.63,0.90,-4.65,4.65,4.62,3.13,5.58,5.56,5.55
23.69,0.99,-4.55,0.91,-4.65,4.65,4.61,3.21,5.64,5.55,5.54
23.92,1.06,-4.48,0.92,-4.63,4.63,4.60,3.30,5.69,5.55,5.54
24.16,1.05,-4.50,0.93,-4.62,4.62,4.59,3.40,5.67,5.55,5.55
24.40,1.00,-4.56,0.96,-4.60,4.60,4.58,3.49,5.60,5.55,5.56
24.65,0.96,-4.60,0.99,-4.56,4.56,4.57,3.58,5.52,5.55,5.56
24.89,0.91,-4.65,1.03,-4.52,4.52,4.56,3.68,5.43,5.56,5.56
25.14,0.93,-4.62,1.08,-4.48,4.48,4.54,3.77,5.41,5.56,5.55
25.39,1.01,-4.54,1.12,-4.44,4.44,4.53,3.87,5.45,5.56,5.55
25.65,1.08,-4.47,1.16,-4.40,4.40,4.51,3.97,5.48,5.56,5.55
25.91,1.15,-4.41,1.20,-4.36,4.36,4.50,4.06,5.51,5.57,5.56
26.16,1.24,-4.33,1.24,-4.33,4.33,4.49,4.16,5.57,5.57,5.57
26.43,1.33,-4.24,1.28,-4.29,4.29,4.47,4.25,5.62,5.57,5.57
26.69,1.42,-4.15,1.32,-4.25,4.25,4.45,4.35,5.67,5.57,5.57
26.96,1.51,-4.05,1.36,-4.20,4.20,4.44,4.44,5.71,5.57,5.56
27.23,1.49,-4.07,1.39,-4.17,4.17,4.42,4.53,5.67,5.57,5.56
27.50,1.45,-4.11,1.41,-4.16,4.16,4.40,4.62,5.61,5.57,5.56
27.77,1.42,-4.15,1.41,-4.16,4.16,4.39,4.70,5.58,5.57,5.57
28.05,1.39,-4.18,1.40,-4.16,4.16,4.37,4.78,5.56,5.57,5.57
28.33,1.39,-4.16,1.39,-4.17,4.17,4.35,4.86,5.56,5.57,5.55
28.62,1.39,-4.16,1.38,-4.18,4.18,4.33,4.93,5.57,5.57,5.55
28.90,1.39,-4.17,1.37,-4.19,4.19,4.31,5.00,5.58,5.56,5.56
29.19,1.35,-4.21,1.36,-4.20,4.20,4.29,5.05,5.56,5.56,5.56
29.48,1.28,-4.27,1.34,-4.21,4.21,4.27,5.11,5.49,5.56,5.55
29.78,1.21,-4.34,1.34,-4.21,4.21,4.25,5.15,5.42,5.55,5.55
30.08,1.19,-4.37,1.35,-4.20,4.20,4.23,5.19,5.39,5.55,5.56
30.38,1.29,-4.26,1.37,-4.17,4.17,4.21,5.22,5.46,5.54,5.55
30.68,1.39,-4.14,1.39,-4.15,4.15,4.18,5.24,5.54,5.54,5.53
30.99,1.49,-4.04,1.40,-4.13,4.13,4.16,5.26,5.62,5.53,5.53
31.30,1.49,-4.03,1.41,-4.12,4.12,4.14,5.26,5.61,5.52,5.52
31.61,1.49,-4.02,1.42,-4.10,4.10,4.11,5.26,5.59,5.52,5.51
31.93,1.49,-4.01,1.44,-4.07,4.07,4.09,5.24,5.57,5.51,5.50
32.24,1.51,-3.99,1.46,-4.05,4.05,4.06,5.22,5.56,5.50,5.50
32.57,1.53,-3.95,1.48,-4.01,4.01,4.04,5.19,5.54,5.50,5.48
32.89,1.55,-3.93,1.51,-3.98,3.98,4.01,5.16,5.53,5.49,5.48
33.22,1.52,-3.96,1.53,-3.95,3.95,3.99,5.11,5.47,5.49,5.48
33.55,1.45,-4.02,1.55,-3.93,3.93,3.96,5.06,5.38,5.48,5.47
33.89,1.39,-4.09,1.56,-3.91,3.91,3.93,5.01,5.30,5.48,5.48
34.23,1.44,-4.02,1.57,-3.90,3.90,3.90,4.94,5.34,5.47,5.46
34.57,1.55,-3.91,1.58,-3.89,3.89,3.88,4.87,5.44,5.47,5.46
34.92,1.66,-3.79,1.58,-3.88,3.88,3.85,4.80,5.54,5.46,5.45
35.27,1.69,-3.77,1.59,-3.86,3.86,3.82,4.72,5.55,5.45,5.46
35.62,1.69,-3.75,1.61,-3.84,3.84,3.79,4.64,5.53,5.44,5.44
35.97,1.69,-3.75,1.62,-3.81,3.81,3.76,4.56,5.51,5.43,5.44
36.33,1.69,-3.73,1.63,-3.79,3.79,3.73,4.47,5.48,5.42,5.42
36.70,1.69,-3.72,1.65,-3.75,3.75,3.69,4.39,5.44,5.41,5.41
37.06,1.68,-3.71,1.67,-3.71,3.71,3.66,4.30,5.39,5.39,5.39
37.43,1.62,-3.75,1.69,-3.67,3.67,3.63,4.21,5.30,5.37,5.37
37.81,1.56,-3.79,1.71,-3.64,3.64,3.60,4.12,5.20,5.35,5.35
38.19,1.58,-3.74,1.71,-3.61,3.61,3.56,4.03,5.19,5.32,5.32
38.57,1.68,-3.62,1.71,-3.59,3.59,3.53,3.94,5.27,5.30,5.30
38.95,1.78,-3.49,1.72,-3.56,3.56,3.49,3.85,5.34,5.27,5.27
39.34,1.79,-3.44,1.73,-3.52,3.52,3.46,3.76,5.31,5.25,5.23
39.74,1.79,-3.42,1.75,-3.47,3.47,3.42,3.67,5.27,5.22,5.21
40.14,1.79,-3.39,1.76,-3.43,3.43,3.39,3.59,5.22,5.19,5.18
40.54,1.79,-3.37,1.78,-3.39,3.39,3.35,3.50,5.18,5.16,5.16
40.94,1.79,-3.34,1.78,-3.35,3.35,3.31,3.42,5.15,5.14,5.13
41.35,1.79,-3.32,1.78,-3.33,3.33,3.27,3.34,5.12,5.11,5.11
41.76,1.79,-3.28,1.78,-3.30,3.30,3.24,3.26,5.09,5.08,5.07
42.18,1.79,-3.26,1.77,-3.28,3.28,3.20,3.18,5.07,5.06,5.05
42.60,1.79,-3.24,1.77,-3.26,3.26,3.16,3.11,5.05,5.03,5.03
43.03,1.79,-3.21,1.77,-3.24,3.24,3.12,3.04,5.03,5.00,5.00
43.46,1.79,-3.18,1.77,-3.21,3.21,3.08,2.97,5.00,4.98,4.97
43.90,1.79,-3.16,1.78,-3.17,3.17,3.03,2.90,4.96,4.95,4.95
44.33,1.73,-3.18,1.80,-3.12,3.12,2.99,2.83,4.85,4.92,4.91
44.78,1.66,-3.22,1.82,-3.07,3.07,2.95,2.77,4.73,4.89,4.88
45.23,1.68,-3.19,1.84,-3.02,3.02,2.91,2.71,4.70,4.86,4.87
45.68,1.80,-3.02,1.86,-2.96,2.96,2.86,2.65,4.76,4.82,4.82
46.13,1.92,-2.86,1.88,-2.90,2.90,2.82,2.59,4.83,4.79,4.78
46.60,2.00,-2.75,1.90,-2.84,2.84,2.78,2.54,4.85,4.75,4.75
47.06,2.07,-2.64,1.93,-2.78,2.78,2.73,2.49,4.85,4.71,4.71
47.53,2.03,-2.65,1.95,-2.72,2.72,2.69,2.44,4.75,4.66,4.68
48.01,1.99,-2.63,1.97,-2.65,2.65,2.64,2.39,4.65,4.62,4.62
48.49,1.99,-2.58,1.99,-2.59,2.59,2.59,2.34,4.58,4.58,4.57
48.97,1.99,-2.54,2.01,-2.52,2.52,2.55,2.30,4.52,4.53,4.53
49.46,1.99,-2.50,2.03,-2.46,2.46,2.50,2.25,4.45,4.49,4.49
