frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,6.30,0.56,6.29,0.55,-0.59,-0.73,-0.46,5.71,5.71,5.74
20.20,6.36,0.63,6.36,0.63,-0.64,-0.74,-0.47,5.72,5.72,5.73
20.40,6.41,0.69,6.42,0.70,-0.69,-0.75,-0.48,5.72,5.73,5.72
20.61,6.47,0.75,6.47,0.76,-0.74,-0.76,-0.50,5.73,5.73,5.72
20.81,6.52,0.82,6.52,0.82,-0.78,-0.77,-0.51,5.74,5.74,5.70
21.02,6.57,0.87,6.56,0.86,-0.81,-0.78,-0.53,5.75,5.74,5.70
21.23,6.57,0.88,6.57,0.87,-0.84,-0.79,-0.54,5.72,5.72,5.69
21.44,6.56,0.86,6.57,0.87,-0.87,-0.80,-0.56,5.69,5.70,5.70
21.66,6.56,0.87,6.56,0.87,-0.88,-0.81,-0.57,5.68,5.68,5.69
21.87,6.55,0.87,6.55,0.87,-0.89,-0.82,-0.59,5.66,5.66,5.68
22.09,6.55,0.88,6.55,0.88,-0.89,-0.84,-0.60,5.66,5.66,5.67
22.31,6.56,0.89,6.56,0.89,-0.90,-0.85,-0.62,5.66,5.66,5.67
22.54,6.57,0.91,6.57,0.91,-0.91,-0.86,-0.64,5.66,5.66,5.66
22.76,6.58,0.93,6.58,0.93,-0.93,-0.87,-0.66,5.65,5.65,5.65
22.99,6.59,0.95,6.59,0.95,-0.94,-0.88,-0.67,5.65,5.65,5.64
23.22,6.60,0.97,6.60,0.97,-0.96,-0.89,-0.69,5.64,5.64,5.63
23.45,6.62,0.98,6.62,0.98,-0.98,-0.91,-0.71,5.64,5.64,5.64
23.69,6.63,1.00,6.63,1.00,-1.00,-0.92,-0.73,5.63,5.63,5.63
23.92,6.65,1.02,6.65,1.01,-1.01,-0.93,-0.75,5.63,5.63,5.63
24.16,6.66,1.02,6.67,1.03,-1.03,-0.94,-0.77,5.63,5.63,5.64
24.40,6.69,1.04,6.69,1.04,-1.05,-0.95,-0.79,5.64,5.64,5.65
24.65,6.71,1.06,6.71,1.06,-1.06,-0.97,-0.81,5.65,5.65,5.65
24.89,6.73,1.08,6.73,1.08,-1.07,-0.98,-0.83,5.66,5.65,5.65
25.14,6.74,1.10,6.74,1.09,-1.08,-0.99,-0.85,5.66,5.66,5.64
25.39,6.74,1.10,6.74,1.10,-1.09,-1.00,-0.88,5.65,5.65,5.64
25.65,6.74,1.10,6.74,1.10,-1.09,-1.02,-0.90,5.65,5.65,5.64
25.91,6.74,1.09,6.74,1.09,-1.09,-1.03,-0.92,5.65,5.65,5.65
26.16,6.74,1.08,6.74,1.08,-1.09,-1.04,-0.94,5.65,5.65,5.66
26.43,6.74,1.08,6.74,1.08,-1.09,-1.05,-0.96,5.65,5.65,5.66
26.69,6.74,1.08,6.74,1.08,-1.09,-1.07,-0.98,5.65,5.65,5.66
26.96,6.74,1.09,6.74,1.09,-1.09,-1.08,-1.01,5.65,5.65,5.65
27.23,6.75,1.10,6.75,1.10,-1.10,-1.09,-1.03,5.65,5.65,5.65
27.50,6.76,1.11,6.76,1.10,-1.11,-1.10,-1.05,5.65,5.65,5.65
27.77,6.77,1.11,6.77,1.11,-1.12,-1.11,-1.07,5.65,5.65,5.66
28.05,6.78,1.12,6.78,1.13,-1.14,-1.13,-1.09,5.64,5.65,5.66
28.33,6.80,1.16,6.80,1.15,-1.15,-1.14,-1.11,5.65,5.65,5.64
28.62,6.82,1.18,6.82,1.17,-1.16,-1.15,-1.13,5.66,5.65,5.64
28.90,6.83,1.18,6.83,1.19,-1.17,-1.16,-1.15,5.66,5.66,5.65
29.19,6.84,1.19,6.84,1.19,-1.18,-1.18,-1.16,5.66,5.65,5.65
29.48,6.84,1.20,6.84,1.19,-1.19,-1.19,-1.18,5.65,5.65,5.64
29.78,6.84,1.20,6.84,1.19,-1.20,-1.20,-1.20,5.64,5.64,5.64
30.08,6.84,1.19,6.84,1.20,-1.20,-1.21,-1.21,5.64,5.64,5.65
30.38,6.84,1.20,6.84,1.20,-1.21,-1.22,-1.23,5.63,5.63,5.64
30.68,6.84,1.22,6.84,1.21,-1.21,-1.24,-1.24,5.63,5.63,5.62
30.99,6.84,1.22,6.84,1.22,-1.22,-1.25,-1.25,5.62,5.62,5.62
31.30,6.84,1.23,6.84,1.23,-1.23,-1.26,-1.27,5.61,5.61,5.61
31.61,6.84,1.24,6.84,1.24,-1.24,-1.27,-1.28,5.60,5.60,5.60
31.93,6.84,1.25,6.84,1.25,-1.25,-1.28,-1.29,5.59,5.59,5.59
32.24,6.84,1.25,6.84,1.26,-1.25,-1.30,-1.29,5.59,5.59,5.59
32.57,6.84,1.27,6.84,1.26,-1.26,-1.31,-1.30,5.58,5.58,5.57
32.89,6.84,1.27,6.84,1.27,-1.27,-1.32,-1.31,5.57,5.57,5.57
33.22,6.84,1.27,6.84,1.27,-1.27,-1.33,-1.32,5.57,5.57,5.57
33.55,6.84,1.28,6.84,1.27,-1.28,-1.34,-1.32,5.56,5.56,5.56
33.89,6.84,1.27,6.84,1.28,-1.28,-1.35,-1.33,5.55,5.55,5.57
34.23,6.84,1.29,6.84,1.29,-1.29,-1.37,-1.33,5.55,5.55,5.55
34.57,6.84,1.29,6.84,1.29,-1.29,-1.38,-1.34,5.54,5.54,5.55
34.92,6.84,1.30,6.84,1.30,-1.29,-1.39,-1.34,5.55,5.55,5.54
35.27,6.84,1.29,6.84,1.30,-1.29,-1.40,-1.35,5.55,5.56,5.55
35.62,6.84,1.31,6.84,1.31,-1.28,-1.41,-1.35,5.56,5.56,5.53
35.97,6.84,1.31,6.82,1.30,-1.27,-1.42,-1.35,5.57,5.56,5.53
36.33,6.79,1.28,6.78,1.27,-1.26,-1.43,-1.36,5.53,5.52,5.51
36.70,6.73,1.23,6.74,1.24,-1.26,-1.44,-1.36,5.47,5.47,5.50
37.06,6.69,1.21,6.71,1.23,-1.27,-1.45,-1.37,5.42,5.43,5.48
37.43,6.71,1.25,6.70,1.24,-1.29,-1.46,-1.37,5.42,5.42,5.46
37.81,6.73,1.29,6.72,1.28,-1.31,-1.47,-1.38,5.42,5.42,5.44
38.19,6.75,1.34,6.76,1.34,-1.33,-1.48,-1.38,5.42,5.43,5.41
38.57,6.77,1.38,6.78,1.39,-1.35,-1.49,-1.39,5.42,5.43,5.39
38.95,6.80,1.44,6.77,1.42,-1.37,-1.51,-1.40,5.43,5.41,5.36
39.34,6.75,1.43,6.74,1.42,-1.39,-1.52,-1.41,5.36,5.35,5.32
39.74,6.69,1.39,6.70,1.40,-1.41,-1.53,-1.42,5.28,5.29,5.30
40.14,6.65,1.38,6.66,1.39,-1.42,-1.54,-1.43,5.23,5.24,5.27
40.54,6.65,1.40,6.65,1.40,-1.43,-1.55,-1.44,5.21,5.21,5.25
40.94,6.65,1.43,6.65,1.42,-1.45,-1.56,-1.45,5.20,5.20,5.22
41.35,6.65,1.45,6.65,1.46,-1.46,-1.57,-1.46,5.19,5.19,5.20
41.76,6.65,1.49,6.65,1.48,-1.47,-1.58,-1.48,5.18,5.18,5.16
42.18,6.65,1.51,6.66,1.51,-1.49,-1.59,-1.49,5.16,5.17,5.14
42.60,6.65,1.53,6.65,1.54,-1.50,-1.60,-1.51,5.15,5.15,5.12
43.03,6.65,1.56,6.62,1.53,-1.52,-1.61,-1.52,5.13,5.10,5.09
43.46,6.58,1.52,6.58,1.51,-1.53,-1.62,-1.54,5.05,5.04,5.06
43.90,6.51,1.47,6.54,1.51,-1.54,-1.63,-1.56,4.97,5.00,5.04
44.33,6.52,1.52,6.54,1.53,-1.54,-1.64,-1.58,4.97,4.99,5.00
44.78,6.57,1.60,6.54,1.56,-1.55,-1.65,-1.61,5.01,4.99,4.97
45.23,6.56,1.60,6.54,1.59,-1.57,-1.66,-1.63,4.99,4.97,4.96
45.68,6.49,1.58,6.50,1.59,-1.58,-1.67,-1.66,4.91,4.92,4.91
46.13,6.45,1.58,6.47,1.59,-1.60,-1.68,-1.68,4.85,4.86,4.87
46.60,6.45,1.61,6.44,1.61,-1.62,-1.69,-1.71,4.82,4.82,4.84
47.06,6.45,1.65,6.45,1.65,-1.65,-1.70,-1.74,4.80,4.81,4.80
47.53,6.45,1.68,6.45,1.69,-1.67,-1.71,-1.77,4.78,4.78,4.77
48.01,6.45,1.74,6.42,1.70,-1.70,-1.72,-1.80,4.75,4.72,4.71
48.49,6.38,1.72,6.37,1.71,-1.73,-1.73,-1.83,4.65,4.64,4.66
48.97,6.30,1.68,6.36,1.74,-1.76,-1.74,-1.86,4.53,4.59,4.62
49.46,6.36,1.78,6.36,1.79,-1.80,-1.75,-1.89,4.56,4.56,4.58
49.96,6.41,1.90,6.36,1.84,-1.82,-1.76,-1.93,4.59,4.54,4.51
50.46,6.35,1.88,6.35,1.87,-1.83,-1.77,-1.96,4.52,4.51,4.47
50.96,6.27,1.84,6.31,1.88,-1.85,-1.79,-2.00,4.42,4.46,4.43
51.47,6.26,1.87,6.26,1.88,-1.86,-1.80,-2.03,4.39,4.40,4.39
51.99,6.26,1.92,6.22,1.87,-1.89,-1.81,-2.07,4.37,4.33,4.34
52.51,6.18,1.88,6.18,1.88,-1.92,-1.82,-2.10,4.26,4.26,4.30
53.03,6.11,1.84,6.15,1.89,-1.94,-1.83,-2.14,4.17,4.20,4.27
53.56,6.14,1.93,6.14,1.92,-1.97,-1.85,-2.17,4.17,4.17,4.21
54.10,6.17,2.01,6.17,2.00,-1.99,-1.86,-2.21,4.18,4.18,4.16
54.64,6.20,2.08,6.19,2.08,-2.01,-1.87,-2.24,4.19,4.18,4.12
55.18,6.19,2.13,6.17,2.11,-2.04,-1.89,-2.27,4.15,4.13,4.06
55.74,6.11,2.10,6.11,2.09,-2.07,-1.90,-2.30,4.04,4.04,4.01
56.29,6.03,2.05,6.02,2.05,-2.09,-1.92,-2.34,3.94,3.94,3.98
56.86,5.94,2.00,5.98,2.05,-2.10,-1.93,-2.36,3.84,3.88,3.94
57.42,5.96,2.08,5.97,2.08,-2.10,-1.95,-2.39,3.86,3.87,3.88
58.00,6.02,2.17,5.97,2.12,-2.10,-1.96,-2.42,3.91,3.86,3.85
58.58,5.96,2.14,5.97,2.15,-2.11,-1.98,-2.44,3.85,3.86,3.82
59.16,5.91,2.13,5.93,2.15,-2.13,-2.00,-2.46,3.78,3.80,3.78
59.76,5.89,2.15,5.86,2.13,-2.15,-2.01,-2.48,3.73,3.71,3.74
60.35,5.83,2.16,5.82,2.14,-2.18,-2.03,-2.50,3.65,3.64,3.67
60.96,5.74,2.12,5.80,2.18,-2.20,-2.05,-2.51,3.54,3.60,3.62
61.57,5.79,2.24,5.77,2.23,-2.22,-2.07,-2.52,3.57,3.56,3.55
62.18,5.80,2.32,5.74,2.26,-2.24,-2.09,-2.53,3.56,3.51,3.48
62.80,5.68,2.26,5.70,2.28,-2.25,-2.11,-2.54,3.42,3.45,3.42
63.43,5.62,2.26,5.64,2.27,-2.27,-2.13,-2.54,3.34,3.36,3.36
64.07,5.59,2.28,5.58,2.28,-2.30,-2.15,-2.54,3.29,3.29,3.31
64.71,5.56,2.31,5.56,2.31,-2.31,-2.17,-2.54,3.25,3.25,3.25
65.35,5.53,2.34,5.53,2.33,-2.33,-2.19,-2.53,3.20,3.20,3.19
66.01,5.50,2.37,5.47,2.34,-2.35,-2.21,-2.52,3.15,3.13,3.13
66.67,5.41,2.32,5.43,2.35,-2.37,-2.24,-2.51,3.04,3.06,3.09
67.33,5.37,2.36,5.40,2.38,-2.39,-2.26,-2.50,2.98,3.01,3.01
68.01,5.40,2.44,5.38,2.42,-2.41,-2.28,-2.49,2.99,2.97,2.96
68.69,5.37,2.48,5.33,2.44,-2.43,-2.30,-2.47,2.94,2.90,2.89
69.37,5.28,2.44,5.29,2.46,-2.44,-2.33,-2.46,2.84,2.85,2.84
70.07,5.18,2.41,5.25,2.47,-2.46,-2.35,-2.44,2.72,2.79,2.77
70.77,5.25,2.54,5.19,2.48,-2.48,-2.38,-2.42,2.77,2.71,2.71
71.48,5.16,2.52,5.13,2.49,-2.50,-2.40,-2.40,2.66,2.62,2.64
72.19,5.03,2.46,5.07,2.50,-2.53,-2.43,-2.37,2.50,2.54,2.57
72.91,4.98,2.47,5.02,2.51,-2.55,-2.45,-2.35,2.43,2.47,2.51
73.64,5.03,2.59,5.01,2.57,-2.57,-2.47,-2.33,2.46,2.44,2.44
74.38,5.03,2.65,5.00,2.62,-2.59,-2.50,-2.31,2.44,2.41,2.38
75.12,4.96,2.65,4.96,2.64,-2.60,-2.52,-2.29,2.36,2.35,2.31
75.87,4.87,2.60,4.89,2.62,-2.61,-2.55,-2.26,2.26,2.27,2.27
76.63,4.81,2.61,4.83,2.62,-2.62,-2.57,-2.24,2.19,2.20,2.20
77.40,4.78,2.63,4.76,2.61,-2.62,-2.59,-2.22,2.16,2.13,2.15
78.17,4.73,2.64,4.71,2.62,-2.62,-2.61,-2.20,2.11,2.09,2.09
78.95,4.61,2.56,4.67,2.62,-2.62,-2.64,-2.18,1.99,2.04,2.05
79.74,4.65,2.66,4.59,2.60,-2.62,-2.66,-2.17,2.03,1.97,1.99
80.54,4.53,2.60,4.52,2.59,-2.62,-2.68,-2.15,1.91,1.90,1.93
81.35,4.43,2.55,4.51,2.63,-2.62,-2.69,-2.13,1.81,1.89,1.88
82.16,4.47,2.64,4.45,2.63,-2.61,-2.71,-2.12,1.86,1.85,1.83
82.98,4.50,2.73,4.41,2.64,-2.60,-2.73,-2.11,1.90,1.81,1.77
83.81,4.28,2.57,4.35,2.64,-2.59,-2.74,-2.10,1.68,1.75,1.71
84.65,4.24,2.59,4.23,2.58,-2.60,-2.75,-2.09,1.64,1.63,1.65
85.50,4.14,2.56,4.11,2.53,-2.60,-2.77,-2.08,1.54,1.51,1.58
