frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-2.55,-9.06,-2.54,-9.05,9.05,8.52,4.09,6.50,6.51,6.51
20.20,-2.55,-9.05,-2.55,-9.05,9.05,8.55,4.20,6.50,6.50,6.50
20.40,-2.55,-9.04,-2.55,-9.04,9.04,8.58,4.31,6.49,6.49,6.49
20.61,-2.55,-9.04,-2.56,-9.04,9.04,8.61,4.43,6.48,6.48,6.48
20.81,-2.55,-9.02,-2.56,-9.03,9.03,8.63,4.55,6.48,6.47,6.46
21.02,-2.55,-9.02,-2.56,-9.02,9.02,8.66,4.67,6.47,6.46,6.46
21.23,-2.55,-9.00,-2.56,-9.01,9.01,8.68,4.79,6.46,6.45,6.45
21.44,-2.55,-9.01,-2.56,-9.01,9.01,8.71,4.92,6.45,6.45,6.46
21.66,-2.55,-9.00,-2.56,-9.00,9.00,8.73,5.06,6.44,6.44,6.45
21.87,-2.55,-8.99,-2.55,-8.99,8.99,8.75,5.19,6.44,6.43,6.44
22.09,-2.55,-8.98,-2.55,-8.98,8.98,8.77,5.34,6.43,6.43,6.43
22.31,-2.55,-8.98,-2.55,-8.97,8.97,8.79,5.48,6.42,6.42,6.43
22.54,-2.55,-8.97,-2.54,-8.96,8.96,8.81,5.63,6.40,6.42,6.42
22.76,-2.55,-8.97,-2.53,-8.95,8.95,8.83,5.78,6.39,6.41,6.41
22.99,-2.55,-8.96,-2.53,-8.94,8.94,8.85,5.94,6.38,6.41,6.40
23.22,-2.53,-8.92,-2.52,-8.92,8.92,8.87,6.10,6.39,6.40,6.39
23.45,-2.50,-8.90,-2.51,-8.91,8.91,8.89,6.26,6.41,6.40,6.40
23.69,-2.48,-8.87,-2.50,-8.90,8.90,8.90,6.43,6.41,6.40,6.39
23.92,-2.46,-8.85,-2.49,-8.88,8.88,8.92,6.60,6.42,6.40,6.39
24.16,-2.45,-8.85,-2.47,-8.87,8.87,8.93,6.78,6.42,6.40,6.40
24.40,-2.45,-8.86,-2.46,-8.85,8.85,8.94,6.96,6.40,6.40,6.41
24.65,-2.45,-8.86,-2.44,-8.84,8.84,8.96,7.14,6.39,6.40,6.40
24.89,-2.45,-8.85,-2.43,-8.83,8.83,8.97,7.33,6.37,6.40,6.40
25.14,-2.44,-8.84,-2.41,-8.81,8.81,8.98,7.52,6.37,6.40,6.40
25.39,-2.41,-8.81,-2.40,-8.80,8.80,8.99,7.71,6.39,6.40,6.40
25.65,-2.38,-8.78,-2.39,-8.79,8.79,8.99,7.90,6.41,6.40,6.40
25.91,-2.36,-8.77,-2.38,-8.79,8.79,9.00,8.10,6.42,6.41,6.40
26.16,-2.35,-8.76,-2.37,-8.78,8.78,9.01,8.30,6.43,6.41,6.41
26.43,-2.35,-8.76,-2.37,-8.77,8.77,9.01,8.49,6.42,6.41,6.41
26.69,-2.35,-8.76,-2.36,-8.77,8.77,9.02,8.69,6.42,6.41,6.41
26.96,-2.35,-8.76,-2.36,-8.76,8.76,9.02,8.89,6.41,6.40,6.41
27.23,-2.35,-8.76,-2.35,-8.75,8.75,9.03,9.08,6.40,6.40,6.40
27.50,-2.35,-8.75,-2.35,-8.75,8.75,9.03,9.27,6.40,6.40,6.40
27.77,-2.35,-8.76,-2.35,-8.75,8.75,9.03,9.46,6.40,6.40,6.41
28.05,-2.35,-8.76,-2.35,-8.75,8.75,9.03,9.64,6.40,6.40,6.41
28.33,-2.35,-8.75,-2.35,-8.75,8.75,9.03,9.82,6.40,6.40,6.39
28.62,-2.35,-8.74,-2.35,-8.75,8.75,9.02,9.98,6.40,6.40,6.39
