frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,13.28,4.24,13.32,4.27,-4.27,-4.12,-1.74,9.01,9.04,9.04
20.20,13.32,4.29,13.34,4.31,-4.31,-4.12,-1.80,9.01,9.03,9.03
20.40,13.36,4.34,13.37,4.35,-4.35,-4.11,-1.85,9.02,9.02,9.02
20.61,13.40,4.38,13.39,4.38,-4.38,-4.11,-1.90,9.02,9.01,9.02
20.81,13.43,4.43,13.41,4.41,-4.41,-4.11,-1.96,9.03,9.01,9.00
21.02,13.47,4.47,13.43,4.43,-4.43,-4.10,-2.01,9.04,9.00,9.00
21.23,13.47,4.48,13.44,4.45,-4.45,-4.10,-2.07,9.02,8.99,8.99
21.44,13.47,4.47,13.45,4.47,-4.47,-4.10,-2.13,9.00,8.98,9.00
21.66,13.47,4.48,13.46,4.49,-4.49,-4.10,-2.20,8.98,8.98,8.99
21.87,13.47,4.49,13.47,4.50,-4.50,-4.09,-2.26,8.97,8.97,8.98
22.09,13.47,4.50,13.47,4.51,-4.51,-4.09,-2.32,8.96,8.97,8.97
22.31,13.47,4.50,13.48,4.52,-4.52,-4.09,-2.39,8.95,8.96,8.97
22.54,13.47,4.51,13.47,4.52,-4.52,-4.08,-2.46,8.95,8.96,8.96
22.76,13.47,4.52,13.47,4.52,-4.52,-4.08,-2.53,8.95,8.95,8.95
22.99,13.47,4.53,13.47,4.52,-4.52,-4.08,-2.60,8.95,8.95,8.94
23.22,13.45,4.52,13.46,4.52,-4.52,-4.07,-2.68,8.93,8.94,8.93
23.45,13.42,4.48,13.45,4.51,-4.51,-4.07,-2.76,8.91,8.94,8.94
23.69,13.40,4.47,13.43,4.49,-4.49,-4.07,-2.83,8.91,8.94,8.93
23.92,13.38,4.45,13.40,4.46,-4.46,-4.06,-2.91,8.92,8.94,8.93
24.16,13.37,4.43,13.36,4.42,-4.42,-4.06,-2.99,8.95,8.94,8.94
24.40,13.37,4.42,13.33,4.39,-4.39,-4.05,-3.07,8.98,8.94,8.95
24.65,13.37,4.42,13.30,4.36,-4.36,-4.05,-3.16,9.01,8.94,8.95
24.89,13.37,4.42,13.27,4.33,-4.33,-4.05,-3.24,9.04,8.94,8.95
25.14,13.31,4.37,13.24,4.30,-4.30,-4.04,-3.32,9.01,8.94,8.94
25.39,13.19,4.25,13.21,4.26,-4.26,-4.04,-3.41,8.93,8.95,8.94
25.65,13.08,4.14,13.17,4.22,-4.22,-4.03,-3.49,8.86,8.95,8.94
25.91,12.97,4.02,13.13,4.18,-4.18,-4.03,-3.58,8.79,8.95,8.95
26.16,12.97,4.01,13.10,4.15,-4.15,-4.02,-3.66,8.83,8.95,8.96
26.43,13.03,4.07,13.07,4.12,-4.12,-4.02,-3.75,8.91,8.95,8.96
26.69,13.10,4.14,13.06,4.10,-4.10,-4.02,-3.83,9.00,8.95,8.96
26.96,13.16,4.21,13.04,4.09,-4.09,-4.01,-3.91,9.07,8.95,8.95
27.23,13.09,4.14,13.01,4.06,-4.06,-4.01,-3.99,9.03,8.95,8.95
27.50,13.00,4.05,12.99,4.03,-4.03,-4.00,-4.07,8.97,8.95,8.95
27.77,12.91,3.95,12.96,4.01,-4.01,-4.00,-4.15,8.90,8.95,8.96
28.05,12.84,3.88,12.94,3.99,-3.99,-3.99,-4.22,8.85,8.95,8.96
28.33,12.91,3.97,12.94,3.99,-3.99,-3.99,-4.29,8.92,8.95,8.94
28.62,12.98,4.04,12.93,3.98,-3.98,-3.98,-4.36,9.00,8.95,8.94
28.90,13.05,4.10,12.91,3.97,-3.97,-3.98,-4.42,9.09,8.95,8.95
29.19,12.98,4.03,12.88,3.93,-3.93,-3.97,-4.48,9.05,8.94,8.95
29.48,12.84,3.90,12.83,3.89,-3.89,-3.96,-4.53,8.95,8.94,8.94
29.78,12.70,3.76,12.80,3.86,-3.86,-3.96,-4.57,8.84,8.94,8.94
30.08,12.62,3.67,12.78,3.85,-3.85,-3.95,-4.61,8.78,8.93,8.95
30.38,12.70,3.76,12.77,3.84,-3.84,-3.95,-4.65,8.86,8.93,8.94
30.68,12.78,3.86,12.75,3.83,-3.83,-3.94,-4.68,8.95,8.92,8.92
30.99,12.86,3.94,12.71,3.80,-3.80,-3.94,-4.70,9.06,8.91,8.92
