frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,4.46,-3.22,4.46,-3.22,3.20,2.68,1.39,7.66,7.65,7.68
20.20,4.49,-3.18,4.49,-3.18,3.17,2.68,1.43,7.66,7.66,7.67
20.40,4.52,-3.14,4.53,-3.14,3.14,2.69,1.48,7.66,7.66,7.66
20.61,4.55,-3.11,4.55,-3.10,3.11,2.70,1.52,7.67,7.67,7.66
20.81,4.57,-3.07,4.58,-3.07,3.09,2.70,1.57,7.67,7.67,7.64
21.02,4.60,-3.04,4.59,-3.05,3.08,2.71,1.61,7.68,7.67,7.64
21.23,4.59,-3.04,4.59,-3.04,3.06,2.72,1.66,7.65,7.65,7.63
21.44,4.58,-3.06,4.58,-3.05,3.05,2.73,1.71,7.63,7.63,7.64
21.66,4.57,-3.06,4.57,-3.06,3.04,2.74,1.76,7.62,7.62,7.63
21.87,4.56,-3.06,4.56,-3.06,3.04,2.75,1.82,7.60,7.61,7.62
22.09,4.56,-3.05,4.56,-3.05,3.04,2.76,1.87,7.60,7.60,7.61
22.31,4.56,-3.05,4.56,-3.05,3.04,2.77,1.93,7.60,7.60,7.61
22.54,4.56,-3.04,4.56,-3.04,3.04,2.78,1.98,7.60,7.60,7.60
22.76,4.56,-3.03,4.56,-3.03,3.03,2.79,2.04,7.59,7.59,7.59
22.99,4.56,-3.02,4.56,-3.02,3.02,2.80,2.10,7.58,7.58,7.58
23.22,4.56,-3.01,4.56,-3.01,3.02,2.82,2.16,7.58,7.58,7.57
23.45,4.56,-3.02,4.56,-3.01,3.02,2.83,2.23,7.58,7.58,7.58
23.69,4.56,-3.01,4.56,-3.01,3.01,2.85,2.29,7.58,7.58,7.57
23.92,4.56,-3.01,4.56,-3.01,3.01,2.86,2.36,7.58,7.58,7.57
24.16,4.56,-3.02,4.56,-3.02,3.02,2.88,2.42,7.58,7.58,7.58
24.40,4.56,-3.03,4.56,-3.02,3.02,2.89,2.49,7.58,7.58,7.59
