frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,4.92,-4.12,4.92,-4.12,4.12,3.92,1.77,9.04,9.04,9.05
20.20,4.92,-4.11,4.92,-4.12,4.11,3.94,1.82,9.04,9.04,9.04
20.40,4.92,-4.10,4.92,-4.11,4.11,3.95,1.87,9.03,9.03,9.03
20.61,4.92,-4.10,4.92,-4.10,4.10,3.96,1.93,9.02,9.02,9.03
20.81,4.92,-4.08,4.92,-4.09,4.09,3.97,1.99,9.02,9.02,9.01
21.02,4.92,-4.08,4.92,-4.08,4.09,3.98,2.05,9.01,9.01,9.01
21.23,4.92,-4.07,4.92,-4.08,4.08,3.99,2.11,9.01,9.01,9.00
21.44,4.92,-4.08,4.92,-4.08,4.08,4.00,2.18,9.00,9.00,9.01
21.66,4.92,-4.07,4.92,-4.07,4.07,4.01,2.24,8.99,8.99,9.00
21.87,4.92,-4.06,4.92,-4.07,4.06,4.02,2.31,8.99,8.99,8.99
22.09,4.92,-4.05,4.92,-4.06,4.06,4.03,2.38,8.98,8.98,8.98
22.31,4.92,-4.05,4.92,-4.05,4.05,4.04,2.45,8.97,8.97,8.98
22.54,4.92,-4.04,4.92,-4.04,4.04,4.05,2.53,8.97,8.97,8.97
22.76,4.92,-4.03,4.92,-4.03,4.03,4.05,2.60,8.96,8.96,8.96
22.99,4.92,-4.02,4.92,-4.03,4.03,4.06,2.68,8.95,8.95,8.95
23.22,4.92,-4.01,4.92,-4.02,4.02,4.06,2.76,8.95,8.95,8.94
23.45,4.92,-4.02,4.92,-4.02,4.02,4.07,2.84,8.95,8.95,8.95
23.69,4.92,-4.01,4.92,-4.02,4.02,4.07,2.92,8.95,8.95,8.94
23.92,4.92,-4.01,4.92,-4.02,4.02,4.08,3.00,8.95,8.95,8.94
24.16,4.92,-4.02,4.92,-4.02,4.02,4.08,3.09,8.95,8.95,8.95
24.40,4.92,-4.03,4.92,-4.03,4.02,4.08,3.17,8.95,8.95,8.96
24.65,4.92,-4.03,4.92,-4.03,4.03,4.09,3.26,8.95,8.95,8.96
24.89,4.92,-4.03,4.92,-4.03,4.03,4.09,3.35,8.95,8.95,8.96
25.14,4.92,-4.02,4.92,-4.03,4.03,4.09,3.44,8.96,8.96,8.95
25.39,4.92,-4.02,4.92,-4.02,4.03,4.09,3.53,8.96,8.96,8.95
25.65,4.92,-4.02,4.92,-4.03,4.04,4.09,3.62,8.96,8.96,8.95
25.91,4.92,-4.03,4.92,-4.03,4.04,4.09,3.71,8.96,8.96,8.96
26.16,4.92,-4.04,4.92,-4.04,4.04,4.09,3.80,8.96,8.96,8.97
26.43,4.92,-4.04,4.92,-4.05,4.04,4.08,3.89,8.96,8.96,8.97
26.69,4.92,-4.04,4.92,-4.04,4.03,4.08,3.97,8.96,8.96,8.97
26.96,4.92,-4.03,4.93,-4.03,4.02,4.08,4.06,8.95,8.95,8.96
27.23,4.94,-4.01,4.95,-4.01,4.01,4.07,4.14,8.95,8.95,8.96
27.50,4.97,-3.98,4.97,-3.99,3.98,4.07,4.23,8.96,8.96,8.96
27.77,5.00,-3.96,5.00,-3.96,3.96,4.06,4.30,8.96,8.96,8.97
28.05,5.03,-3.93,5.03,-3.93,3.93,4.06,4.38,8.96,8.96,8.97
28.33,5.05,-3.89,5.06,-3.90,3.90,4.05,4.45,8.96,8.96,8.95
28.62,5.08,-3.86,5.09,-3.87,3.88,4.04,4.52,8.96,8.96,8.95
28.90,5.11,-3.84,5.11,-3.84,3.86,4.04,4.58,8.97,8.97,8.96
29.19,5.12,-3.83,5.12,-3.83,3.84,4.03,4.63,8.97,8.97,8.96
29.48,5.12,-3.82,5.13,-3.83,3.83,4.02,4.68,8.96,8.96,8.95
29.78,5.12,-3.82,5.12,-3.83,3.82,4.01,4.73,8.95,8.95,8.95
30.08,5.12,-3.83,5.12,-3.83,3.82,4.00,4.76,8.94,8.94,8.96
30.38,5.12,-3.82,5.12,-3.82,3.81,3.99,4.79,8.94,8.94,8.95
30.68,5.12,-3.80,5.12,-3.81,3.81,3.97,4.81,8.93,8.93,8.93
30.99,5.12,-3.80,5.12,-3.80,3.80,3.96,4.83,8.93,8.93,8.93
31.30,5.12,-3.79,5.12,-3.79,3.79,3.95,4.84,8.92,8.92,8.92
