frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,2.42,-6.53,2.42,-6.52,6.59,5.91,2.16,9.01,9.02,8.95
20.20,2.47,-6.47,2.47,-6.47,6.49,5.87,2.22,8.96,8.96,8.94
20.40,2.53,-6.40,2.52,-6.41,6.40,5.83,2.28,8.92,8.91,8.93
20.61,2.58,-6.35,2.57,-6.35,6.30,5.80,2.35,8.88,8.88,8.93
20.81,2.63,-6.28,2.63,-6.28,6.22,5.76,2.42,8.85,8.85,8.91
21.02,2.69,-6.22,2.70,-6.21,6.14,5.72,2.49,8.83,8.84,8.91
21.23,2.79,-6.11,2.79,-6.11,6.06,5.68,2.57,8.85,8.85,8.90
21.44,2.90,-6.01,2.90,-6.00,5.99,5.64,2.64,8.89,8.89,8.91
21.66,3.00,-5.90,3.01,-5.89,5.92,5.60,2.72,8.92,8.93,8.90
21.87,3.11,-5.78,3.09,-5.80,5.86,5.57,2.80,8.96,8.95,8.89
22.09,3.16,-5.72,3.14,-5.74,5.80,5.53,2.88,8.96,8.95,8.88
22.31,3.15,-5.73,3.16,-5.72,5.76,5.49,2.97,8.91,8.92,8.88
22.54,3.14,-5.73,3.13,-5.73,5.72,5.45,3.05,8.86,8.86,8.87
22.76,3.12,-5.74,3.12,-5.74,5.69,5.41,3.14,8.81,8.81,8.86
22.99,3.11,-5.74,3.13,-5.72,5.66,5.37,3.24,8.77,8.80,8.85
23.22,3.18,-5.66,3.18,-5.67,5.63,5.33,3.33,8.81,8.80,8.84
23.45,3.26,-5.59,3.25,-5.59,5.58,5.29,3.42,8.84,8.83,8.85
23.69,3.33,-5.51,3.33,-5.51,5.52,5.25,3.52,8.84,8.85,8.84
23.92,3.41,-5.43,3.41,-5.43,5.44,5.20,3.62,8.85,8.85,8.84
24.16,3.49,-5.36,3.49,-5.36,5.36,5.16,3.72,8.85,8.85,8.85
24.40,3.57,-5.29,3.57,-5.28,5.28,5.12,3.83,8.85,8.86,8.86
24.65,3.65,-5.21,3.65,-5.20,5.22,5.08,3.93,8.87,8.87,8.86
24.89,3.73,-5.13,3.72,-5.13,5.16,5.04,4.03,8.89,8.89,8.86
25.14,3.78,-5.07,3.77,-5.08,5.11,5.00,4.14,8.89,8.89,8.85
25.39,3.80,-5.05,3.80,-5.05,5.07,4.95,4.25,8.87,8.87,8.85
25.65,3.82,-5.03,3.81,-5.04,5.02,4.91,4.35,8.83,8.83,8.85
25.91,3.83,-5.03,3.84,-5.01,4.97,4.87,4.46,8.79,8.81,8.86
26.16,3.89,-4.98,3.90,-4.97,4.92,4.82,4.57,8.81,8.81,8.87
26.43,3.98,-4.89,3.98,-4.89,4.88,4.78,4.67,8.85,8.85,8.87
26.69,4.06,-4.81,4.06,-4.80,4.84,4.74,4.78,8.89,8.90,8.87
26.96,4.15,-4.71,4.13,-4.73,4.79,4.69,4.88,8.94,8.92,8.86
27.23,4.17,-4.69,4.17,-4.69,4.73,4.65,4.98,8.90,8.90,8.86
27.50,4.19,-4.67,4.18,-4.68,4.66,4.61,5.08,8.84,8.84,8.86
27.77,4.20,-4.67,4.20,-4.66,4.59,4.56,5.17,8.79,8.79,8.87
28.05,4.23,-4.64,4.25,-4.61,4.53,4.52,5.26,8.76,8.78,8.87
28.33,4.34,-4.51,4.34,-4.51,4.49,4.47,5.34,8.83,8.84,8.85
28.62,4.45,-4.40,4.45,-4.40,4.47,4.43,5.42,8.92,8.92,8.85
28.90,4.55,-4.31,4.52,-4.33,4.46,4.38,5.49,9.01,8.98,8.86
29.19,4.53,-4.33,4.51,-4.34,4.45,4.34,5.55,8.98,8.96,8.86
29.48,4.44,-4.41,4.44,-4.41,4.44,4.29,5.61,8.88,8.88,8.85
29.78,4.35,-4.50,4.36,-4.49,4.43,4.25,5.66,8.78,8.79,8.85
30.08,4.30,-4.56,4.34,-4.51,4.40,4.20,5.69,8.70,8.74,8.86
30.38,4.39,-4.46,4.37,-4.47,4.36,4.16,5.72,8.74,8.73,8.85
30.68,4.47,-4.36,4.46,-4.38,4.30,4.11,5.74,8.77,8.76,8.83
30.99,4.56,-4.27,4.57,-4.26,4.24,4.07,5.75,8.80,8.81,8.83
31.30,4.68,-4.14,4.70,-4.12,4.17,4.02,5.75,8.85,8.87,8.82
31.61,4.81,-4.00,4.82,-3.99,4.11,3.97,5.74,8.92,8.92,8.81
31.93,4.94,-3.86,4.89,-3.91,4.05,3.93,5.71,8.99,8.94,8.80
32.24,4.89,-3.91,4.87,-3.92,4.00,3.88,5.68,8.89,8.87,8.80
32.57,4.79,-3.99,4.79,-3.99,3.97,3.83,5.64,8.75,8.76,8.78
32.89,4.69,-4.09,4.73,-4.05,3.94,3.79,5.59,8.62,8.67,8.78
33.22,4.73,-4.05,4.75,-4.03,3.91,3.74,5.52,8.64,8.66,8.78
33.55,4.84,-3.93,4.83,-3.95,3.89,3.69,5.45,8.73,8.71,8.77
33.89,4.95,-3.83,4.93,-3.84,3.86,3.64,5.38,8.80,8.79,8.78
34.23,5.02,-3.74,5.01,-3.75,3.82,3.60,5.29,8.83,8.83,8.76
34.57,5.05,-3.71,5.06,-3.70,3.77,3.55,5.20,8.81,8.82,8.76
34.92,5.09,-3.66,5.09,-3.67,3.71,3.50,5.11,8.80,8.79,8.75
35.27,5.11,-3.65,5.10,-3.65,3.65,3.45,5.00,8.76,8.75,8.76
35.62,5.11,-3.63,5.11,-3.63,3.60,3.41,4.90,8.71,8.71,8.74
35.97,5.12,-3.62,5.13,-3.60,3.55,3.36,4.79,8.67,8.69,8.74
36.33,5.18,-3.54,5.18,-3.54,3.51,3.31,4.67,8.68,8.68,8.72
36.70,5.25,-3.46,5.24,-3.46,3.45,3.26,4.56,8.70,8.69,8.71
37.06,5.31,-3.38,5.31,-3.38,3.39,3.21,4.44,8.70,8.70,8.69
37.43,5.37,-3.30,5.37,-3.30,3.32,3.16,4.32,8.69,8.69,8.67
37.81,5.42,-3.23,5.42,-3.23,3.25,3.11,4.20,8.67,8.67,8.65
38.19,5.46,-3.16,5.45,-3.17,3.19,3.07,4.08,8.65,8.64,8.62
38.57,5.47,-3.13,5.47,-3.12,3.12,3.02,3.96,8.59,8.59,8.60
38.95,5.49,-3.08,5.49,-3.07,3.06,2.97,3.84,8.55,8.55,8.57
39.34,5.51,-3.02,5.51,-3.02,3.01,2.92,3.72,8.51,8.52,8.53
39.74,5.54,-2.97,5.54,-2.97,2.95,2.87,3.60,8.49,8.49,8.51
40.14,5.58,-2.90,5.58,-2.90,2.91,2.82,3.49,8.48,8.49,8.48
40.54,5.62,-2.84,5.62,-2.83,2.85,2.77,3.37,8.47,8.48,8.46
40.94,5.67,-2.76,5.65,-2.78,2.80,2.72,3.25,8.46,8.45,8.43
41.35,5.67,-2.74,5.66,-2.74,2.73,2.67,3.14,8.40,8.39,8.41
41.76,5.66,-2.71,5.67,-2.70,2.67,2.61,3.03,8.33,8.34,8.37
42.18,5.68,-2.67,5.70,-2.65,2.61,2.56,2.92,8.29,8.31,8.35
