frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-2.08,-9.00,-2.10,-9.02,9.02,8.07,3.97,6.94,6.92,6.92
20.20,-2.08,-8.99,-2.09,-9.00,9.00,8.17,4.08,6.92,6.91,6.91
20.40,-2.08,-8.98,-2.08,-8.98,8.98,8.27,4.19,6.90,6.90,6.90
20.61,-2.07,-8.97,-2.07,-8.96,8.96,8.37,4.30,6.89,6.89,6.90
20.81,-2.07,-8.95,-2.06,-8.94,8.94,8.46,4.42,6.87,6.88,6.87
21.02,-2.07,-8.95,-2.05,-8.92,8.92,8.55,4.54,6.85,6.87,6.87
21.23,-2.05,-8.92,-2.04,-8.90,8.90,8.64,4.66,6.85,6.86,6.86
21.44,-2.03,-8.90,-2.02,-8.88,8.88,8.72,4.79,6.85,6.86,6.87
21.66,-2.01,-8.87,-2.01,-8.86,8.86,8.80,4.92,6.85,6.85,6.86
21.87,-1.99,-8.84,-1.99,-8.84,8.84,8.87,5.05,6.85,6.84,6.85
22.09,-1.97,-8.81,-1.98,-8.82,8.82,8.93,5.19,6.84,6.84,6.84
22.31,-1.96,-8.80,-1.96,-8.80,8.80,8.99,5.33,6.83,6.83,6.84
22.54,-1.95,-8.78,-1.94,-8.77,8.77,9.05,5.48,6.82,6.83,6.83
22.76,-1.93,-8.76,-1.92,-8.74,8.74,9.09,5.62,6.81,6.82,6.83
22.99,-1.92,-8.74,-1.90,-8.72,8.72,9.13,5.78,6.79,6.82,6.81
23.22,-1.89,-8.70,-1.88,-8.69,8.69,9.17,5.93,6.80,6.82,6.80
23.45,-1.86,-8.67,-1.86,-8.67,8.67,9.20,6.09,6.81,6.81,6.81
23.69,-1.82,-8.62,-1.84,-8.65,8.65,9.22,6.25,6.83,6.81,6.80
23.92,-1.79,-8.59,-1.83,-8.63,8.63,9.23,6.42,6.84,6.81,6.80
24.16,-1.78,-8.59,-1.81,-8.62,8.62,9.24,6.59,6.84,6.81,6.81
24.40,-1.78,-8.60,-1.80,-8.61,8.61,9.24,6.76,6.83,6.81,6.82
24.65,-1.78,-8.60,-1.80,-8.61,8.61,9.24,6.94,6.82,6.81,6.81
24.89,-1.78,-8.60,-1.79,-8.60,8.60,9.23,7.11,6.82,6.81,6.81
25.14,-1.78,-8.59,-1.79,-8.60,8.60,9.21,7.29,6.82,6.81,6.81
25.39,-1.78,-8.59,-1.78,-8.60,8.60,9.19,7.48,6.81,6.81,6.81
25.65,-1.78,-8.59,-1.78,-8.59,8.59,9.16,7.66,6.81,6.81,6.81
25.91,-1.78,-8.60,-1.77,-8.58,8.58,9.12,7.85,6.80,6.82,6.82
26.16,-1.78,-8.61,-1.76,-8.57,8.57,9.08,8.04,6.79,6.82,6.82
26.43,-1.77,-8.59,-1.75,-8.56,8.56,9.04,8.22,6.79,6.82,6.82
26.69,-1.77,-8.59,-1.73,-8.55,8.55,8.99,8.41,6.78,6.82,6.82
26.96,-1.76,-8.58,-1.71,-8.53,8.53,8.94,8.60,6.77,6.82,6.82
27.23,-1.72,-8.54,-1.70,-8.51,8.51,8.89,8.78,6.79,6.82,6.81
27.50,-1.67,-8.48,-1.68,-8.49,8.49,8.83,8.96,6.82,6.82,6.81
27.77,-1.62,-8.44,-1.66,-8.47,8.47,8.77,9.13,6.85,6.82,6.82
28.05,-1.58,-8.40,-1.64,-8.45,8.45,8.71,9.30,6.87,6.81,6.82
28.33,-1.58,-8.39,-1.62,-8.44,8.44,8.64,9.47,6.85,6.81,6.80
28.62,-1.58,-8.38,-1.61,-8.42,8.42,8.58,9.62,6.84,6.81,6.80
28.90,-1.58,-8.39,-1.60,-8.41,8.41,8.51,9.77,6.82,6.81,6.81
29.19,-1.58,-8.39,-1.59,-8.39,8.39,8.44,9.90,6.81,6.80,6.81
29.48,-1.58,-8.38,-1.58,-8.38,8.38,8.37,10.02,6.80,6.80,6.80
29.78,-1.58,-8.38,-1.57,-8.37,8.37,8.31,10.13,6.79,6.80,6.80
30.08,-1.58,-8.39,-1.57,-8.36,8.36,8.24,10.22,6.78,6.79,6.81
30.38,-1.58,-8.37,-1.57,-8.35,8.35,8.17,10.30,6.77,6.78,6.79
30.68,-1.58,-8.36,-1.56,-8.34,8.34,8.10,10.36,6.76,6.78,6.78
30.99,-1.58,-8.36,-1.56,-8.33,8.33,8.04,10.40,6.75,6.77,6.77
31.30,-1.57,-8.33,-1.56,-8.32,8.32,7.97,10.43,6.75,6.76,6.76
31.61,-1.55,-8.31,-1.55,-8.31,8.31,7.91,10.43,6.76,6.76,6.76
31.93,-1.53,-8.27,-1.54,-8.29,8.29,7.85,10.42,6.76,6.75,6.74
32.24,-1.52,-8.26,-1.53,-8.27,8.27,7.79,10.40,6.75,6.74,6.74
32.57,-1.50,-8.22,-1.52,-8.25,8.25,7.73,10.35,6.75,6.73,6.72
32.89,-1.49,-8.21,-1.50,-8.23,8.23,7.68,10.29,6.73,6.72,6.72
33.22,-1.48,-8.19,-1.49,-8.20,8.20,7.63,10.22,6.72,6.72,6.71
33.55,-1.49,-8.20,-1.47,-8.18,8.18,7.57,10.13,6.69,6.71,6.71
33.89,-1.49,-8.20,-1.46,-8.16,8.16,7.53,10.04,6.67,6.71,6.71
34.23,-1.46,-8.16,-1.44,-8.14,8.14,7.48,9.93,6.68,6.70,6.70
34.57,-1.43,-8.12,-1.43,-8.12,8.12,7.44,9.81,6.69,6.69,6.69
34.92,-1.39,-8.08,-1.42,-8.10,8.10,7.40,9.69,6.71,6.69,6.68
35.27,-1.38,-8.07,-1.41,-8.09,8.09,7.37,9.56,6.71,6.68,6.69
35.62,-1.38,-8.05,-1.41,-8.07,8.07,7.33,9.42,6.69,6.67,6.67
35.97,-1.38,-8.05,-1.40,-8.06,8.06,7.30,9.29,6.67,6.65,6.66
36.33,-1.38,-8.03,-1.40,-8.04,8.04,7.28,9.15,6.65,6.64,6.65
36.70,-1.38,-8.01,-1.39,-8.01,8.01,7.25,9.00,6.63,6.62,6.63
37.06,-1.38,-7.99,-1.38,-7.98,7.98,7.23,8.86,6.60,6.60,6.61
37.43,-1.38,-7.96,-1.37,-7.95,7.95,7.22,8.72,6.57,6.58,6.58
37.81,-1.38,-7.95,-1.36,-7.92,7.92,7.20,8.58,6.54,6.56,6.56
38.19,-1.38,-7.92,-1.35,-7.89,7.89,7.19,8.44,6.51,6.53,6.54
38.57,-1.38,-7.89,-1.35,-7.85,7.85,7.19,8.31,6.47,6.51,6.51
38.95,-1.38,-7.86,-1.34,-7.82,7.82,7.18,8.17,6.44,6.48,6.48
39.34,-1.34,-7.78,-1.33,-7.78,7.78,7.18,8.04,6.44,6.45,6.44
39.74,-1.29,-7.71,-1.32,-7.74,7.74,7.18,7.92,6.45,6.42,6.42
40.14,-1.26,-7.65,-1.31,-7.70,7.70,7.18,7.80,6.44,6.39,6.39
40.54,-1.27,-7.63,-1.30,-7.66,7.66,7.19,7.68,6.39,6.36,6.36
40.94,-1.28,-7.61,-1.29,-7.62,7.62,7.20,7.56,6.34,6.33,6.32
41.35,-1.28,-7.59,-1.29,-7.59,7.59,7.21,7.46,6.31,6.30,6.30
41.76,-1.28,-7.54,-1.28,-7.55,7.55,7.22,7.35,6.27,6.27,6.26
42.18,-1.28,-7.52,-1.28,-7.52,7.52,7.23,7.25,6.24,6.24,6.24
42.60,-1.28,-7.50,-1.27,-7.49,7.49,7.24,7.16,6.20,6.21,6.22
43.03,-1.28,-7.46,-1.27,-7.45,7.45,7.26,7.07,6.17,6.18,6.18
43.46,-1.28,-7.43,-1.28,-7.43,7.43,7.27,6.98,6.15,6.15,6.15
43.90,-1.28,-7.41,-1.29,-7.41,7.41,7.29,6.90,6.13,6.12,6.12
44.33,-1.28,-7.37,-1.29,-7.38,7.38,7.30,6.83,6.10,6.09,6.09
44.78,-1.28,-7.34,-1.29,-7.35,7.35,7.31,6.76,6.07,6.06,6.05
45.23,-1.28,-7.32,-1.29,-7.31,7.31,7.32,6.70,6.03,6.02,6.04
45.68,-1.28,-7.27,-1.28,-7.27,7.27,7.32,6.64,5.99,5.98,5.99
46.13,-1.28,-7.22,-1.28,-7.22,7.22,7.33,6.58,5.94,5.94,5.94
46.60,-1.28,-7.19,-1.27,-7.17,7.17,7.32,6.53,5.89,5.90,5.90
47.06,-1.28,-7.15,-1.26,-7.12,7.12,7.32,6.48,5.84,5.86,5.87
47.53,-1.29,-7.12,-1.26,-7.07,7.07,7.31,6.44,5.77,5.81,5.83
48.01,-1.30,-7.07,-1.25,-7.02,7.02,7.29,6.41,5.71,5.77,5.77
48.49,-1.24,-6.96,-1.24,-6.96,6.96,7.27,6.37,5.72,5.72,5.72
48.97,-1.18,-6.85,-1.24,-6.90,6.90,7.24,6.34,5.72,5.67,5.66
49.46,-1.18,-6.80,-1.22,-6.84,6.84,7.21,6.32,5.66,5.62,5.62
49.96,-1.18,-6.73,-1.21,-6.78,6.78,7.17,6.29,5.60,5.57,5.55
50.46,-1.18,-6.69,-1.20,-6.71,6.71,7.12,6.27,5.53,5.52,5.51
50.96,-1.18,-6.64,-1.18,-6.65,6.65,7.06,6.26,5.47,5.47,5.46
51.47,-1.18,-6.60,-1.17,-6.58,6.58,7.00,6.24,5.40,5.42,5.42
51.99,-1.18,-6.54,-1.15,-6.52,6.52,6.93,6.23,5.33,5.36,5.36
52.51,-1.18,-6.50,-1.14,-6.45,6.45,6.86,6.22,5.27,5.31,5.31
53.03,-1.18,-6.46,-1.13,-6.39,6.39,6.77,6.21,5.20,5.26,5.28
53.56,-1.11,-6.33,-1.12,-6.33,6.33,6.68,6.20,5.21,5.21,5.22
54.10,-1.06,-6.22,-1.11,-6.27,6.27,6.59,6.20,5.21,5.16,5.16
54.64,-1.07,-6.18,-1.11,-6.22,6.22,6.49,6.19,5.14,5.11,5.11
55.18,-1.08,-6.13,-1.10,-6.16,6.16,6.38,6.18,5.08,5.06,5.05
55.74,-1.08,-6.08,-1.09,-6.10,6.10,6.27,6.17,5.02,5.01,4.99
56.29,-1.08,-6.03,-1.08,-6.05,6.05,6.15,6.16,4.96,4.96,4.95
56.86,-1.08,-5.99,-1.08,-5.99,5.99,6.03,6.15,4.91,4.91,4.91
57.42,-1.08,-5.92,-1.08,-5.93,5.93,5.91,6.14,4.85,4.86,4.84
58.00,-1.08,-5.89,-1.07,-5.88,5.88,5.79,6.12,4.80,4.81,4.80
58.58,-1.08,-5.85,-1.07,-5.82,5.82,5.66,6.10,4.74,4.75,4.77
59.16,-1.08,-5.80,-1.08,-5.77,5.77,5.54,6.07,4.69,4.70,4.72
59.76,-1.08,-5.75,-1.08,-5.72,5.72,5.41,6.04,4.64,4.64,4.67
60.35,-1.08,-5.68,-1.08,-5.66,5.66,5.28,6.01,4.58,4.58,4.60
60.96,-1.08,-5.62,-1.08,-5.60,5.60,5.15,5.97,4.52,4.52,4.53
61.57,-1.08,-5.54,-1.08,-5.54,5.54,5.02,5.93,4.46,4.46,4.46
62.18,-1.08,-5.47,-1.08,-5.48,5.48,4.89,5.88,4.39,4.39,4.39
62.80,-1.08,-5.39,-1.08,-5.41,5.41,4.76,5.83,4.33,4.33,4.31
63.43,-1.08,-5.33,-1.08,-5.34,5.34,4.64,5.77,4.26,4.26,4.24
64.07,-1.08,-5.27,-1.08,-5.28,5.28,4.51,5.70,4.19,4.19,4.18
64.71,-1.08,-5.20,-1.08,-5.21,5.21,4.39,5.63,4.12,4.12,4.12
65.35,-1.08,-5.14,-1.08,-5.14,5.14,4.27,5.56,4.05,4.05,4.05
66.01,-1.08,-5.06,-1.08,-5.07,5.07,4.15,5.48,3.98,3.98,3.98
66.67,-1.08,-5.01,-1.08,-5.00,5.00,4.03,5.39,3.91,3.91,3.93
67.33,-1.08,-4.93,-1.08,-4.93,4.93,3.91,5.31,3.85,3.85,3.84
68.01,-1.08,-4.86,-1.08,-4.86,4.86,3.80,5.21,3.77,3.77,3.78
68.69,-1.08,-4.78,-1.08,-4.79,4.79,3.68,5.12,3.70,3.70,3.70
69.37,-1.08,-4.73,-1.08,-4.71,4.71,3.57,5.02,3.63,3.63,3.64
70.07,-1.08,-4.65,-1.08,-4.64,4.64,3.47,4.92,3.56,3.56,3.56
70.77,-1.08,-4.57,-1.08,-4.57,4.57,3.36,4.81,3.49,3.49,3.49
71.48,-1.08,-4.50,-1.08,-4.49,4.49,3.26,4.70,3.41,3.41,3.42
72.19,-1.08,-4.42,-1.08,-4.42,4.42,3.16,4.60,3.34,3.34,3.34
72.91,-1.08,-4.34,-1.08,-4.35,4.35,3.06,4.49,3.27,3.27,3.26
73.64,-1.08,-4.27,-1.08,-4.28,4.28,2.96,4.38,3.19,3.19,3.18
74.38,-1.08,-4.20,-1.08,-4.20,4.20,2.87,4.27,3.12,3.12,3.12
75.12,-1.08,-4.12,-1.08,-4.13,4.13,2.78,4.15,3.05,3.05,3.04
75.87,-1.08,-4.06,-1.08,-4.06,4.06,2.69,4.04,2.98,2.98,2.98
76.63,-1.08,-3.99,-1.08,-4.00,4.00,2.60,3.93,2.91,2.91,2.91
77.40,-1.08,-3.93,-1.08,-3.93,3.93,2.52,3.82,2.84,2.84,2.84
78.17,-1.08,-3.85,-1.08,-3.86,3.86,2.43,3.71,2.78,2.78,2.77
78.95,-1.08,-3.80,-1.08,-3.79,3.79,2.35,3.60,2.71,2.71,2.71
79.74,-1.08,-3.73,-1.08,-3.73,3.73,2.27,3.50,2.64,2.64,2.65
80.54,-1.08,-3.66,-1.08,-3.66,3.66,2.19,3.39,2.58,2.58,2.58
81.35,-1.08,-3.59,-1.08,-3.59,3.59,2.12,3.29,2.51,2.51,2.51
82.16,-1.08,-3.53,-1.08,-3.53,3.53,2.04,3.18,2.44,2.44,2.45
82.98,-1.08,-3.46,-1.08,-3.46,3.46,1.97,3.08,2.38,2.38,2.38
83.81,-1.08,-3.39,-1.08,-3.39,3.39,1.90,2.98,2.31,2.31,2.31
84.65,-1.08,-3.32,-1.08,-3.32,3.32,1.83,2.89,2.24,2.24,2.24
85.50,-1.08,-3.24,-1.08,-3.25,3.25,1.76,2.79,2.16,2.17,2.15
86.35,-1.08,-3.17,-1.08,-3.17,3.17,1.70,2.70,2.09,2.09,2.09
87.22,-1.08,-3.10,-1.08,-3.10,3.10,1.63,2.60,2.02,2.02,2.02
88.09,-1.08,-3.03,-1.08,-3.02,3.02,1.57,2.51,1.94,1.95,1.95
88.97,-1.07,-2.95,-1.07,-2.95,2.95,1.50,2.42,1.87,1.87,1.88
89.86,-1.07,-2.86,-1.07,-2.87,2.87,1.44,2.34,1.80,1.80,1.79
90.76,-1.07,-2.79,-1.07,-2.79,2.79,1.38,2.25,1.71,1.72,1.72
