frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,2.25,-8.77,2.27,-8.75,8.75,8.37,3.00,11.00,11.03,11.02
20.20,2.33,-8.68,2.34,-8.68,8.68,8.34,3.08,11.01,11.02,11.01
20.40,2.40,-8.60,2.40,-8.61,8.61,8.30,3.17,11.01,11.01,11.00
20.61,2.48,-8.53,2.46,-8.53,8.53,8.26,3.25,11.01,11.00,11.00
20.81,2.56,-8.42,2.53,-8.46,8.46,8.23,3.34,11.02,10.99,10.98
21.02,2.63,-8.35,2.59,-8.39,8.39,8.19,3.44,11.02,10.98,10.98
21.23,2.68,-8.29,2.65,-8.32,8.32,8.15,3.53,11.00,10.97,10.97
21.44,2.72,-8.26,2.72,-8.25,8.25,8.11,3.63,10.97,10.97,10.98
21.66,2.76,-8.22,2.78,-8.18,8.18,8.07,3.73,10.93,10.96,10.97
21.87,2.81,-8.15,2.85,-8.11,8.11,8.02,3.84,10.91,10.95,10.96
22.09,2.87,-8.08,2.91,-8.04,8.04,7.98,3.94,10.90,10.95,10.95
22.31,2.96,-7.99,2.98,-7.97,7.97,7.93,4.05,10.92,10.94,10.95
22.54,3.05,-7.90,3.04,-7.90,7.90,7.89,4.16,10.95,10.94,10.94
22.76,3.14,-7.79,3.10,-7.83,7.83,7.84,4.28,10.97,10.94,10.93
22.99,3.23,-7.69,3.17,-7.76,7.76,7.79,4.40,10.99,10.93,10.92
23.22,3.27,-7.64,3.23,-7.69,7.69,7.74,4.52,10.96,10.93,10.91
23.45,3.32,-7.60,3.30,-7.62,7.62,7.69,4.64,10.94,10.92,10.92
23.69,3.36,-7.56,3.38,-7.54,7.54,7.64,4.76,10.90,10.92,10.91
23.92,3.41,-7.50,3.45,-7.47,7.47,7.59,4.89,10.88,10.92,10.91
24.16,3.48,-7.44,3.52,-7.40,7.40,7.54,5.02,10.88,10.92,10.92
24.40,3.57,-7.36,3.59,-7.33,7.33,7.48,5.16,10.90,10.92,10.93
24.65,3.65,-7.29,3.66,-7.26,7.26,7.43,5.29,10.91,10.92,10.93
24.89,3.74,-7.19,3.73,-7.19,7.19,7.37,5.43,10.93,10.92,10.93
25.14,3.82,-7.10,3.80,-7.13,7.13,7.32,5.56,10.95,10.93,10.92
25.39,3.89,-7.03,3.86,-7.07,7.07,7.26,5.70,10.96,10.93,10.92
25.65,3.96,-6.96,3.93,-7.00,7.00,7.20,5.84,10.96,10.93,10.92
25.91,4.02,-6.92,4.00,-6.94,6.94,7.14,5.98,10.95,10.93,10.93
26.16,4.09,-6.85,4.07,-6.87,6.87,7.08,6.12,10.96,10.93,10.94
26.43,4.14,-6.81,4.14,-6.80,6.80,7.02,6.26,10.94,10.94,10.94
26.69,4.20,-6.74,4.21,-6.73,6.73,6.96,6.39,10.93,10.94,10.94
26.96,4.25,-6.69,4.27,-6.66,6.66,6.90,6.53,10.91,10.93,10.93
27.23,4.32,-6.62,4.34,-6.59,6.59,6.84,6.66,10.91,10.93,10.93
27.50,4.39,-6.54,4.41,-6.52,6.52,6.77,6.78,10.91,10.94,10.93
27.77,4.45,-6.49,4.48,-6.46,6.46,6.71,6.91,10.91,10.94,10.94
28.05,4.53,-6.41,4.55,-6.38,6.38,6.65,7.02,10.91,10.94,10.94
28.33,4.62,-6.30,4.63,-6.31,6.31,6.58,7.13,10.93,10.94,10.92
28.62,4.71,-6.22,4.70,-6.23,6.23,6.52,7.23,10.94,10.93,10.92
28.90,4.80,-6.13,4.77,-6.16,6.16,6.45,7.33,10.96,10.93,10.93
29.19,4.87,-6.06,4.84,-6.09,6.09,6.38,7.41,10.96,10.93,10.93
29.48,4.92,-6.00,4.91,-6.02,6.02,6.32,7.48,10.94,10.93,10.92
29.78,4.98,-5.95,4.97,-5.95,5.95,6.25,7.54,10.93,10.92,10.92
30.08,5.04,-5.90,5.02,-5.89,5.89,6.18,7.59,10.93,10.92,10.93
30.38,5.10,-5.83,5.08,-5.83,5.83,6.11,7.62,10.93,10.91,10.92
30.68,5.16,-5.74,5.13,-5.78,5.78,6.04,7.64,10.93,10.91,10.90
30.99,5.23,-5.68,5.18,-5.72,5.72,5.97,7.65,10.95,10.90,10.90
31.30,5.24,-5.65,5.22,-5.67,5.67,5.90,7.64,10.91,10.89,10.89
31.61,5.25,-5.63,5.27,-5.62,5.62,5.83,7.62,10.86,10.89,10.88
31.93,5.27,-5.61,5.32,-5.56,5.56,5.76,7.59,10.83,10.88,10.87
32.24,5.32,-5.55,5.37,-5.51,5.51,5.69,7.54,10.82,10.87,10.87
32.57,5.38,-5.48,5.42,-5.45,5.45,5.61,7.48,10.82,10.87,10.85
32.89,5.45,-5.40,5.48,-5.38,5.38,5.54,7.40,10.83,10.86,10.85
33.22,5.51,-5.34,5.53,-5.32,5.32,5.47,7.32,10.83,10.85,10.85
33.55,5.58,-5.26,5.59,-5.26,5.26,5.39,7.22,10.84,10.85,10.84
33.89,5.65,-5.20,5.63,-5.21,5.21,5.32,7.11,10.86,10.84,10.85
34.23,5.72,-5.12,5.68,-5.16,5.16,5.25,6.99,10.87,10.84,10.83
34.57,5.78,-5.05,5.74,-5.10,5.10,5.17,6.87,10.87,10.83,10.83
34.92,5.85,-4.98,5.80,-5.03,5.03,5.10,6.74,10.88,10.83,10.82
35.27,5.90,-4.94,5.86,-4.97,4.97,5.02,6.60,10.86,10.82,10.83
35.62,5.94,-4.87,5.91,-4.90,4.90,4.94,6.46,10.84,10.81,10.81
35.97,5.99,-4.82,5.96,-4.84,4.84,4.87,6.32,10.83,10.80,10.81
36.33,5.99,-4.80,6.01,-4.78,4.78,4.79,6.17,10.77,10.79,10.79
36.70,5.99,-4.79,6.06,-4.71,4.71,4.72,6.02,10.70,10.77,10.78
37.06,6.01,-4.75,6.12,-4.64,4.64,4.64,5.86,10.65,10.76,10.76
37.43,6.13,-4.61,6.17,-4.57,4.57,4.56,5.71,10.70,10.74,10.74
37.81,6.26,-4.46,6.22,-4.50,4.50,4.48,5.55,10.76,10.72,10.72
38.19,6.33,-4.37,6.27,-4.43,4.43,4.41,5.40,10.75,10.69,10.69
38.57,6.35,-4.32,6.32,-4.35,4.35,4.33,5.24,10.70,10.67,10.67
38.95,6.37,-4.27,6.38,-4.26,4.26,4.25,5.09,10.63,10.64,10.64
39.34,6.44,-4.16,6.45,-4.16,4.16,4.17,4.94,10.60,10.61,10.60
39.74,6.53,-4.06,6.52,-4.07,4.07,4.09,4.79,10.60,10.59,10.58
40.14,6.59,-3.97,6.58,-3.98,3.98,4.01,4.64,10.57,10.56,10.55
40.54,6.63,-3.91,6.64,-3.89,3.89,3.93,4.49,10.52,10.53,10.53
40.94,6.66,-3.84,6.70,-3.80,3.80,3.85,4.35,10.46,10.51,10.50
41.35,6.73,-3.75,6.76,-3.72,3.72,3.77,4.20,10.45,10.48,10.48
41.76,6.80,-3.64,6.81,-3.65,3.65,3.69,4.06,10.44,10.45,10.44
42.18,6.88,-3.54,6.85,-3.57,3.57,3.61,3.93,10.45,10.43,10.42
42.60,6.99,-3.41,6.90,-3.49,3.49,3.53,3.79,10.48,10.40,10.40
43.03,7.08,-3.29,6.96,-3.41,3.41,3.45,3.66,10.49,10.37,10.37
43.46,7.01,-3.33,7.01,-3.34,3.34,3.37,3.53,10.34,10.35,10.34
43.90,6.95,-3.37,7.05,-3.27,3.27,3.29,3.40,10.21,10.32,10.32
