frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-16.67,-9.03,-17.01,-9.37,9.37,7.58,2.68,-7.31,-7.64,-7.64
20.20,-16.56,-8.91,-16.77,-9.12,9.12,7.63,2.75,-7.45,-7.65,-7.65
20.40,-16.46,-8.80,-16.54,-8.88,8.88,7.67,2.83,-7.58,-7.66,-7.66
20.61,-16.36,-8.69,-16.33,-8.66,8.66,7.70,2.91,-7.70,-7.67,-7.66
20.81,-16.25,-8.57,-16.13,-8.45,8.45,7.73,3.00,-7.80,-7.68,-7.68
21.02,-16.14,-8.46,-15.94,-8.26,8.26,7.76,3.08,-7.89,-7.69,-7.68
21.23,-16.01,-8.32,-15.77,-8.08,8.08,7.78,3.17,-7.94,-7.69,-7.69
21.44,-15.89,-8.21,-15.61,-7.91,7.91,7.79,3.26,-7.98,-7.70,-7.69
21.66,-15.77,-8.07,-15.46,-7.76,7.76,7.80,3.36,-8.01,-7.71,-7.69
21.87,-15.63,-7.93,-15.33,-7.62,7.62,7.80,3.45,-8.01,-7.71,-7.71
22.09,-15.44,-7.73,-15.21,-7.49,7.49,7.79,3.55,-7.95,-7.72,-7.71
22.31,-15.16,-7.44,-15.10,-7.38,7.38,7.78,3.66,-7.78,-7.72,-7.72
22.54,-14.89,-7.16,-14.98,-7.26,7.26,7.76,3.76,-7.63,-7.72,-7.72
22.76,-14.60,-6.88,-14.90,-7.17,7.17,7.73,3.87,-7.43,-7.73,-7.73
22.99,-14.32,-6.59,-14.84,-7.11,7.11,7.70,3.98,-7.22,-7.73,-7.73
23.22,-14.41,-6.67,-14.80,-7.06,7.06,7.66,4.09,-7.35,-7.73,-7.74
23.45,-14.51,-6.78,-14.75,-7.02,7.02,7.61,4.21,-7.50,-7.74,-7.73
23.69,-14.61,-6.87,-14.69,-6.95,6.95,7.56,4.32,-7.66,-7.74,-7.74
23.92,-14.72,-6.98,-14.63,-6.89,6.89,7.50,4.44,-7.84,-7.74,-7.74
24.16,-14.80,-7.07,-14.56,-6.83,6.83,7.44,4.57,-7.98,-7.74,-7.73
24.40,-14.89,-7.16,-14.54,-6.81,6.81,7.37,4.69,-8.08,-7.73,-7.72
24.65,-14.95,-7.23,-14.56,-6.83,6.83,7.30,4.82,-8.13,-7.73,-7.72
24.89,-15.03,-7.31,-14.60,-6.87,6.87,7.21,4.94,-8.16,-7.73,-7.72
25.14,-14.87,-7.14,-14.64,-6.92,6.92,7.13,5.07,-7.95,-7.73,-7.72
25.39,-14.55,-6.82,-14.68,-6.96,6.96,7.04,5.20,-7.59,-7.72,-7.72
25.65,-14.24,-6.51,-14.69,-6.97,6.97,6.94,5.33,-7.26,-7.72,-7.72
25.91,-13.92,-6.20,-14.66,-6.95,6.95,6.85,5.46,-6.97,-7.71,-7.72
26.16,-14.01,-6.30,-14.61,-6.89,6.89,6.74,5.59,-7.11,-7.71,-7.70
26.43,-14.32,-6.61,-14.52,-6.81,6.81,6.64,5.72,-7.51,-7.71,-7.70
26.69,-14.65,-6.95,-14.41,-6.70,6.70,6.53,5.85,-7.95,-7.71,-7.70
26.96,-14.98,-7.28,-14.28,-6.57,6.57,6.42,5.98,-8.41,-7.71,-7.70
27.23,-14.77,-7.06,-14.13,-6.43,6.43,6.30,6.10,-8.34,-7.70,-7.70
27.50,-14.44,-6.73,-13.98,-6.28,6.28,6.18,6.21,-8.15,-7.70,-7.70
27.77,-14.11,-6.41,-13.84,-6.14,6.14,6.06,6.33,-7.97,-7.70,-7.69
28.05,-13.78,-6.09,-13.72,-6.02,6.02,5.94,6.43,-7.76,-7.70,-7.69
28.33,-13.47,-5.77,-13.61,-5.91,5.91,5.82,6.53,-7.56,-7.70,-7.70
28.62,-13.17,-5.46,-13.49,-5.79,5.79,5.70,6.62,-7.37,-7.70,-7.70
28.90,-12.85,-5.16,-13.36,-5.66,5.66,5.57,6.70,-7.19,-7.70,-7.69
29.19,-12.73,-5.04,-13.19,-5.50,5.50,5.44,6.77,-7.24,-7.70,-7.69
29.48,-12.71,-5.02,-13.03,-5.33,5.33,5.31,6.83,-7.38,-7.70,-7.69
29.78,-12.69,-5.00,-12.86,-5.16,5.16,5.19,6.88,-7.53,-7.70,-7.69
30.08,-12.70,-5.02,-12.70,-5.00,5.00,5.06,6.91,-7.70,-7.70,-7.69
30.38,-12.77,-5.08,-12.57,-4.87,4.87,4.93,6.93,-7.90,-7.70,-7.69
30.68,-12.85,-5.15,-12.50,-4.79,4.79,4.80,6.94,-8.06,-7.71,-7.70
30.99,-12.93,-5.23,-12.47,-4.76,4.76,4.67,6.93,-8.18,-7.71,-7.70
31.30,-12.72,-5.00,-12.46,-4.75,4.75,4.54,6.90,-7.97,-7.71,-7.71
31.61,-12.48,-4.77,-12.44,-4.72,4.72,4.40,6.86,-7.76,-7.72,-7.71
31.93,-12.26,-4.53,-12.38,-4.66,4.66,4.27,6.81,-7.59,-7.72,-7.72
32.24,-12.04,-4.32,-12.29,-4.57,4.57,4.14,6.74,-7.47,-7.72,-7.73
32.57,-11.85,-4.11,-12.18,-4.45,4.45,4.02,6.65,-7.39,-7.73,-7.73
32.89,-11.65,-3.91,-12.05,-4.32,4.32,3.89,6.55,-7.33,-7.73,-7.73
33.22,-11.80,-4.06,-11.92,-4.19,4.19,3.76,6.44,-7.61,-7.73,-7.73
33.55,-12.12,-4.38,-11.83,-4.10,4.10,3.63,6.32,-8.02,-7.73,-7.73
33.89,-12.43,-4.71,-11.76,-4.03,4.03,3.50,6.18,-8.41,-7.73,-7.72
34.23,-12.15,-4.41,-11.68,-3.95,3.95,3.37,6.03,-8.20,-7.73,-7.73
34.57,-11.54,-3.81,-11.57,-3.84,3.84,3.25,5.88,-7.70,-7.73,-7.73
34.92,-10.95,-3.22,-11.46,-3.73,3.73,3.12,5.72,-7.22,-7.73,-7.73
35.27,-10.91,-3.19,-11.38,-3.64,3.64,3.00,5.55,-7.27,-7.73,-7.73
35.62,-11.05,-3.32,-11.32,-3.59,3.59,2.87,5.37,-7.47,-7.74,-7.73
35.97,-11.21,-3.47,-11.27,-3.53,3.53,2.75,5.19,-7.68,-7.74,-7.74
36.33,-11.32,-3.57,-11.19,-3.44,3.44,2.63,5.01,-7.88,-7.75,-7.75
36.70,-11.41,-3.66,-11.08,-3.32,3.32,2.50,4.82,-8.10,-7.76,-7.75
37.06,-11.39,-3.62,-10.89,-3.12,3.12,2.38,4.63,-8.27,-7.77,-7.77
37.43,-10.77,-2.98,-10.66,-2.88,2.88,2.26,4.43,-7.89,-7.79,-7.79
37.81,-10.16,-2.36,-10.48,-2.67,2.67,2.14,4.24,-7.48,-7.80,-7.79
38.19,-10.05,-2.24,-10.39,-2.57,2.57,2.03,4.04,-7.49,-7.82,-7.81
38.57,-10.48,-2.65,-10.33,-2.50,2.50,1.91,3.85,-7.98,-7.84,-7.83
38.95,-10.90,-3.04,-10.21,-2.36,2.36,1.79,3.65,-8.54,-7.85,-7.86
39.34,-10.37,-2.48,-10.02,-2.14,2.14,1.68,3.45,-8.22,-7.87,-7.89
39.74,-9.73,-1.83,-9.86,-1.97,1.97,1.56,3.26,-7.76,-7.89,-7.89
40.14,-9.23,-1.32,-9.76,-1.85,1.85,1.45,3.06,-7.38,-7.91,-7.91
40.54,-9.01,-1.07,-9.68,-1.74,1.74,1.33,2.87,-7.26,-7.93,-7.93
40.94,-8.79,-0.83,-9.57,-1.62,1.62,1.22,2.67,-7.17,-7.95,-7.95
41.35,-9.38,-1.41,-9.47,-1.50,1.50,1.11,2.48,-7.87,-7.97,-7.97
41.76,-10.09,-2.10,-9.42,-1.43,1.43,1.00,2.28,-8.66,-7.98,-8.00
42.18,-10.15,-2.14,-9.36,-1.36,1.36,0.89,2.09,-8.79,-8.00,-8.00
42.60,-9.36,-1.34,-9.30,-1.29,1.29,0.78,1.90,-8.07,-8.02,-8.02
43.03,-8.66,-0.63,-9.25,-1.22,1.22,0.67,1.71,-7.45,-8.03,-8.03
43.46,-9.27,-1.21,-9.22,-1.17,1.17,0.56,1.52,-8.09,-8.05,-8.05
43.90,-9.87,-1.80,-9.23,-1.16,1.16,0.45,1.34,-8.71,-8.07,-8.06
44.33,-9.37,-1.28,-9.21,-1.13,1.13,0.35,1.15,-8.24,-8.08,-8.09
44.78,-8.53,-0.42,-9.16,-1.06,1.06,0.24,0.97,-7.47,-8.10,-8.10
45.23,-8.37,-0.26,-9.01,-0.89,0.89,0.14,0.78,-7.48,-8.12,-8.10
45.68,-8.87,-0.74,-8.79,-0.65,0.65,0.03,0.60,-8.22,-8.14,-8.13
46.13,-9.18,-1.02,-8.58,-0.42,0.42,-0.07,0.42,-8.76,-8.16,-8.17
46.60,-9.00,-0.81,-8.43,-0.24,0.24,-0.17,0.24,-8.75,-8.19,-8.18
47.06,-8.76,-0.56,-8.34,-0.12,0.12,-0.28,0.05,-8.64,-8.21,-8.21
47.53,-8.27,-0.05,-8.26,-0.02,0.02,-0.38,-0.12,-8.25,-8.24,-8.23
48.01,-7.79,0.48,-8.17,0.10,-0.10,-0.48,-0.30,-7.89,-8.27,-8.26
48.49,-7.66,0.63,-8.02,0.27,-0.27,-0.58,-0.48,-7.94,-8.29,-8.29
48.97,-7.54,0.78,-7.89,0.43,-0.43,-0.68,-0.66,-7.97,-8.32,-8.33
49.46,-7.28,1.06,-7.80,0.55,-0.55,-0.78,-0.83,-7.83,-8.35,-8.35
49.96,-7.02,1.38,-7.70,0.67,-0.67,-0.87,-1.01,-7.69,-8.38,-8.39
50.46,-7.62,0.79,-7.52,0.88,-0.88,-0.97,-1.18,-8.50,-8.40,-8.41
50.96,-8.32,0.11,-7.29,1.14,-1.14,-1.07,-1.35,-9.46,-8.43,-8.43
51.47,-7.84,0.61,-7.14,1.32,-1.32,-1.17,-1.52,-9.16,-8.46,-8.45
51.99,-7.28,1.21,-7.08,1.40,-1.40,-1.26,-1.69,-8.68,-8.48,-8.48
52.51,-7.14,1.37,-7.03,1.48,-1.48,-1.36,-1.85,-8.61,-8.51,-8.50
53.03,-6.99,1.52,-6.97,1.56,-1.56,-1.45,-2.02,-8.56,-8.53,-8.51
53.56,-6.57,1.97,-6.87,1.69,-1.69,-1.55,-2.18,-8.26,-8.56,-8.54
54.10,-6.24,2.34,-6.74,1.84,-1.84,-1.64,-2.34,-8.08,-8.58,-8.57
54.64,-6.29,2.30,-6.60,1.99,-1.99,-1.73,-2.49,-8.29,-8.59,-8.59
55.18,-6.26,2.36,-6.49,2.12,-2.12,-1.83,-2.65,-8.38,-8.61,-8.63
55.74,-6.06,2.59,-6.37,2.26,-2.26,-1.92,-2.80,-8.31,-8.63,-8.64
56.29,-6.35,2.31,-6.20,2.45,-2.45,-2.01,-2.94,-8.79,-8.64,-8.65
56.86,-7.08,1.59,-6.10,2.56,-2.56,-2.10,-3.08,-9.64,-8.66,-8.66
57.42,-6.59,2.11,-6.10,2.57,-2.57,-2.20,-3.22,-9.16,-8.68,-8.69
58.00,-5.69,3.01,-6.10,2.60,-2.60,-2.29,-3.35,-8.28,-8.69,-8.69
58.58,-5.55,3.14,-6.07,2.63,-2.63,-2.38,-3.48,-8.19,-8.71,-8.69
59.16,-5.56,3.15,-6.06,2.67,-2.67,-2.47,-3.60,-8.23,-8.73,-8.71
59.76,-5.91,2.80,-5.96,2.79,-2.79,-2.56,-3.71,-8.70,-8.74,-8.71
