frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-33.28,-41.27,-33.32,-41.32,41.32,0.00,18.88,8.04,8.00,7.99
20.20,-33.18,-41.16,-33.20,-41.19,41.19,0.00,19.12,8.01,7.99,7.98
20.40,-33.08,-41.05,-33.08,-41.06,41.06,0.00,19.36,7.98,7.98,7.97
20.61,-32.99,-40.96,-32.96,-40.92,40.92,0.00,19.61,7.94,7.97,7.97
20.81,-32.89,-40.84,-32.84,-40.79,40.79,0.00,19.87,7.91,7.96,7.95
21.02,-32.79,-40.74,-32.72,-40.67,40.67,0.00,20.13,7.88,7.95,7.95
21.23,-32.63,-40.57,-32.59,-40.54,40.54,0.00,20.39,7.91,7.94,7.94
21.44,-32.48,-40.43,-32.47,-40.41,40.41,0.00,20.67,7.93,7.94,7.95
21.66,-32.33,-40.27,-32.35,-40.28,40.28,0.00,20.94,7.95,7.93,7.94
21.87,-32.18,-40.11,-32.23,-40.16,40.16,0.00,21.23,7.98,7.92,7.93
22.09,-32.05,-39.97,-32.11,-40.03,40.03,0.00,21.52,7.98,7.92,7.92
22.31,-31.96,-39.88,-31.99,-39.90,39.90,0.00,21.83,7.95,7.91,7.92
22.54,-31.87,-39.78,-31.87,-39.78,39.78,0.00,22.14,7.91,7.91,7.91
22.76,-31.78,-39.68,-31.75,-39.65,39.65,0.00,22.46,7.88,7.90,7.90
22.99,-31.68,-39.57,-31.63,-39.53,39.53,0.00,22.78,7.85,7.90,7.89
23.22,-31.55,-39.43,-31.51,-39.41,39.41,0.00,23.12,7.86,7.90,7.88
23.45,-31.41,-39.30,-31.40,-39.29,39.29,0.00,23.47,7.89,7.89,7.89
23.69,-31.27,-39.15,-31.28,-39.17,39.17,0.00,23.83,7.90,7.89,7.88
23.92,-31.13,-39.01,-31.16,-39.05,39.05,0.00,24.20,7.93,7.89,7.88
24.16,-31.01,-38.90,-31.04,-38.93,38.93,0.00,24.59,7.92,7.89,7.89
24.40,-30.91,-38.81,-30.91,-38.80,38.80,0.00,24.99,7.90,7.89,7.90
24.65,-30.81,-38.71,-30.78,-38.67,38.67,0.00,25.40,7.86,7.89,7.90
24.89,-30.70,-38.61,-30.64,-38.54,38.54,0.00,25.83,7.83,7.89,7.90
25.14,-30.57,-38.46,-30.51,-38.40,38.40,0.00,26.28,7.84,7.89,7.89
25.39,-30.39,-38.29,-30.37,-38.27,38.27,0.00,26.75,7.87,7.90,7.89
25.65,-30.23,-38.12,-30.23,-38.13,38.13,0.00,27.24,7.90,7.90,7.89
25.91,-30.05,-37.95,-30.09,-37.99,37.99,0.00,27.75,7.94,7.90,7.90
26.16,-29.91,-37.82,-29.95,-37.86,37.86,0.00,28.29,7.95,7.90,7.91
26.43,-29.78,-37.69,-29.81,-37.72,37.72,0.00,28.85,7.94,7.90,7.91
26.69,-29.66,-37.57,-29.67,-37.58,37.58,0.00,29.45,7.92,7.90,7.91
26.96,-29.53,-37.43,-29.53,-37.43,37.43,0.00,30.09,7.90,7.90,7.90
27.23,-29.40,-37.30,-29.39,-37.29,37.29,0.00,30.77,7.89,7.90,7.90
27.50,-29.26,-37.16,-29.25,-37.15,37.15,0.00,31.49,7.89,7.90,7.90
27.77,-29.12,-37.03,-29.11,-37.01,37.01,0.00,32.27,7.90,7.90,7.91
28.05,-28.99,-36.90,-28.98,-36.88,36.88,0.00,33.12,7.90,7.90,7.91
28.33,-28.85,-36.74,-28.85,-36.75,36.75,0.00,34.04,7.91,7.90,7.89
28.62,-28.72,-36.61,-28.72,-36.62,36.62,0.00,35.06,7.90,7.90,7.89
28.90,-28.59,-36.49,-28.59,-36.49,36.49,0.00,36.20,7.90,7.90,7.90
29.19,-28.45,-36.35,-28.45,-36.35,36.35,0.00,37.49,7.90,7.90,7.90
29.48,-28.32,-36.21,-28.32,-36.21,36.21,0.00,38.98,7.90,7.89,7.89
29.78,-28.19,-36.08,-28.19,-36.08,36.08,0.00,40.77,7.89,7.89,7.89
30.08,-28.06,-35.96,-28.05,-35.94,35.94,0.00,42.99,7.88,7.89,7.90
30.38,-27.93,-35.82,-27.92,-35.80,35.80,0.00,45.99,7.87,7.88,7.89
30.68,-27.80,-35.67,-27.79,-35.66,35.66,0.00,50.82,7.86,7.87,7.87
30.99,-27.67,-35.54,-27.67,-35.54,35.54,0.00,,7.87,7.87,7.87
31.30,-27.54,-35.40,-27.55,-35.41,35.41,0.00,,7.88,7.86,7.86
31.61,-27.41,-35.26,-27.44,-35.29,35.29,0.00,56.46,7.88,7.85,7.85
31.93,-27.28,-35.12,-27.31,-35.16,35.16,0.00,48.62,7.88,7.85,7.84
32.24,-27.15,-34.99,-27.19,-35.03,35.03,0.00,45.05,7.88,7.84,7.84
32.57,-27.03,-34.85,-27.06,-34.89,34.89,0.00,42.64,7.87,7.83,7.82
32.89,-26.90,-34.72,-26.93,-34.75,34.75,0.00,40.82,7.86,7.83,7.82
33.22,-26.81,-34.63,-26.79,-34.61,34.61,0.00,39.35,7.80,7.82,7.82
33.55,-26.74,-34.55,-26.65,-34.46,34.46,0.00,38.13,7.73,7.82,7.81
33.89,-26.66,-34.48,-26.50,-34.32,34.32,0.00,37.09,7.66,7.81,7.82
34.23,-26.48,-34.28,-26.36,-34.17,34.17,0.00,36.19,7.69,7.81,7.80
34.57,-26.24,-34.04,-26.21,-34.01,34.01,0.00,35.39,7.78,7.80,7.80
34.92,-26.01,-33.80,-26.06,-33.86,33.86,0.00,34.69,7.85,7.80,7.79
35.27,-25.84,-33.64,-25.92,-33.71,33.71,0.00,34.05,7.87,7.79,7.80
35.62,-25.70,-33.48,-25.77,-33.55,33.55,0.00,33.48,7.85,7.78,7.78
35.97,-25.55,-33.33,-25.62,-33.39,33.39,0.00,32.96,7.84,7.77,7.78
36.33,-25.43,-33.19,-25.47,-33.23,33.23,0.00,32.48,7.81,7.76,7.76
36.70,-25.31,-33.06,-25.33,-33.07,33.07,0.00,32.05,7.76,7.74,7.75
37.06,-25.19,-32.92,-25.19,-32.91,32.91,0.00,31.65,7.72,7.72,7.73
