frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,8.71,2.61,8.71,2.61,-2.61,-2.87,-1.13,6.10,6.10,6.10
20.20,8.71,2.62,8.71,2.62,-2.62,-2.87,-1.16,6.09,6.09,6.09
20.40,8.71,2.63,8.71,2.63,-2.63,-2.87,-1.19,6.09,6.09,6.08
20.61,8.71,2.63,8.71,2.64,-2.63,-2.87,-1.23,6.08,6.08,6.08
20.81,8.71,2.65,8.71,2.65,-2.64,-2.87,-1.26,6.07,6.07,6.06
21.02,8.71,2.65,8.71,2.65,-2.65,-2.87,-1.30,6.07,6.07,6.06
21.23,8.71,2.66,8.71,2.65,-2.65,-2.87,-1.34,6.06,6.06,6.05
21.44,8.71,2.65,8.71,2.66,-2.66,-2.86,-1.38,6.05,6.05,6.06
21.66,8.71,2.66,8.71,2.66,-2.66,-2.86,-1.42,6.05,6.05,6.05
21.87,8.71,2.67,8.71,2.67,-2.67,-2.85,-1.46,6.04,6.04,6.04
22.09,8.71,2.68,8.71,2.68,-2.68,-2.85,-1.50,6.03,6.03,6.03
22.31,8.71,2.68,8.71,2.68,-2.69,-2.84,-1.54,6.03,6.03,6.03
22.54,8.71,2.69,8.71,2.69,-2.69,-2.83,-1.59,6.02,6.02,6.02
22.76,8.71,2.70,8.71,2.70,-2.70,-2.83,-1.63,6.01,6.01,6.01
22.99,8.71,2.71,8.71,2.71,-2.71,-2.82,-1.68,6.00,6.00,6.00
23.22,8.71,2.72,8.71,2.71,-2.71,-2.81,-1.73,6.00,6.00,5.99
23.45,8.71,2.71,8.71,2.72,-2.71,-2.80,-1.78,6.00,6.00,6.00
23.69,8.71,2.72,8.71,2.72,-2.71,-2.79,-1.83,6.01,6.01,5.99
23.92,8.71,2.72,8.71,2.71,-2.70,-2.78,-1.88,6.02,6.01,5.99
24.16,8.69,2.69,8.69,2.69,-2.68,-2.77,-1.93,6.01,6.01,6.00
24.40,8.67,2.66,8.67,2.66,-2.67,-2.76,-1.98,6.01,6.01,6.01
24.65,8.64,2.63,8.64,2.63,-2.65,-2.75,-2.03,6.00,6.00,6.01
24.89,8.62,2.61,8.62,2.61,-2.63,-2.74,-2.09,6.00,6.00,6.01
25.14,8.60,2.60,8.60,2.60,-2.61,-2.73,-2.14,6.00,6.00,6.00
25.39,8.59,2.59,8.59,2.59,-2.59,-2.72,-2.20,6.01,6.01,6.00
25.65,8.58,2.58,8.58,2.58,-2.57,-2.71,-2.25,6.01,6.01,6.00
25.91,8.57,2.56,8.57,2.56,-2.55,-2.69,-2.31,6.02,6.02,6.01
26.16,8.56,2.54,8.56,2.54,-2.54,-2.68,-2.36,6.02,6.02,6.02
26.43,8.54,2.52,8.54,2.52,-2.53,-2.67,-2.42,6.02,6.02,6.02
26.69,8.53,2.51,8.53,2.51,-2.52,-2.66,-2.47,6.02,6.01,6.02
26.96,8.51,2.50,8.52,2.50,-2.51,-2.65,-2.53,6.01,6.01,6.01
27.23,8.51,2.50,8.51,2.50,-2.50,-2.64,-2.58,6.01,6.01,6.01
27.50,8.51,2.50,8.51,2.49,-2.50,-2.63,-2.63,6.02,6.01,6.01
27.77,8.51,2.49,8.51,2.49,-2.50,-2.62,-2.68,6.02,6.02,6.02
28.05,8.51,2.49,8.51,2.50,-2.50,-2.62,-2.73,6.02,6.02,6.02
28.33,8.51,2.51,8.51,2.50,-2.50,-2.61,-2.77,6.01,6.01,6.00
28.62,8.51,2.51,8.51,2.50,-2.50,-2.60,-2.82,6.01,6.01,6.00
28.90,8.51,2.50,8.51,2.51,-2.50,-2.59,-2.86,6.01,6.01,6.01
29.19,8.51,2.50,8.51,2.50,-2.50,-2.58,-2.90,6.01,6.01,6.01
29.48,8.51,2.51,8.51,2.50,-2.51,-2.58,-2.94,6.01,6.01,6.00
29.78,8.51,2.51,8.51,2.50,-2.51,-2.57,-2.97,6.00,6.00,6.00
30.08,8.51,2.50,8.51,2.51,-2.52,-2.56,-3.00,6.00,6.00,6.01
30.38,8.51,2.51,8.51,2.51,-2.52,-2.56,-3.02,5.99,5.99,6.00
30.68,8.51,2.53,8.51,2.52,-2.53,-2.55,-3.05,5.98,5.98,5.98
30.99,8.51,2.53,8.51,2.53,-2.54,-2.55,-3.07,5.97,5.97,5.98
31.30,8.51,2.54,8.52,2.55,-2.54,-2.55,-3.08,5.98,5.98,5.97
31.61,8.51,2.55,8.52,2.55,-2.53,-2.54,-3.09,5.98,5.99,5.96
31.93,8.51,2.56,8.50,2.55,-2.52,-2.54,-3.10,6.00,5.99,5.95
32.24,8.47,2.52,8.46,2.52,-2.50,-2.54,-3.11,5.97,5.97,5.95
32.57,8.41,2.48,8.41,2.48,-2.48,-2.53,-3.11,5.94,5.94,5.93
32.89,8.35,2.42,8.37,2.43,-2.45,-2.53,-3.11,5.90,5.91,5.93
33.22,8.33,2.40,8.33,2.40,-2.43,-2.53,-3.10,5.90,5.90,5.93
33.55,8.32,2.40,8.32,2.39,-2.41,-2.53,-3.09,5.91,5.91,5.92
33.89,8.31,2.38,8.31,2.39,-2.40,-2.53,-3.08,5.92,5.92,5.93
34.23,8.31,2.40,8.31,2.40,-2.39,-2.53,-3.07,5.92,5.92,5.91
34.57,8.31,2.40,8.31,2.40,-2.39,-2.53,-3.06,5.92,5.92,5.91
34.92,8.31,2.41,8.31,2.41,-2.40,-2.54,-3.04,5.91,5.91,5.90
35.27,8.31,2.40,8.31,2.41,-2.41,-2.54,-3.02,5.90,5.90,5.91
35.62,8.31,2.42,8.31,2.41,-2.42,-2.54,-3.00,5.89,5.89,5.89
35.97,8.31,2.42,8.31,2.42,-2.43,-2.54,-2.98,5.88,5.88,5.89
36.33,8.31,2.44,8.32,2.44,-2.43,-2.55,-2.96,5.88,5.89,5.87
36.70,8.31,2.45,8.31,2.45,-2.43,-2.55,-2.94,5.88,5.88,5.86
37.06,8.30,2.46,8.29,2.45,-2.43,-2.56,-2.91,5.88,5.86,5.84
37.43,8.25,2.43,8.25,2.43,-2.42,-2.56,-2.89,5.83,5.83,5.82
37.81,8.20,2.40,8.21,2.41,-2.41,-2.57,-2.87,5.79,5.80,5.80
38.19,8.17,2.40,8.17,2.39,-2.41,-2.58,-2.85,5.76,5.76,5.77
38.57,8.14,2.39,8.14,2.39,-2.41,-2.58,-2.83,5.73,5.73,5.75
38.95,8.11,2.39,8.12,2.40,-2.42,-2.59,-2.81,5.70,5.70,5.72
39.34,8.11,2.43,8.11,2.42,-2.43,-2.60,-2.79,5.68,5.68,5.68
39.74,8.11,2.45,8.11,2.45,-2.45,-2.61,-2.78,5.66,5.66,5.66
40.14,8.11,2.48,8.11,2.48,-2.48,-2.62,-2.76,5.63,5.63,5.63
40.54,8.11,2.50,8.11,2.50,-2.51,-2.63,-2.75,5.61,5.61,5.61
40.94,8.11,2.53,8.11,2.53,-2.53,-2.64,-2.73,5.58,5.59,5.58
41.35,8.11,2.55,8.12,2.56,-2.55,-2.65,-2.72,5.57,5.57,5.56
41.76,8.11,2.59,8.11,2.58,-2.55,-2.66,-2.71,5.56,5.55,5.52
42.18,8.09,2.59,8.08,2.58,-2.56,-2.67,-2.70,5.54,5.53,5.50
42.60,8.04,2.56,8.05,2.57,-2.55,-2.68,-2.70,5.49,5.49,5.48
43.03,8.00,2.55,8.00,2.54,-2.55,-2.69,-2.70,5.45,5.45,5.45
43.46,7.95,2.53,7.95,2.53,-2.55,-2.71,-2.69,5.40,5.40,5.42
43.90,7.91,2.51,7.92,2.53,-2.56,-2.72,-2.70,5.36,5.37,5.40
44.33,7.90,2.54,7.90,2.53,-2.56,-2.73,-2.70,5.34,5.34,5.36
44.78,7.90,2.57,7.90,2.56,-2.57,-2.75,-2.70,5.33,5.33,5.33
45.23,7.90,2.58,7.91,2.60,-2.58,-2.76,-2.71,5.32,5.32,5.32
45.68,7.90,2.63,7.90,2.62,-2.60,-2.78,-2.72,5.30,5.30,5.27
46.13,7.89,2.66,7.88,2.64,-2.62,-2.79,-2.73,5.28,5.26,5.23
46.60,7.84,2.64,7.85,2.65,-2.63,-2.81,-2.74,5.21,5.21,5.20
47.06,7.80,2.64,7.81,2.64,-2.65,-2.82,-2.76,5.15,5.15,5.16
47.53,7.77,2.64,7.77,2.65,-2.67,-2.84,-2.77,5.10,5.10,5.13
48.01,7.75,2.68,7.75,2.67,-2.70,-2.85,-2.79,5.06,5.05,5.07
48.49,7.73,2.71,7.73,2.70,-2.72,-2.87,-2.81,5.02,5.01,5.02
48.97,7.70,2.72,7.72,2.74,-2.74,-2.89,-2.83,4.97,4.98,4.98
49.46,7.70,2.76,7.70,2.77,-2.75,-2.91,-2.86,4.95,4.95,4.94
49.96,7.70,2.83,7.69,2.80,-2.77,-2.92,-2.88,4.93,4.91,4.87
50.46,7.65,2.82,7.65,2.82,-2.79,-2.94,-2.91,4.86,4.86,4.83
50.96,7.60,2.81,7.60,2.81,-2.81,-2.96,-2.94,4.79,4.79,4.79
51.47,7.55,2.80,7.55,2.80,-2.82,-2.98,-2.97,4.73,4.73,4.75
51.99,7.50,2.80,7.52,2.81,-2.84,-3.00,-3.00,4.66,4.68,4.70
52.51,7.50,2.84,7.50,2.83,-2.86,-3.02,-3.03,4.65,4.64,4.66
53.03,7.50,2.87,7.49,2.87,-2.87,-3.03,-3.06,4.63,4.62,4.63
53.56,7.48,2.91,7.48,2.91,-2.90,-3.05,-3.09,4.59,4.59,4.57
54.10,7.46,2.94,7.46,2.93,-2.92,-3.07,-3.12,4.54,4.54,4.52
54.64,7.43,2.95,7.43,2.96,-2.95,-3.09,-3.15,4.48,4.48,4.48
55.18,7.39,2.97,7.40,2.98,-2.97,-3.11,-3.18,4.42,4.43,4.42
55.74,7.38,3.01,7.37,2.99,-3.00,-3.13,-3.21,4.39,4.38,4.37
56.29,7.35,3.01,7.35,3.01,-3.01,-3.15,-3.24,4.34,4.33,4.34
56.86,7.31,3.01,7.32,3.03,-3.03,-3.18,-3.27,4.29,4.30,4.30
57.42,7.29,3.05,7.30,3.04,-3.04,-3.20,-3.30,4.25,4.26,4.24
58.00,7.28,3.07,7.26,3.05,-3.05,-3.22,-3.33,4.23,4.21,4.21
58.58,7.23,3.05,7.24,3.06,-3.06,-3.24,-3.35,4.17,4.18,4.18
59.16,7.20,3.06,7.22,3.08,-3.08,-3.26,-3.38,4.12,4.14,4.14
59.76,7.20,3.10,7.19,3.09,-3.10,-3.28,-3.40,4.11,4.09,4.10
60.35,7.16,3.13,7.16,3.11,-3.12,-3.30,-3.42,4.05,4.04,4.03
60.96,7.10,3.12,7.11,3.14,-3.14,-3.32,-3.44,3.96,3.97,3.98
61.57,7.07,3.16,7.07,3.16,-3.17,-3.35,-3.45,3.90,3.90,3.91
62.18,7.03,3.19,7.04,3.19,-3.20,-3.37,-3.47,3.83,3.84,3.84
62.80,7.01,3.23,7.02,3.24,-3.23,-3.39,-3.48,3.78,3.79,3.78
63.43,7.00,3.28,7.00,3.27,-3.26,-3.41,-3.48,3.75,3.74,3.72
64.07,6.98,3.31,6.97,3.30,-3.28,-3.43,-3.49,3.70,3.69,3.67
64.71,6.93,3.32,6.93,3.32,-3.31,-3.46,-3.50,3.62,3.62,3.61
65.35,6.88,3.33,6.89,3.33,-3.34,-3.48,-3.50,3.54,3.55,3.55
66.01,6.84,3.35,6.84,3.34,-3.37,-3.50,-3.50,3.47,3.47,3.49
66.67,6.81,3.36,6.82,3.38,-3.39,-3.52,-3.50,3.42,3.43,3.45
67.33,6.79,3.42,6.80,3.42,-3.42,-3.55,-3.49,3.37,3.38,3.37
68.01,6.80,3.48,6.77,3.45,-3.45,-3.57,-3.49,3.36,3.33,3.32
68.69,6.73,3.48,6.74,3.49,-3.47,-3.59,-3.48,3.26,3.27,3.25
69.37,6.69,3.49,6.70,3.51,-3.50,-3.61,-3.48,3.19,3.20,3.20
70.07,6.67,3.54,6.66,3.52,-3.53,-3.64,-3.47,3.14,3.13,3.13
70.77,6.62,3.55,6.63,3.56,-3.55,-3.66,-3.46,3.07,3.07,3.07
71.48,6.58,3.58,6.59,3.58,-3.58,-3.68,-3.45,3.01,3.01,3.00
72.19,6.54,3.61,6.54,3.60,-3.60,-3.70,-3.45,2.94,2.93,2.93
72.91,6.49,3.62,6.49,3.62,-3.63,-3.73,-3.44,2.86,2.85,2.87
73.64,6.43,3.63,6.44,3.64,-3.66,-3.75,-3.43,2.77,2.78,2.80
74.38,6.40,3.66,6.42,3.67,-3.69,-3.77,-3.43,2.72,2.73,2.74
75.12,6.40,3.73,6.40,3.72,-3.71,-3.79,-3.42,2.69,2.69,2.67
75.87,6.40,3.77,6.39,3.76,-3.74,-3.82,-3.42,2.67,2.65,2.63
76.63,6.35,3.79,6.35,3.78,-3.76,-3.84,-3.41,2.59,2.59,2.56
77.40,6.29,3.78,6.29,3.78,-3.78,-3.86,-3.41,2.51,2.51,2.51
78.17,6.23,3.78,6.24,3.78,-3.80,-3.88,-3.41,2.43,2.44,2.45
78.95,6.19,3.78,6.21,3.80,-3.82,-3.90,-3.42,2.38,2.39,2.41
79.74,6.19,3.84,6.18,3.83,-3.83,-3.93,-3.42,2.36,2.35,2.35
80.54,6.16,3.87,6.15,3.86,-3.85,-3.95,-3.43,2.32,2.31,2.29
81.35,6.11,3.87,6.11,3.86,-3.86,-3.97,-3.43,2.25,2.25,2.24
82.16,6.05,3.86,6.05,3.87,-3.88,-3.99,-3.45,2.18,2.18,2.19
82.98,5.99,3.86,6.02,3.89,-3.89,-4.01,-3.46,2.10,2.13,2.13
83.81,6.00,3.93,5.99,3.92,-3.91,-4.04,-3.47,2.09,2.08,2.07
84.65,5.98,3.97,5.95,3.94,-3.93,-4.06,-3.49,2.05,2.02,2.01
85.50,5.89,3.95,5.89,3.95,-3.95,-4.08,-3.51,1.95,1.95,1.94
86.35,5.80,3.92,5.83,3.95,-3.96,-4.10,-3.54,1.84,1.87,1.88
87.22,5.79,3.96,5.80,3.98,-3.98,-4.12,-3.56,1.81,1.82,1.83
88.09,5.79,4.03,5.78,4.01,-4.00,-4.14,-3.59,1.79,1.77,1.76
88.97,5.78,4.07,5.74,4.03,-4.02,-4.16,-3.62,1.76,1.71,1.71
89.86,5.64,4.01,5.68,4.04,-4.04,-4.18,-3.66,1.60,1.63,1.63
90.76,5.60,4.03,5.63,4.06,-4.06,-4.20,-3.70,1.54,1.56,1.57
91.66,5.60,4.10,5.60,4.09,-4.09,-4.22,-3.74,1.51,1.50,1.50
92.58,5.60,4.16,5.57,4.13,-4.12,-4.24,-3.78,1.48,1.45,1.44
93.51,5.53,4.16,5.52,4.15,-4.15,-4.26,-3.82,1.38,1.37,1.37
94.44,5.44,4.14,5.46,4.16,-4.18,-4.28,-3.87,1.26,1.28,1.30
