frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,0.44,-7.77,0.40,-7.81,7.81,7.53,3.44,8.24,8.21,8.21
20.20,0.44,-7.76,0.41,-7.79,7.79,7.53,3.53,8.22,8.20,8.20
20.40,0.44,-7.75,0.42,-7.77,7.77,7.54,3.63,8.20,8.19,8.19
20.61,0.44,-7.75,0.43,-7.75,7.75,7.55,3.73,8.19,8.18,8.18
20.81,0.44,-7.73,0.44,-7.73,7.73,7.55,3.84,8.17,8.17,8.16
21.02,0.44,-7.73,0.45,-7.71,7.71,7.56,3.94,8.15,8.16,8.16
21.23,0.44,-7.71,0.46,-7.69,7.69,7.56,4.05,8.13,8.15,8.15
21.44,0.44,-7.72,0.47,-7.67,7.67,7.57,4.17,8.11,8.15,8.16
21.66,0.44,-7.71,0.49,-7.65,7.65,7.57,4.28,8.09,8.14,8.15
21.87,0.44,-7.70,0.50,-7.64,7.64,7.58,4.40,8.07,8.13,8.14
22.09,0.46,-7.67,0.51,-7.62,7.62,7.58,4.52,8.08,8.13,8.13
22.31,0.50,-7.63,0.52,-7.60,7.60,7.58,4.65,8.10,8.12,8.13
22.54,0.55,-7.57,0.54,-7.58,7.58,7.58,4.78,8.12,8.12,8.12
22.76,0.59,-7.53,0.56,-7.55,7.55,7.59,4.91,8.14,8.11,8.11
22.99,0.64,-7.47,0.58,-7.53,7.53,7.59,5.05,8.17,8.11,8.10
23.22,0.64,-7.45,0.60,-7.51,7.51,7.59,5.19,8.15,8.10,8.09
23.45,0.64,-7.46,0.61,-7.49,7.49,7.59,5.33,8.13,8.10,8.10
23.69,0.64,-7.45,0.63,-7.47,7.47,7.59,5.47,8.11,8.10,8.09
23.92,0.64,-7.45,0.64,-7.46,7.46,7.59,5.62,8.10,8.10,8.09
24.16,0.64,-7.46,0.65,-7.45,7.45,7.59,5.77,8.09,8.10,8.10
24.40,0.64,-7.47,0.65,-7.45,7.45,7.59,5.93,8.08,8.10,8.11
24.65,0.64,-7.47,0.65,-7.45,7.45,7.59,6.08,8.09,8.10,8.10
24.89,0.64,-7.46,0.65,-7.45,7.45,7.58,6.24,8.09,8.10,8.10
25.14,0.64,-7.46,0.64,-7.46,7.46,7.58,6.40,8.09,8.10,8.10
25.39,0.64,-7.46,0.64,-7.46,7.46,7.58,6.56,8.10,8.10,8.10
25.65,0.64,-7.46,0.64,-7.47,7.47,7.58,6.73,8.10,8.10,8.10
25.91,0.64,-7.47,0.64,-7.47,7.47,7.57,6.89,8.11,8.11,8.10
26.16,0.64,-7.48,0.64,-7.47,7.47,7.57,7.06,8.11,8.11,8.11
26.43,0.64,-7.47,0.64,-7.47,7.47,7.56,7.22,8.11,8.11,8.11
26.69,0.64,-7.47,0.64,-7.47,7.47,7.56,7.39,8.11,8.11,8.11
26.96,0.64,-7.47,0.64,-7.47,7.47,7.55,7.55,8.10,8.10,8.11
27.23,0.64,-7.47,0.64,-7.47,7.47,7.54,7.71,8.10,8.10,8.10
27.50,0.64,-7.46,0.64,-7.47,7.47,7.54,7.86,8.10,8.10,8.10
27.77,0.64,-7.47,0.64,-7.47,7.47,7.53,8.02,8.10,8.10,8.11
28.05,0.64,-7.47,0.64,-7.47,7.47,7.52,8.16,8.10,8.10,8.11
28.33,0.64,-7.46,0.64,-7.46,7.46,7.51,8.30,8.10,8.10,8.09
28.62,0.64,-7.45,0.64,-7.46,7.46,7.51,8.44,8.10,8.10,8.09
28.90,0.64,-7.46,0.64,-7.46,7.46,7.50,8.56,8.10,8.10,8.10
29.19,0.64,-7.46,0.64,-7.46,7.46,7.49,8.67,8.09,8.09,8.09
29.48,0.64,-7.45,0.64,-7.45,7.45,7.48,8.78,8.09,8.09,8.09
29.78,0.64,-7.45,0.64,-7.45,7.45,7.46,8.87,8.09,8.09,8.09
30.08,0.64,-7.46,0.64,-7.44,7.44,7.45,8.95,8.08,8.08,8.09
30.38,0.64,-7.44,0.64,-7.44,7.44,7.44,9.01,8.07,8.07,8.08
30.68,0.64,-7.43,0.64,-7.43,7.43,7.43,9.07,8.07,8.07,8.07
30.99,0.64,-7.43,0.63,-7.43,7.43,7.42,9.10,8.07,8.06,8.06
31.30,0.64,-7.41,0.63,-7.43,7.43,7.40,9.13,8.06,8.05,8.05
31.61,0.64,-7.41,0.62,-7.42,7.42,7.39,9.13,8.06,8.04,8.04
31.93,0.64,-7.39,0.63,-7.41,7.41,7.37,9.13,8.05,8.04,8.03
32.24,0.64,-7.39,0.63,-7.40,7.40,7.36,9.10,8.04,8.03,8.03
32.57,0.64,-7.37,0.64,-7.38,7.38,7.34,9.07,8.02,8.02,8.01
32.89,0.64,-7.37,0.65,-7.36,7.36,7.33,9.02,8.00,8.01,8.01
33.22,0.64,-7.36,0.66,-7.34,7.34,7.31,8.96,7.98,8.01,8.00
33.55,0.64,-7.36,0.68,-7.32,7.32,7.29,8.89,7.96,8.00,8.00
33.89,0.64,-7.36,0.70,-7.30,7.30,7.27,8.80,7.94,8.00,8.00
34.23,0.68,-7.31,0.72,-7.27,7.27,7.25,8.71,7.95,7.99,7.98
34.57,0.74,-7.24,0.73,-7.25,7.25,7.23,8.61,7.99,7.98,7.98
34.92,0.80,-7.18,0.75,-7.22,7.22,7.21,8.51,8.02,7.98,7.97
35.27,0.82,-7.16,0.77,-7.19,7.19,7.19,8.40,8.01,7.97,7.98
35.62,0.83,-7.13,0.79,-7.17,7.17,7.17,8.28,7.99,7.96,7.96
35.97,0.84,-7.11,0.81,-7.14,7.14,7.15,8.16,7.97,7.94,7.95
36.33,0.84,-7.10,0.82,-7.11,7.11,7.13,8.04,7.95,7.93,7.94
36.70,0.84,-7.08,0.83,-7.08,7.08,7.10,7.92,7.92,7.91,7.92
37.06,0.84,-7.06,0.84,-7.05,7.05,7.08,7.79,7.89,7.89,7.90
37.43,0.84,-7.03,0.85,-7.02,7.02,7.05,7.67,7.86,7.87,7.87
37.81,0.84,-7.02,0.85,-7.00,7.00,7.03,7.55,7.83,7.85,7.85
38.19,0.84,-6.99,0.85,-6.97,6.97,7.00,7.42,7.81,7.82,7.83
38.57,0.84,-6.96,0.84,-6.95,6.95,6.98,7.31,7.79,7.80,7.80
38.95,0.84,-6.93,0.84,-6.93,6.93,6.95,7.19,7.76,7.77,7.77
39.34,0.84,-6.89,0.84,-6.90,6.90,6.92,7.07,7.74,7.74,7.73
39.74,0.84,-6.87,0.84,-6.87,6.87,6.89,6.96,7.71,7.71,7.71
40.14,0.84,-6.84,0.84,-6.84,6.84,6.86,6.85,7.68,7.68,7.68
40.54,0.84,-6.81,0.84,-6.81,6.81,6.83,6.75,7.65,7.65,7.65
40.94,0.84,-6.78,0.84,-6.78,6.78,6.80,6.65,7.62,7.62,7.61
41.35,0.84,-6.75,0.84,-6.75,6.75,6.77,6.55,7.59,7.59,7.59
41.76,0.84,-6.71,0.84,-6.72,6.72,6.73,6.46,7.56,7.56,7.55
42.18,0.84,-6.69,0.84,-6.69,6.69,6.70,6.37,7.53,7.53,7.53
42.60,0.84,-6.67,0.84,-6.66,6.66,6.67,6.28,7.50,7.50,7.50
43.03,0.84,-6.63,0.84,-6.63,6.63,6.63,6.20,7.47,7.47,7.47
43.46,0.84,-6.60,0.84,-6.60,6.60,6.60,6.13,7.44,7.44,7.44
43.90,0.84,-6.58,0.84,-6.57,6.57,6.56,6.06,7.41,7.41,7.41
44.33,0.84,-6.54,0.84,-6.54,6.54,6.52,5.99,7.38,7.38,7.38
44.78,0.84,-6.50,0.84,-6.51,6.51,6.48,5.93,7.35,7.35,7.34
45.23,0.84,-6.49,0.84,-6.47,6.47,6.45,5.87,7.31,7.31,7.33
45.68,0.84,-6.44,0.84,-6.44,6.44,6.41,5.82,7.27,7.27,7.28
46.13,0.84,-6.39,0.84,-6.39,6.39,6.37,5.77,7.23,7.23,7.23
46.60,0.84,-6.36,0.84,-6.35,6.35,6.32,5.73,7.19,7.19,7.19
47.06,0.84,-6.32,0.84,-6.31,6.31,6.28,5.69,7.15,7.15,7.16
47.53,0.84,-6.28,0.84,-6.26,6.26,6.24,5.65,7.10,7.10,7.12
