frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,16.79,6.39,16.79,6.38,-6.38,-6.25,-2.12,10.41,10.41,10.40
20.20,16.75,6.36,16.75,6.35,-6.35,-6.21,-2.18,10.40,10.40,10.39
20.40,16.70,6.32,16.70,6.32,-6.32,-6.17,-2.24,10.39,10.39,10.38
20.61,16.66,6.28,16.66,6.28,-6.28,-6.13,-2.31,10.38,10.38,10.38
20.81,16.61,6.25,16.62,6.25,-6.25,-6.09,-2.38,10.36,10.37,10.36
21.02,16.57,6.21,16.57,6.21,-6.21,-6.05,-2.44,10.36,10.36,10.36
21.23,16.52,6.17,16.53,6.18,-6.18,-6.01,-2.52,10.34,10.35,10.35
21.44,16.48,6.12,16.49,6.14,-6.14,-5.97,-2.59,10.34,10.34,10.36
21.66,16.44,6.09,16.44,6.10,-6.10,-5.93,-2.66,10.34,10.34,10.35
21.87,16.39,6.05,16.40,6.06,-6.06,-5.88,-2.74,10.33,10.33,10.34
22.09,16.35,6.03,16.35,6.03,-6.03,-5.84,-2.82,10.33,10.33,10.33
22.31,16.31,5.99,16.31,5.99,-5.99,-5.80,-2.90,10.33,10.32,10.32
22.54,16.26,5.95,16.26,5.95,-5.95,-5.75,-2.98,10.32,10.31,10.31
22.76,16.22,5.91,16.21,5.90,-5.90,-5.71,-3.07,10.32,10.31,10.31
22.99,16.17,5.87,16.17,5.86,-5.86,-5.66,-3.16,10.31,10.31,10.30
23.22,16.12,5.83,16.12,5.82,-5.82,-5.62,-3.25,10.30,10.30,10.29
23.45,16.07,5.77,16.07,5.78,-5.78,-5.57,-3.34,10.30,10.30,10.30
23.69,16.02,5.73,16.03,5.73,-5.73,-5.53,-3.43,10.29,10.30,10.29
23.92,15.98,5.69,15.98,5.68,-5.68,-5.48,-3.52,10.30,10.29,10.29
24.16,15.93,5.64,15.93,5.63,-5.63,-5.43,-3.62,10.30,10.29,10.29
24.40,15.88,5.58,15.88,5.58,-5.58,-5.39,-3.72,10.30,10.29,10.30
24.65,15.83,5.53,15.83,5.54,-5.54,-5.34,-3.82,10.30,10.30,10.30
24.89,15.78,5.48,15.78,5.49,-5.49,-5.29,-3.92,10.29,10.30,10.30
25.14,15.73,5.43,15.74,5.44,-5.44,-5.25,-4.02,10.29,10.30,10.30
25.39,15.68,5.38,15.69,5.39,-5.39,-5.20,-4.12,10.29,10.30,10.30
25.65,15.63,5.34,15.64,5.34,-5.34,-5.15,-4.22,10.30,10.30,10.29
25.91,15.58,5.28,15.59,5.28,-5.28,-5.10,-4.32,10.30,10.30,10.30
26.16,15.53,5.22,15.54,5.23,-5.23,-5.06,-4.42,10.30,10.30,10.31
26.43,15.50,5.19,15.49,5.19,-5.19,-5.01,-4.52,10.32,10.30,10.31
26.69,15.46,5.16,15.44,5.14,-5.14,-4.96,-4.62,10.32,10.30,10.31
26.96,15.42,5.12,15.40,5.09,-5.09,-4.91,-4.71,10.33,10.30,10.30
27.23,15.35,5.05,15.35,5.05,-5.05,-4.86,-4.81,10.31,10.30,10.30
27.50,15.28,4.98,15.30,5.00,-5.00,-4.82,-4.90,10.29,10.30,10.30
27.77,15.22,4.91,15.25,4.95,-4.95,-4.77,-4.99,10.27,10.30,10.31
28.05,15.15,4.85,15.20,4.90,-4.90,-4.72,-5.07,10.26,10.30,10.30
28.33,15.13,4.84,15.14,4.84,-4.84,-4.67,-5.15,10.29,10.30,10.29
28.62,15.10,4.81,15.08,4.79,-4.79,-4.63,-5.22,10.32,10.30,10.29
28.90,15.07,4.78,15.03,4.73,-4.73,-4.58,-5.29,10.34,10.29,10.30
29.19,15.01,4.72,14.97,4.68,-4.68,-4.53,-5.35,10.33,10.29,10.29
29.48,14.93,4.64,14.91,4.62,-4.62,-4.48,-5.41,10.31,10.29,10.29
29.78,14.86,4.58,14.85,4.57,-4.57,-4.44,-5.46,10.29,10.28,10.29
30.08,14.78,4.49,14.80,4.52,-4.52,-4.39,-5.49,10.26,10.28,10.29
30.38,14.72,4.44,14.74,4.47,-4.47,-4.34,-5.53,10.25,10.27,10.28
30.68,14.65,4.39,14.69,4.42,-4.42,-4.30,-5.55,10.23,10.26,10.26
30.99,14.58,4.32,14.63,4.37,-4.37,-4.25,-5.56,10.21,10.26,10.26
31.30,14.54,4.29,14.57,4.32,-4.32,-4.21,-5.57,10.23,10.25,10.25
31.61,14.51,4.27,14.50,4.26,-4.26,-4.16,-5.57,10.25,10.24,10.24
31.93,14.47,4.24,14.44,4.21,-4.21,-4.12,-5.56,10.26,10.23,10.23
32.24,14.41,4.19,14.39,4.16,-4.16,-4.07,-5.54,10.25,10.23,10.22
32.57,14.34,4.13,14.32,4.11,-4.11,-4.03,-5.51,10.24,10.22,10.21
32.89,14.27,4.07,14.26,4.05,-4.05,-3.98,-5.47,10.22,10.21,10.20
33.22,14.21,4.01,14.19,3.99,-3.99,-3.94,-5.43,10.22,10.20,10.20
33.55,14.14,3.95,14.13,3.93,-3.93,-3.89,-5.38,10.21,10.20,10.19
33.89,14.07,3.87,14.07,3.87,-3.87,-3.85,-5.32,10.20,10.19,10.20
34.23,14.01,3.83,14.01,3.82,-3.82,-3.81,-5.26,10.19,10.19,10.18
34.57,13.95,3.77,13.95,3.77,-3.77,-3.76,-5.19,10.18,10.18,10.18
34.92,13.88,3.71,13.89,3.71,-3.71,-3.72,-5.12,10.17,10.17,10.17
35.27,13.80,3.63,13.83,3.66,-3.66,-3.68,-5.04,10.14,10.16,10.17
35.62,13.71,3.55,13.77,3.61,-3.61,-3.64,-4.96,10.10,10.15,10.16
35.97,13.63,3.48,13.71,3.57,-3.57,-3.59,-4.88,10.06,10.14,10.15
36.33,13.62,3.49,13.66,3.53,-3.53,-3.55,-4.80,10.09,10.13,10.13
36.70,13.63,3.52,13.60,3.49,-3.49,-3.51,-4.71,10.14,10.11,10.12
37.06,13.62,3.52,13.55,3.46,-3.46,-3.47,-4.62,10.16,10.09,10.10
37.43,13.54,3.47,13.50,3.43,-3.43,-3.43,-4.53,10.11,10.07,10.07
37.81,13.47,3.42,13.44,3.40,-3.40,-3.39,-4.45,10.07,10.05,10.05
38.19,13.40,3.38,13.39,3.37,-3.37,-3.35,-4.36,10.03,10.02,10.02
38.57,13.33,3.34,13.33,3.34,-3.34,-3.31,-4.27,9.99,9.99,9.99
38.95,13.26,3.30,13.28,3.31,-3.31,-3.28,-4.18,9.95,9.97,9.96
39.34,13.20,3.28,13.22,3.28,-3.28,-3.24,-4.09,9.92,9.94,9.92
39.74,13.15,3.25,13.16,3.25,-3.25,-3.20,-4.01,9.90,9.91,9.90
40.14,13.10,3.23,13.09,3.22,-3.22,-3.16,-3.92,9.88,9.88,9.87
40.54,13.03,3.19,13.02,3.18,-3.18,-3.13,-3.84,9.85,9.85,9.84
40.94,12.96,3.15,12.95,3.14,-3.14,-3.09,-3.76,9.82,9.82,9.81
41.35,12.89,3.10,12.89,3.10,-3.10,-3.06,-3.68,9.79,9.79,9.79
41.76,12.81,3.06,12.82,3.07,-3.07,-3.02,-3.61,9.75,9.76,9.75
42.18,12.75,3.03,12.76,3.03,-3.03,-2.99,-3.53,9.72,9.73,9.73
42.60,12.69,2.99,12.69,3.00,-3.00,-2.95,-3.46,9.70,9.70,9.70
43.03,12.63,2.96,12.63,2.96,-2.96,-2.92,-3.39,9.67,9.67,9.67
43.46,12.56,2.93,12.56,2.92,-2.92,-2.88,-3.32,9.64,9.64,9.63
43.90,12.49,2.88,12.50,2.89,-2.89,-2.85,-3.26,9.60,9.61,9.61
44.33,12.43,2.86,12.43,2.86,-2.86,-2.82,-3.19,9.57,9.58,9.58
44.78,12.37,2.83,12.37,2.83,-2.83,-2.79,-3.13,9.55,9.54,9.54
45.23,12.31,2.79,12.31,2.80,-2.80,-2.76,-3.07,9.51,9.51,9.52
45.68,12.24,2.76,12.24,2.77,-2.77,-2.73,-3.02,9.47,9.47,9.48
46.13,12.17,2.74,12.18,2.75,-2.75,-2.70,-2.97,9.42,9.43,9.43
46.60,12.10,2.71,12.11,2.72,-2.72,-2.67,-2.91,9.38,9.39,9.39
47.06,12.03,2.68,12.04,2.70,-2.70,-2.64,-2.87,9.33,9.35,9.35
47.53,11.98,2.67,11.97,2.67,-2.67,-2.61,-2.82,9.31,9.30,9.31
48.01,11.93,2.68,11.90,2.65,-2.65,-2.58,-2.77,9.28,9.25,9.25
48.49,11.86,2.66,11.83,2.63,-2.63,-2.55,-2.73,9.23,9.21,9.20
48.97,11.78,2.63,11.76,2.61,-2.61,-2.53,-2.69,9.17,9.16,9.15
49.46,11.69,2.58,11.69,2.59,-2.59,-2.50,-2.65,9.10,9.11,9.11
49.96,11.60,2.56,11.62,2.57,-2.57,-2.47,-2.62,9.03,9.06,9.04
50.46,11.53,2.54,11.56,2.55,-2.55,-2.45,-2.58,8.98,9.00,8.99
50.96,11.46,2.51,11.49,2.53,-2.53,-2.42,-2.55,8.93,8.95,8.95
51.47,11.40,2.50,11.42,2.52,-2.52,-2.40,-2.52,8.89,8.90,8.90
51.99,11.34,2.49,11.35,2.50,-2.50,-2.37,-2.49,8.84,8.85,8.85
52.51,11.28,2.48,11.28,2.48,-2.48,-2.35,-2.47,8.80,8.80,8.80
53.03,11.23,2.47,11.21,2.46,-2.46,-2.33,-2.44,8.77,8.75,8.76
53.56,11.16,2.46,11.14,2.45,-2.45,-2.31,-2.42,8.71,8.69,8.70
54.10,11.09,2.45,11.08,2.44,-2.44,-2.28,-2.39,8.66,8.64,8.65
54.64,11.02,2.43,11.02,2.43,-2.43,-2.26,-2.37,8.59,8.60,8.59
55.18,10.96,2.43,10.96,2.42,-2.42,-2.24,-2.35,8.54,8.55,8.53
55.74,10.88,2.40,10.90,2.40,-2.40,-2.22,-2.33,8.48,8.50,8.48
56.29,10.81,2.37,10.84,2.39,-2.39,-2.20,-2.31,8.42,8.45,8.44
56.86,10.75,2.36,10.77,2.37,-2.37,-2.18,-2.29,8.38,8.40,8.39
57.42,10.69,2.36,10.70,2.35,-2.35,-2.17,-2.28,8.34,8.35,8.33
58.00,10.63,2.34,10.63,2.34,-2.34,-2.15,-2.26,8.30,8.29,8.29
58.58,10.60,2.35,10.56,2.32,-2.32,-2.13,-2.24,8.28,8.24,8.25
59.16,10.55,2.35,10.48,2.30,-2.30,-2.11,-2.23,8.25,8.18,8.20
59.76,10.46,2.31,10.42,2.29,-2.29,-2.10,-2.21,8.17,8.12,8.15
60.35,10.35,2.27,10.35,2.28,-2.28,-2.08,-2.20,8.07,8.07,8.08
60.96,10.22,2.20,10.27,2.26,-2.26,-2.07,-2.19,7.96,8.01,8.02
61.57,10.18,2.23,10.20,2.26,-2.26,-2.05,-2.17,7.92,7.95,7.95
62.18,10.13,2.26,10.14,2.26,-2.26,-2.04,-2.16,7.87,7.88,7.87
62.80,10.02,2.22,10.07,2.26,-2.26,-2.03,-2.14,7.76,7.82,7.80
63.43,9.98,2.25,10.01,2.27,-2.27,-2.02,-2.13,7.72,7.75,7.73
64.07,9.98,2.31,9.95,2.27,-2.27,-2.00,-2.12,7.71,7.68,7.67
64.71,9.84,2.24,9.89,2.28,-2.28,-1.99,-2.11,7.56,7.61,7.60
65.35,9.79,2.25,9.82,2.28,-2.28,-1.98,-2.09,7.51,7.54,7.54
66.01,9.82,2.35,9.76,2.29,-2.29,-1.97,-2.08,7.53,7.47,7.47
66.67,9.64,2.23,9.70,2.30,-2.30,-1.96,-2.07,7.35,7.40,7.42
67.33,9.62,2.29,9.63,2.30,-2.30,-1.95,-2.06,7.32,7.33,7.33
68.01,9.75,2.49,9.57,2.30,-2.30,-1.94,-2.05,7.45,7.26,7.27
68.69,9.52,2.33,9.49,2.30,-2.30,-1.94,-2.04,7.22,7.19,7.19
69.37,9.42,2.29,9.42,2.30,-2.30,-1.93,-2.03,7.12,7.12,7.13
70.07,9.41,2.36,9.35,2.30,-2.30,-1.92,-2.02,7.11,7.05,7.05
70.77,9.20,2.22,9.27,2.30,-2.30,-1.92,-2.01,6.90,6.97,6.98
71.48,9.13,2.22,9.20,2.30,-2.30,-1.91,-2.00,6.83,6.90,6.91
72.19,9.10,2.28,9.13,2.30,-2.30,-1.91,-1.99,6.80,6.83,6.82
