frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-0.51,-5.95,-0.52,-5.96,5.96,5.31,2.03,5.45,5.44,5.44
20.20,-0.48,-5.91,-0.48,-5.92,5.92,5.31,2.09,5.44,5.43,5.43
20.40,-0.44,-5.86,-0.45,-5.87,5.87,5.32,2.16,5.43,5.42,5.42
20.61,-0.41,-5.83,-0.41,-5.83,5.83,5.32,2.22,5.42,5.41,5.42
20.81,-0.38,-5.78,-0.37,-5.78,5.78,5.33,2.29,5.40,5.41,5.40
21.02,-0.35,-5.75,-0.34,-5.73,5.73,5.33,2.35,5.38,5.40,5.40
21.23,-0.30,-5.69,-0.30,-5.69,5.69,5.33,2.43,5.39,5.39,5.39
21.44,-0.26,-5.66,-0.25,-5.64,5.64,5.33,2.50,5.38,5.38,5.40
21.66,-0.22,-5.61,-0.21,-5.59,5.59,5.33,2.57,5.37,5.38,5.39
21.87,-0.17,-5.55,-0.17,-5.54,5.54,5.32,2.65,5.37,5.37,5.38
22.09,-0.13,-5.50,-0.12,-5.49,5.49,5.32,2.73,5.36,5.37,5.37
22.31,-0.08,-5.45,-0.07,-5.43,5.43,5.32,2.81,5.36,5.36,5.37
22.54,-0.03,-5.39,-0.02,-5.38,5.38,5.31,2.89,5.35,5.36,5.36
22.76,0.03,-5.32,0.03,-5.32,5.32,5.30,2.98,5.35,5.35,5.35
22.99,0.08,-5.26,0.08,-5.27,5.27,5.29,3.07,5.35,5.35,5.34
23.22,0.13,-5.20,0.14,-5.21,5.21,5.28,3.16,5.34,5.34,5.33
23.45,0.19,-5.15,0.19,-5.15,5.15,5.27,3.25,5.34,5.34,5.34
23.69,0.25,-5.08,0.25,-5.09,5.09,5.26,3.34,5.34,5.34,5.33
23.92,0.30,-5.03,0.31,-5.03,5.03,5.24,3.44,5.33,5.34,5.33
24.16,0.35,-4.99,0.37,-4.97,4.97,5.23,3.54,5.32,5.34,5.34
24.40,0.41,-4.94,0.42,-4.92,4.92,5.21,3.64,5.33,5.34,5.35
24.65,0.46,-4.89,0.46,-4.88,4.88,5.20,3.74,5.34,5.34,5.35
24.89,0.51,-4.84,0.50,-4.84,4.84,5.18,3.84,5.35,5.34,5.35
25.14,0.56,-4.78,0.54,-4.81,4.81,5.16,3.94,5.37,5.34,5.34
25.39,0.61,-4.73,0.57,-4.78,4.78,5.14,4.04,5.39,5.35,5.34
25.65,0.65,-4.69,0.60,-4.74,4.74,5.11,4.15,5.40,5.35,5.34
25.91,0.70,-4.65,0.64,-4.71,4.71,5.09,4.25,5.41,5.35,5.35
26.16,0.71,-4.65,0.67,-4.68,4.68,5.06,4.35,5.39,5.35,5.36
26.43,0.69,-4.67,0.70,-4.65,4.65,5.04,4.46,5.34,5.35,5.36
26.69,0.67,-4.69,0.73,-4.62,4.62,5.01,4.56,5.29,5.35,5.36
26.96,0.65,-4.70,0.77,-4.58,4.58,4.98,4.66,5.24,5.35,5.35
27.23,0.71,-4.64,0.80,-4.56,4.56,4.95,4.75,5.27,5.35,5.35
27.50,0.79,-4.56,0.82,-4.53,4.53,4.92,4.85,5.32,5.35,5.35
27.77,0.87,-4.49,0.85,-4.50,4.50,4.89,4.94,5.37,5.35,5.36
28.05,0.94,-4.42,0.88,-4.47,4.47,4.86,5.02,5.41,5.35,5.36
28.33,0.97,-4.37,0.92,-4.43,4.43,4.82,5.10,5.40,5.35,5.34
28.62,1.00,-4.34,0.97,-4.38,4.38,4.79,5.18,5.38,5.35,5.34
