frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,1.34,-7.17,1.35,-7.16,7.16,6.89,2.98,8.50,8.51,8.51
20.20,1.36,-7.14,1.37,-7.13,7.13,6.89,3.07,8.49,8.50,8.50
20.40,1.38,-7.11,1.39,-7.11,7.11,6.90,3.15,8.48,8.49,8.49
20.61,1.40,-7.09,1.40,-7.08,7.08,6.90,3.24,8.48,8.48,8.49
20.81,1.42,-7.05,1.42,-7.05,7.05,6.90,3.33,8.47,8.47,8.47
21.02,1.44,-7.03,1.44,-7.03,7.03,6.90,3.42,8.46,8.46,8.47
21.23,1.46,-7.00,1.45,-7.00,7.00,6.90,3.52,8.46,8.46,8.45
21.44,1.48,-6.99,1.47,-6.98,6.98,6.90,3.62,8.46,8.45,8.46
21.66,1.51,-6.95,1.48,-6.96,6.96,6.90,3.72,8.47,8.44,8.45
21.87,1.53,-6.91,1.50,-6.94,6.94,6.90,3.82,8.47,8.44,8.44
22.09,1.54,-6.89,1.51,-6.92,6.92,6.89,3.93,8.46,8.43,8.43
22.31,1.54,-6.89,1.52,-6.91,6.91,6.89,4.04,8.44,8.42,8.43
22.54,1.54,-6.88,1.53,-6.89,6.89,6.89,4.15,8.43,8.42,8.42
22.76,1.54,-6.88,1.53,-6.88,6.88,6.88,4.27,8.42,8.41,8.42
22.99,1.54,-6.87,1.54,-6.87,6.87,6.88,4.38,8.41,8.41,8.41
23.22,1.54,-6.86,1.54,-6.86,6.86,6.87,4.51,8.40,8.41,8.40
23.45,1.54,-6.87,1.55,-6.85,6.85,6.87,4.63,8.39,8.40,8.40
23.69,1.54,-6.85,1.56,-6.84,6.84,6.86,4.75,8.38,8.40,8.39
23.92,1.54,-6.85,1.57,-6.82,6.82,6.85,4.88,8.36,8.40,8.39
24.16,1.56,-6.84,1.59,-6.81,6.81,6.85,5.01,8.37,8.40,8.40
24.40,1.59,-6.82,1.60,-6.80,6.80,6.84,5.14,8.38,8.40,8.41
24.65,1.62,-6.79,1.62,-6.78,6.78,6.83,5.28,8.40,8.40,8.41
24.89,1.65,-6.76,1.64,-6.76,6.76,6.82,5.41,8.41,8.40,8.40
