frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-4.30,-0.90,-4.34,-0.97,0.97,1.79,1.54,-3.33,-3.37,-3.40
20.20,-4.38,-1.03,-4.40,-1.07,1.07,1.82,1.58,-3.31,-3.33,-3.35
20.40,-4.47,-1.17,-4.46,-1.17,1.17,1.86,1.63,-3.30,-3.29,-3.30
20.61,-4.55,-1.28,-4.53,-1.26,1.26,1.89,1.67,-3.28,-3.26,-3.27
20.81,-4.63,-1.41,-4.59,-1.36,1.36,1.92,1.72,-3.27,-3.23,-3.22
21.02,-4.71,-1.53,-4.65,-1.45,1.45,1.96,1.77,-3.26,-3.20,-3.18
21.23,-4.74,-1.58,-4.71,-1.53,1.53,1.99,1.82,-3.20,-3.18,-3.16
21.44,-4.77,-1.63,-4.77,-1.62,1.62,2.02,1.87,-3.15,-3.15,-3.14
21.66,-4.80,-1.68,-4.83,-1.70,1.70,2.06,1.92,-3.10,-3.13,-3.12
21.87,-4.83,-1.72,-4.89,-1.78,1.78,2.10,1.98,-3.05,-3.11,-3.11
22.09,-4.89,-1.80,-4.95,-1.85,1.85,2.13,2.03,-3.04,-3.10,-3.09
22.31,-4.98,-1.90,-5.01,-1.93,1.93,2.17,2.09,-3.06,-3.09,-3.08
22.54,-5.08,-2.00,-5.06,-1.98,1.98,2.21,2.15,-3.09,-3.08,-3.08
22.76,-5.17,-2.09,-5.12,-2.04,2.04,2.24,2.21,-3.13,-3.08,-3.08
22.99,-5.27,-2.18,-5.17,-2.10,2.10,2.28,2.27,-3.17,-3.07,-3.09
23.22,-5.29,-2.20,-5.23,-2.16,2.16,2.32,2.34,-3.13,-3.07,-3.09
23.45,-5.31,-2.22,-5.29,-2.22,2.22,2.36,2.40,-3.09,-3.07,-3.09
23.69,-5.33,-2.25,-5.35,-2.28,2.28,2.40,2.47,-3.05,-3.07,-3.08
23.92,-5.35,-2.27,-5.42,-2.35,2.35,2.44,2.54,-3.00,-3.07,-3.08
24.16,-5.42,-2.34,-5.48,-2.41,2.41,2.48,2.61,-3.01,-3.07,-3.08
