frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-14.17,-19.52,-13.93,-19.31,19.31,17.95,8.17,5.14,5.38,5.35
20.20,-14.02,-19.42,-13.87,-19.29,19.29,18.16,8.34,5.27,5.41,5.40
20.40,-13.86,-19.30,-13.80,-19.25,19.25,18.36,8.52,5.39,5.45,5.45
20.61,-13.71,-19.19,-13.73,-19.21,19.21,18.54,8.70,5.50,5.48,5.48
20.81,-13.55,-19.07,-13.65,-19.16,19.16,18.70,8.88,5.61,5.51,5.53
21.02,-13.40,-18.96,-13.56,-19.10,19.10,18.83,9.07,5.70,5.54,5.57
21.23,-13.29,-18.87,-13.47,-19.03,19.03,18.94,9.27,5.74,5.56,5.59
21.44,-13.19,-18.79,-13.37,-18.96,18.96,19.03,9.47,5.77,5.59,5.61
21.66,-13.08,-18.70,-13.26,-18.87,18.87,19.09,9.67,5.79,5.61,5.62
21.87,-12.97,-18.60,-13.15,-18.78,18.78,19.13,9.88,5.81,5.62,5.63
22.09,-12.90,-18.55,-13.04,-18.68,18.68,19.14,10.09,5.78,5.64,5.65
22.31,-12.88,-18.54,-12.91,-18.57,18.57,19.12,10.32,5.69,5.65,5.66
22.54,-12.86,-18.52,-12.81,-18.47,18.47,19.08,10.54,5.61,5.66,5.66
22.76,-12.83,-18.49,-12.68,-18.34,18.34,19.02,10.78,5.52,5.66,5.66
22.99,-12.81,-18.46,-12.54,-18.20,18.20,18.94,11.02,5.39,5.66,5.65
23.22,-12.61,-18.26,-12.38,-18.05,18.05,18.84,11.26,5.44,5.66,5.65
23.45,-12.39,-18.04,-12.22,-17.88,17.88,18.72,11.51,5.50,5.66,5.65
23.69,-12.18,-17.84,-12.06,-17.72,17.72,18.59,11.77,5.54,5.67,5.66
23.92,-11.97,-17.62,-11.89,-17.56,17.56,18.45,12.04,5.59,5.67,5.66
24.16,-11.73,-17.39,-11.74,-17.40,17.40,18.30,12.32,5.68,5.66,5.67
24.40,-11.46,-17.14,-11.59,-17.25,17.25,18.14,12.60,5.79,5.66,5.68
24.65,-11.21,-16.88,-11.45,-17.11,17.11,17.98,12.89,5.90,5.66,5.66
24.89,-10.96,-16.62,-11.32,-16.98,16.98,17.81,13.19,6.02,5.66,5.66
25.14,-10.89,-16.55,-11.20,-16.87,16.87,17.64,13.50,5.98,5.66,5.66
25.39,-10.95,-16.62,-11.10,-16.77,16.77,17.47,13.82,5.82,5.67,5.67
25.65,-11.02,-16.69,-11.02,-16.69,16.69,17.30,14.14,5.67,5.67,5.67
25.91,-11.09,-16.75,-10.96,-16.63,16.63,17.13,14.48,5.54,5.67,5.66
26.16,-11.08,-16.74,-10.91,-16.58,16.58,16.97,14.82,5.50,5.66,5.66
26.43,-11.03,-16.69,-10.87,-16.53,16.53,16.80,15.17,5.50,5.66,5.66
26.69,-10.99,-16.64,-10.84,-16.50,16.50,16.64,15.53,5.51,5.66,5.66
26.96,-10.94,-16.60,-10.81,-16.47,16.47,16.48,15.90,5.53,5.66,5.66
27.23,-10.85,-16.51,-10.79,-16.45,16.45,16.33,16.27,5.60,5.65,5.66
27.50,-10.75,-16.41,-10.77,-16.42,16.42,16.18,16.65,5.67,5.65,5.66
27.77,-10.65,-16.30,-10.74,-16.39,16.39,16.04,17.03,5.74,5.65,5.65
28.05,-10.56,-16.21,-10.67,-16.32,16.32,15.90,17.41,5.76,5.65,5.65
28.33,-10.50,-16.14,-10.58,-16.22,16.22,15.77,17.79,5.73,5.65,5.64
28.62,-10.45,-16.08,-10.48,-16.12,16.12,15.64,18.17,5.67,5.65,5.64
28.90,-10.39,-16.03,-10.39,-16.04,16.04,15.52,18.53,5.65,5.64,5.64
29.19,-10.35,-15.98,-10.32,-15.97,15.97,15.41,18.87,5.62,5.64,5.63
29.48,-10.33,-15.98,-10.26,-15.90,15.90,15.30,19.19,5.58,5.64,5.65
29.78,-10.30,-15.94,-10.20,-15.83,15.83,15.19,19.48,5.54,5.64,5.64
30.08,-10.23,-15.88,-10.11,-15.75,15.75,15.09,19.74,5.52,5.64,5.65
30.38,-10.02,-15.66,-10.02,-15.66,15.66,15.00,19.94,5.63,5.63,5.63
30.68,-9.81,-15.44,-9.93,-15.56,15.56,14.91,20.09,5.75,5.63,5.63
30.99,-9.60,-15.23,-9.83,-15.46,15.46,14.83,20.18,5.86,5.63,5.63
31.30,-9.68,-15.30,-9.73,-15.36,15.36,14.75,20.21,5.68,5.63,5.63
31.61,-9.77,-15.39,-9.64,-15.27,15.27,14.68,20.17,5.50,5.62,5.62
31.93,-9.86,-15.48,-9.55,-15.18,15.18,14.61,20.08,5.32,5.62,5.62
32.24,-9.63,-15.24,-9.47,-15.09,15.09,14.55,19.93,5.45,5.62,5.61
32.57,-9.34,-14.96,-9.39,-15.00,15.00,14.49,19.73,5.66,5.61,5.62
32.89,-9.03,-14.64,-9.32,-14.92,14.92,14.44,19.49,5.89,5.61,5.61
33.22,-8.98,-14.58,-9.24,-14.84,14.84,14.39,19.22,5.87,5.60,5.60
33.55,-9.05,-14.65,-9.17,-14.77,14.77,14.35,18.92,5.72,5.60,5.60
33.89,-9.12,-14.70,-9.10,-14.69,14.69,14.31,18.60,5.57,5.59,5.58
34.23,-9.11,-14.70,-9.02,-14.61,14.61,14.28,18.27,5.50,5.59,5.59
34.57,-9.05,-14.63,-8.93,-14.51,14.51,14.24,17.94,5.46,5.58,5.58
34.92,-9.00,-14.57,-8.83,-14.40,14.40,14.21,17.60,5.40,5.58,5.57
35.27,-8.88,-14.45,-8.73,-14.30,14.30,14.19,17.26,5.42,5.57,5.57
35.62,-8.74,-14.31,-8.65,-14.22,14.22,14.16,16.92,5.48,5.57,5.57
35.97,-8.59,-14.15,-8.59,-14.15,14.15,14.14,16.59,5.56,5.56,5.56
36.33,-8.46,-14.02,-8.51,-14.07,14.07,14.12,16.27,5.62,5.56,5.57
36.70,-8.32,-13.87,-8.42,-13.98,13.98,14.10,15.95,5.66,5.56,5.55
37.06,-8.20,-13.75,-8.31,-13.87,13.87,14.08,15.64,5.67,5.56,5.55
37.43,-8.16,-13.72,-8.20,-13.76,13.76,14.06,15.35,5.61,5.56,5.56
37.81,-8.11,-13.67,-8.12,-13.67,13.67,14.03,15.06,5.56,5.56,5.56
38.19,-8.07,-13.62,-8.05,-13.61,13.61,14.01,14.78,5.54,5.56,5.55
38.57,-8.02,-13.58,-8.01,-13.57,13.57,13.99,14.51,5.55,5.56,5.56
38.95,-7.98,-13.54,-7.96,-13.52,13.52,13.96,14.25,5.54,5.56,5.56
39.34,-7.87,-13.42,-7.92,-13.47,13.47,13.93,14.00,5.60,5.56,5.56
39.74,-7.75,-13.30,-7.88,-13.43,13.43,13.90,13.76,5.68,5.55,5.55
40.14,-7.70,-13.25,-7.85,-13.40,13.40,13.86,13.52,5.70,5.55,5.55
40.54,-7.79,-13.34,-7.83,-13.37,13.37,13.82,13.30,5.59,5.55,5.55
40.94,-7.88,-13.42,-7.80,-13.34,13.34,13.77,13.09,5.47,5.54,5.54
41.35,-7.90,-13.43,-7.77,-13.30,13.30,13.72,12.88,5.41,5.54,5.53
41.76,-7.91,-13.43,-7.72,-13.25,13.25,13.66,12.69,5.34,5.53,5.53
42.18,-7.79,-13.32,-7.66,-13.18,13.18,13.59,12.50,5.39,5.52,5.53
42.60,-7.52,-13.03,-7.59,-13.10,13.10,13.52,12.32,5.58,5.51,5.51
43.03,-7.27,-12.77,-7.50,-12.99,12.99,13.43,12.14,5.72,5.49,5.50
43.46,-7.34,-12.83,-7.38,-12.86,12.86,13.34,11.98,5.53,5.48,5.50
43.90,-7.42,-12.88,-7.25,-12.72,12.72,13.24,11.82,5.30,5.47,5.47
44.33,-7.28,-12.72,-7.10,-12.55,12.55,13.14,11.67,5.27,5.45,5.45
44.78,-7.07,-12.50,-6.92,-12.36,12.36,13.02,11.53,5.29,5.44,5.43
45.23,-6.84,-12.26,-6.74,-12.16,12.16,12.90,11.39,5.32,5.42,5.42
45.68,-6.59,-11.99,-6.55,-11.96,11.96,12.77,11.26,5.37,5.41,5.40
46.13,-6.35,-11.72,-6.37,-11.76,11.76,12.63,11.14,5.41,5.39,5.38
46.60,-6.13,-11.51,-6.19,-11.57,11.57,12.49,11.02,5.44,5.37,5.38
47.06,-5.92,-11.27,-6.02,-11.38,11.38,12.34,10.91,5.46,5.36,5.36
47.53,-5.75,-11.09,-5.86,-11.20,11.20,12.18,10.80,5.45,5.34,5.34
48.01,-5.58,-10.92,-5.72,-11.04,11.04,12.02,10.70,5.46,5.32,5.34
48.49,-5.52,-10.84,-5.59,-10.90,10.90,11.85,10.61,5.38,5.31,5.32
48.97,-5.45,-10.75,-5.50,-10.79,10.79,11.67,10.52,5.35,5.29,5.30
49.46,-5.41,-10.68,-5.44,-10.72,10.72,11.50,10.43,5.31,5.28,5.27
49.96,-5.36,-10.61,-5.39,-10.65,10.65,11.32,10.35,5.29,5.26,5.25
50.46,-5.31,-10.55,-5.35,-10.60,10.60,11.13,10.28,5.29,5.25,5.24
50.96,-5.26,-10.49,-5.33,-10.56,10.56,10.95,10.20,5.31,5.23,5.23
51.47,-5.26,-10.46,-5.32,-10.53,10.53,10.76,10.13,5.27,5.22,5.20
51.99,-5.26,-10.45,-5.30,-10.50,10.50,10.57,10.07,5.24,5.20,5.19
52.51,-5.46,-10.64,-5.30,-10.48,10.48,10.38,10.00,5.03,5.18,5.18
53.03,-5.65,-10.82,-5.31,-10.48,10.48,10.19,9.94,4.83,5.17,5.18
53.56,-5.47,-10.63,-5.32,-10.47,10.47,9.99,9.88,5.00,5.15,5.16
54.10,-5.30,-10.44,-5.31,-10.45,10.45,9.80,9.82,5.15,5.14,5.14
54.64,-5.13,-10.25,-5.29,-10.42,10.42,9.61,9.76,5.29,5.13,5.12
55.18,-5.05,-10.16,-5.26,-10.37,10.37,9.42,9.70,5.32,5.11,5.11
55.74,-5.13,-10.22,-5.22,-10.32,10.32,9.23,9.64,5.19,5.10,5.09
56.29,-5.14,-10.22,-5.17,-10.24,10.24,9.05,9.58,5.11,5.08,5.08
56.86,-5.08,-10.14,-5.09,-10.16,10.16,8.86,9.52,5.08,5.06,5.06
57.42,-5.15,-10.18,-5.01,-10.05,10.05,8.68,9.45,4.90,5.04,5.03
58.00,-5.26,-10.27,-4.92,-9.93,9.93,8.49,9.38,4.67,5.02,5.01
58.58,-4.92,-9.92,-4.81,-9.80,9.80,8.31,9.31,4.88,4.99,5.00
59.16,-4.65,-9.62,-4.70,-9.66,9.66,8.14,9.24,5.01,4.96,4.98
59.76,-4.53,-9.48,-4.60,-9.53,9.53,7.96,9.16,5.00,4.93,4.95
60.35,-4.42,-9.32,-4.48,-9.38,9.38,7.79,9.08,4.96,4.89,4.90
60.96,-4.32,-9.19,-4.36,-9.21,9.21,7.62,8.99,4.89,4.86,4.87
61.57,-4.17,-8.99,-4.22,-9.03,9.03,7.45,8.90,4.86,4.82,4.82
62.18,-4.04,-8.81,-4.07,-8.85,8.85,7.28,8.80,4.81,4.77,4.77
62.80,-3.96,-8.68,-3.93,-8.66,8.66,7.12,8.70,4.70,4.73,4.72
63.43,-3.85,-8.52,-3.79,-8.47,8.47,6.96,8.59,4.62,4.68,4.67
64.07,-3.72,-8.34,-3.66,-8.29,8.29,6.80,8.48,4.57,4.63,4.62
64.71,-3.48,-8.05,-3.55,-8.13,8.13,6.65,8.36,4.65,4.58,4.57
65.35,-3.34,-7.86,-3.46,-7.99,7.99,6.50,8.23,4.65,4.53,4.53
66.01,-3.27,-7.74,-3.36,-7.83,7.83,6.35,8.11,4.56,4.47,4.47
66.67,-3.26,-7.68,-3.25,-7.67,7.67,6.20,7.97,4.41,4.42,4.42
67.33,-3.20,-7.56,-3.15,-7.52,7.52,6.06,7.83,4.32,4.37,4.36
68.01,-3.11,-7.43,-3.04,-7.36,7.36,5.92,7.69,4.25,4.31,4.32
68.69,-3.01,-7.27,-2.97,-7.22,7.22,5.78,7.55,4.21,4.26,4.26
69.37,-2.90,-7.10,-2.90,-7.10,7.10,5.64,7.40,4.20,4.20,4.20
70.07,-2.81,-6.95,-2.82,-6.96,6.96,5.51,7.25,4.15,4.14,4.14
70.77,-2.83,-6.92,-2.75,-6.83,6.83,5.38,7.09,4.00,4.08,4.09
71.48,-2.65,-6.68,-2.69,-6.71,6.71,5.25,6.94,4.06,4.02,4.03
72.19,-2.45,-6.41,-2.62,-6.58,6.58,5.13,6.78,4.13,3.96,3.96
72.91,-2.41,-6.30,-2.55,-6.45,6.45,5.00,6.62,4.04,3.89,3.89
73.64,-2.54,-6.37,-2.48,-6.31,6.31,4.88,6.46,3.77,3.83,3.83
74.38,-2.50,-6.26,-2.40,-6.17,6.17,4.76,6.30,3.67,3.77,3.77
75.12,-2.34,-6.04,-2.32,-6.03,6.03,4.65,6.14,3.69,3.70,3.70
75.87,-2.50,-6.13,-2.25,-5.89,5.89,4.53,5.98,3.40,3.64,3.63
76.63,-2.17,-5.74,-2.18,-5.76,5.76,4.42,5.82,3.59,3.58,3.57
77.40,-1.99,-5.50,-2.10,-5.62,5.62,4.31,5.66,3.63,3.52,3.52
78.17,-2.02,-5.46,-2.02,-5.48,5.48,4.20,5.51,3.46,3.46,3.45
78.95,-1.98,-5.38,-1.96,-5.36,5.36,4.10,5.35,3.38,3.40,3.40
79.74,-1.82,-5.16,-1.87,-5.21,5.21,3.99,5.20,3.39,3.34,3.34
80.54,-1.75,-5.04,-1.77,-5.06,5.06,3.89,5.04,3.31,3.29,3.29
81.35,-1.69,-4.91,-1.68,-4.91,4.91,3.79,4.89,3.22,3.23,3.23
82.16,-1.59,-4.76,-1.59,-4.76,4.76,3.69,4.74,3.17,3.17,3.17
82.98,-1.49,-4.61,-1.51,-4.62,4.62,3.59,4.59,3.13,3.12,3.13
83.81,-1.52,-4.58,-1.42,-4.48,4.48,3.50,4.45,2.96,3.06,3.06
84.65,-1.34,-4.34,-1.33,-4.33,4.33,3.40,4.30,2.99,3.00,3.00
85.50,-1.20,-4.15,-1.27,-4.21,4.21,3.31,4.16,3.01,2.95,2.95
86.35,-1.22,-4.11,-1.20,-4.09,4.09,3.22,4.02,2.87,2.89,2.89
87.22,-1.21,-4.04,-1.13,-3.96,3.96,3.13,3.88,2.75,2.83,2.83
88.09,-0.74,-3.51,-1.07,-3.84,3.84,3.05,3.75,3.10,2.77,2.77
88.97,-1.05,-3.76,-0.99,-3.71,3.71,2.96,3.61,2.66,2.71,2.71
89.86,-1.14,-3.79,-0.93,-3.58,3.58,2.88,3.48,2.44,2.65,2.65
90.76,-0.91,-3.50,-0.87,-3.46,3.46,2.79,3.35,2.55,2.59,2.59
91.66,-0.66,-3.19,-0.82,-3.35,3.35,2.71,3.22,2.69,2.53,2.54
92.58,-0.70,-3.16,-0.77,-3.24,3.24,2.63,3.09,2.54,2.47,2.46
93.51,-0.81,-3.22,-0.71,-3.12,3.12,2.55,2.97,2.32,2.41,2.41
94.44,-0.79,-3.14,-0.66,-3.01,3.01,2.47,2.84,2.22,2.35,2.35
95.39,-0.64,-2.94,-0.60,-2.89,2.89,2.40,2.72,2.25,2.29,2.30
96.34,-0.49,-2.72,-0.55,-2.78,2.78,2.32,2.60,2.30,2.24,2.23
97.30,-0.41,-2.58,-0.51,-2.69,2.69,2.24,2.48,2.28,2.18,2.18
98.28,-0.40,-2.52,-0.48,-2.60,2.60,2.17,2.36,2.20,2.12,2.12
99.26,-0.54,-2.60,-0.40,-2.46,2.46,2.10,2.25,1.93,2.06,2.06
100.25,-0.48,-2.48,-0.35,-2.36,2.36,2.03,2.14,1.88,2.00,2.01
101.25,-0.26,-2.21,-0.32,-2.27,2.27,1.95,2.03,2.01,1.95,1.95
102.27,-0.19,-2.08,-0.29,-2.18,2.18,1.88,1.92,1.99,1.89,1.89
103.29,-0.15,-1.97,-0.25,-2.08,2.08,1.81,1.81,1.93,1.83,1.82
104.32,-0.18,-1.95,-0.21,-1.98,1.98,1.74,1.70,1.80,1.77,1.78
105.37,-0.31,-2.03,-0.18,-1.89,1.89,1.68,1.60,1.58,1.71,1.72
106.42,-0.28,-1.94,-0.15,-1.80,1.80,1.61,1.49,1.52,1.65,1.66
107.48,-0.13,-1.72,-0.12,-1.71,1.71,1.54,1.39,1.58,1.59,1.59
108.56,0.05,-1.47,-0.10,-1.62,1.62,1.48,1.30,1.67,1.53,1.52
109.64,0.06,-1.41,-0.07,-1.53,1.53,1.41,1.20,1.59,1.46,1.47
110.74,-0.17,-1.57,-0.04,-1.44,1.44,1.34,1.10,1.27,1.40,1.40
111.85,-0.11,-1.46,-0.02,-1.36,1.36,1.28,1.01,1.25,1.34,1.35
112.97,0.00,-1.27,0.00,-1.28,1.28,1.22,0.92,1.28,1.28,1.28
114.10,0.08,-1.14,0.04,-1.18,1.18,1.15,0.83,1.26,1.22,1.22
115.24,0.12,-1.04,0.09,-1.07,1.07,1.09,0.75,1.19,1.17,1.16
116.39,0.17,-0.92,0.15,-0.96,0.96,1.03,0.66,1.14,1.11,1.10
117.55,0.19,-0.86,0.19,-0.87,0.87,0.96,0.58,1.06,1.06,1.05
118.73,0.10,-0.89,0.22,-0.79,0.79,0.90,0.51,0.89,1.01,1.00
119.92,0.12,-0.84,0.25,-0.71,0.71,0.84,0.43,0.83,0.96,0.96
121.12,0.33,-0.58,0.29,-0.62,0.62,0.78,0.36,0.95,0.91,0.91
122.33,0.39,-0.47,0.35,-0.52,0.52,0.71,0.29,0.91,0.87,0.86
123.55,0.46,-0.37,0.41,-0.42,0.42,0.65,0.22,0.88,0.83,0.83
124.79,0.54,-0.25,0.44,-0.35,0.35,0.59,0.15,0.89,0.78,0.79
126.03,0.55,-0.20,0.46,-0.29,0.29,0.53,0.09,0.84,0.75,0.75
127.29,0.49,-0.23,0.49,-0.21,0.21,0.47,0.03,0.70,0.71,0.72
128.57,0.45,-0.22,0.53,-0.14,0.14,0.41,-0.03,0.59,0.67,0.67
129.85,0.45,-0.18,0.58,-0.05,0.05,0.35,-0.08,0.51,0.63,0.63
131.15,0.68,0.09,0.62,0.02,-0.02,0.28,-0.14,0.66,0.59,0.59
132.46,0.68,0.13,0.65,0.09,-0.09,0.22,-0.19,0.59,0.55,0.55
133.79,0.69,0.18,0.67,0.16,-0.16,0.16,-0.24,0.54,0.52,0.52
135.12,0.68,0.21,0.69,0.21,-0.21,0.10,-0.29,0.47,0.48,0.47
136.48,0.62,0.18,0.72,0.28,-0.28,0.04,-0.33,0.35,0.45,0.45
137.84,0.62,0.22,0.75,0.34,-0.34,-0.02,-0.38,0.28,0.41,0.40
139.22,0.85,0.49,0.78,0.41,-0.41,-0.09,-0.42,0.44,0.37,0.36
140.61,0.96,0.65,0.82,0.49,-0.49,-0.15,-0.47,0.47,0.33,0.32
142.02,0.90,0.61,0.85,0.56,-0.56,-0.21,-0.51,0.34,0.29,0.29
143.44,0.89,0.64,0.89,0.64,-0.64,-0.27,-0.55,0.25,0.25,0.25
144.87,0.82,0.62,0.92,0.72,-0.72,-0.34,-0.59,0.10,0.20,0.21
146.32,0.89,0.73,0.95,0.80,-0.80,-0.40,-0.63,0.09,0.15,0.16
147.78,0.98,0.86,0.97,0.88,-0.88,-0.47,-0.67,0.10,0.09,0.12
149.26,1.00,0.94,0.98,0.95,-0.95,-0.53,-0.71,0.05,0.03,0.06
150.75,1.00,1.01,0.99,1.02,-1.02,-0.59,-0.75,-0.02,-0.03,-0.01
152.26,1.00,1.09,0.98,1.08,-1.08,-0.66,-0.79,-0.08,-0.11,-0.09
153.78,1.00,1.16,0.96,1.14,-1.14,-0.72,-0.83,-0.14,-0.18,-0.16
155.32,1.00,1.24,0.94,1.19,-1.19,-0.79,-0.87,-0.19,-0.25,-0.24
156.88,1.04,1.37,0.93,1.26,-1.26,-0.86,-0.91,-0.22,-0.33,-0.32
158.44,1.06,1.48,0.92,1.33,-1.33,-0.92,-0.95,-0.27,-0.41,-0.41
160.03,0.95,1.46,0.92,1.41,-1.41,-0.99,-1.00,-0.45,-0.49,-0.50
161.63,0.77,1.35,0.92,1.48,-1.48,-1.06,-1.04,-0.71,-0.56,-0.58
163.24,0.74,1.39,0.92,1.55,-1.55,-1.12,-1.09,-0.81,-0.63,-0.65
164.88,0.77,1.48,0.93,1.62,-1.62,-1.19,-1.13,-0.85,-0.69,-0.71
166.53,0.84,1.60,0.95,1.69,-1.69,-1.26,-1.18,-0.85,-0.74,-0.76
168.19,0.94,1.75,0.97,1.76,-1.76,-1.33,-1.23,-0.82,-0.79,-0.81
169.87,1.03,1.88,1.00,1.83,-1.83,-1.40,-1.28,-0.80,-0.83,-0.85
171.57,1.06,1.94,1.03,1.89,-1.89,-1.46,-1.33,-0.83,-0.86,-0.87
173.29,1.13,2.03,1.06,1.94,-1.94,-1.53,-1.38,-0.81,-0.89,-0.90
175.02,1.16,2.07,1.10,2.00,-2.00,-1.60,-1.44,-0.84,-0.91,-0.91
176.77,1.23,2.16,1.14,2.06,-2.06,-1.67,-1.49,-0.83,-0.92,-0.93
178.54,1.26,2.20,1.19,2.13,-2.13,-1.74,-1.55,-0.86,-0.93,-0.94
180.32,1.26,2.20,1.24,2.19,-2.19,-1.81,-1.61,-0.93,-0.95,-0.94
182.13,1.27,2.20,1.28,2.23,-2.23,-1.88,-1.67,-0.96,-0.96,-0.93
183.95,1.28,2.23,1.31,2.27,-2.27,-1.95,-1.73,-0.99,-0.97,-0.95
185.79,1.29,2.25,1.33,2.31,-2.31,-2.01,-1.80,-1.02,-0.98,-0.96
187.65,1.27,2.25,1.35,2.34,-2.34,-2.08,-1.86,-1.07,-0.99,-0.98
189.52,1.28,2.28,1.37,2.38,-2.38,-2.15,-1.93,-1.10,-1.01,-1.00
191.42,1.40,2.42,1.39,2.42,-2.42,-2.22,-1.99,-1.02,-1.02,-1.02
193.33,1.45,2.49,1.41,2.46,-2.46,-2.28,-2.06,-1.01,-1.04,-1.04
195.27,1.46,2.53,1.43,2.50,-2.50,-2.34,-2.13,-1.03,-1.06,-1.07
197.22,1.48,2.57,1.44,2.53,-2.53,-2.41,-2.20,-1.05,-1.09,-1.09
199.19,1.49,2.61,1.46,2.57,-2.57,-2.47,-2.27,-1.08,-1.11,-1.12
201.18,1.50,2.64,1.47,2.61,-2.61,-2.53,-2.34,-1.11,-1.14,-1.14
203.19,1.50,2.66,1.48,2.64,-2.64,-2.59,-2.42,-1.14,-1.16,-1.16
205.23,1.50,2.69,1.50,2.68,-2.68,-2.65,-2.49,-1.18,-1.18,-1.19
207.28,1.50,2.70,1.51,2.72,-2.72,-2.70,-2.56,-1.21,-1.21,-1.20
209.35,1.50,2.73,1.52,2.75,-2.75,-2.75,-2.63,-1.24,-1.23,-1.22
211.44,1.50,2.76,1.52,2.77,-2.77,-2.81,-2.70,-1.27,-1.25,-1.26
213.56,1.49,2.76,1.52,2.79,-2.79,-2.85,-2.77,-1.30,-1.27,-1.27
215.69,1.46,2.75,1.52,2.81,-2.81,-2.90,-2.84,-1.35,-1.29,-1.28
217.85,1.50,2.80,1.53,2.83,-2.83,-2.94,-2.91,-1.33,-1.30,-1.30
220.03,1.55,2.87,1.54,2.85,-2.85,-2.98,-2.97,-1.30,-1.31,-1.31
222.23,1.58,2.92,1.54,2.87,-2.87,-3.02,-3.03,-1.28,-1.32,-1.34
224.45,1.58,2.91,1.55,2.88,-2.88,-3.05,-3.09,-1.30,-1.33,-1.33
226.70,1.58,2.92,1.57,2.90,-2.90,-3.08,-3.15,-1.31,-1.33,-1.34
228.96,1.59,2.92,1.58,2.91,-2.91,-3.11,-3.20,-1.32,-1.33,-1.33
231.25,1.59,2.91,1.60,2.92,-2.92,-3.13,-3.25,-1.33,-1.32,-1.32
233.57,1.60,2.92,1.61,2.92,-2.92,-3.15,-3.29,-1.32,-1.31,-1.31
235.90,1.61,2.92,1.63,2.93,-2.93,-3.16,-3.33,-1.32,-1.30,-1.31
238.26,1.63,2.93,1.65,2.93,-2.93,-3.17,-3.36,-1.30,-1.29,-1.30
240.64,1.65,2.93,1.66,2.93,-2.93,-3.18,-3.39,-1.28,-1.27,-1.28
243.05,1.66,2.91,1.68,2.93,-2.93,-3.19,-3.41,-1.27,-1.25,-1.25
245.48,1.68,2.91,1.69,2.92,-2.92,-3.19,-3.42,-1.24,-1.23,-1.23
247.93,1.71,2.91,1.70,2.91,-2.91,-3.18,-3.43,-1.20,-1.21,-1.20
250.41,1.73,2.92,1.72,2.91,-2.91,-3.17,-3.43,-1.18,-1.19,-1.19
252.92,1.74,2.90,1.73,2.90,-2.90,-3.16,-3.43,-1.16,-1.17,-1.16
255.45,1.76,2.90,1.74,2.89,-2.89,-3.15,-3.42,-1.13,-1.15,-1.14
258.00,1.77,2.89,1.75,2.87,-2.87,-3.13,-3.40,-1.10,-1.12,-1.11
260.58,1.77,2.87,1.76,2.86,-2.86,-3.11,-3.38,-1.09,-1.10,-1.10
263.19,1.77,2.84,1.76,2.84,-2.84,-3.08,-3.35,-1.07,-1.08,-1.07
265.82,1.77,2.83,1.77,2.82,-2.82,-3.05,-3.32,-1.05,-1.05,-1.06
268.48,1.77,2.81,1.78,2.81,-2.81,-3.02,-3.28,-1.04,-1.03,-1.04
271.16,1.76,2.76,1.79,2.79,-2.79,-2.99,-3.23,-1.03,-1.01,-1.00
273.87,1.76,2.75,1.79,2.77,-2.77,-2.95,-3.19,-1.01,-0.98,-0.99
276.61,1.76,2.72,1.78,2.74,-2.74,-2.91,-3.13,-0.98,-0.96,-0.96
279.38,1.76,2.69,1.78,2.71,-2.71,-2.87,-3.08,-0.95,-0.93,-0.93
282.17,1.76,2.67,1.77,2.68,-2.68,-2.83,-3.02,-0.91,-0.91,-0.91
284.99,1.77,2.65,1.76,2.64,-2.64,-2.79,-2.95,-0.87,-0.88,-0.87
287.84,1.78,2.64,1.75,2.60,-2.60,-2.74,-2.89,-0.82,-0.85,-0.86
290.72,1.79,2.62,1.74,2.56,-2.56,-2.69,-2.82,-0.77,-0.82,-0.83
293.63,1.81,2.61,1.73,2.53,-2.53,-2.64,-2.75,-0.71,-0.80,-0.80
296.57,1.78,2.55,1.72,2.49,-2.49,-2.59,-2.68,-0.71,-0.77,-0.77
