frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,0.97,-2.03,0.99,-2.04,2.04,1.41,0.07,3.01,3.03,3.00
20.20,1.05,-2.00,1.06,-2.01,2.01,1.41,0.07,3.06,3.07,3.05
20.40,1.13,-1.98,1.13,-1.98,1.98,1.41,0.08,3.10,3.10,3.10
20.61,1.20,-1.93,1.19,-1.95,1.95,1.40,0.08,3.15,3.14,3.13
20.81,1.29,-1.90,1.26,-1.91,1.91,1.38,0.09,3.20,3.17,3.18
21.02,1.35,-1.87,1.32,-1.87,1.87,1.36,0.09,3.23,3.20,3.22
21.23,1.40,-1.84,1.39,-1.83,1.83,1.33,0.10,3.24,3.22,3.24
21.44,1.46,-1.81,1.45,-1.79,1.79,1.30,0.10,3.25,3.24,3.26
21.66,1.50,-1.78,1.52,-1.75,1.75,1.27,0.11,3.25,3.27,3.28
21.87,1.56,-1.74,1.58,-1.70,1.70,1.23,0.11,3.25,3.28,3.29
22.09,1.62,-1.70,1.65,-1.65,1.65,1.18,0.12,3.26,3.30,3.31
22.31,1.69,-1.64,1.72,-1.60,1.60,1.14,0.12,3.28,3.31,3.32
22.54,1.76,-1.56,1.78,-1.54,1.54,1.09,0.13,3.30,3.32,3.32
22.76,1.84,-1.49,1.85,-1.47,1.47,1.04,0.13,3.31,3.32,3.32
22.99,1.91,-1.40,1.91,-1.41,1.41,0.99,0.14,3.33,3.32,3.31
23.22,1.98,-1.33,1.98,-1.35,1.35,0.94,0.14,3.33,3.32,3.31
23.45,2.05,-1.26,2.04,-1.28,1.28,0.88,0.15,3.34,3.32,3.31
23.69,2.12,-1.20,2.11,-1.22,1.22,0.83,0.16,3.34,3.33,3.32
23.92,2.21,-1.12,2.17,-1.16,1.16,0.78,0.16,3.36,3.32,3.32
24.16,2.25,-1.07,2.23,-1.10,1.10,0.73,0.17,3.35,3.32,3.32
24.40,2.30,-1.04,2.28,-1.04,1.04,0.68,0.17,3.33,3.32,3.33
24.65,2.34,-0.98,2.34,-0.98,0.98,0.63,0.18,3.33,3.32,3.32
24.89,2.39,-0.94,2.39,-0.93,0.93,0.58,0.19,3.32,3.32,3.32
25.14,2.44,-0.89,2.44,-0.89,0.89,0.53,0.19,3.32,3.32,3.32
25.39,2.48,-0.86,2.49,-0.84,0.84,0.49,0.20,3.31,3.33,3.33
25.65,2.52,-0.81,2.53,-0.79,0.79,0.44,0.20,3.32,3.33,3.33
25.91,2.56,-0.76,2.58,-0.74,0.74,0.40,0.21,3.31,3.33,3.32
26.16,2.63,-0.70,2.63,-0.69,0.69,0.36,0.21,3.32,3.32,3.32
26.43,2.67,-0.65,2.68,-0.64,0.64,0.32,0.22,3.32,3.32,3.32
26.69,2.73,-0.59,2.73,-0.59,0.59,0.28,0.22,3.33,3.32,3.32
26.96,2.78,-0.54,2.78,-0.53,0.53,0.24,0.23,3.32,3.32,3.32
27.23,2.84,-0.48,2.84,-0.47,0.47,0.20,0.23,3.32,3.32,3.32
27.50,2.89,-0.43,2.90,-0.41,0.41,0.17,0.23,3.31,3.32,3.32
27.77,2.96,-0.36,2.96,-0.35,0.35,0.13,0.23,3.30,3.31,3.31
28.05,3.00,-0.31,3.03,-0.29,0.29,0.10,0.23,3.29,3.31,3.31
28.33,3.07,-0.23,3.09,-0.22,0.22,0.07,0.23,3.30,3.31,3.30
28.62,3.13,-0.17,3.15,-0.16,0.16,0.04,0.23,3.30,3.31,3.30
28.90,3.20,-0.11,3.20,-0.11,0.11,0.00,0.23,3.31,3.31,3.31
29.19,3.26,-0.04,3.25,-0.06,0.06,-0.03,0.22,3.32,3.31,3.30
29.48,3.33,0.01,3.30,-0.01,0.01,-0.05,0.22,3.33,3.31,3.31
29.78,3.38,0.08,3.35,0.04,-0.04,-0.08,0.21,3.34,3.30,3.30
30.08,3.44,0.13,3.39,0.09,-0.09,-0.11,0.20,3.35,3.30,3.31
30.38,3.46,0.16,3.44,0.14,-0.14,-0.14,0.19,3.32,3.30,3.30
30.68,3.48,0.18,3.49,0.19,-0.19,-0.17,0.18,3.30,3.30,3.30
30.99,3.51,0.21,3.53,0.23,-0.23,-0.19,0.17,3.28,3.30,3.30
31.30,3.54,0.25,3.57,0.28,-0.28,-0.22,0.16,3.27,3.30,3.29
31.61,3.57,0.28,3.61,0.32,-0.32,-0.24,0.14,3.25,3.29,3.29
31.93,3.59,0.30,3.65,0.36,-0.36,-0.27,0.12,3.23,3.29,3.29
32.24,3.67,0.38,3.69,0.41,-0.41,-0.29,0.10,3.26,3.29,3.28
32.57,3.73,0.45,3.73,0.45,-0.45,-0.32,0.08,3.28,3.28,3.28
32.89,3.81,0.53,3.77,0.50,-0.50,-0.34,0.06,3.32,3.28,3.28
33.22,3.85,0.58,3.81,0.54,-0.54,-0.36,0.04,3.31,3.27,3.27
33.55,3.87,0.60,3.86,0.59,-0.59,-0.39,0.01,3.29,3.27,3.27
33.89,3.90,0.64,3.90,0.64,-0.64,-0.41,-0.01,3.27,3.26,3.26
34.23,3.93,0.67,3.94,0.69,-0.69,-0.43,-0.04,3.25,3.26,3.26
34.57,3.97,0.72,3.98,0.73,-0.73,-0.46,-0.07,3.24,3.25,3.25
34.92,4.00,0.75,4.02,0.77,-0.77,-0.48,-0.10,3.23,3.25,3.25
35.27,4.04,0.80,4.05,0.81,-0.81,-0.50,-0.13,3.24,3.25,3.24
35.62,4.08,0.84,4.08,0.84,-0.84,-0.52,-0.17,3.24,3.24,3.24
35.97,4.12,0.88,4.11,0.87,-0.87,-0.55,-0.20,3.26,3.24,3.24
36.33,4.15,0.91,4.13,0.89,-0.89,-0.57,-0.24,3.26,3.24,3.24
