frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-4.71,-5.11,-4.72,-5.14,5.14,5.14,2.04,0.43,0.42,0.39
20.20,-4.67,-5.12,-4.68,-5.14,5.14,5.10,2.10,0.46,0.46,0.44
20.40,-4.63,-5.13,-4.63,-5.13,5.13,5.07,2.16,0.50,0.50,0.49
20.61,-4.60,-5.12,-4.59,-5.12,5.12,5.03,2.23,0.52,0.53,0.52
20.81,-4.55,-5.13,-4.55,-5.11,5.11,5.00,2.29,0.55,0.56,0.57
21.02,-4.51,-5.13,-4.50,-5.09,5.09,4.97,2.36,0.58,0.59,0.61
21.23,-4.46,-5.10,-4.46,-5.07,5.07,4.94,2.42,0.61,0.61,0.63
21.44,-4.41,-5.07,-4.42,-5.06,5.06,4.92,2.49,0.64,0.64,0.65
21.66,-4.37,-5.04,-4.38,-5.03,5.03,4.89,2.57,0.67,0.66,0.67
21.87,-4.32,-5.01,-4.34,-5.01,5.01,4.87,2.64,0.69,0.68,0.68
22.09,-4.28,-4.99,-4.29,-4.99,4.99,4.84,2.72,0.70,0.69,0.70
22.31,-4.25,-4.97,-4.25,-4.96,4.96,4.82,2.80,0.71,0.70,0.71
22.54,-4.22,-4.93,-4.21,-4.92,4.92,4.80,2.88,0.71,0.71,0.71
22.76,-4.18,-4.90,-4.17,-4.89,4.89,4.79,2.96,0.70,0.71,0.71
22.99,-4.15,-4.86,-4.13,-4.85,4.85,4.77,3.04,0.69,0.72,0.70
23.22,-4.11,-4.82,-4.09,-4.81,4.81,4.75,3.13,0.69,0.72,0.70
23.45,-4.06,-4.77,-4.06,-4.77,4.77,4.74,3.22,0.71,0.72,0.70
23.69,-4.02,-4.73,-4.02,-4.74,4.74,4.72,3.31,0.73,0.72,0.71
23.92,-3.97,-4.69,-3.99,-4.71,4.71,4.71,3.40,0.73,0.72,0.71
24.16,-3.93,-4.65,-3.96,-4.68,4.68,4.70,3.49,0.74,0.72,0.71
24.40,-3.91,-4.64,-3.93,-4.65,4.65,4.69,3.59,0.73,0.72,0.72
24.65,-3.88,-4.60,-3.90,-4.61,4.61,4.68,3.68,0.73,0.72,0.71
24.89,-3.85,-4.57,-3.87,-4.58,4.58,4.67,3.78,0.73,0.72,0.71
25.14,-3.83,-4.55,-3.84,-4.55,4.55,4.66,3.88,0.72,0.72,0.71
25.39,-3.82,-4.55,-3.81,-4.53,4.53,4.65,3.98,0.70,0.72,0.72
25.65,-3.80,-4.53,-3.78,-4.50,4.50,4.64,4.08,0.69,0.72,0.72
25.91,-3.79,-4.51,-3.75,-4.47,4.47,4.63,4.18,0.68,0.72,0.71
