frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-18.48,-22.14,-18.48,-22.14,22.14,23.18,9.07,3.66,3.66,3.66
20.20,-18.34,-22.05,-18.34,-22.05,22.05,22.95,9.25,3.71,3.71,3.71
20.40,-18.20,-21.96,-18.20,-21.95,21.96,22.73,9.43,3.76,3.75,3.76
20.61,-18.06,-21.85,-18.06,-21.86,21.86,22.51,9.61,3.79,3.79,3.78
20.81,-17.92,-21.76,-17.92,-21.76,21.75,22.30,9.80,3.83,3.83,3.84
21.02,-17.78,-21.66,-17.78,-21.65,21.64,22.09,9.99,3.86,3.86,3.88
21.23,-17.63,-21.53,-17.63,-21.53,21.52,21.88,10.19,3.89,3.89,3.90
21.44,-17.48,-21.40,-17.48,-21.40,21.40,21.68,10.39,3.92,3.92,3.92
21.66,-17.33,-21.27,-17.33,-21.27,21.27,21.49,10.60,3.94,3.94,3.94
21.87,-17.19,-21.13,-17.18,-21.13,21.13,21.30,10.82,3.94,3.95,3.95
22.09,-17.03,-21.00,-17.03,-21.00,20.99,21.12,11.04,3.96,3.95,3.97
22.31,-16.88,-20.85,-16.88,-20.85,20.84,20.94,11.26,3.96,3.96,3.98
22.54,-16.73,-20.71,-16.73,-20.70,20.70,20.76,11.49,3.97,3.97,3.98
22.76,-16.57,-20.55,-16.57,-20.55,20.56,20.59,11.73,3.99,3.98,3.98
22.99,-16.42,-20.39,-16.43,-20.40,20.42,20.42,11.97,4.00,3.99,3.97
23.22,-16.29,-20.26,-16.29,-20.26,20.28,20.26,12.22,3.99,3.99,3.97
23.45,-16.17,-20.14,-16.17,-20.14,20.14,20.10,12.48,3.97,3.98,3.97
23.69,-16.04,-20.02,-16.05,-20.02,20.01,19.95,12.75,3.96,3.96,3.98
23.92,-15.92,-19.90,-15.92,-19.89,19.87,19.80,13.02,3.95,3.96,3.98
24.16,-15.78,-19.76,-15.78,-19.76,19.74,19.65,13.30,3.96,3.96,3.98
24.40,-15.63,-19.61,-15.63,-19.61,19.60,19.51,13.59,3.97,3.97,3.99
24.65,-15.48,-19.46,-15.48,-19.46,19.46,19.37,13.88,3.98,3.98,3.98
24.89,-15.33,-19.30,-15.33,-19.31,19.32,19.23,14.19,3.99,3.98,3.98
25.14,-15.19,-19.17,-15.19,-19.17,19.17,19.09,14.50,3.98,3.98,3.98
25.39,-15.04,-19.02,-15.04,-19.02,19.03,18.96,14.83,3.99,3.99,3.99
25.65,-14.90,-18.89,-14.90,-18.88,18.89,18.83,15.16,3.98,3.99,3.99
25.91,-14.75,-18.73,-14.76,-18.74,18.75,18.70,15.50,3.99,3.99,3.98
26.16,-14.62,-18.59,-14.62,-18.60,18.61,18.58,15.85,3.99,3.99,3.98
26.43,-14.49,-18.47,-14.49,-18.47,18.47,18.45,16.22,3.97,3.98,3.98
26.69,-14.36,-18.34,-14.36,-18.34,18.32,18.33,16.59,3.96,3.96,3.98
26.96,-14.23,-18.21,-14.23,-18.20,18.18,18.20,16.96,3.94,3.95,3.98
27.23,-14.07,-18.05,-14.07,-18.05,18.03,18.08,17.35,3.95,3.96,3.98
27.50,-13.91,-17.89,-13.91,-17.88,17.88,17.96,17.74,3.96,3.97,3.98
27.77,-13.74,-17.70,-13.75,-17.71,17.73,17.84,18.14,3.99,3.98,3.97
28.05,-13.59,-17.56,-13.59,-17.55,17.58,17.72,18.54,3.99,3.98,3.97
28.33,-13.45,-17.41,-13.45,-17.41,17.43,17.61,18.93,3.98,3.98,3.96
28.62,-13.32,-17.28,-13.32,-17.28,17.29,17.49,19.32,3.96,3.97,3.96
28.90,-13.19,-17.16,-13.19,-17.15,17.15,17.37,19.70,3.96,3.96,3.97
29.19,-13.05,-17.01,-13.06,-17.02,17.01,17.25,20.07,3.96,3.96,3.96
29.48,-12.92,-16.89,-12.92,-16.89,16.87,17.13,20.40,3.95,3.95,3.97
29.78,-12.79,-16.75,-12.79,-16.75,16.73,17.02,20.71,3.94,3.94,3.96
30.08,-12.65,-16.62,-12.65,-16.61,16.59,16.90,20.97,3.94,3.94,3.97
30.38,-12.49,-16.45,-12.49,-16.45,16.44,16.78,21.17,3.95,3.95,3.96
30.68,-12.33,-16.29,-12.33,-16.29,16.30,16.66,21.32,3.96,3.96,3.96
30.99,-12.17,-16.13,-12.18,-16.13,16.15,16.54,21.40,3.98,3.97,3.96
31.30,-12.04,-15.99,-12.04,-15.99,16.00,16.42,21.40,3.96,3.96,3.95
31.61,-11.91,-15.86,-11.91,-15.85,15.86,16.30,21.34,3.95,3.95,3.95
31.93,-11.78,-15.73,-11.78,-15.72,15.73,16.17,21.21,3.94,3.94,3.95
32.24,-11.65,-15.59,-11.65,-15.59,15.59,16.05,21.02,3.94,3.94,3.94
32.57,-11.53,-15.47,-11.53,-15.46,15.46,15.93,20.78,3.93,3.94,3.94
32.89,-11.40,-15.34,-11.40,-15.33,15.33,15.80,20.49,3.93,3.93,3.94
33.22,-11.27,-15.20,-11.28,-15.20,15.20,15.67,20.17,3.93,3.93,3.93
33.55,-11.15,-15.08,-11.15,-15.07,15.07,15.55,19.82,3.92,3.92,3.93
33.89,-11.02,-14.94,-11.02,-14.93,14.92,15.42,19.46,3.90,3.91,3.92
34.23,-10.88,-14.80,-10.88,-14.79,14.78,15.29,19.09,3.90,3.90,3.92
34.57,-10.73,-14.64,-10.74,-14.64,14.63,15.16,18.71,3.90,3.90,3.91
34.92,-10.59,-14.50,-10.59,-14.49,14.49,15.02,18.33,3.90,3.90,3.91
35.27,-10.44,-14.34,-10.44,-14.34,14.35,14.89,17.95,3.91,3.91,3.90
35.62,-10.30,-14.20,-10.30,-14.19,14.21,14.76,17.58,3.91,3.92,3.90
35.97,-10.15,-14.05,-10.17,-14.06,14.08,14.62,17.21,3.93,3.92,3.90
36.33,-10.05,-13.95,-10.05,-13.95,13.96,14.48,16.85,3.91,3.90,3.90
36.70,-9.96,-13.85,-9.95,-13.84,13.84,14.35,16.50,3.88,3.89,3.89
37.06,-9.86,-13.75,-9.85,-13.74,13.73,14.21,16.16,3.87,3.88,3.89
37.43,-9.74,-13.64,-9.74,-13.63,13.63,14.07,15.83,3.89,3.89,3.90
37.81,-9.63,-13.53,-9.63,-13.52,13.53,13.93,15.51,3.90,3.90,3.90
38.19,-9.52,-13.41,-9.53,-13.42,13.43,13.79,15.20,3.91,3.90,3.89
38.57,-9.43,-13.33,-9.43,-13.32,13.33,13.64,14.90,3.89,3.90,3.90
38.95,-9.33,-13.24,-9.33,-13.23,13.21,13.50,14.61,3.88,3.88,3.91
39.34,-9.22,-13.12,-9.22,-13.12,13.09,13.36,14.32,3.87,3.87,3.90
39.74,-9.10,-13.00,-9.10,-13.00,12.97,13.21,14.05,3.87,3.87,3.90
40.14,-8.97,-12.87,-8.96,-12.85,12.85,13.07,13.79,3.88,3.89,3.90
40.54,-8.81,-12.71,-8.81,-12.71,12.73,12.92,13.53,3.91,3.91,3.90
40.94,-8.66,-12.55,-8.68,-12.57,12.60,12.78,13.28,3.94,3.92,3.89
41.35,-8.56,-12.45,-8.56,-12.45,12.47,12.63,13.04,3.91,3.91,3.89
41.76,-8.47,-12.35,-8.46,-12.34,12.35,12.49,12.81,3.88,3.88,3.88
42.18,-8.37,-12.25,-8.36,-12.24,12.22,12.34,12.59,3.85,3.85,3.88
42.60,-8.24,-12.11,-8.25,-12.11,12.09,12.20,12.37,3.85,3.84,3.87
43.03,-8.12,-11.98,-8.12,-11.98,11.95,12.05,12.16,3.83,3.83,3.86
43.46,-7.99,-11.84,-7.99,-11.83,11.82,11.91,11.96,3.83,3.83,3.85
43.90,-7.86,-11.69,-7.86,-11.69,11.69,11.76,11.76,3.83,3.83,3.83
44.33,-7.73,-11.54,-7.73,-11.53,11.56,11.62,11.57,3.83,3.83,3.81
44.78,-7.60,-11.39,-7.61,-11.40,11.42,11.47,11.39,3.82,3.82,3.79
45.23,-7.49,-11.27,-7.50,-11.27,11.29,11.33,11.21,3.80,3.80,3.78
45.68,-7.40,-11.17,-7.40,-11.16,11.17,11.18,11.04,3.77,3.77,3.77
46.13,-7.30,-11.05,-7.30,-11.06,11.04,11.04,10.88,3.74,3.74,3.75
46.60,-7.20,-10.95,-7.20,-10.94,10.92,10.89,10.71,3.71,3.72,3.75
