frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-19.75,-20.75,-19.71,-20.74,20.74,21.22,8.11,0.99,1.03,1.00
20.20,-19.61,-20.66,-19.58,-20.65,20.65,21.04,8.29,1.05,1.07,1.05
20.40,-19.46,-20.57,-19.46,-20.56,20.56,20.86,8.46,1.10,1.10,1.10
20.61,-19.33,-20.46,-19.33,-20.47,20.47,20.69,8.64,1.14,1.14,1.13
20.81,-19.18,-20.37,-19.21,-20.37,20.37,20.51,8.83,1.19,1.17,1.18
21.02,-19.05,-20.27,-19.08,-20.27,20.27,20.34,9.02,1.23,1.19,1.22
21.23,-18.92,-20.15,-18.95,-20.16,20.16,20.16,9.21,1.25,1.22,1.24
21.44,-18.79,-20.05,-18.81,-20.06,20.06,19.99,9.41,1.26,1.24,1.26
21.66,-18.67,-19.95,-18.68,-19.94,19.94,19.82,9.62,1.27,1.26,1.28
21.87,-18.53,-19.82,-18.55,-19.82,19.82,19.65,9.83,1.29,1.28,1.29
22.09,-18.40,-19.71,-18.41,-19.70,19.70,19.49,10.05,1.30,1.29,1.31
22.31,-18.27,-19.59,-18.27,-19.58,19.58,19.32,10.27,1.30,1.31,1.32
22.54,-18.14,-19.45,-18.13,-19.44,19.44,19.16,10.50,1.31,1.31,1.32
22.76,-18.00,-19.32,-17.99,-19.31,19.31,19.00,10.74,1.30,1.32,1.32
22.99,-17.88,-19.18,-17.85,-19.17,19.17,18.84,10.98,1.29,1.32,1.30
23.22,-17.73,-19.03,-17.70,-19.02,19.02,18.68,11.23,1.29,1.32,1.30
23.45,-17.56,-18.87,-17.55,-18.87,18.87,18.52,11.49,1.31,1.32,1.30
23.69,-17.42,-18.73,-17.40,-18.72,18.72,18.36,11.75,1.30,1.32,1.31
23.92,-17.26,-18.58,-17.25,-18.57,18.57,18.21,12.03,1.31,1.32,1.31
24.16,-17.10,-18.42,-17.10,-18.42,18.42,18.06,12.31,1.31,1.32,1.32
24.40,-16.94,-18.27,-16.95,-18.27,18.27,17.90,12.60,1.32,1.32,1.33
24.65,-16.78,-18.10,-16.80,-18.12,18.12,17.75,12.90,1.34,1.32,1.32
24.89,-16.61,-17.93,-16.66,-17.97,17.97,17.61,13.21,1.36,1.32,1.32
25.14,-16.47,-17.79,-16.51,-17.83,17.83,17.46,13.53,1.36,1.32,1.32
25.39,-16.34,-17.67,-16.37,-17.69,17.69,17.31,13.86,1.35,1.32,1.33
25.65,-16.23,-17.55,-16.23,-17.55,17.55,17.17,14.20,1.33,1.32,1.32
25.91,-16.11,-17.42,-16.10,-17.42,17.42,17.02,14.55,1.31,1.32,1.31
26.16,-15.97,-17.29,-15.97,-17.29,17.29,16.88,14.91,1.31,1.32,1.31
