frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-11.11,-13.13,-11.13,-13.17,13.17,12.98,4.54,2.05,2.04,2.01
20.20,-11.06,-13.13,-11.11,-13.19,13.19,12.99,4.65,2.12,2.08,2.06
20.40,-11.01,-13.13,-11.08,-13.19,13.19,13.00,4.78,2.18,2.11,2.11
20.61,-10.97,-13.11,-11.03,-13.18,13.18,12.99,4.90,2.22,2.15,2.14
20.81,-10.91,-13.11,-10.98,-13.16,13.16,12.97,5.03,2.24,2.18,2.19
21.02,-10.87,-13.11,-10.91,-13.12,13.12,12.95,5.16,2.24,2.21,2.23
21.23,-10.84,-13.10,-10.83,-13.07,13.07,12.92,5.30,2.22,2.23,2.25
21.44,-10.82,-13.10,-10.75,-13.00,13.00,12.88,5.44,2.18,2.26,2.27
21.66,-10.80,-13.09,-10.65,-12.92,12.92,12.83,5.58,2.13,2.28,2.29
21.87,-10.76,-13.07,-10.53,-12.83,12.83,12.77,5.73,2.07,2.29,2.30
22.09,-10.65,-12.97,-10.41,-12.72,12.72,12.71,5.88,2.07,2.31,2.32
22.31,-10.40,-12.73,-10.28,-12.60,12.60,12.64,6.03,2.20,2.32,2.33
22.54,-10.17,-12.50,-10.10,-12.43,12.43,12.56,6.19,2.26,2.33,2.33
22.76,-9.92,-12.26,-9.91,-12.24,12.24,12.48,6.35,2.32,2.33,2.33
22.99,-9.68,-12.00,-9.71,-12.04,12.04,12.39,6.52,2.37,2.33,2.32
23.22,-9.47,-11.79,-9.50,-11.84,11.84,12.30,6.69,2.37,2.34,2.32
23.45,-9.25,-11.58,-9.31,-11.64,11.64,12.20,6.87,2.39,2.34,2.32
23.69,-9.05,-11.38,-9.13,-11.47,11.47,12.09,7.05,2.42,2.34,2.33
23.92,-8.83,-11.17,-8.97,-11.31,11.31,11.98,7.23,2.48,2.34,2.33
24.16,-8.68,-11.02,-8.83,-11.17,11.17,11.87,7.42,2.48,2.34,2.33
24.40,-8.56,-10.91,-8.70,-11.03,11.03,11.75,7.61,2.47,2.33,2.34
24.65,-8.44,-10.77,-8.58,-10.91,10.91,11.63,7.81,2.48,2.33,2.33
24.89,-8.31,-10.65,-8.47,-10.81,10.81,11.51,8.01,2.49,2.33,2.33
25.14,-8.29,-10.62,-8.36,-10.70,10.70,11.38,8.21,2.41,2.34,2.33
25.39,-8.33,-10.67,-8.25,-10.58,10.58,11.25,8.41,2.26,2.34,2.34
25.65,-8.35,-10.70,-8.13,-10.47,10.47,11.12,8.62,2.11,2.34,2.34
25.91,-8.39,-10.73,-8.01,-10.34,10.34,10.99,8.83,1.95,2.34,2.33
26.16,-8.22,-10.55,-7.88,-10.22,10.22,10.86,9.05,2.00,2.34,2.33
26.43,-7.95,-10.28,-7.76,-10.10,10.10,10.72,9.26,2.15,2.33,2.33
26.69,-7.65,-9.99,-7.65,-9.98,9.98,10.59,9.47,2.32,2.33,2.33
26.96,-7.38,-9.71,-7.53,-9.86,9.86,10.45,9.68,2.49,2.33,2.33
27.23,-7.23,-9.56,-7.44,-9.77,9.77,10.31,9.89,2.54,2.33,2.33
27.50,-7.12,-9.45,-7.36,-9.69,9.69,10.17,10.10,2.57,2.33,2.33
27.77,-6.99,-9.32,-7.28,-9.61,9.61,10.03,10.30,2.61,2.33,2.32
28.05,-6.90,-9.23,-7.17,-9.50,9.50,9.89,10.50,2.59,2.32,2.32
28.33,-6.93,-9.25,-7.05,-9.37,9.37,9.76,10.68,2.44,2.32,2.31
28.62,-6.95,-9.27,-6.92,-9.25,9.25,9.62,10.86,2.29,2.32,2.31
28.90,-6.97,-9.30,-6.81,-9.13,9.13,9.48,11.02,2.16,2.32,2.32
29.19,-6.97,-9.29,-6.72,-9.04,9.04,9.34,11.17,2.06,2.32,2.31
29.48,-6.95,-9.28,-6.64,-8.95,8.95,9.20,11.30,2.00,2.32,2.32
29.78,-6.93,-9.25,-6.57,-8.89,8.89,9.07,11.42,1.95,2.32,2.31
30.08,-6.82,-9.14,-6.52,-8.84,8.84,8.93,11.51,2.02,2.31,2.32
30.38,-6.44,-8.75,-6.47,-8.78,8.78,8.79,11.58,2.34,2.31,2.31
30.68,-6.06,-8.37,-6.40,-8.71,8.71,8.66,11.62,2.66,2.31,2.31
30.99,-5.68,-7.99,-6.31,-8.62,8.62,8.52,11.64,2.94,2.31,2.31
31.30,-5.76,-8.07,-6.19,-8.50,8.50,8.39,11.63,2.73,2.31,2.30
31.61,-5.88,-8.19,-6.04,-8.34,8.34,8.26,11.60,2.46,2.30,2.30
31.93,-6.00,-8.31,-5.87,-8.17,8.17,8.12,11.54,2.17,2.30,2.30
32.24,-6.02,-8.32,-5.70,-8.00,8.00,7.99,11.46,1.98,2.30,2.29
32.57,-6.00,-8.30,-5.57,-7.87,7.87,7.86,11.35,1.86,2.29,2.29
32.89,-5.98,-8.27,-5.48,-7.77,7.77,7.73,11.22,1.78,2.29,2.29
33.22,-5.68,-7.97,-5.40,-7.69,7.69,7.61,11.08,2.00,2.28,2.28
33.55,-5.25,-7.53,-5.32,-7.60,7.60,7.48,10.91,2.35,2.28,2.28
33.89,-4.82,-7.09,-5.23,-7.50,7.50,7.35,10.73,2.68,2.27,2.27
34.23,-4.64,-6.91,-5.11,-7.38,7.38,7.23,10.53,2.74,2.27,2.27
34.57,-4.57,-6.84,-4.96,-7.22,7.22,7.10,10.33,2.65,2.27,2.26
34.92,-4.52,-6.78,-4.77,-7.04,7.04,6.98,10.11,2.52,2.26,2.26
35.27,-4.66,-6.92,-4.62,-6.88,6.88,6.86,9.89,2.21,2.26,2.25
35.62,-4.87,-7.13,-4.49,-6.75,6.75,6.74,9.66,1.87,2.25,2.25
35.97,-5.07,-7.32,-4.39,-6.64,6.64,6.62,9.43,1.57,2.25,2.25
36.33,-4.59,-6.84,-4.29,-6.54,6.54,6.50,9.19,1.95,2.25,2.25
36.70,-4.06,-6.30,-4.19,-6.44,6.44,6.38,8.96,2.38,2.25,2.24
37.06,-3.60,-5.85,-4.09,-6.34,6.34,6.26,8.72,2.74,2.25,2.24
37.43,-3.64,-5.89,-3.97,-6.23,6.23,6.15,8.48,2.59,2.25,2.25
37.81,-3.66,-5.92,-3.84,-6.09,6.09,6.03,8.25,2.42,2.25,2.25
38.19,-3.72,-5.97,-3.68,-5.93,5.93,5.92,8.01,2.21,2.25,2.24
38.57,-3.84,-6.10,-3.52,-5.77,5.77,5.80,7.78,1.93,2.25,2.25
38.95,-3.95,-6.21,-3.40,-5.65,5.65,5.69,7.55,1.70,2.25,2.26
39.34,-3.56,-5.81,-3.31,-5.56,5.56,5.58,7.32,2.00,2.25,2.25
39.74,-3.13,-5.38,-3.22,-5.47,5.47,5.47,7.09,2.35,2.25,2.25
40.14,-2.78,-5.03,-3.15,-5.40,5.40,5.36,6.87,2.62,2.25,2.25
40.54,-2.65,-4.90,-3.10,-5.35,5.35,5.25,6.65,2.71,2.25,2.25
40.94,-2.51,-4.75,-3.04,-5.29,5.29,5.15,6.44,2.78,2.25,2.24
41.35,-2.68,-4.92,-2.96,-5.20,5.20,5.04,6.23,2.52,2.24,2.24
41.76,-2.91,-5.14,-2.84,-5.07,5.07,4.93,6.02,2.17,2.23,2.23
42.18,-3.07,-5.30,-2.72,-4.94,4.94,4.83,5.82,1.88,2.23,2.23
42.60,-3.12,-5.35,-2.57,-4.79,4.79,4.73,5.61,1.66,2.22,2.22
43.03,-3.14,-5.36,-2.42,-4.62,4.62,4.62,5.42,1.48,2.20,2.21
43.46,-2.57,-4.78,-2.30,-4.49,4.49,4.52,5.22,1.92,2.19,2.20
43.90,-2.02,-4.20,-2.22,-4.40,4.40,4.42,5.03,2.38,2.18,2.18
44.33,-1.83,-4.00,-2.12,-4.28,4.28,4.32,4.85,2.45,2.17,2.16
44.78,-1.78,-3.93,-1.99,-4.14,4.14,4.22,4.66,2.36,2.16,2.14
45.23,-1.71,-3.84,-1.85,-4.00,4.00,4.12,4.48,2.29,2.14,2.13
45.68,-1.59,-3.71,-1.72,-3.85,3.85,4.02,4.30,2.26,2.13,2.12
46.13,-1.43,-3.54,-1.56,-3.67,3.67,3.92,4.13,2.24,2.11,2.10
46.60,-1.22,-3.32,-1.39,-3.49,3.49,3.83,3.96,2.27,2.10,2.10
47.06,-1.05,-3.13,-1.26,-3.34,3.34,3.73,3.79,2.30,2.08,2.08
47.53,-1.26,-3.33,-1.16,-3.23,3.23,3.63,3.62,1.97,2.07,2.07
48.01,-1.45,-3.53,-1.08,-3.14,3.14,3.54,3.46,1.68,2.06,2.07
48.49,-1.18,-3.23,-1.04,-3.08,3.08,3.44,3.30,1.91,2.04,2.05
48.97,-0.90,-2.94,-0.99,-3.01,3.01,3.35,3.14,2.11,2.03,2.03
49.46,-0.94,-2.96,-0.91,-2.92,2.92,3.26,2.98,1.98,2.02,2.01
49.96,-1.00,-3.00,-0.82,-2.83,2.83,3.16,2.83,1.82,2.00,1.99
50.46,-0.75,-2.73,-0.75,-2.74,2.74,3.07,2.68,1.99,1.99,1.98
50.96,-0.44,-2.42,-0.68,-2.66,2.66,2.98,2.53,2.21,1.97,1.97
51.47,-0.52,-2.48,-0.62,-2.58,2.58,2.89,2.39,2.06,1.96,1.95
51.99,-0.64,-2.59,-0.56,-2.51,2.51,2.80,2.24,1.87,1.95,1.94
52.51,-0.49,-2.42,-0.48,-2.42,2.42,2.71,2.10,1.93,1.94,1.93
