frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-23.33,-24.20,-23.14,-24.04,24.04,20.64,10.05,0.72,0.90,0.88
20.20,-23.10,-24.02,-22.99,-23.93,23.93,20.97,10.23,0.83,0.94,0.93
20.40,-22.86,-23.84,-22.83,-23.81,23.81,21.31,10.41,0.95,0.98,0.98
20.61,-22.63,-23.64,-22.68,-23.70,23.70,21.65,10.60,1.07,1.01,1.01
20.81,-22.39,-23.45,-22.53,-23.58,23.58,21.99,10.79,1.18,1.04,1.06
21.02,-22.18,-23.27,-22.38,-23.45,23.45,22.32,10.98,1.28,1.07,1.10
21.23,-22.08,-23.19,-22.23,-23.33,23.33,22.65,11.18,1.26,1.10,1.12
21.44,-21.98,-23.12,-22.09,-23.21,23.21,22.98,11.39,1.22,1.12,1.14
21.66,-21.89,-23.04,-21.94,-23.08,23.08,23.28,11.59,1.19,1.14,1.16
21.87,-21.79,-22.96,-21.79,-22.95,22.95,23.57,11.81,1.15,1.16,1.17
22.09,-21.68,-22.87,-21.64,-22.82,22.82,23.84,12.03,1.13,1.17,1.19
22.31,-21.56,-22.76,-21.49,-22.68,22.68,24.08,12.25,1.12,1.19,1.20
22.54,-21.44,-22.63,-21.36,-22.56,22.56,24.28,12.49,1.12,1.19,1.20
22.76,-21.31,-22.51,-21.23,-22.43,22.43,24.44,12.72,1.11,1.20,1.20
22.99,-21.20,-22.38,-21.09,-22.29,22.29,24.55,12.97,1.10,1.20,1.19
23.22,-21.01,-22.19,-20.95,-22.15,22.15,24.61,13.22,1.15,1.20,1.19
23.45,-20.81,-22.00,-20.81,-22.01,22.01,24.62,13.48,1.19,1.20,1.19
23.69,-20.62,-21.82,-20.66,-21.86,21.86,24.57,13.74,1.24,1.20,1.20
23.92,-20.42,-21.62,-20.51,-21.71,21.71,24.48,14.02,1.28,1.20,1.20
24.16,-20.27,-21.47,-20.36,-21.55,21.55,24.33,14.30,1.28,1.20,1.20
24.40,-20.14,-21.35,-20.20,-21.40,21.40,24.14,14.59,1.26,1.20,1.21
24.65,-20.01,-21.20,-20.05,-21.25,21.25,23.92,14.89,1.24,1.20,1.20
24.89,-19.87,-21.07,-19.89,-21.09,21.09,23.66,15.20,1.22,1.20,1.20
25.14,-19.74,-20.94,-19.74,-20.94,20.94,23.38,15.52,1.20,1.20,1.20
25.39,-19.63,-20.84,-19.60,-20.80,20.80,23.08,15.85,1.17,1.20,1.21
25.65,-19.52,-20.72,-19.47,-20.67,20.67,22.76,16.19,1.15,1.20,1.21
25.91,-19.40,-20.59,-19.34,-20.54,20.54,22.43,16.55,1.14,1.20,1.20
26.16,-19.23,-20.43,-19.21,-20.41,20.41,22.10,16.91,1.17,1.20,1.20
26.43,-19.06,-20.25,-19.07,-20.26,20.26,21.76,17.29,1.21,1.20,1.20
26.69,-18.87,-20.06,-18.92,-20.11,20.11,21.42,17.67,1.25,1.20,1.20
26.96,-18.69,-19.88,-18.76,-19.95,19.95,21.09,18.07,1.26,1.19,1.20
27.23,-18.57,-19.76,-18.60,-19.79,19.79,20.76,18.48,1.22,1.19,1.20
27.50,-18.47,-19.66,-18.43,-19.62,19.62,20.43,18.91,1.16,1.19,1.20
27.77,-18.35,-19.54,-18.26,-19.45,19.45,20.11,19.34,1.10,1.19,1.19
28.05,-18.22,-19.41,-18.09,-19.28,19.28,19.80,19.78,1.05,1.19,1.19
28.33,-17.96,-19.14,-17.91,-19.09,19.09,19.49,20.22,1.13,1.19,1.18
28.62,-17.72,-18.90,-17.73,-18.91,18.91,19.19,20.67,1.19,1.18,1.18
28.90,-17.45,-18.64,-17.55,-18.73,18.73,18.90,21.11,1.27,1.18,1.19
29.19,-17.29,-18.46,-17.37,-18.55,18.55,18.61,21.54,1.26,1.18,1.18
29.48,-17.15,-18.34,-17.19,-18.37,18.37,18.34,21.95,1.22,1.18,1.19
29.78,-17.03,-18.20,-17.02,-18.20,18.20,18.07,22.33,1.17,1.18,1.18
30.08,-16.88,-18.06,-16.85,-18.02,18.02,17.81,22.66,1.15,1.18,1.19
30.38,-16.68,-17.86,-16.68,-17.85,17.85,17.55,22.93,1.17,1.18,1.18
30.68,-16.49,-17.66,-16.51,-17.69,17.69,17.31,23.12,1.20,1.17,1.18
30.99,-16.29,-17.46,-16.35,-17.53,17.53,17.07,23.23,1.24,1.17,1.18
31.30,-16.16,-17.32,-16.20,-17.37,17.37,16.84,23.24,1.22,1.17,1.17
31.61,-16.04,-17.20,-16.06,-17.23,17.23,16.62,23.16,1.20,1.17,1.17
31.93,-15.92,-17.08,-15.92,-17.09,17.09,16.40,22.99,1.17,1.16,1.17
32.24,-15.78,-16.94,-15.78,-16.94,16.94,16.19,22.73,1.16,1.16,1.16
32.57,-15.67,-16.82,-15.62,-16.78,16.78,15.99,22.40,1.11,1.16,1.16
32.89,-15.53,-16.69,-15.46,-16.61,16.61,15.79,22.02,1.07,1.15,1.16
33.22,-15.36,-16.51,-15.29,-16.44,16.44,15.60,21.60,1.07,1.15,1.15
33.55,-15.17,-16.32,-15.13,-16.27,16.27,15.42,21.15,1.10,1.14,1.15
33.89,-14.99,-16.12,-14.98,-16.12,16.12,15.25,20.68,1.13,1.14,1.14
34.23,-14.82,-15.95,-14.82,-15.96,15.96,15.08,20.21,1.14,1.13,1.14
34.57,-14.65,-15.77,-14.66,-15.79,15.79,14.91,19.73,1.14,1.13,1.13
34.92,-14.48,-15.60,-14.48,-15.61,15.61,14.75,19.26,1.13,1.13,1.13
35.27,-14.28,-15.39,-14.31,-15.43,15.43,14.60,18.79,1.15,1.12,1.12
35.62,-14.06,-15.17,-14.13,-15.25,15.25,14.45,18.33,1.19,1.12,1.12
35.97,-13.84,-14.96,-13.96,-15.07,15.07,14.31,17.88,1.23,1.12,1.12
36.33,-13.76,-14.88,-13.78,-14.90,14.90,14.17,17.45,1.13,1.12,1.12
36.70,-13.70,-14.80,-13.61,-14.73,14.73,14.04,17.02,1.03,1.11,1.11
37.06,-13.58,-14.69,-13.44,-14.56,14.56,13.91,16.60,0.98,1.11,1.11
37.43,-13.32,-14.44,-13.28,-14.39,14.39,13.78,16.20,1.07,1.11,1.12
37.81,-13.06,-14.17,-13.11,-14.22,14.22,13.66,15.81,1.16,1.11,1.12
38.19,-12.87,-13.97,-12.93,-14.05,14.05,13.54,15.43,1.18,1.12,1.11
38.57,-12.74,-13.85,-12.76,-13.87,13.87,13.42,15.06,1.14,1.12,1.12
38.95,-12.60,-13.73,-12.59,-13.71,13.71,13.30,14.70,1.10,1.12,1.13
39.34,-12.43,-13.55,-12.43,-13.54,13.54,13.19,14.34,1.11,1.12,1.12
39.74,-12.27,-13.38,-12.26,-13.37,13.37,13.07,14.00,1.11,1.12,1.12
40.14,-12.09,-13.20,-12.08,-13.20,13.20,12.96,13.67,1.11,1.12,1.12
40.54,-11.90,-13.01,-11.90,-13.01,13.01,12.84,13.34,1.11,1.11,1.12
40.94,-11.70,-12.81,-11.72,-12.83,12.83,12.72,13.03,1.13,1.11,1.11
41.35,-11.52,-12.63,-11.56,-12.66,12.66,12.60,12.72,1.14,1.11,1.11
41.76,-11.35,-12.45,-11.39,-12.49,12.49,12.48,12.41,1.13,1.10,1.10
42.18,-11.20,-12.30,-11.21,-12.30,12.30,12.36,12.12,1.10,1.09,1.10
42.60,-11.08,-12.17,-11.03,-12.11,12.11,12.22,11.83,1.03,1.08,1.09
43.03,-10.96,-12.03,-10.85,-11.92,11.92,12.09,11.54,0.96,1.07,1.08
43.46,-10.69,-11.76,-10.67,-11.73,11.73,11.95,11.27,1.03,1.06,1.07
43.90,-10.44,-11.49,-10.49,-11.54,11.54,11.80,10.99,1.10,1.04,1.05
44.33,-10.29,-11.32,-10.32,-11.35,11.35,11.64,10.72,1.05,1.03,1.03
44.78,-10.19,-11.19,-10.14,-11.16,11.16,11.48,10.46,0.98,1.02,1.01
45.23,-9.99,-10.98,-9.97,-10.98,10.98,11.31,10.20,0.99,1.01,1.00
45.68,-9.72,-10.70,-9.81,-10.80,10.80,11.13,9.95,1.08,0.99,0.99
46.13,-9.49,-10.46,-9.63,-10.61,10.61,10.95,9.70,1.11,0.98,0.97
46.60,-9.42,-10.38,-9.45,-10.41,10.41,10.75,9.45,1.00,0.96,0.97
47.06,-9.32,-10.27,-9.26,-10.21,10.21,10.55,9.21,0.88,0.95,0.95
47.53,-9.13,-10.07,-9.07,-10.00,10.00,10.35,8.97,0.87,0.93,0.94
48.01,-8.94,-9.87,-8.89,-9.81,9.81,10.13,8.73,0.87,0.92,0.94
48.49,-8.77,-9.68,-8.72,-9.63,9.63,9.91,8.50,0.86,0.91,0.92
48.97,-8.60,-9.50,-8.54,-9.44,9.44,9.69,8.27,0.83,0.89,0.90
49.46,-8.41,-9.29,-8.36,-9.24,9.24,9.46,8.04,0.83,0.88,0.88
49.96,-8.23,-9.08,-8.19,-9.06,9.06,9.23,7.82,0.83,0.87,0.86
50.46,-7.95,-8.79,-8.02,-8.88,8.88,8.99,7.60,0.93,0.85,0.85
50.96,-7.67,-8.50,-7.85,-8.69,8.69,8.75,7.38,1.03,0.84,0.84
51.47,-7.56,-8.37,-7.68,-8.50,8.50,8.51,7.16,0.95,0.83,0.82
51.99,-7.45,-8.25,-7.49,-8.30,8.30,8.27,6.95,0.86,0.81,0.81
52.51,-7.36,-8.15,-7.31,-8.11,8.11,8.02,6.74,0.76,0.80,0.80
53.03,-7.26,-8.05,-7.14,-7.93,7.93,7.78,6.54,0.68,0.79,0.80
53.56,-7.01,-7.78,-6.96,-7.74,7.74,7.53,6.33,0.73,0.78,0.78
54.10,-6.79,-7.55,-6.78,-7.55,7.55,7.29,6.13,0.76,0.77,0.77
54.64,-6.68,-7.42,-6.60,-7.35,7.35,7.05,5.94,0.68,0.76,0.75
55.18,-6.51,-7.26,-6.42,-7.17,7.17,6.81,5.74,0.65,0.74,0.75
55.74,-6.24,-6.96,-6.25,-6.98,6.98,6.56,5.55,0.74,0.73,0.73
56.29,-6.01,-6.73,-6.07,-6.79,6.79,6.33,5.37,0.77,0.72,0.72
56.86,-5.84,-6.54,-5.88,-6.58,6.58,6.09,5.19,0.75,0.71,0.71
57.42,-5.66,-6.34,-5.67,-6.36,6.36,5.86,5.01,0.70,0.69,0.68
58.00,-5.51,-6.17,-5.47,-6.14,6.14,5.62,4.83,0.63,0.67,0.67
58.58,-5.24,-5.89,-5.27,-5.91,5.91,5.39,4.66,0.68,0.65,0.66
59.16,-5.00,-5.64,-5.07,-5.69,5.69,5.17,4.49,0.69,0.62,0.64
59.76,-4.90,-5.51,-4.88,-5.48,5.48,4.94,4.33,0.58,0.59,0.62
60.35,-4.74,-5.32,-4.70,-5.26,5.26,4.72,4.17,0.52,0.56,0.58
60.96,-4.58,-5.11,-4.51,-5.04,5.04,4.50,4.01,0.47,0.53,0.54
61.57,-4.32,-4.81,-4.34,-4.83,4.83,4.29,3.86,0.52,0.49,0.50
62.18,-4.08,-4.54,-4.18,-4.63,4.63,4.07,3.72,0.55,0.46,0.46
62.80,-3.93,-4.34,-4.01,-4.42,4.42,3.86,3.57,0.49,0.42,0.41
63.43,-3.79,-4.16,-3.83,-4.21,4.21,3.65,3.43,0.41,0.37,0.37
64.07,-3.67,-3.98,-3.66,-3.99,3.99,3.45,3.30,0.32,0.33,0.32
64.71,-3.52,-3.79,-3.49,-3.77,3.77,3.25,3.17,0.26,0.28,0.28
65.35,-3.35,-3.59,-3.32,-3.55,3.55,3.05,3.04,0.20,0.24,0.24
66.01,-3.20,-3.38,-3.14,-3.33,3.33,2.85,2.91,0.14,0.19,0.19
66.67,-3.03,-3.16,-2.97,-3.11,3.11,2.65,2.79,0.08,0.14,0.14
67.33,-2.86,-2.95,-2.79,-2.89,2.89,2.46,2.67,0.02,0.09,0.09
68.01,-2.72,-2.76,-2.62,-2.67,2.67,2.27,2.56,-0.05,0.04,0.05
68.69,-2.42,-2.41,-2.46,-2.45,2.45,2.08,2.45,0.03,-0.01,-0.00
69.37,-2.19,-2.14,-2.29,-2.23,2.23,1.90,2.33,0.04,-0.06,-0.05
70.07,-2.06,-1.95,-2.12,-2.01,2.01,1.72,2.23,-0.05,-0.11,-0.10
70.77,-1.92,-1.76,-1.95,-1.79,1.79,1.54,2.12,-0.13,-0.16,-0.15
71.48,-1.76,-1.55,-1.79,-1.57,1.57,1.36,2.01,-0.18,-0.22,-0.20
72.19,-1.60,-1.32,-1.64,-1.36,1.36,1.18,1.91,-0.23,-0.27,-0.27
72.91,-1.50,-1.17,-1.49,-1.16,1.16,1.01,1.80,-0.35,-0.33,-0.33
73.64,-1.35,-0.97,-1.34,-0.95,0.95,0.84,1.70,-0.40,-0.38,-0.38
74.38,-1.19,-0.74,-1.19,-0.75,0.75,0.67,1.60,-0.43,-0.44,-0.44
75.12,-1.03,-0.52,-1.06,-0.56,0.56,0.51,1.49,-0.46,-0.50,-0.50
75.87,-0.98,-0.42,-0.93,-0.38,0.38,0.35,1.39,-0.61,-0.55,-0.56
76.63,-0.83,-0.22,-0.80,-0.19,0.19,0.19,1.29,-0.64,-0.61,-0.61
77.40,-0.70,-0.03,-0.66,-0.00,0.00,0.03,1.19,-0.69,-0.66,-0.66
78.17,-0.57,0.15,-0.53,0.19,-0.19,-0.13,1.08,-0.76,-0.71,-0.72
78.95,-0.44,0.32,-0.40,0.36,-0.36,-0.28,0.98,-0.81,-0.77,-0.76
79.74,-0.26,0.55,-0.28,0.54,-0.54,-0.43,0.87,-0.80,-0.81,-0.81
80.54,-0.12,0.75,-0.15,0.71,-0.71,-0.58,0.76,-0.82,-0.86,-0.86
81.35,0.00,0.92,-0.03,0.88,-0.88,-0.72,0.65,-0.88,-0.91,-0.91
82.16,0.09,1.06,0.08,1.04,-1.04,-0.86,0.54,-0.94,-0.96,-0.96
82.98,0.20,1.20,0.19,1.19,-1.19,-1.00,0.43,-1.00,-1.01,-1.00
83.81,0.34,1.40,0.29,1.35,-1.35,-1.14,0.32,-1.00,-1.05,-1.05
84.65,0.45,1.56,0.40,1.50,-1.50,-1.27,0.20,-1.05,-1.10,-1.10
85.50,0.49,1.64,0.49,1.64,-1.64,-1.40,0.09,-1.15,-1.15,-1.14
86.35,0.51,1.71,0.58,1.78,-1.78,-1.53,-0.03,-1.27,-1.20,-1.19
87.22,0.59,1.84,0.67,1.92,-1.92,-1.66,-0.15,-1.32,-1.25,-1.24
88.09,0.76,2.06,0.75,2.05,-2.05,-1.78,-0.28,-1.28,-1.30,-1.29
88.97,0.81,2.17,0.81,2.16,-2.16,-1.90,-0.40,-1.35,-1.35,-1.35
89.86,0.86,2.27,0.88,2.28,-2.28,-2.01,-0.53,-1.42,-1.40,-1.40
90.76,0.89,2.35,0.94,2.40,-2.40,-2.12,-0.66,-1.50,-1.45,-1.45
91.66,1.04,2.54,1.00,2.50,-2.50,-2.23,-0.79,-1.47,-1.50,-1.50
92.58,1.10,2.67,1.05,2.61,-2.61,-2.34,-0.93,-1.50,-1.55,-1.56
93.51,1.11,2.73,1.10,2.70,-2.70,-2.44,-1.06,-1.59,-1.60,-1.61
94.44,1.15,2.81,1.14,2.80,-2.80,-2.54,-1.20,-1.64,-1.65,-1.65
95.39,1.19,2.90,1.18,2.89,-2.89,-2.63,-1.34,-1.69,-1.70,-1.70
96.34,1.20,2.96,1.21,2.96,-2.96,-2.72,-1.48,-1.76,-1.75,-1.75
97.30,1.20,3.01,1.23,3.03,-3.03,-2.81,-1.62,-1.83,-1.80,-1.80
98.28,1.21,3.07,1.24,3.09,-3.09,-2.89,-1.77,-1.88,-1.85,-1.85
99.26,1.27,3.17,1.25,3.15,-3.15,-2.97,-1.91,-1.87,-1.90,-1.89
100.25,1.26,3.21,1.25,3.20,-3.20,-3.05,-2.06,-1.93,-1.95,-1.94
101.25,1.24,3.24,1.25,3.24,-3.24,-3.12,-2.21,-2.00,-1.99,-1.99
102.27,1.23,3.28,1.23,3.28,-3.28,-3.19,-2.36,-2.04,-2.04,-2.04
103.29,1.21,3.31,1.21,3.31,-3.31,-3.25,-2.51,-2.09,-2.09,-2.09
104.32,1.19,3.33,1.19,3.33,-3.33,-3.31,-2.65,-2.14,-2.14,-2.13
105.37,1.17,3.36,1.16,3.35,-3.35,-3.37,-2.80,-2.18,-2.19,-2.18
106.42,1.14,3.38,1.13,3.37,-3.37,-3.42,-2.95,-2.22,-2.24,-2.23
107.48,1.12,3.42,1.09,3.39,-3.39,-3.47,-3.09,-2.26,-2.29,-2.29
108.56,1.09,3.44,1.06,3.41,-3.41,-3.52,-3.23,-2.31,-2.35,-2.34
109.64,1.01,3.41,1.02,3.42,-3.42,-3.56,-3.37,-2.41,-2.40,-2.39
110.74,0.96,3.42,0.98,3.43,-3.43,-3.60,-3.51,-2.47,-2.45,-2.45
111.85,0.92,3.42,0.95,3.45,-3.45,-3.64,-3.64,-2.52,-2.50,-2.49
112.97,0.83,3.39,0.91,3.46,-3.46,-3.67,-3.77,-2.63,-2.55,-2.55
114.10,0.82,3.43,0.88,3.48,-3.48,-3.70,-3.89,-2.65,-2.60,-2.60
115.24,0.82,3.48,0.85,3.50,-3.50,-3.72,-4.00,-2.67,-2.65,-2.65
116.39,0.82,3.53,0.82,3.51,-3.51,-3.75,-4.11,-2.69,-2.69,-2.70
117.55,0.83,3.58,0.79,3.52,-3.52,-3.77,-4.21,-2.69,-2.73,-2.74
118.73,0.80,3.59,0.76,3.54,-3.54,-3.78,-4.30,-2.73,-2.77,-2.78
119.92,0.74,3.56,0.74,3.55,-3.55,-3.80,-4.39,-2.81,-2.81,-2.81
121.12,0.69,3.55,0.72,3.56,-3.56,-3.81,-4.46,-2.87,-2.85,-2.85
122.33,0.66,3.55,0.69,3.58,-3.58,-3.82,-4.53,-2.91,-2.88,-2.88
123.55,0.66,3.58,0.66,3.58,-3.58,-3.82,-4.58,-2.91,-2.91,-2.91
124.79,0.67,3.62,0.64,3.58,-3.58,-3.83,-4.63,-2.91,-2.95,-2.94
126.03,0.67,3.65,0.61,3.59,-3.59,-3.83,-4.66,-2.91,-2.98,-2.97
127.29,0.55,3.55,0.58,3.58,-3.58,-3.83,-4.69,-3.03,-3.01,-2.99
128.57,0.49,3.53,0.54,3.57,-3.57,-3.83,-4.70,-3.08,-3.04,-3.03
129.85,0.49,3.56,0.50,3.56,-3.56,-3.82,-4.71,-3.07,-3.06,-3.06
131.15,0.49,3.59,0.46,3.56,-3.56,-3.82,-4.70,-3.06,-3.09,-3.09
132.46,0.45,3.58,0.43,3.55,-3.55,-3.81,-4.69,-3.10,-3.12,-3.12
133.79,0.34,3.50,0.39,3.54,-3.54,-3.80,-4.67,-3.20,-3.15,-3.15
135.12,0.31,3.50,0.36,3.53,-3.53,-3.79,-4.64,-3.22,-3.18,-3.18
136.48,0.31,3.52,0.31,3.52,-3.52,-3.78,-4.60,-3.20,-3.20,-3.20
137.84,0.31,3.56,0.27,3.50,-3.50,-3.76,-4.56,-3.18,-3.23,-3.24
139.22,0.22,3.50,0.21,3.48,-3.48,-3.75,-4.52,-3.25,-3.26,-3.27
140.61,0.14,3.45,0.16,3.46,-3.46,-3.73,-4.46,-3.31,-3.29,-3.30
142.02,0.12,3.45,0.12,3.44,-3.44,-3.71,-4.41,-3.32,-3.32,-3.32
143.44,0.12,3.48,0.07,3.43,-3.43,-3.70,-4.35,-3.30,-3.36,-3.35
144.87,0.06,3.46,0.02,3.42,-3.42,-3.68,-4.28,-3.35,-3.40,-3.39
146.32,-0.04,3.40,-0.02,3.42,-3.42,-3.66,-4.22,-3.45,-3.44,-3.43
147.78,-0.09,3.38,-0.07,3.42,-3.42,-3.64,-4.15,-3.50,-3.49,-3.46
149.26,-0.13,3.39,-0.12,3.43,-3.43,-3.62,-4.09,-3.55,-3.54,-3.51
