frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-11.71,-14.83,-11.70,-14.84,14.84,13.63,5.31,3.13,3.15,3.12
20.20,-11.62,-14.79,-11.61,-14.79,14.79,13.71,5.44,3.17,3.18,3.17
20.40,-11.52,-14.74,-11.52,-14.73,14.73,13.79,5.57,3.21,3.22,3.22
20.61,-11.43,-14.68,-11.42,-14.67,14.67,13.86,5.71,3.24,3.25,3.24
20.81,-11.33,-14.63,-11.33,-14.61,14.61,13.92,5.85,3.28,3.28,3.30
21.02,-11.24,-14.58,-11.23,-14.54,14.54,13.97,6.00,3.30,3.31,3.33
21.23,-11.12,-14.47,-11.13,-14.46,14.46,14.02,6.15,3.34,3.33,3.35
21.44,-11.00,-14.37,-11.03,-14.38,14.38,14.05,6.30,3.38,3.35,3.37
21.66,-10.89,-14.28,-10.92,-14.30,14.30,14.08,6.46,3.40,3.37,3.39
21.87,-10.77,-14.17,-10.81,-14.21,14.21,14.10,6.62,3.44,3.39,3.40
22.09,-10.66,-14.08,-10.70,-14.11,14.11,14.11,6.79,3.45,3.41,3.42
22.31,-10.56,-13.99,-10.59,-14.01,14.01,14.10,6.96,3.45,3.42,3.43
22.54,-10.47,-13.90,-10.48,-13.90,13.90,14.09,7.14,3.43,3.43,3.43
22.76,-10.37,-13.80,-10.36,-13.79,13.79,14.07,7.32,3.42,3.43,3.43
22.99,-10.27,-13.69,-10.23,-13.66,13.66,14.04,7.50,3.39,3.43,3.42
23.22,-10.15,-13.57,-10.11,-13.54,13.54,14.00,7.69,3.39,3.43,3.42
23.45,-10.03,-13.45,-9.98,-13.41,13.41,13.95,7.88,3.38,3.43,3.42
23.69,-9.90,-13.33,-9.85,-13.28,13.28,13.89,8.08,3.38,3.43,3.43
23.92,-9.78,-13.20,-9.72,-13.16,13.16,13.83,8.28,3.38,3.43,3.43
24.16,-9.63,-13.06,-9.60,-13.03,13.03,13.75,8.49,3.40,3.43,3.44
24.40,-9.47,-12.91,-9.48,-12.92,12.92,13.67,8.70,3.45,3.43,3.44
24.65,-9.30,-12.74,-9.38,-12.81,12.81,13.57,8.92,3.51,3.43,3.43
24.89,-9.14,-12.57,-9.27,-12.71,12.71,13.47,9.14,3.57,3.43,3.43
25.14,-9.04,-12.47,-9.17,-12.61,12.61,13.37,9.37,3.57,3.43,3.43
25.39,-8.98,-12.42,-9.07,-12.50,12.50,13.26,9.60,3.53,3.43,3.44
25.65,-8.93,-12.37,-8.96,-12.40,12.40,13.14,9.83,3.47,3.44,3.44
25.91,-8.87,-12.30,-8.86,-12.29,12.29,13.01,10.07,3.42,3.43,3.43
26.16,-8.81,-12.24,-8.75,-12.18,12.18,12.88,10.31,3.37,3.43,3.43
26.43,-8.74,-12.17,-8.64,-12.07,12.07,12.75,10.55,3.33,3.43,3.43
26.69,-8.68,-12.11,-8.54,-11.96,11.96,12.61,10.79,3.28,3.43,3.42
26.96,-8.61,-12.04,-8.43,-11.86,11.86,12.47,11.04,3.24,3.42,3.43
27.23,-8.43,-11.86,-8.33,-11.75,11.75,12.32,11.28,3.32,3.42,3.43
27.50,-8.22,-11.65,-8.23,-11.65,11.65,12.18,11.52,3.43,3.42,3.43
27.77,-8.02,-11.44,-8.13,-11.55,11.55,12.02,11.75,3.53,3.42,3.42
28.05,-7.84,-11.26,-8.02,-11.44,11.44,11.87,11.98,3.60,3.42,3.42
28.33,-7.77,-11.18,-7.90,-11.32,11.32,11.72,12.20,3.55,3.42,3.41
28.62,-7.70,-11.11,-7.78,-11.20,11.20,11.56,12.41,3.50,3.41,3.40
28.90,-7.62,-11.03,-7.66,-11.07,11.07,11.40,12.61,3.45,3.41,3.41
29.19,-7.56,-10.96,-7.54,-10.95,10.95,11.24,12.79,3.39,3.41,3.40
29.48,-7.49,-10.91,-7.42,-10.83,10.83,11.08,12.96,3.34,3.41,3.42
29.78,-7.43,-10.84,-7.30,-10.71,10.71,10.92,13.10,3.28,3.41,3.41
30.08,-7.34,-10.76,-7.19,-10.59,10.59,10.76,13.22,3.25,3.40,3.41
30.38,-7.16,-10.57,-7.09,-10.49,10.49,10.60,13.31,3.33,3.40,3.40
30.68,-6.98,-10.38,-6.99,-10.39,10.39,10.44,13.38,3.41,3.40,3.40
30.99,-6.80,-10.20,-6.89,-10.29,10.29,10.28,13.41,3.49,3.40,3.40
31.30,-6.69,-10.09,-6.79,-10.18,10.18,10.12,13.42,3.49,3.40,3.40
31.61,-6.59,-9.98,-6.67,-10.06,10.06,9.96,13.39,3.47,3.39,3.39
31.93,-6.48,-9.87,-6.55,-9.94,9.94,9.80,13.33,3.45,3.39,3.39
32.24,-6.39,-9.77,-6.42,-9.80,9.80,9.64,13.25,3.41,3.38,3.38
32.57,-6.29,-9.68,-6.28,-9.66,9.66,9.48,13.14,3.37,3.38,3.38
32.89,-6.20,-9.58,-6.15,-9.53,9.53,9.33,13.00,3.33,3.37,3.38
33.22,-6.11,-9.48,-6.03,-9.39,9.39,9.17,12.84,3.28,3.37,3.37
33.55,-6.01,-9.38,-5.91,-9.27,9.27,9.02,12.65,3.26,3.36,3.37
33.89,-5.92,-9.27,-5.80,-9.16,9.16,8.86,12.46,3.24,3.36,3.35
34.23,-5.74,-9.10,-5.70,-9.05,9.05,8.71,12.24,3.31,3.35,3.36
34.57,-5.52,-8.87,-5.58,-8.93,8.93,8.55,12.02,3.41,3.35,3.35
34.92,-5.30,-8.65,-5.46,-8.81,8.81,8.40,11.78,3.50,3.34,3.34
35.27,-5.21,-8.55,-5.34,-8.68,8.68,8.25,11.54,3.47,3.34,3.34
35.62,-5.16,-8.50,-5.22,-8.56,8.56,8.10,11.29,3.40,3.34,3.33
35.97,-5.11,-8.44,-5.11,-8.44,8.44,7.96,11.04,3.33,3.33,3.33
36.33,-5.05,-8.39,-5.00,-8.33,8.33,7.81,10.79,3.28,3.33,3.34
36.70,-4.98,-8.30,-4.90,-8.23,8.23,7.66,10.54,3.25,3.33,3.32
37.06,-4.89,-8.21,-4.80,-8.13,8.13,7.52,10.28,3.24,3.33,3.32
37.43,-4.72,-8.05,-4.71,-8.04,8.04,7.38,10.03,3.32,3.33,3.33
37.81,-4.55,-7.88,-4.62,-7.94,7.94,7.23,9.78,3.39,3.33,3.33
38.19,-4.44,-7.76,-4.52,-7.84,7.84,7.09,9.54,3.40,3.33,3.32
38.57,-4.37,-7.70,-4.42,-7.74,7.74,6.95,9.29,3.37,3.33,3.33
38.95,-4.31,-7.64,-4.31,-7.64,7.64,6.82,9.05,3.33,3.32,3.33
39.34,-4.25,-7.58,-4.20,-7.53,7.53,6.68,8.82,3.28,3.32,3.33
39.74,-4.20,-7.52,-4.09,-7.41,7.41,6.54,8.59,3.21,3.32,3.32
40.14,-4.10,-7.42,-3.98,-7.30,7.30,6.41,8.36,3.20,3.32,3.32
40.54,-3.91,-7.23,-3.87,-7.19,7.19,6.28,8.14,3.28,3.32,3.32
40.94,-3.73,-7.04,-3.76,-7.08,7.08,6.15,7.92,3.35,3.31,3.31
41.35,-3.57,-6.87,-3.66,-6.96,6.96,6.02,7.70,3.39,3.31,3.30
41.76,-3.42,-6.72,-3.55,-6.85,6.85,5.89,7.49,3.43,3.30,3.30
42.18,-3.34,-6.64,-3.45,-6.74,6.74,5.76,7.29,3.40,3.29,3.30
42.60,-3.35,-6.63,-3.34,-6.62,6.62,5.63,7.09,3.27,3.28,3.28
43.03,-3.35,-6.62,-3.24,-6.50,6.50,5.51,6.89,3.15,3.26,3.27
43.46,-3.19,-6.45,-3.13,-6.38,6.38,5.38,6.70,3.19,3.25,3.26
43.90,-3.04,-6.28,-3.03,-6.26,6.26,5.26,6.51,3.22,3.24,3.24
44.33,-2.92,-6.14,-2.93,-6.15,6.15,5.14,6.33,3.23,3.22,3.22
44.78,-2.81,-6.01,-2.83,-6.04,6.04,5.02,6.15,3.23,3.21,3.20
45.23,-2.72,-5.91,-2.75,-5.94,5.94,4.90,5.97,3.22,3.19,3.19
45.68,-2.65,-5.82,-2.66,-5.84,5.84,4.78,5.80,3.19,3.18,3.17
46.13,-2.57,-5.72,-2.57,-5.73,5.73,4.66,5.63,3.16,3.16,3.15
46.60,-2.48,-5.63,-2.47,-5.61,5.61,4.54,5.47,3.13,3.14,3.15
47.06,-2.39,-5.51,-2.36,-5.49,5.49,4.43,5.31,3.10,3.13,3.12
47.53,-2.27,-5.38,-2.25,-5.36,5.36,4.32,5.15,3.09,3.11,3.11
48.01,-2.16,-5.27,-2.15,-5.25,5.25,4.20,5.00,3.08,3.09,3.11
48.49,-2.05,-5.14,-2.07,-5.14,5.14,4.09,4.85,3.09,3.08,3.09
48.97,-1.95,-5.02,-1.97,-5.03,5.03,3.98,4.70,3.08,3.06,3.07
49.46,-1.88,-4.92,-1.87,-4.91,4.91,3.87,4.56,3.03,3.05,3.04
49.96,-1.82,-4.84,-1.77,-4.80,4.80,3.76,4.41,2.98,3.03,3.02
50.46,-1.67,-4.69,-1.68,-4.69,4.69,3.66,4.28,3.02,3.01,3.01
50.96,-1.51,-4.51,-1.57,-4.57,4.57,3.55,4.14,3.06,3.00,3.00
51.47,-1.45,-4.42,-1.47,-4.46,4.46,3.45,4.01,3.01,2.98,2.97
51.99,-1.39,-4.35,-1.39,-4.35,4.35,3.34,3.88,2.96,2.97,2.96
52.51,-1.34,-4.29,-1.31,-4.26,4.26,3.24,3.75,2.92,2.95,2.95
53.03,-1.28,-4.22,-1.23,-4.17,4.17,3.14,3.62,2.88,2.94,2.94
53.56,-1.10,-4.03,-1.14,-4.06,4.06,3.04,3.50,2.96,2.92,2.93
54.10,-0.96,-3.87,-1.06,-3.97,3.97,2.94,3.38,3.01,2.91,2.91
54.64,-0.99,-3.88,-0.99,-3.88,3.88,2.84,3.26,2.89,2.89,2.89
55.18,-0.95,-3.83,-0.91,-3.79,3.79,2.74,3.15,2.84,2.88,2.88
55.74,-0.76,-3.62,-0.84,-3.70,3.70,2.64,3.03,2.94,2.86,2.86
56.29,-0.72,-3.57,-0.76,-3.61,3.61,2.55,2.92,2.89,2.85,2.85
56.86,-0.81,-3.64,-0.69,-3.52,3.52,2.45,2.81,2.71,2.83,2.83
57.42,-0.71,-3.50,-0.61,-3.42,3.42,2.36,2.71,2.71,2.81,2.79
58.00,-0.55,-3.33,-0.52,-3.31,3.31,2.26,2.60,2.76,2.79,2.78
58.58,-0.38,-3.15,-0.43,-3.19,3.19,2.17,2.50,2.81,2.76,2.77
59.16,-0.28,-3.02,-0.35,-3.08,3.08,2.08,2.40,2.80,2.73,2.74
59.76,-0.34,-3.06,-0.28,-2.97,2.97,1.99,2.30,2.63,2.70,2.72
60.35,-0.26,-2.93,-0.19,-2.85,2.85,1.90,2.20,2.59,2.66,2.67
