frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-6.68,-9.44,-6.81,-9.59,9.59,9.21,3.19,2.91,2.79,2.76
20.20,-6.63,-9.44,-6.70,-9.52,9.52,9.19,3.27,2.89,2.83,2.81
20.40,-6.59,-9.45,-6.59,-9.45,9.45,9.15,3.37,2.86,2.86,2.86
20.61,-6.54,-9.43,-6.48,-9.37,9.37,9.12,3.46,2.83,2.89,2.89
20.81,-6.49,-9.43,-6.37,-9.30,9.30,9.08,3.55,2.81,2.92,2.94
21.02,-6.43,-9.41,-6.27,-9.22,9.22,9.03,3.65,2.79,2.95,2.98
21.23,-6.27,-9.27,-6.17,-9.14,9.14,8.98,3.76,2.87,2.97,3.00
21.44,-6.10,-9.11,-6.07,-9.06,9.06,8.93,3.86,2.97,3.00,3.02
21.66,-5.94,-8.98,-5.97,-8.99,8.99,8.88,3.97,3.04,3.02,3.03
21.87,-5.78,-8.82,-5.87,-8.91,8.91,8.82,4.08,3.13,3.04,3.04
22.09,-5.66,-8.72,-5.78,-8.83,8.83,8.76,4.19,3.17,3.05,3.06
22.31,-5.60,-8.67,-5.68,-8.75,8.75,8.69,4.31,3.15,3.06,3.07
22.54,-5.54,-8.61,-5.58,-8.65,8.65,8.62,4.43,3.11,3.07,3.07
22.76,-5.48,-8.55,-5.48,-8.55,8.55,8.55,4.55,3.08,3.07,3.07
22.99,-5.42,-8.48,-5.39,-8.46,8.46,8.48,4.68,3.04,3.07,3.06
23.22,-5.34,-8.40,-5.30,-8.38,8.38,8.41,4.81,3.04,3.08,3.06
23.45,-5.26,-8.32,-5.22,-8.30,8.30,8.33,4.94,3.04,3.08,3.06
23.69,-5.17,-8.24,-5.15,-8.22,8.22,8.25,5.07,3.05,3.08,3.07
23.92,-5.09,-8.16,-5.07,-8.15,8.15,8.17,5.21,3.06,3.08,3.07
24.16,-5.00,-8.08,-5.00,-8.07,8.07,8.09,5.35,3.07,3.08,3.08
24.40,-4.92,-8.01,-4.92,-7.99,7.99,8.01,5.49,3.07,3.07,3.09
24.65,-4.84,-7.92,-4.83,-7.90,7.90,7.93,5.64,3.06,3.07,3.08
24.89,-4.76,-7.83,-4.74,-7.81,7.81,7.84,5.78,3.06,3.07,3.07
25.14,-4.67,-7.74,-4.65,-7.73,7.73,7.76,5.93,3.06,3.08,3.07
25.39,-4.57,-7.65,-4.56,-7.64,7.64,7.68,6.08,3.07,3.08,3.08
25.65,-4.48,-7.56,-4.48,-7.56,7.56,7.59,6.23,3.08,3.08,3.08
25.91,-4.38,-7.45,-4.40,-7.47,7.47,7.51,6.39,3.09,3.08,3.07
26.16,-4.30,-7.37,-4.32,-7.40,7.40,7.42,6.54,3.10,3.08,3.07
26.43,-4.23,-7.30,-4.25,-7.32,7.32,7.34,6.69,3.09,3.07,3.07
26.69,-4.16,-7.23,-4.19,-7.26,7.26,7.25,6.84,3.10,3.07,3.07
26.96,-4.09,-7.17,-4.12,-7.19,7.19,7.17,6.99,3.10,3.07,3.08
27.23,-4.04,-7.11,-4.07,-7.13,7.13,7.09,7.14,3.09,3.07,3.07
27.50,-4.00,-7.07,-4.01,-7.07,7.07,7.00,7.28,3.07,3.06,3.07
