frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-2.18,-5.53,-2.18,-5.53,5.52,5.49,2.25,3.34,3.34,3.35
20.20,-2.14,-5.54,-2.14,-5.54,5.53,5.50,2.32,3.39,3.39,3.40
20.40,-2.10,-5.55,-2.10,-5.54,5.54,5.51,2.39,3.44,3.44,3.45
20.61,-2.06,-5.54,-2.06,-5.54,5.55,5.52,2.46,3.49,3.49,3.48
20.81,-2.02,-5.55,-2.02,-5.55,5.55,5.52,2.53,3.53,3.53,3.53
21.02,-1.98,-5.55,-1.99,-5.55,5.55,5.52,2.60,3.57,3.57,3.57
21.23,-1.96,-5.55,-1.96,-5.55,5.55,5.53,2.68,3.59,3.59,3.59
21.44,-1.94,-5.55,-1.93,-5.54,5.55,5.53,2.76,3.61,3.61,3.61
21.66,-1.91,-5.54,-1.91,-5.54,5.54,5.53,2.84,3.63,3.63,3.63
21.87,-1.89,-5.53,-1.89,-5.53,5.53,5.53,2.92,3.64,3.64,3.64
22.09,-1.87,-5.53,-1.87,-5.52,5.52,5.52,3.01,3.65,3.65,3.66
22.31,-1.85,-5.52,-1.85,-5.51,5.50,5.52,3.10,3.65,3.65,3.67
22.54,-1.82,-5.49,-1.82,-5.49,5.48,5.51,3.19,3.66,3.66,3.67
22.76,-1.80,-5.47,-1.80,-5.46,5.46,5.51,3.28,3.66,3.66,3.67
22.99,-1.77,-5.43,-1.77,-5.43,5.44,5.50,3.38,3.67,3.67,3.66
23.22,-1.75,-5.41,-1.75,-5.41,5.42,5.49,3.47,3.67,3.67,3.66
23.45,-1.73,-5.39,-1.73,-5.39,5.40,5.48,3.57,3.67,3.67,3.66
23.69,-1.71,-5.38,-1.71,-5.37,5.38,5.47,3.67,3.67,3.67,3.67
23.92,-1.69,-5.36,-1.69,-5.36,5.36,5.46,3.78,3.67,3.67,3.67
24.16,-1.68,-5.35,-1.68,-5.35,5.35,5.45,3.88,3.67,3.67,3.67
24.40,-1.67,-5.35,-1.67,-5.34,5.34,5.43,3.99,3.67,3.67,3.68
24.65,-1.67,-5.34,-1.67,-5.34,5.34,5.42,4.10,3.67,3.67,3.67
24.89,-1.66,-5.33,-1.66,-5.33,5.33,5.40,4.20,3.67,3.67,3.67
25.14,-1.65,-5.32,-1.65,-5.32,5.31,5.39,4.31,3.66,3.66,3.67
25.39,-1.63,-5.31,-1.63,-5.30,5.30,5.37,4.43,3.67,3.66,3.68
25.65,-1.61,-5.29,-1.61,-5.28,5.27,5.35,4.54,3.66,3.66,3.68
25.91,-1.59,-5.26,-1.59,-5.26,5.25,5.33,4.65,3.66,3.66,3.67
26.16,-1.56,-5.23,-1.56,-5.23,5.23,5.31,4.76,3.67,3.66,3.67
26.43,-1.53,-5.20,-1.53,-5.19,5.20,5.30,4.87,3.67,3.67,3.67
26.69,-1.50,-5.17,-1.50,-5.17,5.18,5.27,4.98,3.68,3.68,3.67
26.96,-1.47,-5.14,-1.48,-5.15,5.16,5.25,5.09,3.69,3.68,3.67
27.23,-1.47,-5.14,-1.47,-5.14,5.14,5.23,5.20,3.67,3.67,3.67
27.50,-1.47,-5.14,-1.47,-5.13,5.13,5.21,5.30,3.66,3.66,3.67
27.77,-1.47,-5.13,-1.47,-5.13,5.12,5.19,5.40,3.65,3.65,3.66
28.05,-1.47,-5.13,-1.47,-5.12,5.12,5.17,5.50,3.65,3.65,3.66
28.33,-1.47,-5.12,-1.47,-5.12,5.12,5.14,5.59,3.65,3.65,3.65
28.62,-1.47,-5.12,-1.47,-5.12,5.13,5.12,5.67,3.66,3.66,3.65
28.90,-1.47,-5.13,-1.47,-5.12,5.13,5.10,5.75,3.66,3.66,3.66
29.19,-1.47,-5.12,-1.47,-5.12,5.12,5.07,5.83,3.65,3.65,3.65
29.48,-1.47,-5.13,-1.47,-5.13,5.12,5.05,5.89,3.65,3.65,3.66
