frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,4.63,0.29,4.63,0.30,-0.28,-0.07,-0.04,4.35,4.36,4.34
20.20,4.63,0.24,4.63,0.24,-0.23,-0.07,-0.04,4.40,4.40,4.39
20.40,4.63,0.19,4.63,0.19,-0.20,-0.07,-0.04,4.43,4.43,4.44
20.61,4.63,0.16,4.63,0.15,-0.16,-0.07,-0.04,4.47,4.47,4.47
20.81,4.63,0.11,4.63,0.11,-0.13,-0.08,-0.04,4.50,4.50,4.52
21.02,4.63,0.07,4.64,0.09,-0.11,-0.08,-0.04,4.52,4.53,4.56
21.23,4.65,0.07,4.65,0.07,-0.09,-0.08,-0.04,4.56,4.56,4.58
21.44,4.67,0.07,4.67,0.07,-0.08,-0.08,-0.04,4.59,4.60,4.60
21.66,4.70,0.08,4.70,0.08,-0.07,-0.08,-0.04,4.63,4.63,4.62
21.87,4.72,0.09,4.72,0.09,-0.07,-0.08,-0.04,4.65,4.65,4.63
22.09,4.73,0.08,4.73,0.08,-0.07,-0.09,-0.04,4.66,4.66,4.65
22.31,4.73,0.07,4.73,0.08,-0.08,-0.09,-0.04,4.65,4.65,4.66
22.54,4.73,0.07,4.73,0.07,-0.08,-0.09,-0.04,4.65,4.65,4.66
22.76,4.73,0.07,4.73,0.08,-0.08,-0.09,-0.04,4.65,4.65,4.66
22.99,4.73,0.08,4.73,0.08,-0.08,-0.09,-0.04,4.65,4.65,4.65
23.22,4.73,0.08,4.73,0.08,-0.08,-0.09,-0.04,4.65,4.65,4.65
23.45,4.73,0.08,4.73,0.08,-0.08,-0.10,-0.04,4.65,4.65,4.65
23.69,4.73,0.07,4.73,0.08,-0.08,-0.10,-0.04,4.65,4.65,4.66
23.92,4.73,0.07,4.73,0.07,-0.08,-0.10,-0.04,4.66,4.66,4.66
24.16,4.73,0.07,4.73,0.07,-0.07,-0.10,-0.04,4.66,4.66,4.66
24.40,4.73,0.06,4.73,0.07,-0.07,-0.10,-0.04,4.66,4.66,4.67
24.65,4.73,0.07,4.73,0.07,-0.07,-0.11,-0.04,4.66,4.66,4.66
24.89,4.73,0.07,4.73,0.07,-0.07,-0.11,-0.04,4.66,4.66,4.66
25.14,4.73,0.07,4.73,0.07,-0.07,-0.11,-0.04,4.66,4.66,4.66
25.39,4.73,0.06,4.73,0.07,-0.07,-0.11,-0.04,4.66,4.66,4.67
25.65,4.73,0.06,4.73,0.07,-0.07,-0.12,-0.04,4.66,4.66,4.67
25.91,4.73,0.07,4.73,0.07,-0.07,-0.12,-0.04,4.66,4.66,4.66
26.16,4.73,0.07,4.73,0.07,-0.07,-0.12,-0.04,4.66,4.66,4.66
26.43,4.73,0.07,4.73,0.07,-0.07,-0.12,-0.04,4.66,4.66,4.66
26.69,4.73,0.07,4.73,0.07,-0.07,-0.12,-0.04,4.66,4.66,4.66
26.96,4.73,0.07,4.73,0.07,-0.07,-0.13,-0.04,4.66,4.66,4.66
27.23,4.73,0.07,4.73,0.07,-0.08,-0.13,-0.04,4.65,4.65,4.66
27.50,4.73,0.07,4.73,0.08,-0.08,-0.13,-0.03,4.65,4.65,4.66
27.77,4.73,0.08,4.73,0.08,-0.08,-0.14,-0.03,4.65,4.65,4.65
