frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-1.45,-5.32,-1.48,-5.38,5.38,5.22,2.31,3.93,3.90,3.87
20.20,-1.45,-5.37,-1.46,-5.40,5.40,5.24,2.38,3.95,3.93,3.92
20.40,-1.45,-5.42,-1.45,-5.41,5.41,5.27,2.45,3.96,3.97,3.97
20.61,-1.45,-5.45,-1.43,-5.43,5.43,5.29,2.52,3.98,4.00,3.99
20.81,-1.45,-5.50,-1.41,-5.44,5.44,5.32,2.59,3.99,4.03,4.05
21.02,-1.45,-5.54,-1.39,-5.45,5.45,5.34,2.67,4.00,4.06,4.08
21.23,-1.40,-5.51,-1.38,-5.46,5.46,5.36,2.74,4.06,4.08,4.10
21.44,-1.36,-5.48,-1.36,-5.47,5.47,5.37,2.82,4.10,4.10,4.12
21.66,-1.32,-5.46,-1.34,-5.47,5.47,5.39,2.90,4.15,4.13,4.14
21.87,-1.27,-5.42,-1.33,-5.47,5.47,5.40,2.99,4.20,4.14,4.15
22.09,-1.25,-5.42,-1.31,-5.47,5.47,5.41,3.07,4.22,4.16,4.17
22.31,-1.25,-5.43,-1.29,-5.46,5.46,5.42,3.16,4.21,4.17,4.18
22.54,-1.25,-5.43,-1.28,-5.45,5.45,5.43,3.25,4.20,4.18,4.18
22.76,-1.25,-5.43,-1.26,-5.44,5.44,5.44,3.34,4.19,4.18,4.18
22.99,-1.25,-5.42,-1.24,-5.42,5.42,5.44,3.44,4.17,4.18,4.17
23.22,-1.24,-5.41,-1.22,-5.40,5.40,5.45,3.54,4.16,4.18,4.17
23.45,-1.24,-5.41,-1.20,-5.39,5.39,5.45,3.64,4.15,4.18,4.17
23.69,-1.23,-5.41,-1.19,-5.37,5.37,5.45,3.74,4.14,4.18,4.18
23.92,-1.22,-5.40,-1.17,-5.36,5.36,5.45,3.84,4.14,4.18,4.18
24.16,-1.19,-5.38,-1.16,-5.34,5.34,5.44,3.95,4.15,4.18,4.19
24.40,-1.15,-5.34,-1.14,-5.33,5.33,5.44,4.05,4.18,4.18,4.19
24.65,-1.10,-5.29,-1.13,-5.31,5.31,5.43,4.16,4.21,4.18,4.18
24.89,-1.06,-5.24,-1.12,-5.30,5.30,5.42,4.27,4.24,4.18,4.18
25.14,-1.04,-5.22,-1.10,-5.28,5.28,5.41,4.38,4.24,4.18,4.18
25.39,-1.04,-5.23,-1.08,-5.27,5.27,5.40,4.50,4.23,4.18,4.19
25.65,-1.04,-5.23,-1.06,-5.25,5.25,5.39,4.61,4.21,4.19,4.19
25.91,-1.04,-5.22,-1.04,-5.23,5.23,5.38,4.72,4.19,4.18,4.18
26.16,-1.04,-5.22,-1.02,-5.21,5.21,5.36,4.83,4.16,4.18,4.18
26.43,-1.04,-5.22,-1.00,-5.18,5.18,5.34,4.95,4.14,4.18,4.18
26.69,-1.04,-5.22,-0.98,-5.16,5.16,5.33,5.06,4.12,4.18,4.17
26.96,-1.04,-5.22,-0.97,-5.14,5.14,5.31,5.17,4.10,4.17,4.18
27.23,-0.99,-5.17,-0.95,-5.13,5.13,5.29,5.27,4.13,4.17,4.18
27.50,-0.94,-5.12,-0.94,-5.11,5.11,5.27,5.38,4.17,4.17,4.18
27.77,-0.88,-5.05,-0.92,-5.09,5.09,5.25,5.48,4.21,4.17,4.17
28.05,-0.84,-5.01,-0.90,-5.07,5.07,5.23,5.58,4.23,4.17,4.17
28.33,-0.84,-5.00,-0.88,-5.05,5.05,5.20,5.67,4.21,4.17,4.16
28.62,-0.84,-5.00,-0.87,-5.03,5.03,5.18,5.76,4.19,4.16,4.15
28.90,-0.84,-5.00,-0.86,-5.02,5.02,5.16,5.84,4.18,4.16,4.16
29.19,-0.84,-4.99,-0.85,-5.01,5.01,5.13,5.92,4.17,4.16,4.15
29.48,-0.84,-5.01,-0.84,-5.00,5.00,5.11,5.99,4.16,4.16,4.17
29.78,-0.84,-5.00,-0.84,-4.99,4.99,5.09,6.05,4.15,4.16,4.16
30.08,-0.84,-5.01,-0.83,-4.99,4.99,5.06,6.10,4.15,4.15,4.16
30.38,-0.84,-4.99,-0.83,-4.99,4.99,5.04,6.15,4.14,4.15,4.15
30.68,-0.84,-4.99,-0.83,-4.98,4.98,5.01,6.18,4.14,4.15,4.15
30.99,-0.84,-4.99,-0.84,-4.98,4.98,4.99,6.21,4.14,4.15,4.15
31.30,-0.84,-4.99,-0.83,-4.98,4.98,4.96,6.23,4.14,4.15,4.15
31.61,-0.84,-4.98,-0.83,-4.97,4.97,4.94,6.24,4.13,4.14,4.14
31.93,-0.84,-4.98,-0.81,-4.95,4.95,4.91,6.24,4.11,4.14,4.14
32.24,-0.82,-4.95,-0.80,-4.94,4.94,4.89,6.24,4.12,4.13,4.13
32.57,-0.78,-4.92,-0.79,-4.92,4.92,4.86,6.22,4.14,4.13,4.13
32.89,-0.75,-4.88,-0.77,-4.90,4.90,4.84,6.20,4.14,4.12,4.13
33.22,-0.74,-4.86,-0.76,-4.87,4.87,4.82,6.16,4.13,4.12,4.12
33.55,-0.74,-4.86,-0.74,-4.85,4.85,4.80,6.13,4.11,4.11,4.12
33.89,-0.74,-4.84,-0.72,-4.83,4.83,4.78,6.08,4.09,4.11,4.10
34.23,-0.72,-4.83,-0.70,-4.81,4.81,4.76,6.03,4.09,4.10,4.11
34.57,-0.68,-4.78,-0.69,-4.79,4.79,4.74,5.98,4.11,4.10,4.10
34.92,-0.65,-4.74,-0.68,-4.77,4.77,4.72,5.92,4.12,4.09,4.09
35.27,-0.64,-4.73,-0.66,-4.75,4.75,4.70,5.85,4.11,4.09,4.09
35.62,-0.64,-4.73,-0.65,-4.74,4.74,4.69,5.78,4.10,4.09,4.08
35.97,-0.64,-4.72,-0.65,-4.73,4.73,4.67,5.71,4.09,4.08,4.08
36.33,-0.64,-4.73,-0.64,-4.72,4.72,4.66,5.64,4.08,4.08,4.09
36.70,-0.64,-4.71,-0.64,-4.72,4.72,4.65,5.57,4.08,4.08,4.07
37.06,-0.64,-4.71,-0.63,-4.71,4.71,4.63,5.50,4.07,4.08,4.07
37.43,-0.64,-4.72,-0.63,-4.71,4.71,4.63,5.42,4.07,4.08,4.08
37.81,-0.64,-4.72,-0.63,-4.70,4.70,4.62,5.35,4.06,4.08,4.08
38.19,-0.64,-4.71,-0.63,-4.70,4.70,4.61,5.28,4.06,4.08,4.07
38.57,-0.64,-4.72,-0.63,-4.71,4.71,4.61,5.20,4.07,4.08,4.08
