frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,10.53,4.32,10.54,4.30,-4.30,-2.61,-1.85,6.22,6.23,6.21
20.20,10.55,4.29,10.56,4.29,-4.29,-2.64,-1.90,6.26,6.27,6.26
20.40,10.58,4.27,10.58,4.27,-4.27,-2.67,-1.95,6.31,6.31,6.31
20.61,10.60,4.26,10.59,4.25,-4.25,-2.70,-2.01,6.35,6.34,6.34
20.81,10.63,4.24,10.61,4.24,-4.24,-2.73,-2.07,6.39,6.37,6.39
21.02,10.65,4.22,10.62,4.22,-4.22,-2.76,-2.12,6.42,6.40,6.43
21.23,10.65,4.20,10.64,4.21,-4.21,-2.79,-2.19,6.44,6.43,6.45
21.44,10.65,4.18,10.65,4.20,-4.20,-2.82,-2.25,6.45,6.45,6.47
21.66,10.65,4.16,10.67,4.20,-4.20,-2.85,-2.31,6.45,6.47,6.49
21.87,10.65,4.15,10.68,4.19,-4.19,-2.88,-2.38,6.46,6.49,6.50
22.09,10.66,4.14,10.69,4.19,-4.19,-2.91,-2.45,6.47,6.50,6.52
22.31,10.68,4.15,10.70,4.18,-4.18,-2.95,-2.52,6.50,6.52,6.53
22.54,10.70,4.17,10.71,4.19,-4.19,-2.98,-2.59,6.51,6.52,6.53
22.76,10.73,4.20,10.72,4.19,-4.19,-3.01,-2.66,6.54,6.53,6.53
22.99,10.75,4.23,10.72,4.19,-4.19,-3.04,-2.74,6.55,6.53,6.52
23.22,10.75,4.23,10.73,4.20,-4.20,-3.07,-2.81,6.55,6.53,6.52
23.45,10.75,4.23,10.74,4.21,-4.21,-3.10,-2.89,6.54,6.53,6.52
23.69,10.75,4.22,10.74,4.21,-4.21,-3.13,-2.97,6.54,6.53,6.53
23.92,10.75,4.22,10.75,4.22,-4.22,-3.16,-3.06,6.53,6.53,6.53
24.16,10.75,4.22,10.75,4.22,-4.22,-3.19,-3.14,6.53,6.53,6.53
24.40,10.75,4.21,10.76,4.23,-4.23,-3.22,-3.22,6.52,6.53,6.54
24.65,10.75,4.22,10.76,4.23,-4.23,-3.25,-3.31,6.52,6.53,6.53
24.89,10.75,4.22,10.75,4.23,-4.23,-3.28,-3.40,6.52,6.53,6.53
25.14,10.75,4.22,10.75,4.22,-4.22,-3.31,-3.48,6.53,6.53,6.53
25.39,10.75,4.21,10.75,4.22,-4.22,-3.34,-3.57,6.53,6.53,6.54
25.65,10.75,4.21,10.75,4.22,-4.22,-3.38,-3.66,6.53,6.53,6.54
25.91,10.75,4.22,10.75,4.22,-4.22,-3.41,-3.75,6.53,6.53,6.53
26.16,10.75,4.22,10.75,4.22,-4.22,-3.44,-3.84,6.53,6.53,6.53
26.43,10.75,4.22,10.75,4.22,-4.22,-3.47,-3.93,6.53,6.53,6.53
26.69,10.75,4.22,10.75,4.22,-4.22,-3.50,-4.01,6.53,6.53,6.53
26.96,10.75,4.22,10.75,4.23,-4.23,-3.53,-4.10,6.52,6.52,6.53
27.23,10.75,4.22,10.75,4.23,-4.23,-3.56,-4.19,6.52,6.52,6.53
27.50,10.75,4.22,10.75,4.23,-4.23,-3.59,-4.27,6.52,6.52,6.53
27.77,10.75,4.23,10.75,4.23,-4.23,-3.62,-4.35,6.52,6.52,6.52
28.05,10.75,4.23,10.75,4.23,-4.23,-3.65,-4.43,6.52,6.52,6.52
28.33,10.75,4.24,10.75,4.23,-4.23,-3.68,-4.50,6.52,6.52,6.51
28.62,10.75,4.24,10.75,4.24,-4.24,-3.71,-4.57,6.51,6.51,6.51
28.90,10.75,4.23,10.75,4.24,-4.24,-3.74,-4.64,6.51,6.51,6.52
29.19,10.75,4.24,10.75,4.24,-4.24,-3.77,-4.70,6.51,6.51,6.51
29.48,10.75,4.23,10.75,4.24,-4.24,-3.80,-4.76,6.51,6.51,6.52
29.78,10.75,4.24,10.75,4.24,-4.24,-3.83,-4.81,6.51,6.51,6.51
30.08,10.75,4.23,10.75,4.24,-4.24,-3.86,-4.86,6.51,6.51,6.52
30.38,10.75,4.24,10.75,4.24,-4.24,-3.89,-4.90,6.51,6.51,6.51
30.68,10.75,4.24,10.75,4.25,-4.25,-3.92,-4.93,6.50,6.50,6.51
30.99,10.75,4.24,10.75,4.25,-4.25,-3.95,-4.96,6.50,6.50,6.51
31.30,10.75,4.25,10.75,4.25,-4.25,-3.98,-4.98,6.50,6.50,6.50
31.61,10.75,4.25,10.75,4.25,-4.25,-4.00,-4.99,6.50,6.50,6.50
31.93,10.75,4.25,10.75,4.26,-4.26,-4.03,-5.00,6.49,6.49,6.50
32.24,10.75,4.26,10.75,4.26,-4.26,-4.06,-5.01,6.49,6.49,6.49
32.57,10.75,4.26,10.75,4.26,-4.26,-4.09,-5.00,6.49,6.49,6.49
32.89,10.75,4.26,10.75,4.27,-4.27,-4.12,-5.00,6.48,6.48,6.49
33.22,10.75,4.27,10.75,4.27,-4.27,-4.15,-4.98,6.48,6.48,6.48
33.55,10.75,4.27,10.75,4.28,-4.28,-4.17,-4.96,6.47,6.47,6.48
33.89,10.75,4.28,10.75,4.28,-4.28,-4.20,-4.94,6.47,6.47,6.47
34.23,10.75,4.28,10.75,4.29,-4.29,-4.23,-4.91,6.46,6.46,6.47
34.57,10.75,4.29,10.75,4.30,-4.30,-4.26,-4.88,6.45,6.46,6.46
34.92,10.75,4.29,10.76,4.30,-4.30,-4.28,-4.85,6.45,6.45,6.46
35.27,10.75,4.30,10.76,4.31,-4.31,-4.31,-4.81,6.44,6.45,6.45
35.62,10.75,4.30,10.76,4.31,-4.31,-4.34,-4.77,6.44,6.45,6.45
35.97,10.75,4.30,10.75,4.30,-4.30,-4.36,-4.73,6.45,6.45,6.45
36.33,10.75,4.30,10.74,4.30,-4.30,-4.39,-4.69,6.45,6.44,6.45
36.70,10.75,4.31,10.74,4.29,-4.29,-4.42,-4.64,6.46,6.44,6.44
37.06,10.75,4.31,10.73,4.28,-4.28,-4.44,-4.60,6.46,6.44,6.44
37.43,10.75,4.30,10.72,4.28,-4.28,-4.47,-4.56,6.47,6.44,6.45
37.81,10.75,4.30,10.71,4.27,-4.27,-4.49,-4.51,6.48,6.44,6.45
38.19,10.72,4.28,10.70,4.26,-4.26,-4.52,-4.47,6.46,6.44,6.44
38.57,10.67,4.22,10.69,4.25,-4.25,-4.54,-4.43,6.42,6.45,6.45
38.95,10.62,4.16,10.68,4.23,-4.23,-4.57,-4.39,6.38,6.45,6.46
39.34,10.62,4.17,10.67,4.22,-4.22,-4.59,-4.35,6.40,6.45,6.45
39.74,10.64,4.19,10.65,4.21,-4.21,-4.62,-4.31,6.43,6.45,6.45
40.14,10.65,4.20,10.64,4.19,-4.19,-4.64,-4.28,6.46,6.45,6.45
40.54,10.65,4.20,10.63,4.18,-4.18,-4.66,-4.25,6.47,6.44,6.45
40.94,10.65,4.21,10.62,4.18,-4.18,-4.69,-4.22,6.47,6.44,6.44
41.35,10.63,4.19,10.61,4.17,-4.17,-4.71,-4.19,6.46,6.43,6.44
41.76,10.60,4.17,10.60,4.17,-4.17,-4.73,-4.16,6.43,6.43,6.43
42.18,10.57,4.14,10.59,4.17,-4.17,-4.76,-4.14,6.40,6.42,6.43
42.60,10.56,4.14,10.58,4.17,-4.17,-4.78,-4.12,6.39,6.41,6.42
43.03,10.55,4.14,10.57,4.17,-4.17,-4.80,-4.11,6.38,6.40,6.41
43.46,10.55,4.15,10.55,4.17,-4.17,-4.82,-4.09,6.38,6.39,6.40
43.90,10.55,4.17,10.54,4.16,-4.16,-4.84,-4.08,6.39,6.37,6.38
44.33,10.55,4.19,10.52,4.16,-4.16,-4.86,-4.08,6.39,6.36,6.36
44.78,10.55,4.21,10.51,4.16,-4.16,-4.89,-4.07,6.39,6.35,6.34
45.23,10.52,4.19,10.49,4.16,-4.16,-4.91,-4.07,6.36,6.34,6.33
45.68,10.46,4.14,10.48,4.16,-4.16,-4.93,-4.07,6.30,6.32,6.32
46.13,10.42,4.12,10.47,4.17,-4.17,-4.95,-4.08,6.25,6.31,6.30
46.60,10.44,4.14,10.47,4.18,-4.18,-4.97,-4.08,6.26,6.29,6.30
47.06,10.45,4.17,10.47,4.19,-4.19,-4.99,-4.10,6.26,6.28,6.28
47.53,10.45,4.18,10.46,4.20,-4.20,-5.00,-4.11,6.25,6.26,6.27
48.01,10.45,4.18,10.46,4.21,-4.21,-5.02,-4.13,6.24,6.25,6.27
48.49,10.45,4.20,10.45,4.21,-4.21,-5.04,-4.14,6.24,6.24,6.25
48.97,10.45,4.22,10.44,4.22,-4.22,-5.06,-4.17,6.23,6.22,6.23
49.46,10.45,4.24,10.43,4.22,-4.22,-5.08,-4.19,6.22,6.21,6.21
49.96,10.45,4.26,10.43,4.23,-4.23,-5.09,-4.21,6.22,6.20,6.19
50.46,10.47,4.29,10.42,4.24,-4.24,-5.11,-4.24,6.23,6.18,6.18
50.96,10.49,4.32,10.42,4.25,-4.25,-5.13,-4.27,6.24,6.17,6.17
51.47,10.42,4.27,10.42,4.26,-4.26,-5.14,-4.30,6.16,6.16,6.15
51.99,10.35,4.21,10.41,4.26,-4.26,-5.16,-4.33,6.09,6.14,6.14
52.51,10.35,4.22,10.39,4.26,-4.26,-5.18,-4.37,6.09,6.13,6.13
53.03,10.35,4.22,10.38,4.26,-4.26,-5.19,-4.40,6.08,6.12,6.13
53.56,10.35,4.24,10.37,4.27,-4.27,-5.21,-4.44,6.08,6.10,6.11
54.10,10.35,4.25,10.36,4.26,-4.26,-5.22,-4.47,6.09,6.09,6.10
54.64,10.35,4.27,10.34,4.26,-4.26,-5.23,-4.50,6.09,6.08,6.08
55.18,10.35,4.27,10.33,4.25,-4.25,-5.25,-4.54,6.09,6.07,6.08
55.74,10.35,4.29,10.31,4.25,-4.25,-5.26,-4.57,6.10,6.06,6.06
