frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-23.97,-24.96,-23.98,-24.96,24.90,18.71,5.93,0.93,0.92,0.98
20.20,-23.80,-24.84,-23.80,-24.84,24.82,18.68,6.08,1.02,1.02,1.03
20.40,-23.64,-24.73,-23.63,-24.71,24.73,18.66,6.22,1.09,1.10,1.08
20.61,-23.48,-24.59,-23.47,-24.59,24.63,18.63,6.38,1.16,1.16,1.11
20.81,-23.31,-24.48,-23.31,-24.47,24.53,18.60,6.53,1.22,1.22,1.17
21.02,-23.15,-24.36,-23.17,-24.36,24.42,18.57,6.69,1.27,1.25,1.20
21.23,-23.04,-24.27,-23.04,-24.27,24.30,18.55,6.86,1.26,1.26,1.22
21.44,-22.93,-24.18,-22.93,-24.18,24.18,18.52,7.03,1.25,1.25,1.24
21.66,-22.82,-24.09,-22.82,-24.09,24.06,18.49,7.20,1.24,1.24,1.26
21.87,-22.70,-23.98,-22.70,-23.98,23.93,18.46,7.38,1.23,1.24,1.28
22.09,-22.56,-23.86,-22.55,-23.84,23.79,18.42,7.56,1.23,1.24,1.29
22.31,-22.37,-23.67,-22.37,-23.67,23.64,18.39,7.75,1.27,1.27,1.30
22.54,-22.18,-23.48,-22.18,-23.48,23.48,18.36,7.94,1.31,1.31,1.30
22.76,-21.98,-23.29,-21.98,-23.28,23.32,18.33,8.15,1.34,1.34,1.30
22.99,-21.79,-23.09,-21.81,-23.10,23.15,18.29,8.35,1.36,1.35,1.29
23.22,-21.65,-22.95,-21.65,-22.95,22.99,18.26,8.56,1.33,1.34,1.29
23.45,-21.51,-22.81,-21.51,-22.81,22.82,18.22,8.77,1.31,1.31,1.29
23.69,-21.37,-22.68,-21.38,-22.68,22.65,18.19,8.99,1.28,1.28,1.30
23.92,-21.23,-22.54,-21.23,-22.53,22.49,18.15,9.22,1.26,1.27,1.30
24.16,-21.07,-22.38,-21.06,-22.37,22.33,18.11,9.45,1.26,1.27,1.30
24.40,-20.88,-22.19,-20.88,-22.19,22.18,18.08,9.68,1.30,1.30,1.31
24.65,-20.70,-22.01,-20.70,-22.01,22.03,18.04,9.93,1.32,1.32,1.30
24.89,-20.52,-21.82,-20.53,-21.83,21.87,18.00,10.17,1.35,1.34,1.30
25.14,-20.37,-21.68,-20.37,-21.68,21.72,17.96,10.43,1.35,1.34,1.30
25.39,-20.24,-21.56,-20.24,-21.55,21.57,17.91,10.69,1.33,1.33,1.31
25.65,-20.12,-21.44,-20.12,-21.43,21.43,17.87,10.95,1.30,1.31,1.31
25.91,-20.00,-21.31,-19.99,-21.30,21.29,17.83,11.22,1.28,1.29,1.30
26.16,-19.85,-21.16,-19.85,-21.16,21.15,17.78,11.49,1.30,1.29,1.30
26.43,-19.70,-21.01,-19.71,-21.01,21.00,17.74,11.76,1.30,1.29,1.30
26.69,-19.55,-20.86,-19.56,-20.86,20.85,17.69,12.04,1.30,1.29,1.30
26.96,-19.40,-20.71,-19.40,-20.70,20.68,17.65,12.32,1.28,1.29,1.30
27.23,-19.22,-20.53,-19.22,-20.53,20.51,17.60,12.59,1.28,1.29,1.30
27.50,-19.03,-20.34,-19.03,-20.34,20.33,17.55,12.87,1.30,1.30,1.30
27.77,-18.84,-20.13,-18.84,-20.14,20.15,17.50,13.15,1.31,1.31,1.29
28.05,-18.65,-19.95,-18.66,-19.95,19.97,17.45,13.42,1.32,1.31,1.29
28.33,-18.49,-19.78,-18.49,-19.78,19.79,17.39,13.68,1.30,1.30,1.28
28.62,-18.34,-19.62,-18.33,-19.62,19.62,17.34,13.93,1.28,1.29,1.28
28.90,-18.17,-19.47,-18.17,-19.46,19.45,17.29,14.17,1.28,1.28,1.29
29.19,-18.00,-19.29,-18.00,-19.29,19.29,17.23,14.40,1.29,1.29,1.28
29.48,-17.84,-19.14,-17.84,-19.13,19.15,17.17,14.61,1.31,1.31,1.29
29.78,-17.68,-18.97,-17.68,-18.97,19.00,17.12,14.80,1.32,1.32,1.28
30.08,-17.54,-18.83,-17.54,-18.83,18.85,17.06,14.95,1.32,1.31,1.29
30.38,-17.41,-18.70,-17.42,-18.71,18.70,17.00,15.10,1.28,1.27,1.28
30.68,-17.29,-18.58,-17.30,-18.59,18.53,16.93,15.20,1.24,1.23,1.28
30.99,-17.18,-18.47,-17.15,-18.43,18.37,16.87,15.28,1.19,1.22,1.28
31.30,-16.97,-18.24,-16.96,-18.24,18.21,16.80,15.32,1.25,1.26,1.27
31.61,-16.74,-18.02,-16.75,-18.02,18.06,16.74,15.34,1.31,1.31,1.27
31.93,-16.53,-17.80,-16.55,-17.82,17.90,16.67,15.31,1.37,1.35,1.27
32.24,-16.40,-17.67,-16.41,-17.68,17.73,16.60,15.27,1.33,1.32,1.26
32.57,-16.30,-17.57,-16.30,-17.56,17.56,16.53,15.18,1.26,1.26,1.26
32.89,-16.20,-17.47,-16.18,-17.44,17.39,16.46,15.08,1.19,1.21,1.26
33.22,-16.03,-17.29,-16.02,-17.28,17.23,16.38,14.95,1.20,1.20,1.25
33.55,-15.83,-17.09,-15.84,-17.09,17.07,16.30,14.81,1.24,1.23,1.25
33.89,-15.63,-16.88,-15.64,-16.89,16.90,16.23,14.64,1.27,1.26,1.24
34.23,-15.45,-16.70,-15.46,-16.70,16.73,16.15,14.47,1.28,1.27,1.24
34.57,-15.30,-16.54,-15.30,-16.53,16.55,16.06,14.28,1.25,1.25,1.23
34.92,-15.14,-16.38,-15.14,-16.37,16.37,15.98,14.08,1.23,1.23,1.23
35.27,-14.97,-16.20,-14.97,-16.20,16.20,15.89,13.88,1.22,1.23,1.22
35.62,-14.80,-16.03,-14.80,-16.03,16.03,15.81,13.68,1.23,1.23,1.22
35.97,-14.62,-15.85,-14.64,-15.86,15.87,15.72,13.47,1.25,1.23,1.22
36.33,-14.48,-15.71,-14.48,-15.70,15.71,15.62,13.27,1.23,1.23,1.22
36.70,-14.34,-15.56,-14.34,-15.55,15.55,15.53,13.06,1.20,1.21,1.21
37.06,-14.19,-15.41,-14.18,-15.40,15.39,15.43,12.86,1.19,1.20,1.21
37.43,-14.01,-15.24,-14.01,-15.23,15.22,15.33,12.67,1.21,1.21,1.22
37.81,-13.83,-15.06,-13.84,-15.06,15.05,15.23,12.47,1.22,1.22,1.22
