frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-15.87,-18.77,-15.60,-18.53,18.53,17.58,7.32,2.66,2.93,2.90
20.20,-15.65,-18.60,-15.51,-18.48,18.48,17.67,7.48,2.83,2.97,2.95
20.40,-15.43,-18.43,-15.42,-18.42,18.42,17.75,7.65,2.99,3.00,3.00
20.61,-15.22,-18.25,-15.33,-18.36,18.36,17.81,7.82,3.15,3.04,3.03
20.81,-14.99,-18.07,-15.23,-18.30,18.30,17.86,7.99,3.31,3.07,3.08
21.02,-14.79,-17.91,-15.14,-18.24,18.24,17.90,8.17,3.45,3.10,3.12
21.23,-14.82,-17.96,-15.05,-18.17,18.17,17.92,8.35,3.35,3.12,3.14
21.44,-14.85,-18.02,-14.96,-18.10,18.10,17.93,8.54,3.25,3.15,3.16
21.66,-14.88,-18.06,-14.86,-18.03,18.03,17.92,8.74,3.15,3.17,3.18
21.87,-14.90,-18.09,-14.77,-17.95,17.95,17.90,8.94,3.05,3.18,3.19
22.09,-14.87,-18.08,-14.67,-17.87,17.87,17.86,9.14,3.00,3.20,3.21
22.31,-14.75,-17.97,-14.58,-17.79,17.79,17.82,9.35,3.04,3.21,3.22
22.54,-14.62,-17.85,-14.50,-17.72,17.72,17.76,9.57,3.10,3.22,3.22
22.76,-14.50,-17.72,-14.43,-17.65,17.65,17.69,9.79,3.15,3.22,3.22
22.99,-14.38,-17.59,-14.35,-17.57,17.57,17.61,10.02,3.19,3.22,3.21
23.22,-14.22,-17.43,-14.26,-17.49,17.49,17.52,10.25,3.27,3.23,3.21
23.45,-14.07,-17.28,-14.16,-17.39,17.39,17.42,10.49,3.32,3.23,3.21
23.69,-13.91,-17.14,-14.04,-17.26,17.26,17.31,10.74,3.35,3.23,3.22
23.92,-13.76,-16.98,-13.90,-17.13,17.13,17.20,11.00,3.37,3.23,3.22
24.16,-13.68,-16.90,-13.77,-17.00,17.00,17.08,11.26,3.31,3.23,3.22
24.40,-13.64,-16.87,-13.64,-16.86,16.86,16.96,11.53,3.22,3.23,3.23
24.65,-13.59,-16.81,-13.52,-16.74,16.74,16.83,11.81,3.15,3.22,3.22
24.89,-13.55,-16.77,-13.40,-16.63,16.63,16.70,12.10,3.08,3.23,3.22
25.14,-13.42,-16.64,-13.29,-16.52,16.52,16.56,12.39,3.10,3.23,3.22
25.39,-13.24,-16.47,-13.18,-16.41,16.41,16.42,12.69,3.17,3.23,3.23
25.65,-13.05,-16.29,-13.08,-16.31,16.31,16.29,13.00,3.25,3.23,3.23
25.91,-12.87,-16.10,-12.98,-16.20,16.20,16.15,13.32,3.33,3.23,3.22
26.16,-12.75,-15.97,-12.87,-16.10,16.10,16.01,13.64,3.35,3.23,3.22
26.43,-12.68,-15.91,-12.76,-15.99,15.99,15.87,13.98,3.31,3.22,3.22
26.69,-12.61,-15.83,-12.65,-15.87,15.87,15.73,14.32,3.26,3.22,3.22
26.96,-12.54,-15.77,-12.53,-15.75,15.75,15.59,14.66,3.21,3.22,3.22
27.23,-12.44,-15.67,-12.40,-15.62,15.62,15.45,15.01,3.18,3.22,3.22
27.50,-12.34,-15.56,-12.28,-15.50,15.50,15.31,15.37,3.16,3.22,3.22
27.77,-12.23,-15.44,-12.16,-15.38,15.38,15.18,15.73,3.15,3.22,3.21
28.05,-12.12,-15.33,-12.05,-15.26,15.26,15.04,16.08,3.14,3.21,3.21
28.33,-11.97,-15.17,-11.93,-15.14,15.14,14.91,16.44,3.17,3.21,3.20
28.62,-11.81,-15.02,-11.81,-15.02,15.02,14.78,16.78,3.21,3.21,3.20
28.90,-11.65,-14.86,-11.69,-14.90,14.90,14.65,17.12,3.25,3.21,3.21
29.19,-11.52,-14.72,-11.57,-14.78,14.78,14.53,17.44,3.25,3.21,3.20
29.48,-11.40,-14.61,-11.44,-14.65,14.65,14.40,17.74,3.25,3.21,3.21
29.78,-11.28,-14.49,-11.31,-14.52,14.52,14.28,18.00,3.24,3.21,3.20
30.08,-11.16,-14.38,-11.19,-14.39,14.39,14.16,18.24,3.23,3.20,3.21
30.38,-11.04,-14.25,-11.06,-14.26,14.26,14.04,18.42,3.22,3.20,3.20
30.68,-10.92,-14.12,-10.93,-14.13,14.13,13.93,18.57,3.21,3.20,3.20
30.99,-10.81,-14.02,-10.80,-14.00,14.00,13.82,18.65,3.19,3.20,3.20
31.30,-10.71,-13.91,-10.68,-13.87,13.87,13.71,18.68,3.16,3.20,3.19
31.61,-10.62,-13.81,-10.56,-13.75,13.75,13.60,18.66,3.13,3.19,3.19
31.93,-10.53,-13.73,-10.45,-13.64,13.64,13.49,18.58,3.11,3.19,3.19
32.24,-10.38,-13.56,-10.34,-13.53,13.53,13.39,18.45,3.15,3.19,3.18
32.57,-10.22,-13.41,-10.24,-13.42,13.42,13.28,18.27,3.20,3.18,3.18
32.89,-10.05,-13.23,-10.15,-13.33,13.33,13.18,18.06,3.28,3.18,3.18
33.22,-9.95,-13.12,-10.07,-13.24,13.24,13.09,17.81,3.29,3.17,3.17
33.55,-9.88,-13.05,-9.98,-13.14,13.14,12.99,17.53,3.26,3.17,3.17
33.89,-9.80,-12.96,-9.88,-13.04,13.04,12.90,17.24,3.24,3.16,3.16
