frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,0.65,-2.29,0.64,-2.31,2.26,2.25,0.33,2.91,2.90,2.95
20.20,0.76,-2.23,0.77,-2.23,2.21,2.23,0.34,2.97,2.98,3.00
20.40,0.87,-2.17,0.89,-2.15,2.16,2.21,0.35,3.04,3.05,3.05
20.61,0.99,-2.09,1.00,-2.09,2.11,2.18,0.36,3.11,3.11,3.08
20.81,1.10,-2.02,1.10,-2.02,2.07,2.15,0.37,3.18,3.17,3.13
21.02,1.20,-1.96,1.19,-1.98,2.03,2.12,0.38,3.23,3.21,3.17
21.23,1.23,-1.95,1.24,-1.95,1.99,2.08,0.40,3.22,3.23,3.19
21.44,1.26,-1.94,1.27,-1.94,1.95,2.05,0.41,3.21,3.22,3.21
21.66,1.29,-1.93,1.29,-1.94,1.92,2.01,0.42,3.22,3.21,3.23
21.87,1.31,-1.92,1.32,-1.92,1.90,1.96,0.43,3.21,3.22,3.24
22.09,1.35,-1.90,1.36,-1.90,1.87,1.92,0.45,3.22,3.23,3.26
22.31,1.41,-1.85,1.41,-1.85,1.83,1.88,0.46,3.25,3.24,3.27
22.54,1.47,-1.80,1.47,-1.79,1.79,1.83,0.48,3.26,3.26,3.27
22.76,1.53,-1.73,1.53,-1.73,1.74,1.78,0.49,3.28,3.28,3.27
22.99,1.59,-1.66,1.59,-1.67,1.69,1.74,0.51,3.28,3.28,3.26
23.22,1.63,-1.62,1.64,-1.62,1.64,1.69,0.52,3.27,3.27,3.26
23.45,1.68,-1.57,1.68,-1.58,1.59,1.64,0.54,3.27,3.27,3.26
23.69,1.72,-1.54,1.73,-1.54,1.53,1.59,0.56,3.26,3.26,3.27
23.92,1.77,-1.49,1.77,-1.50,1.49,1.54,0.57,3.26,3.26,3.27
24.16,1.81,-1.45,1.82,-1.46,1.45,1.50,0.59,3.26,3.26,3.27
24.40,1.86,-1.41,1.86,-1.41,1.41,1.45,0.61,3.27,3.27,3.28
24.65,1.90,-1.36,1.91,-1.36,1.38,1.40,0.62,3.28,3.28,3.27
