frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-19.49,-22.69,-19.48,-22.71,22.71,23.42,9.88,3.22,3.23,3.20
20.20,-19.34,-22.59,-19.35,-22.62,22.62,23.21,10.06,3.27,3.27,3.25
20.40,-19.20,-22.50,-19.21,-22.52,22.52,23.00,10.25,3.31,3.30,3.30
20.61,-19.06,-22.39,-19.08,-22.41,22.41,22.80,10.44,3.36,3.33,3.33
20.81,-18.90,-22.28,-18.94,-22.31,22.31,22.61,10.63,3.41,3.36,3.38
21.02,-18.76,-22.18,-18.81,-22.20,22.20,22.42,10.83,3.44,3.39,3.42
21.23,-18.66,-22.10,-18.67,-22.09,22.09,22.24,11.04,3.43,3.42,3.44
21.44,-18.56,-22.02,-18.54,-21.98,21.98,22.06,11.25,3.42,3.44,3.46
21.66,-18.46,-21.94,-18.40,-21.86,21.86,21.88,11.46,3.40,3.46,3.48
21.87,-18.36,-21.85,-18.27,-21.74,21.74,21.71,11.68,3.38,3.48,3.49
22.09,-18.22,-21.73,-18.13,-21.62,21.62,21.55,11.91,3.40,3.49,3.51
22.31,-18.04,-21.56,-17.99,-21.50,21.50,21.39,12.14,3.46,3.51,3.52
22.54,-17.87,-21.38,-17.85,-21.36,21.36,21.23,12.38,3.50,3.51,3.51
22.76,-17.68,-21.20,-17.71,-21.23,21.23,21.08,12.63,3.55,3.51,3.51
22.99,-17.50,-21.01,-17.57,-21.09,21.09,20.93,12.88,3.59,3.52,3.50
23.22,-17.37,-20.88,-17.43,-20.95,20.95,20.78,13.14,3.58,3.52,3.50
23.45,-17.25,-20.75,-17.29,-20.81,20.81,20.64,13.41,3.56,3.52,3.50
23.69,-17.13,-20.64,-17.15,-20.67,20.67,20.50,13.68,3.54,3.52,3.51
23.92,-17.00,-20.51,-17.01,-20.53,20.53,20.37,13.96,3.53,3.52,3.51
24.16,-16.88,-20.40,-16.88,-20.40,20.40,20.23,14.25,3.52,3.52,3.52
24.40,-16.76,-20.29,-16.75,-20.27,20.27,20.10,14.56,3.51,3.52,3.53
24.65,-16.63,-20.15,-16.62,-20.14,20.14,19.97,14.87,3.50,3.52,3.52
24.89,-16.51,-20.03,-16.50,-20.01,20.01,19.84,15.19,3.50,3.52,3.52
25.14,-16.39,-19.91,-16.37,-19.89,19.89,19.72,15.52,3.50,3.52,3.52
25.39,-16.26,-19.79,-16.25,-19.76,19.76,19.59,15.86,3.50,3.52,3.52
25.65,-16.14,-19.67,-16.12,-19.64,19.64,19.47,16.21,3.49,3.52,3.52
25.91,-16.03,-19.54,-15.99,-19.51,19.51,19.35,16.58,3.48,3.52,3.51
26.16,-15.87,-19.38,-15.86,-19.38,19.38,19.23,16.95,3.51,3.52,3.51
26.43,-15.73,-19.24,-15.73,-19.24,19.24,19.11,17.34,3.52,3.51,3.51
26.69,-15.57,-19.08,-15.60,-19.11,19.11,19.00,17.74,3.54,3.51,3.51
26.96,-15.41,-18.93,-15.47,-18.98,18.98,18.88,18.15,3.56,3.51,3.52
27.23,-15.30,-18.82,-15.34,-18.85,18.85,18.76,18.58,3.54,3.51,3.52
27.50,-15.19,-18.71,-15.21,-18.71,18.71,18.65,19.02,3.52,3.51,3.51
27.77,-15.09,-18.59,-15.08,-18.58,18.58,18.53,19.46,3.49,3.50,3.50
28.05,-14.97,-18.47,-14.95,-18.45,18.45,18.41,19.92,3.48,3.50,3.50
28.33,-14.84,-18.33,-14.82,-18.32,18.32,18.30,20.38,3.48,3.50,3.49
28.62,-14.71,-18.19,-14.70,-18.19,18.19,18.18,20.84,3.49,3.50,3.49
28.90,-14.57,-18.07,-14.57,-18.07,18.07,18.07,21.30,3.49,3.50,3.50
29.19,-14.43,-17.92,-14.44,-17.93,17.93,17.95,21.75,3.50,3.50,3.48
29.48,-14.30,-17.80,-14.31,-17.80,17.80,17.83,22.18,3.50,3.49,3.50
29.78,-14.17,-17.67,-14.17,-17.66,17.66,17.71,22.58,3.49,3.49,3.49
30.08,-14.05,-17.54,-14.04,-17.52,17.52,17.60,22.93,3.48,3.49,3.50
30.38,-13.91,-17.40,-13.89,-17.38,17.38,17.48,23.22,3.47,3.49,3.49
