frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-14.86,-17.35,-14.88,-17.37,17.28,17.00,5.84,2.42,2.39,2.49
20.20,-14.60,-17.14,-14.59,-17.13,17.09,16.98,5.98,2.49,2.50,2.54
20.40,-14.34,-16.93,-14.32,-16.90,16.91,16.94,6.12,2.57,2.59,2.59
20.61,-14.09,-16.70,-14.07,-16.69,16.74,16.90,6.27,2.65,2.67,2.62
20.81,-13.82,-16.49,-13.82,-16.48,16.58,16.85,6.42,2.76,2.76,2.67
21.02,-13.57,-16.28,-13.62,-16.32,16.43,16.79,6.58,2.86,2.81,2.71
21.23,-13.49,-16.22,-13.48,-16.21,16.29,16.71,6.73,2.80,2.81,2.73
21.44,-13.41,-16.16,-13.40,-16.15,16.16,16.63,6.90,2.75,2.76,2.75
21.66,-13.33,-16.10,-13.34,-16.10,16.07,16.55,7.06,2.73,2.73,2.77
21.87,-13.25,-16.03,-13.24,-16.03,15.98,16.45,7.23,2.73,2.74,2.78
22.09,-13.14,-15.94,-13.14,-15.93,15.89,16.34,7.41,2.75,2.75,2.80
22.31,-13.01,-15.82,-13.01,-15.82,15.79,16.23,7.59,2.78,2.78,2.81
22.54,-12.88,-15.68,-12.88,-15.69,15.68,16.11,7.78,2.80,2.80,2.81
22.76,-12.74,-15.55,-12.75,-15.55,15.55,15.99,7.97,2.80,2.80,2.81
22.99,-12.61,-15.41,-12.60,-15.40,15.40,15.86,8.16,2.78,2.80,2.80
23.22,-12.44,-15.24,-12.44,-15.24,15.24,15.73,8.37,2.80,2.79,2.80
23.45,-12.27,-15.07,-12.28,-15.07,15.08,15.59,8.57,2.81,2.80,2.80
23.69,-12.11,-14.91,-12.10,-14.90,14.92,15.45,8.78,2.81,2.81,2.81
23.92,-11.93,-14.74,-11.94,-14.74,14.75,15.30,9.00,2.82,2.82,2.81
24.16,-11.78,-14.59,-11.78,-14.59,14.60,15.15,9.22,2.82,2.82,2.81
24.40,-11.63,-14.45,-11.63,-14.44,14.45,15.00,9.45,2.82,2.81,2.82
