frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-1.52,-5.95,-1.54,-5.96,5.91,5.74,1.43,4.38,4.37,4.43
20.20,-1.32,-5.80,-1.31,-5.79,5.77,5.60,1.47,4.44,4.45,4.48
20.40,-1.11,-5.64,-1.10,-5.62,5.63,5.46,1.51,4.52,4.53,4.53
20.61,-0.92,-5.47,-0.90,-5.47,5.50,5.32,1.55,4.58,4.60,4.56
20.81,-0.70,-5.31,-0.70,-5.31,5.37,5.18,1.60,4.67,4.66,4.61
21.02,-0.51,-5.16,-0.54,-5.18,5.24,5.05,1.64,4.73,4.70,4.65
21.23,-0.41,-5.08,-0.41,-5.07,5.12,4.92,1.69,4.71,4.71,4.67
21.44,-0.31,-5.00,-0.31,-4.99,5.00,4.79,1.73,4.69,4.69,4.69
21.66,-0.21,-4.92,-0.21,-4.92,4.90,4.66,1.78,4.69,4.69,4.71
21.87,-0.11,-4.83,-0.11,-4.83,4.80,4.54,1.83,4.69,4.69,4.72
22.09,0.01,-4.73,0.01,-4.72,4.70,4.42,1.88,4.71,4.71,4.74
22.31,0.14,-4.61,0.14,-4.60,4.59,4.31,1.94,4.73,4.73,4.75
22.54,0.28,-4.47,0.27,-4.48,4.47,4.20,1.99,4.74,4.74,4.75
22.76,0.41,-4.34,0.41,-4.34,4.33,4.10,2.05,4.74,4.74,4.75
22.99,0.54,-4.20,0.54,-4.19,4.19,4.00,2.10,4.73,4.73,4.74
23.22,0.69,-4.05,0.69,-4.05,4.05,3.90,2.16,4.73,4.73,4.74
23.45,0.84,-3.90,0.84,-3.90,3.91,3.81,2.22,4.75,4.75,4.74
23.69,0.99,-3.76,0.99,-3.75,3.78,3.72,2.28,4.76,4.77,4.75
23.92,1.14,-3.61,1.13,-3.62,3.65,3.64,2.34,4.79,4.78,4.75
24.16,1.25,-3.50,1.24,-3.51,3.53,3.56,2.40,4.78,4.78,4.75
24.40,1.34,-3.42,1.34,-3.41,3.41,3.49,2.47,4.75,4.75,4.76
24.65,1.43,-3.32,1.43,-3.32,3.30,3.42,2.53,4.72,4.72,4.75
24.89,1.52,-3.23,1.53,-3.22,3.18,3.35,2.60,4.70,4.71,4.75
25.14,1.64,-3.11,1.64,-3.11,3.06,3.28,2.66,4.70,4.71,4.75
25.39,1.78,-2.98,1.78,-2.97,2.94,3.22,2.73,4.72,4.72,4.76
25.65,1.92,-2.84,1.92,-2.83,2.82,3.17,2.80,4.73,4.74,4.76
25.91,2.05,-2.69,2.04,-2.71,2.70,3.11,2.86,4.76,4.75,4.75
26.16,2.15,-2.60,2.14,-2.61,2.62,3.06,2.93,4.77,4.76,4.75
26.43,2.20,-2.55,2.22,-2.52,2.57,3.02,3.00,4.77,4.79,4.75
26.69,2.26,-2.49,2.27,-2.47,2.56,2.97,3.06,4.82,4.84,4.75
26.96,2.32,-2.43,2.26,-2.48,2.59,2.93,3.13,4.91,4.85,4.75
27.23,2.19,-2.56,2.18,-2.56,2.65,2.90,3.19,4.84,4.83,4.75
27.50,2.02,-2.73,2.02,-2.72,2.72,2.86,3.25,4.74,4.74,4.75
27.77,1.86,-2.88,1.86,-2.88,2.79,2.83,3.31,4.65,4.66,4.74
28.05,1.73,-3.01,1.77,-2.96,2.86,2.80,3.37,4.58,4.63,4.74
