frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-33.00,-35.48,-32.99,-35.47,35.55,19.80,6.63,2.55,2.56,2.48
20.20,-32.84,-35.37,-32.85,-35.38,35.40,19.80,6.79,2.56,2.55,2.53
20.40,-32.69,-35.27,-32.69,-35.27,35.25,19.79,6.95,2.56,2.56,2.58
20.61,-32.53,-35.14,-32.53,-35.15,35.10,19.79,7.12,2.57,2.57,2.61
20.81,-32.37,-35.03,-32.37,-35.03,34.96,19.78,7.29,2.59,2.59,2.66
21.02,-32.21,-34.91,-32.20,-34.89,34.82,19.78,7.47,2.61,2.62,2.70
21.23,-32.01,-34.73,-32.01,-34.73,34.68,19.77,7.65,2.67,2.67,2.72
21.44,-31.81,-34.55,-31.81,-34.55,34.55,19.76,7.84,2.74,2.74,2.74
21.66,-31.61,-34.37,-31.60,-34.36,34.40,19.76,8.02,2.79,2.79,2.76
21.87,-31.42,-34.19,-31.43,-34.20,34.26,19.75,8.22,2.84,2.83,2.77
22.09,-31.27,-34.06,-31.29,-34.07,34.13,19.75,8.42,2.86,2.84,2.79
22.31,-31.19,-33.99,-31.18,-33.98,34.01,19.74,8.63,2.82,2.83,2.80
22.54,-31.11,-33.91,-31.11,-33.91,33.90,19.73,8.84,2.79,2.80,2.80
22.76,-31.03,-33.83,-31.03,-33.83,33.80,19.72,9.06,2.78,2.77,2.80
22.99,-30.95,-33.74,-30.94,-33.73,33.71,19.72,9.28,2.76,2.77,2.79
23.22,-30.82,-33.61,-30.82,-33.61,33.60,19.71,9.51,2.78,2.78,2.79
23.45,-30.69,-33.48,-30.70,-33.49,33.48,19.70,9.74,2.79,2.78,2.79
23.69,-30.55,-33.35,-30.56,-33.35,33.34,19.69,9.98,2.79,2.78,2.80
23.92,-30.41,-33.21,-30.40,-33.20,33.17,19.68,10.22,2.77,2.78,2.80
24.16,-30.22,-33.02,-30.21,-33.02,32.99,19.67,10.48,2.77,2.77,2.80
24.40,-30.00,-32.81,-30.00,-32.81,32.78,19.67,10.73,2.79,2.78,2.81
24.65,-29.78,-32.58,-29.78,-32.58,32.57,19.66,11.00,2.79,2.79,2.80
24.89,-29.55,-32.35,-29.55,-32.36,32.35,19.65,11.27,2.80,2.79,2.80
25.14,-29.34,-32.14,-29.34,-32.14,32.14,19.64,11.54,2.80,2.80,2.80
25.39,-29.13,-31.94,-29.12,-31.92,31.94,19.63,11.82,2.82,2.83,2.81
25.65,-28.92,-31.73,-28.91,-31.72,31.77,19.62,12.11,2.85,2.86,2.81
25.91,-28.72,-31.52,-28.74,-31.55,31.63,19.61,12.40,2.91,2.89,2.80
26.16,-28.61,-31.41,-28.63,-31.43,31.51,19.59,12.70,2.90,2.88,2.80
26.43,-28.58,-31.38,-28.58,-31.38,31.41,19.58,13.00,2.83,2.83,2.80
26.69,-28.54,-31.34,-28.54,-31.34,31.30,19.57,13.30,2.76,2.76,2.80
26.96,-28.50,-31.30,-28.47,-31.27,31.19,19.56,13.60,2.69,2.73,2.80
27.23,-28.34,-31.14,-28.34,-31.14,31.07,19.55,13.91,2.73,2.73,2.80
27.50,-28.16,-30.96,-28.18,-30.98,30.92,19.53,14.21,2.76,2.74,2.80
27.77,-27.98,-30.77,-27.98,-30.77,30.74,19.52,14.51,2.76,2.76,2.79
28.05,-27.78,-30.57,-27.76,-30.55,30.53,19.51,14.81,2.75,2.77,2.79
28.33,-27.52,-30.30,-27.52,-30.30,30.30,19.49,15.10,2.78,2.78,2.78
28.62,-27.25,-30.03,-27.25,-30.04,30.06,19.48,15.39,2.80,2.80,2.78
28.90,-26.99,-29.78,-27.00,-29.79,29.83,19.46,15.66,2.84,2.82,2.79
29.19,-26.78,-29.56,-26.78,-29.57,29.61,19.45,15.92,2.83,2.83,2.78
29.48,-26.60,-29.39,-26.59,-29.37,29.42,19.43,16.15,2.82,2.83,2.79
29.78,-26.42,-29.20,-26.42,-29.21,29.24,19.41,16.38,2.82,2.82,2.78
30.08,-26.26,-29.05,-26.28,-29.06,29.08,19.39,16.56,2.82,2.81,2.79
30.38,-26.16,-28.94,-26.16,-28.94,28.94,19.38,16.74,2.78,2.78,2.78
30.68,-26.05,-28.83,-26.05,-28.83,28.79,19.36,16.87,2.74,2.74,2.78
30.99,-25.94,-28.72,-25.92,-28.70,28.65,19.34,16.99,2.71,2.73,2.78
31.30,-25.77,-28.54,-25.77,-28.54,28.50,19.32,17.06,2.73,2.74,2.77
31.61,-25.58,-28.35,-25.59,-28.36,28.35,19.30,17.11,2.77,2.76,2.77
31.93,-25.40,-28.17,-25.41,-28.17,28.19,19.28,17.12,2.79,2.78,2.77
32.24,-25.24,-28.00,-25.23,-28.00,28.03,19.26,17.11,2.79,2.79,2.76
32.57,-25.07,-27.83,-25.07,-27.83,27.85,19.23,17.06,2.78,2.78,2.76
32.89,-24.91,-27.67,-24.91,-27.67,27.67,19.21,17.00,2.76,2.76,2.76
33.22,-24.75,-27.50,-24.75,-27.50,27.49,19.19,16.90,2.74,2.74,2.75
33.55,-24.59,-27.34,-24.59,-27.34,27.30,19.16,16.80,2.72,2.72,2.75
33.89,-24.42,-27.16,-24.41,-27.15,27.12,19.14,16.67,2.70,2.71,2.74
34.23,-24.22,-26.96,-24.21,-26.95,26.94,19.11,16.53,2.72,2.73,2.74
34.57,-24.01,-26.74,-24.01,-26.74,26.77,19.09,16.38,2.76,2.76,2.73
34.92,-23.79,-26.52,-23.81,-26.54,26.59,19.06,16.23,2.80,2.78,2.73
35.27,-23.64,-26.36,-23.65,-26.37,26.42,19.03,16.07,2.78,2.77,2.72
35.62,-23.51,-26.23,-23.50,-26.23,26.23,19.00,15.90,2.72,2.73,2.72
35.97,-23.38,-26.10,-23.36,-26.08,26.04,18.97,15.74,2.66,2.68,2.72
36.33,-23.19,-25.91,-23.20,-25.92,25.84,18.94,15.58,2.66,2.64,2.72
36.70,-23.01,-25.72,-23.01,-25.72,25.66,18.91,15.42,2.64,2.65,2.71
37.06,-22.80,-25.51,-22.77,-25.49,25.47,18.87,15.26,2.68,2.70,2.71
37.43,-22.53,-25.25,-22.52,-25.23,25.29,18.84,15.11,2.77,2.77,2.72
37.81,-22.26,-24.98,-22.29,-25.00,25.11,18.80,14.97,2.85,2.82,2.72
38.19,-22.09,-24.80,-22.13,-24.85,24.91,18.77,14.83,2.82,2.78,2.71
38.57,-22.03,-24.75,-22.03,-24.75,24.72,18.73,14.70,2.69,2.69,2.72
38.95,-21.98,-24.71,-21.91,-24.63,24.54,18.69,14.58,2.57,2.64,2.73
39.34,-21.73,-24.45,-21.72,-24.45,24.38,18.65,14.46,2.65,2.65,2.72
39.74,-21.47,-24.19,-21.50,-24.22,24.22,18.61,14.35,2.75,2.73,2.72
40.14,-21.25,-23.97,-21.28,-23.99,24.07,18.57,14.25,2.82,2.79,2.72
40.54,-21.12,-23.84,-21.12,-23.83,23.90,18.52,14.16,2.78,2.79,2.72
