frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,9.40,1.90,9.36,1.83,-1.83,-1.96,-1.20,7.56,7.53,7.50
20.20,9.43,1.88,9.41,1.85,-1.85,-1.98,-1.23,7.58,7.56,7.55
20.40,9.47,1.87,9.46,1.87,-1.87,-2.00,-1.27,7.60,7.60,7.60
20.61,9.50,1.87,9.51,1.88,-1.88,-2.02,-1.31,7.61,7.63,7.62
20.81,9.53,1.85,9.56,1.90,-1.90,-2.04,-1.34,7.63,7.66,7.67
21.02,9.57,1.86,9.61,1.92,-1.92,-2.06,-1.38,7.65,7.69,7.71
21.23,9.62,1.89,9.65,1.94,-1.94,-2.08,-1.43,7.68,7.71,7.73
21.44,9.67,1.92,9.69,1.96,-1.96,-2.10,-1.47,7.71,7.73,7.75
21.66,9.73,1.96,9.74,1.98,-1.98,-2.12,-1.51,7.75,7.75,7.77
21.87,9.78,2.00,9.77,2.00,-2.00,-2.14,-1.55,7.78,7.77,7.78
22.09,9.83,2.03,9.81,2.03,-2.03,-2.16,-1.60,7.80,7.79,7.80
22.31,9.87,2.06,9.85,2.05,-2.05,-2.18,-1.65,7.82,7.80,7.81
22.54,9.91,2.10,9.88,2.08,-2.08,-2.20,-1.69,7.83,7.81,7.81
22.76,9.96,2.15,9.91,2.10,-2.10,-2.22,-1.74,7.86,7.81,7.81
22.99,10.00,2.20,9.94,2.13,-2.13,-2.24,-1.79,7.87,7.81,7.80
23.22,10.00,2.20,9.97,2.16,-2.16,-2.26,-1.84,7.84,7.81,7.80
23.45,10.00,2.20,10.00,2.18,-2.18,-2.28,-1.90,7.81,7.81,7.80
23.69,10.00,2.19,10.03,2.22,-2.22,-2.30,-1.95,7.78,7.81,7.81
23.92,10.00,2.19,10.06,2.25,-2.25,-2.33,-2.01,7.75,7.81,7.80
24.16,10.03,2.22,10.10,2.29,-2.29,-2.35,-2.06,7.74,7.81,7.81
24.40,10.08,2.26,10.13,2.32,-2.32,-2.37,-2.12,7.76,7.81,7.82
24.65,10.12,2.31,10.16,2.35,-2.35,-2.39,-2.17,7.77,7.81,7.81
24.89,10.17,2.36,10.19,2.38,-2.38,-2.41,-2.23,7.79,7.81,7.81
25.14,10.23,2.42,10.22,2.40,-2.40,-2.43,-2.29,7.83,7.81,7.81
