frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,3.30,-4.32,3.29,-4.33,4.37,3.15,1.22,7.67,7.66,7.62
20.20,3.34,-4.29,3.35,-4.27,4.28,3.14,1.26,7.62,7.63,7.63
20.40,3.43,-4.21,3.44,-4.20,4.18,3.12,1.30,7.61,7.61,7.64
20.61,3.54,-4.11,3.54,-4.11,4.07,3.10,1.34,7.61,7.61,7.65
20.81,3.66,-3.99,3.66,-3.99,3.97,3.09,1.38,7.63,7.63,7.65
21.02,3.79,-3.87,3.79,-3.87,3.86,3.07,1.42,7.65,7.65,7.66
21.23,3.92,-3.75,3.91,-3.75,3.75,3.06,1.46,7.67,7.67,7.67
21.44,4.04,-3.64,4.03,-3.64,3.64,3.04,1.51,7.68,7.68,7.68
21.66,4.15,-3.53,4.16,-3.52,3.52,3.02,1.55,7.66,7.68,7.68
21.87,4.28,-3.41,4.29,-3.40,3.39,3.01,1.60,7.68,7.68,7.69
22.09,4.43,-3.26,4.42,-3.27,3.27,2.99,1.65,7.70,7.69,7.69
22.31,4.55,-3.15,4.55,-3.15,3.16,2.97,1.70,7.71,7.71,7.70
22.54,4.67,-3.03,4.67,-3.03,3.04,2.96,1.75,7.71,7.71,7.70
22.76,4.78,-2.93,4.78,-2.92,2.93,2.94,1.80,7.71,7.71,7.71
22.99,4.89,-2.82,4.89,-2.82,2.82,2.92,1.85,7.71,7.71,7.71
23.22,5.00,-2.71,5.00,-2.71,2.71,2.90,1.91,7.71,7.71,7.71
23.45,5.11,-2.61,5.11,-2.61,2.60,2.89,1.96,7.71,7.71,7.72
23.69,5.22,-2.50,5.22,-2.50,2.49,2.87,2.02,7.71,7.71,7.72
23.92,5.33,-2.39,5.33,-2.39,2.38,2.85,2.08,7.71,7.71,7.72
24.16,5.44,-2.28,5.45,-2.27,2.27,2.83,2.14,7.71,7.72,7.72
24.40,5.57,-2.16,5.57,-2.15,2.14,2.81,2.20,7.71,7.71,7.73
24.65,5.70,-2.03,5.69,-2.03,2.00,2.80,2.26,7.70,7.69,7.73
24.89,5.81,-1.92,5.81,-1.92,1.87,2.78,2.32,7.68,7.67,7.73
25.14,5.91,-1.82,5.91,-1.82,1.75,2.76,2.38,7.66,7.67,7.73
25.39,6.00,-1.73,6.01,-1.72,1.68,2.74,2.44,7.68,7.69,7.73
25.65,6.11,-1.62,6.14,-1.59,1.65,2.72,2.50,7.76,7.79,7.73
25.91,6.19,-1.54,6.23,-1.50,1.67,2.70,2.56,7.86,7.91,7.73
26.16,6.26,-1.46,6.12,-1.61,1.76,2.68,2.62,8.02,7.88,7.73
26.43,5.90,-1.82,5.88,-1.84,1.92,2.66,2.68,7.83,7.80,7.73
26.69,5.29,-2.44,5.42,-2.31,2.13,2.64,2.74,7.42,7.55,7.73
26.96,5.07,-2.66,4.88,-2.85,2.36,2.62,2.80,7.43,7.24,7.73
27.23,4.34,-3.39,4.51,-3.22,2.60,2.60,2.86,6.94,7.10,7.73
27.50,4.26,-3.47,4.33,-3.40,2.82,2.58,2.91,7.08,7.15,7.73
27.77,4.36,-3.37,4.28,-3.44,2.99,2.56,2.96,7.35,7.28,7.73
28.05,4.44,-3.29,4.43,-3.30,3.10,2.54,3.01,7.54,7.53,7.73
28.33,4.53,-3.20,4.53,-3.20,3.15,2.52,3.06,7.68,7.68,7.73
28.62,4.61,-3.12,4.60,-3.13,3.16,2.50,3.10,7.76,7.76,7.73
28.90,4.67,-3.06,4.68,-3.05,3.11,2.48,3.14,7.78,7.79,7.73
29.19,4.74,-2.99,4.75,-2.98,3.04,2.46,3.18,7.78,7.79,7.73
29.48,4.84,-2.89,4.83,-2.90,2.94,2.44,3.21,7.78,7.76,7.73
29.78,4.90,-2.83,4.91,-2.82,2.83,2.42,3.23,7.73,7.73,7.73
30.08,5.00,-2.73,4.99,-2.73,2.73,2.40,3.25,7.72,7.72,7.73
30.38,5.07,-2.65,5.08,-2.64,2.64,2.38,3.27,7.71,7.72,7.72
30.68,5.18,-2.54,5.17,-2.55,2.55,2.35,3.28,7.73,7.72,7.72
30.99,5.26,-2.46,5.26,-2.46,2.46,2.33,3.29,7.72,7.72,7.72
31.30,5.34,-2.37,5.34,-2.37,2.38,2.31,3.28,7.71,7.71,7.71
31.61,5.42,-2.29,5.42,-2.29,2.29,2.29,3.28,7.71,7.71,7.71
31.93,5.49,-2.21,5.50,-2.20,2.20,2.27,3.27,7.69,7.70,7.70
32.24,5.59,-2.11,5.58,-2.12,2.11,2.24,3.25,7.70,7.68,7.70
32.57,5.65,-2.04,5.66,-2.03,2.00,2.22,3.23,7.65,7.66,7.69
32.89,5.75,-1.94,5.74,-1.95,1.89,2.20,3.20,7.64,7.63,7.69
33.22,5.82,-1.86,5.82,-1.86,1.79,2.18,3.17,7.61,7.61,7.68
33.55,5.88,-1.80,5.90,-1.78,1.73,2.16,3.13,7.61,7.62,7.68
33.89,5.98,-1.69,6.00,-1.67,1.71,2.13,3.09,7.69,7.71,7.67
34.23,6.04,-1.62,6.05,-1.61,1.75,2.11,3.05,7.79,7.80,7.66
34.57,6.10,-1.55,6.01,-1.64,1.85,2.09,3.00,7.94,7.86,7.65
34.92,5.81,-1.83,5.84,-1.80,1.98,2.06,2.95,7.79,7.82,7.64
35.27,5.57,-2.07,5.55,-2.08,2.13,2.04,2.89,7.70,7.68,7.64
35.62,5.22,-2.40,5.22,-2.41,2.29,2.02,2.83,7.51,7.50,7.62
35.97,4.92,-2.69,4.98,-2.63,2.44,1.99,2.77,7.36,7.42,7.61
36.33,4.83,-2.77,4.84,-2.75,2.56,1.97,2.71,7.39,7.41,7.60
36.70,4.85,-2.73,4.84,-2.74,2.64,1.95,2.65,7.49,7.48,7.58
37.06,4.91,-2.66,4.90,-2.67,2.67,1.92,2.58,7.58,7.57,7.57
37.43,4.97,-2.58,4.96,-2.59,2.64,1.90,2.52,7.61,7.60,7.55
37.81,5.02,-2.51,5.02,-2.51,2.57,1.87,2.45,7.58,7.59,7.53
38.19,5.08,-2.44,5.08,-2.43,2.47,1.85,2.38,7.55,7.55,7.52
38.57,5.15,-2.35,5.15,-2.35,2.37,1.83,2.32,7.52,7.52,7.50
38.95,5.21,-2.27,5.21,-2.27,2.28,1.80,2.25,7.49,7.49,7.48
39.34,5.27,-2.19,5.27,-2.19,2.20,1.78,2.18,7.47,7.47,7.46
39.74,5.31,-2.13,5.32,-2.12,2.13,1.75,2.12,7.44,7.45,7.44
40.14,5.37,-2.05,5.36,-2.05,2.07,1.73,2.05,7.43,7.43,7.42
40.54,5.40,-2.00,5.40,-1.99,1.99,1.70,1.99,7.39,7.40,7.40
40.94,5.45,-1.92,5.44,-1.93,1.91,1.68,1.92,7.36,7.36,7.37
41.35,5.48,-1.87,5.48,-1.86,1.82,1.65,1.86,7.30,7.31,7.35
41.76,5.53,-1.79,5.53,-1.79,1.73,1.63,1.80,7.26,7.26,7.32
42.18,5.59,-1.71,5.59,-1.70,1.64,1.60,1.74,7.23,7.23,7.30
42.60,5.65,-1.62,5.68,-1.59,1.58,1.57,1.67,7.23,7.26,7.27
43.03,5.76,-1.48,5.76,-1.48,1.55,1.55,1.62,7.31,7.31,7.24
43.46,5.82,-1.39,5.79,-1.41,1.56,1.52,1.56,7.38,7.35,7.21
43.90,5.77,-1.41,5.74,-1.44,1.59,1.50,1.50,7.35,7.32,7.18
44.33,5.59,-1.56,5.59,-1.56,1.63,1.47,1.44,7.22,7.22,7.15
44.78,5.38,-1.74,5.39,-1.73,1.68,1.44,1.39,7.06,7.07,7.12
45.23,5.21,-1.88,5.22,-1.87,1.74,1.41,1.33,6.95,6.96,7.09
45.68,5.09,-1.96,5.13,-1.92,1.79,1.39,1.28,6.88,6.92,7.05
46.13,5.13,-1.88,5.11,-1.90,1.81,1.36,1.23,6.94,6.92,7.01
46.60,5.16,-1.81,5.15,-1.82,1.80,1.33,1.18,6.96,6.95,6.97
47.06,5.20,-1.74,5.20,-1.73,1.76,1.30,1.13,6.96,6.96,6.94
47.53,5.25,-1.65,5.25,-1.65,1.69,1.27,1.08,6.94,6.94,6.90
48.01,5.28,-1.57,5.28,-1.57,1.61,1.24,1.04,6.89,6.89,6.85
48.49,5.32,-1.49,5.31,-1.49,1.52,1.21,0.99,6.84,6.83,6.81
48.97,5.32,-1.44,5.33,-1.43,1.45,1.18,0.95,6.77,6.78,6.76
49.46,5.36,-1.36,5.35,-1.37,1.38,1.15,0.90,6.74,6.73,6.72
49.96,5.36,-1.31,5.35,-1.32,1.32,1.12,0.86,6.68,6.67,6.67
50.46,5.36,-1.27,5.36,-1.27,1.25,1.09,0.82,6.61,6.61,6.63
50.96,5.37,-1.22,5.38,-1.21,1.18,1.06,0.78,6.55,6.56,6.59
51.47,5.42,-1.13,5.42,-1.13,1.09,1.03,0.74,6.51,6.51,6.55
51.99,5.48,-1.02,5.47,-1.03,1.00,1.00,0.70,6.48,6.48,6.50
52.51,5.53,-0.93,5.53,-0.93,0.91,0.96,0.66,6.44,6.44,6.46
53.03,5.59,-0.83,5.58,-0.83,0.82,0.93,0.62,6.41,6.40,6.42
53.56,5.62,-0.75,5.63,-0.74,0.75,0.89,0.59,6.36,6.38,6.37
54.10,5.67,-0.65,5.67,-0.65,0.69,0.86,0.55,6.36,6.36,6.32
54.64,5.69,-0.58,5.68,-0.59,0.66,0.82,0.52,6.35,6.34,6.27
55.18,5.65,-0.57,5.64,-0.58,0.65,0.78,0.48,6.30,6.29,6.22
