frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,1.51,-6.03,1.50,-6.03,6.04,5.95,2.57,7.54,7.54,7.53
20.20,1.51,-6.04,1.52,-6.03,6.03,5.94,2.64,7.53,7.54,7.54
20.40,1.54,-6.02,1.53,-6.02,6.02,5.94,2.72,7.56,7.55,7.55
20.61,1.54,-6.03,1.55,-6.01,6.01,5.93,2.80,7.55,7.56,7.56
20.81,1.58,-5.99,1.56,-6.00,6.00,5.92,2.88,7.58,7.57,7.56
21.02,1.58,-6.00,1.58,-5.99,5.99,5.91,2.96,7.57,7.58,7.57
21.23,1.60,-5.99,1.60,-5.98,5.98,5.90,3.04,7.58,7.58,7.58
21.44,1.63,-5.97,1.62,-5.98,5.97,5.89,3.13,7.60,7.59,7.59
21.66,1.63,-5.97,1.64,-5.96,5.96,5.88,3.22,7.59,7.60,7.59
21.87,1.66,-5.95,1.65,-5.95,5.95,5.87,3.32,7.61,7.60,7.60
22.09,1.68,-5.93,1.67,-5.93,5.94,5.86,3.41,7.61,7.61,7.60
22.31,1.68,-5.94,1.69,-5.92,5.93,5.85,3.51,7.60,7.62,7.61
22.54,1.72,-5.90,1.70,-5.92,5.91,5.84,3.61,7.63,7.61,7.61
22.76,1.72,-5.91,1.72,-5.90,5.90,5.83,3.71,7.62,7.62,7.62
22.99,1.72,-5.91,1.74,-5.89,5.89,5.82,3.82,7.60,7.63,7.62
23.22,1.77,-5.86,1.75,-5.88,5.88,5.81,3.93,7.64,7.62,7.62
23.45,1.77,-5.87,1.77,-5.86,5.86,5.80,4.04,7.63,7.63,7.63
23.69,1.77,-5.87,1.79,-5.84,5.85,5.79,4.15,7.62,7.64,7.63
23.92,1.82,-5.82,1.80,-5.84,5.84,5.78,4.26,7.65,7.63,7.63
24.16,1.82,-5.82,1.82,-5.82,5.82,5.77,4.38,7.64,7.64,7.63
24.40,1.82,-5.83,1.83,-5.81,5.81,5.76,4.50,7.63,7.64,7.64
24.65,1.86,-5.79,1.84,-5.80,5.79,5.75,4.62,7.65,7.64,7.64
24.89,1.86,-5.79,1.87,-5.78,5.78,5.74,4.74,7.63,7.64,7.64
25.14,1.90,-5.75,1.89,-5.76,5.76,5.73,4.87,7.65,7.64,7.64
25.39,1.91,-5.74,1.90,-5.74,5.74,5.71,4.99,7.65,7.64,7.64
25.65,1.91,-5.74,1.92,-5.72,5.72,5.70,5.12,7.63,7.64,7.64
25.91,1.96,-5.69,1.94,-5.70,5.70,5.69,5.24,7.66,7.64,7.64
26.16,1.96,-5.69,1.97,-5.68,5.68,5.68,5.37,7.64,7.65,7.64
26.43,2.00,-5.65,1.99,-5.66,5.66,5.66,5.50,7.66,7.65,7.64
26.69,2.00,-5.65,2.00,-5.64,5.64,5.65,5.62,7.64,7.64,7.64
26.96,2.02,-5.63,2.02,-5.62,5.62,5.64,5.74,7.64,7.64,7.64
27.23,2.05,-5.60,2.04,-5.60,5.60,5.62,5.86,7.65,7.64,7.64
27.50,2.06,-5.59,2.06,-5.58,5.58,5.61,5.98,7.63,7.64,7.64
27.77,2.10,-5.55,2.09,-5.56,5.55,5.60,6.09,7.65,7.64,7.64
28.05,2.10,-5.55,2.10,-5.54,5.53,5.58,6.20,7.63,7.64,7.64
28.33,2.14,-5.51,2.13,-5.51,5.51,5.57,6.30,7.65,7.64,7.64
28.62,2.14,-5.51,2.15,-5.49,5.50,5.56,6.40,7.63,7.65,7.64
28.90,2.19,-5.46,2.17,-5.47,5.48,5.54,6.49,7.67,7.65,7.64
29.19,2.19,-5.46,2.18,-5.46,5.46,5.53,6.58,7.65,7.65,7.64
29.48,2.19,-5.46,2.19,-5.46,5.45,5.51,6.65,7.64,7.64,7.64
29.78,2.19,-5.46,2.19,-5.45,5.44,5.50,6.72,7.63,7.63,7.64
30.08,2.19,-5.46,2.20,-5.44,5.44,5.48,6.77,7.62,7.64,7.64
30.38,2.23,-5.41,2.21,-5.43,5.43,5.46,6.82,7.66,7.64,7.63
30.68,2.21,-5.43,2.20,-5.43,5.44,5.45,6.85,7.64,7.64,7.63
30.99,2.19,-5.45,2.20,-5.43,5.44,5.43,6.88,7.63,7.64,7.63
31.30,2.19,-5.44,2.19,-5.44,5.44,5.41,6.89,7.63,7.63,7.62
31.61,2.19,-5.44,2.18,-5.44,5.45,5.40,6.90,7.63,7.63,7.62
31.93,2.18,-5.44,2.17,-5.45,5.45,5.38,6.89,7.63,7.62,7.61
32.24,2.14,-5.48,2.15,-5.46,5.45,5.36,6.87,7.59,7.60,7.61
32.57,2.14,-5.47,2.14,-5.47,5.45,5.35,6.84,7.59,7.59,7.60
32.89,2.14,-5.47,2.15,-5.45,5.44,5.33,6.81,7.58,7.59,7.60
33.22,2.18,-5.42,2.17,-5.43,5.43,5.31,6.76,7.61,7.60,7.59
33.55,2.19,-5.41,2.18,-5.41,5.42,5.29,6.71,7.60,7.59,7.59
33.89,2.19,-5.40,2.19,-5.39,5.40,5.27,6.64,7.58,7.59,7.58
34.23,2.19,-5.39,2.20,-5.37,5.37,5.25,6.57,7.56,7.58,7.57
34.57,2.24,-5.33,2.22,-5.35,5.35,5.24,6.49,7.58,7.57,7.56
34.92,2.24,-5.32,2.23,-5.32,5.32,5.22,6.41,7.56,7.56,7.55
35.27,2.24,-5.32,2.25,-5.30,5.30,5.20,6.32,7.54,7.55,7.55
35.62,2.26,-5.28,2.26,-5.28,5.28,5.18,6.23,7.54,7.54,7.53
35.97,2.28,-5.25,2.27,-5.26,5.26,5.16,6.14,7.54,7.53,7.52
36.33,2.28,-5.24,2.28,-5.23,5.24,5.13,6.04,7.52,7.52,7.51
36.70,2.28,-5.22,2.28,-5.22,5.22,5.11,5.94,7.50,7.50,7.49
37.06,2.28,-5.21,2.28,-5.20,5.20,5.09,5.84,7.48,7.48,7.48
37.43,2.28,-5.19,2.28,-5.19,5.18,5.07,5.74,7.46,7.46,7.46
37.81,2.28,-5.17,2.28,-5.17,5.16,5.05,5.64,7.44,7.44,7.44
38.19,2.29,-5.15,2.29,-5.14,5.14,5.03,5.54,7.42,7.43,7.43
38.57,2.31,-5.11,2.30,-5.11,5.12,5.00,5.45,7.42,7.42,7.41
38.95,2.31,-5.09,2.31,-5.09,5.10,4.98,5.35,7.40,7.40,7.39
39.34,2.31,-5.07,2.31,-5.06,5.07,4.96,5.25,7.38,7.38,7.37
39.74,2.31,-5.05,2.31,-5.05,5.05,4.93,5.16,7.36,7.36,7.35
40.14,2.31,-5.03,2.31,-5.03,5.02,4.91,5.07,7.33,7.33,7.33
40.54,2.31,-5.01,2.31,-5.01,5.00,4.89,4.98,7.31,7.31,7.31
40.94,2.31,-4.98,2.31,-4.98,4.98,4.86,4.89,7.28,7.28,7.28
41.35,2.31,-4.96,2.31,-4.95,4.95,4.84,4.81,7.26,7.26,7.26
41.76,2.33,-4.91,2.32,-4.92,4.92,4.81,4.73,7.24,7.24,7.23
42.18,2.33,-4.89,2.32,-4.89,4.88,4.79,4.65,7.21,7.20,7.21
42.60,2.33,-4.86,2.33,-4.85,4.84,4.76,4.58,7.17,7.18,7.18
43.03,2.33,-4.83,2.34,-4.81,4.81,4.73,4.51,7.13,7.15,7.15
43.46,2.38,-4.75,2.36,-4.76,4.77,4.71,4.44,7.15,7.13,7.12
43.90,2.38,-4.72,2.37,-4.72,4.73,4.68,4.38,7.11,7.11,7.09
44.33,2.38,-4.69,2.38,-4.68,4.70,4.65,4.32,7.07,7.08,7.06
44.78,2.38,-4.66,2.38,-4.66,4.66,4.62,4.26,7.04,7.04,7.03
45.23,2.38,-4.63,2.38,-4.62,4.62,4.59,4.21,7.00,7.00,7.00
45.68,2.38,-4.59,2.37,-4.59,4.58,4.56,4.16,6.96,6.95,6.96
46.13,2.38,-4.55,2.38,-4.55,4.54,4.53,4.11,6.92,6.92,6.92
46.60,2.38,-4.51,2.39,-4.50,4.49,4.50,4.06,6.87,6.88,6.88
47.06,2.42,-4.44,2.40,-4.45,4.44,4.47,4.02,6.86,6.84,6.85
47.53,2.42,-4.40,2.41,-4.40,4.39,4.44,3.98,6.80,6.80,6.81
48.01,2.42,-4.35,2.43,-4.34,4.33,4.41,3.95,6.75,6.76,6.76
48.49,2.45,-4.28,2.44,-4.28,4.28,4.38,3.92,6.72,6.72,6.72
48.97,2.47,-4.21,2.46,-4.22,4.23,4.35,3.89,6.69,6.69,6.67
49.46,2.47,-4.17,2.47,-4.16,4.18,4.31,3.86,6.65,6.65,6.63
49.96,2.47,-4.12,2.47,-4.12,4.14,4.28,3.83,6.61,6.61,6.58
50.46,2.47,-4.08,2.45,-4.09,4.10,4.25,3.81,6.57,6.55,6.54
50.96,2.42,-4.09,2.43,-4.07,4.06,4.21,3.79,6.48,6.50,6.50
51.47,2.42,-4.05,2.42,-4.04,4.03,4.18,3.77,6.45,6.45,6.46
51.99,2.42,-4.00,2.41,-4.01,3.99,4.14,3.75,6.41,6.41,6.41
52.51,2.42,-3.96,2.42,-3.96,3.95,4.11,3.74,6.37,6.37,6.37
53.03,2.42,-3.92,2.41,-3.92,3.91,4.07,3.72,6.32,6.32,6.33
53.56,2.42,-3.87,2.42,-3.87,3.85,4.03,3.71,6.27,6.27,6.28
54.10,2.42,-3.82,2.43,-3.80,3.80,3.99,3.69,6.22,6.23,6.23
54.64,2.46,-3.73,2.45,-3.74,3.74,3.96,3.68,6.20,6.19,6.18
55.18,2.47,-3.67,2.46,-3.67,3.69,3.92,3.66,6.15,6.15,6.13
55.74,2.47,-3.62,2.47,-3.62,3.63,3.88,3.65,6.10,6.10,6.08
56.29,2.47,-3.58,2.47,-3.57,3.58,3.84,3.63,6.05,6.05,6.04
56.86,2.47,-3.54,2.47,-3.53,3.53,3.80,3.61,6.00,6.00,6.00
57.42,2.47,-3.49,2.47,-3.49,3.49,3.76,3.60,5.96,5.96,5.95
58.00,2.47,-3.45,2.47,-3.45,3.45,3.71,3.58,5.92,5.92,5.91
58.58,2.47,-3.41,2.47,-3.41,3.41,3.67,3.55,5.87,5.87,5.87
59.16,2.47,-3.37,2.47,-3.37,3.36,3.63,3.53,5.83,5.83,5.83
59.76,2.47,-3.33,2.47,-3.32,3.31,3.58,3.50,5.78,5.78,5.79
60.35,2.47,-3.27,2.47,-3.27,3.26,3.54,3.47,5.72,5.72,5.73
60.96,2.47,-3.21,2.47,-3.21,3.20,3.49,3.44,5.67,5.67,5.67
