frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,6.88,0.12,6.88,0.12,-0.12,0.02,0.17,6.76,6.76,6.76
20.20,6.88,0.11,6.88,0.11,-0.11,0.03,0.17,6.77,6.77,6.77
20.40,6.88,0.10,6.88,0.10,-0.10,0.03,0.18,6.78,6.78,6.78
20.61,6.88,0.09,6.88,0.09,-0.10,0.04,0.18,6.78,6.78,6.79
20.81,6.88,0.09,6.88,0.09,-0.09,0.05,0.18,6.79,6.79,6.79
21.02,6.88,0.08,6.88,0.08,-0.08,0.06,0.19,6.80,6.80,6.80
21.23,6.88,0.07,6.88,0.07,-0.07,0.07,0.19,6.81,6.82,6.81
21.44,6.88,0.06,6.88,0.07,-0.06,0.07,0.20,6.83,6.83,6.82
21.66,6.88,0.06,6.87,0.05,-0.04,0.08,0.20,6.84,6.83,6.82
21.87,6.86,0.03,6.86,0.03,-0.03,0.09,0.21,6.83,6.83,6.83
22.09,6.83,0.00,6.84,0.01,-0.02,0.10,0.21,6.81,6.82,6.83
22.31,6.83,-0.01,6.83,-0.01,-0.01,0.11,0.22,6.82,6.82,6.84
22.54,6.83,-0.01,6.83,-0.01,0.01,0.12,0.22,6.84,6.83,6.84
22.76,6.83,-0.02,6.83,-0.01,0.02,0.13,0.23,6.85,6.85,6.85
22.99,6.83,-0.02,6.83,-0.02,0.03,0.14,0.24,6.86,6.86,6.85
23.22,6.83,-0.02,6.82,-0.04,0.04,0.15,0.24,6.87,6.86,6.85
23.45,6.79,-0.07,6.80,-0.05,0.05,0.16,0.25,6.84,6.85,6.86
23.69,6.79,-0.07,6.80,-0.06,0.06,0.17,0.25,6.85,6.86,6.86
23.92,6.79,-0.07,6.78,-0.08,0.08,0.18,0.26,6.87,6.86,6.86
24.16,6.79,-0.07,6.77,-0.09,0.09,0.19,0.27,6.88,6.87,6.86
24.40,6.74,-0.13,6.76,-0.11,0.11,0.20,0.27,6.85,6.87,6.87
24.65,6.74,-0.13,6.74,-0.13,0.12,0.21,0.28,6.86,6.87,6.87
24.89,6.74,-0.13,6.72,-0.15,0.14,0.22,0.29,6.88,6.86,6.87
25.14,6.71,-0.16,6.72,-0.15,0.16,0.24,0.30,6.87,6.87,6.87
25.39,6.69,-0.18,6.70,-0.17,0.17,0.25,0.30,6.86,6.87,6.87
25.65,6.69,-0.18,6.68,-0.19,0.19,0.26,0.31,6.88,6.87,6.87
25.91,6.65,-0.22,6.67,-0.20,0.21,0.27,0.32,6.86,6.87,6.87
26.16,6.65,-0.22,6.65,-0.22,0.22,0.28,0.33,6.87,6.87,6.87
26.43,6.64,-0.23,6.63,-0.24,0.24,0.30,0.34,6.88,6.87,6.87
26.69,6.60,-0.27,6.61,-0.26,0.26,0.31,0.34,6.86,6.87,6.87
26.96,6.60,-0.27,6.59,-0.28,0.28,0.32,0.35,6.88,6.87,6.87
27.23,6.55,-0.32,6.56,-0.31,0.30,0.34,0.36,6.85,6.86,6.87
27.50,6.55,-0.32,6.54,-0.33,0.33,0.35,0.37,6.88,6.87,6.87
27.77,6.51,-0.36,6.52,-0.35,0.35,0.37,0.38,6.86,6.87,6.87
28.05,6.51,-0.36,6.50,-0.37,0.37,0.38,0.39,6.88,6.87,6.87
28.33,6.46,-0.41,6.47,-0.40,0.40,0.40,0.40,6.86,6.87,6.87
28.62,6.46,-0.41,6.45,-0.42,0.42,0.41,0.41,6.88,6.87,6.87
28.90,6.41,-0.46,6.42,-0.45,0.45,0.43,0.42,6.86,6.87,6.87
29.19,6.40,-0.47,6.40,-0.47,0.47,0.44,0.43,6.87,6.87,6.87
29.48,6.37,-0.50,6.37,-0.50,0.50,0.46,0.44,6.87,6.87,6.87
29.78,6.34,-0.53,6.34,-0.53,0.52,0.47,0.45,6.86,6.87,6.87
30.08,6.32,-0.55,6.32,-0.55,0.55,0.49,0.46,6.87,6.87,6.87
30.38,6.28,-0.58,6.29,-0.57,0.57,0.51,0.47,6.85,6.86,6.86
30.68,6.27,-0.59,6.26,-0.60,0.60,0.53,0.49,6.87,6.86,6.86
30.99,6.23,-0.63,6.23,-0.63,0.63,0.54,0.50,6.86,6.86,6.86
31.30,6.19,-0.66,6.20,-0.65,0.65,0.56,0.51,6.84,6.86,6.85
31.61,6.18,-0.67,6.17,-0.68,0.68,0.58,0.52,6.86,6.85,6.85
31.93,6.14,-0.70,6.14,-0.71,0.71,0.60,0.53,6.85,6.84,6.84
32.24,6.09,-0.75,6.10,-0.74,0.74,0.62,0.55,6.83,6.84,6.84
32.57,6.06,-0.77,6.06,-0.77,0.76,0.64,0.56,6.83,6.83,6.83
32.89,6.03,-0.80,6.03,-0.80,0.79,0.66,0.57,6.82,6.82,6.83
33.22,6.00,-0.82,6.00,-0.82,0.82,0.68,0.59,6.82,6.82,6.82
