frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-2.32,-9.99,-2.32,-9.99,9.97,10.66,4.95,7.65,7.65,7.67
20.20,-2.34,-10.02,-2.34,-10.02,10.02,10.66,5.08,7.69,7.69,7.68
20.40,-2.37,-10.06,-2.37,-10.06,10.08,10.65,5.21,7.71,7.71,7.69
20.61,-2.40,-10.10,-2.41,-10.10,10.13,10.65,5.34,7.73,7.72,7.70
20.81,-2.46,-10.16,-2.46,-10.16,10.17,10.65,5.48,7.71,7.71,7.70
21.02,-2.51,-10.22,-2.51,-10.22,10.21,10.64,5.62,7.70,7.70,7.71
21.23,-2.56,-10.28,-2.54,-10.26,10.24,10.64,5.77,7.68,7.69,7.72
21.44,-2.56,-10.29,-2.56,-10.29,10.27,10.63,5.92,7.71,7.71,7.73
21.66,-2.56,-10.29,-2.56,-10.29,10.29,10.62,6.07,7.73,7.73,7.73
21.87,-2.56,-10.30,-2.56,-10.30,10.30,10.62,6.23,7.75,7.75,7.74
22.09,-2.56,-10.30,-2.56,-10.30,10.31,10.61,6.39,7.75,7.75,7.74
22.31,-2.56,-10.31,-2.56,-10.31,10.31,10.60,6.56,7.76,7.76,7.75
22.54,-2.56,-10.31,-2.56,-10.31,10.31,10.60,6.73,7.76,7.76,7.75
22.76,-2.56,-10.32,-2.56,-10.31,10.31,10.59,6.91,7.76,7.76,7.76
22.99,-2.56,-10.32,-2.56,-10.32,10.31,10.58,7.09,7.76,7.76,7.76
23.22,-2.56,-10.32,-2.56,-10.32,10.32,10.57,7.27,7.76,7.76,7.76
23.45,-2.56,-10.33,-2.56,-10.32,10.32,10.56,7.46,7.77,7.77,7.77
23.69,-2.56,-10.33,-2.56,-10.33,10.33,10.55,7.65,7.77,7.77,7.77
23.92,-2.56,-10.33,-2.55,-10.33,10.33,10.54,7.85,7.78,7.78,7.77
24.16,-2.56,-10.33,-2.56,-10.33,10.34,10.53,8.06,7.78,7.78,7.77
24.40,-2.56,-10.34,-2.57,-10.35,10.35,10.52,8.26,7.79,7.78,7.78
24.65,-2.60,-10.38,-2.58,-10.36,10.36,10.51,8.48,7.76,7.77,7.78
24.89,-2.60,-10.38,-2.59,-10.38,10.37,10.50,8.69,7.77,7.77,7.78
25.14,-2.60,-10.38,-2.60,-10.38,10.38,10.49,8.91,7.78,7.78,7.78
25.39,-2.60,-10.38,-2.60,-10.38,10.39,10.47,9.14,7.79,7.79,7.78
25.65,-2.61,-10.39,-2.61,-10.39,10.40,10.46,9.37,7.79,7.79,7.78
25.91,-2.64,-10.42,-2.63,-10.41,10.41,10.45,9.60,7.77,7.78,7.78
26.16,-2.64,-10.42,-2.64,-10.42,10.42,10.43,9.83,7.78,7.78,7.78
